year,value
1956,535831
1963,556374
1969,593288
1979,809691
1989,1105645
1990,1171998
1991,1193939
1992,1195890
1993,1224899
1994,1269227
1995,1304525
1996,1341555
1997,1377785
1998,1416154
1999,1442369
2000,1506388
2001,1550109
2002,1574246
2003,1593037
2004,1610046
2005,1628783
2006,1738951
2007,1763413
2008,1805761
2009,1855853
2010,1899337
2011,1955910
2012,1982613
2013,2016464
2014,2035915
2015,2037707
2016,2065123
2017,2087286
2018,2108486
2019,2123278
2020,2143767
2021,2162835
2022,2190526
2023,2223568
2024,2260117
