огноо,бүтээгдэхүүн_бүс,үнэ
2020-01,"Хивэг,25кг — Архангай",16500.0
2020-01,"Хивэг,25кг — Баян-Өлгий",15000.0
2020-01,"Хивэг,25кг — Баянхонгор",16600.0
2020-01,"Хивэг,25кг — Булган",13600.0
2020-01,"Хивэг,25кг — Дорноговь",14600.0
2020-01,"Хивэг,25кг — Дундговь",16000.0
2020-01,"Хивэг,25кг — Говь-Алтай",16000.0
2020-01,"Хивэг,25кг — Говьсүмбэр",13000.0
2020-01,"Хивэг,25кг — Ховд",13000.0
2020-01,"Хивэг,25кг — Хөвсгөл",14500.0
2020-01,"Хивэг,25кг — Орхон",12000.0
2020-01,"Хивэг,25кг — Сэлэнгэ",11500.0
2020-01,"Хивэг,25кг — Сүхбаатар",15000.0
2020-01,"Хивэг,25кг — Төв",14600.0
2020-01,"Хивэг,25кг — Өмнөговь",15900.0
2020-01,"Хивэг,25кг — Увс",13300.0
2020-01,"Хивэг,25кг — Өвөрхангай",14300.0
2020-01,"Хивэг,25кг — Завхан",15100.0
2020-01,"Хивэг,50кг — Архангай",21600.0
2020-01,"Хивэг,50кг — Баян-Өлгий",28400.0
2020-01,"Хивэг,50кг — Баянхонгор",12800.0
2020-01,"Хивэг,50кг — Дундговь",28000.0
2020-01,"Хивэг,50кг — Говь-Алтай",31000.0
2020-01,"Хивэг,50кг — Говьсүмбэр",26000.0
2020-01,"Хивэг,50кг — Ховд",16500.0
2020-01,"Хивэг,50кг — Хөвсгөл",28500.0
2020-01,"Хивэг,50кг — Орхон",24000.0
2020-01,"Хивэг,50кг — Сэлэнгэ",26000.0
2020-01,"Хивэг,50кг — Сүхбаатар",18000.0
2020-01,"Хивэг,50кг — Төв",27000.0
2020-01,"Хивэг,50кг — Өмнөговь",30000.0
2020-01,"Хивэг,50кг — Өвөрхангай",20200.0
2020-01,"Хивэг,50кг — Завхан",35000.0
2020-02,"Хивэг,25кг — Архангай",15333.0
2020-02,"Хивэг,25кг — Баян-Өлгий",15000.0
2020-02,"Хивэг,25кг — Баянхонгор",16222.0
2020-02,"Хивэг,25кг — Булган",14027.0
2020-02,"Хивэг,25кг — Дорноговь",15500.0
2020-02,"Хивэг,25кг — Дундговь",15000.0
2020-02,"Хивэг,25кг — Говь-Алтай",17357.0
2020-02,"Хивэг,25кг — Говьсүмбэр",15000.0
2020-02,"Хивэг,25кг — Ховд",14500.0
2020-02,"Хивэг,25кг — Хөвсгөл",16000.0
2020-02,"Хивэг,25кг — Орхон",13000.0
2020-02,"Хивэг,25кг — Сэлэнгэ",12000.0
2020-02,"Хивэг,25кг — Сүхбаатар",14000.0
2020-02,"Хивэг,25кг — Төв",14480.0
2020-02,"Хивэг,25кг — Өмнөговь",16000.0
2020-02,"Хивэг,25кг — Увс",13250.0
2020-02,"Хивэг,25кг — Өвөрхангай",13514.0
2020-02,"Хивэг,25кг — Завхан",14656.0
2020-02,"Хивэг,50кг — Архангай",32000.0
2020-02,"Хивэг,50кг — Баян-Өлгий",29500.0
2020-02,"Хивэг,50кг — Баянхонгор",14667.0
2020-02,"Хивэг,50кг — Говь-Алтай",31000.0
2020-02,"Хивэг,50кг — Ховд",17500.0
2020-02,"Хивэг,50кг — Хөвсгөл",30000.0
2020-02,"Хивэг,50кг — Орхон",25000.0
2020-02,"Хивэг,50кг — Сүхбаатар",16000.0
2020-02,"Хивэг,50кг — Өмнөговь",30000.0
2020-02,"Хивэг,50кг — Увс",22500.0
2020-02,"Хивэг,50кг — Өвөрхангай",22400.0
2020-02,"Хивэг,50кг — Завхан",35000.0
2020-03,"Хивэг,25кг — Архангай",15357.0
2020-03,"Хивэг,25кг — Баян-Өлгий",15000.0
2020-03,"Хивэг,25кг — Баянхонгор",15188.0
2020-03,"Хивэг,25кг — Булган",14042.0
