year,value
1990,-3.76
1991,-8.7
1992,-9.3
1993,-3.2
1994,2.1
1995,6.4
1996,2.2
1997,3.9
1998,3.3
1999,3.1
2000,1.1
2001,3.0
2002,4.7
2003,7.0
2004,10.6
2005,7.3
2006,8.6
2007,10.2
2008,8.9
2009,-1.3
2010,6.4
2011,17.3
2012,12.3
2013,11.6
2014,7.9
2015,2.38
2016,1.49
2017,5.64
2018,7.75
2019,5.6
2020,-4.6
2021,1.64
2022,5.03
2023,7.42
2024,5.12
