код,бүс,дүүргийн_код,дүүрэг,талбай_км2,lon,lat
17130,28-р хороолол,17,Хан-Уул,6.009,106.750605,47.834566
17131,Морин-1,17,Хан-Уул,16.646,106.723568,47.826068
17132,Тайны ам,17,Хан-Уул,6.75,106.79207,47.803697
17133,Морин-2,17,Хан-Уул,4.358,106.759239,47.80351
17140,Био комбинат-1,17,Хан-Уул,16.165,106.68298,47.815913
17141,Дарцагт,17,Хан-Уул,1.278,106.665187,47.823943
17142,Эрдэнэтолгой,17,Хан-Уул,3.482,106.64976,47.797748
17143,Био комбинат-2,17,Хан-Уул,6.912,106.654343,47.826885
17144,Сонгины амралтын хэсэг,17,Хан-Уул,27.349,106.647637,47.846146
17150,Өлзийт-1,17,Хан-Уул,12.256,106.703673,47.791925
17151,Өлзийт-2,17,Хан-Уул,3.198,106.705872,47.78032
17152,Бугын ам,17,Хан-Уул,82.967,106.85452,47.778494
17153,Ар хөндлөнгийн хэсэг,17,Хан-Уул,19.801,106.778403,47.734657
17160,"Доод Өлзийт, Гавьжийн шанд",17,Хан-Уул,46.417,106.688079,47.756507
17170,Шувуун фабрик-1,17,Хан-Уул,8.78,106.618485,47.768633
17171,Туулын хэсэг,17,Хан-Уул,22.306,106.569705,47.773163
17172,Шувуун фабрик-2,17,Хан-Уул,13.723,106.566565,47.741172
17173,Уушийн ар,17,Хан-Уул,11.652,106.530344,47.731174
17174,Аж үйлдвэрийн парк хэсэг,17,Хан-Уул,6.325,106.592011,47.831853
17175,Улаан овоот,17,Хан-Уул,44.387,106.554094,47.807999
18010,Баянхошуу-1,18,Сонгинохайрхан,11.394,106.84507,47.974026
18011,Баянхошуу-2,18,Сонгинохайрхан,2.491,106.824032,47.977708
18030,1-р хороолол-1,18,Сонгинохайрхан,0.315,106.850352,47.91474
18031,1-р хороолол-2,18,Сонгинохайрхан,0.331,106.841897,47.914424
18032,1-р хороолол-3,18,Сонгинохайрхан,0.276,106.834628,47.913726
18040,Өнөр хороолол,18,Сонгинохайрхан,3.704,106.846001,47.928314
18050,Толгойтын зүүн салаа-1,18,Сонгинохайрхан,21.735,106.836543,48.030108
18051,Толгойтын зүүн салаа-2,18,Сонгинохайрхан,4.006,106.811287,48.027758
18052,Суурьшилгүй бүс,18,Сонгинохайрхан,7.394,106.8056,48.067041
18060,Ханын материал-1,18,Сонгинохайрхан,1.953,106.831687,47.933998
18061,Ханын материал-2,18,Сонгинохайрхан,0.843,106.823613,47.925352
18062,Ханын материал-3,18,Сонгинохайрхан,0.776,106.824556,47.918682
18070,Москва хороолол-1,18,Сонгинохайрхан,0.17,106.828254,47.912976
18071,Москва хороолол-2,18,Сонгинохайрхан,0.114,106.824385,47.912899
18072,Москва хороолол-3,18,Сонгинохайрхан,0.177,106.820785,47.912856
18080,21-р хороолол-1,18,Сонгинохайрхан,0.346,106.814467,47.912494
18081,21-р хороолол-2,18,Сонгинохайрхан,0.337,106.814586,47.918213
18082,21-р хороолол-3,18,Сонгинохайрхан,1.176,106.814227,47.930874
18090,Баянхошуу-3,18,Сонгинохайрхан,5.465,106.801638,47.963098
18100,Толгойт-1,18,Сонгинохайрхан,0.729,106.80397,47.917664
18101,Толгойт-2,18,Сонгинохайрхан,0.729,106.802046,47.912025
18102,Толгойт-3,18,Сонгинохайрхан,1.039,106.788836,47.915567
18103,Толгойт-4,18,Сонгинохайрхан,0.744,106.780773,47.9083
18104,Толгойт-5,18,Сонгинохайрхан,0.733,106.772794,47.911644
18105,Толгойт-6,18,Сонгинохайрхан,13.553,106.786207,47.938638
18110,Богдын ар,18,Сонгинохайрхан,5.522,106.778303,48.043963
18120,Ар гүнт,18,Сонгинохайрхан,57.682,106.774347,48.098337
18130,Сонсголон-1,18,Сонгинохайрхан,0.782,106.776699,47.904259
18131,Сонсголон-2,18,Сонгинохайрхан,1.79,106.7747,47.896646
18132,Сонсголон-3,18,Сонгинохайрхан,4.245,106.755528,47.887883
18133,Сонсголон-4,18,Сонгинохайрхан,1.438,106.776027,47.882826
18134,Сонсголон-5,18,Сонгинохайрхан,1.245,106.755548,47.901154
18135,Сонсголон-6,18,Сонгинохайрхан,4.07,106.731903,47.890304
18140,Наран-1,18,Сонгинохайрхан,4.976,106.840668,47.946674
18141,Наран-2,18,Сонгинохайрхан,2.209,106.817132,47.951942
18150,Толгойтын баруун салаа-1,18,Сонгинохайрхан,11.825,106.804217,48.006799
18151,Толгойтын баруун салаа-2,18,Сонгинохайрхан,13.0,106.779107,48.006931
18152,Суурьшилгүй бүс,18,Сонгинохайрхан,34.763,106.742631,48.02833
18160,Их наран,18,Сонгинохайрхан,7.647,106.757154,47.959372
18170,Орбит-1,18,Сонгинохайрхан,3.302,106.7602,47.923946
18171,Орбит-2,18,Сонгинохайрхан,1.159,106.747367,47.905826
18172,Орбит-3,18,Сонгинохайрхан,1.852,106.742364,47.912153
18173,Орбит-4,18,Сонгинохайрхан,2.621,106.730765,47.91922
18180,Баянголын ам-1,18,Сонгинохайрхан,3.655,106.744899,47.932604
18181,Баянголын ам-2,18,Сонгинохайрхан,4.674,106.730749,47.948428
18182,Баянголын ам-3,18,Сонгинохайрхан,3.249,106.713163,47.937696
18183,Баянголын ам-4,18,Сонгинохайрхан,2.059,106.707934,47.955756
18190,Баянголын ам-5,18,Сонгинохайрхан,6.348,106.727149,47.972933
18191,Баянголын ам-6,18,Сонгинохайрхан,2.916,106.730439,47.993287
18192,Баянголын ам-7,18,Сонгинохайрхан,3.857,106.700861,47.974665
18193,Баянголын ам-8,18,Сонгинохайрхан,5.377,106.702178,47.998123
18200,Цагаан бургас,18,Сонгинохайрхан,10.196,106.70562,48.088152
18210,Цагаанчулуутын ам,18,Сонгинохайрхан,34.352,106.719116,48.14431
18211,Суурьшилгүй бүс,18,Сонгинохайрхан,8.924,106.776553,48.133417
18212,Бороочийн ам,18,Сонгинохайрхан,13.5,106.760997,48.166863
18213,Өвөр уулын овоо,18,Сонгинохайрхан,15.241,106.677843,48.173951
18214,Суурьшилгүй бүс,18,Сонгинохайрхан,10.569,106.829975,48.141511
18215,Халзангийн ам,18,Сонгинохайрхан,30.399,106.804693,48.174785
18216,Хүйн хөндий,18,Сонгинохайрхан,30.901,106.798844,48.203273
18217,335-ын гарам,18,Сонгинохайрхан,12.853,106.705166,48.207202
18218,Суурьшилгүй бүс,18,Сонгинохайрхан,29.161,106.653752,48.204155
18220,Найрамдал-1,18,Сонгинохайрхан,0.31,106.728531,48.0063
18221,Найрамдал-2,18,Сонгинохайрхан,0.346,106.732314,48.012919
18222,Найрамдал-3,18,Сонгинохайрхан,0.853,106.738527,48.021948
18223,Найрамдал-4,18,Сонгинохайрхан,0.379,106.723866,48.00891
18224,Найрамдал-5,18,Сонгинохайрхан,0.425,106.726818,48.015767
18225,Найрамдал-6,18,Сонгинохайрхан,0.578,106.729348,48.023152
18230,Овоот тосгон,18,Сонгинохайрхан,0.615,106.728906,48.000358
18240,Тахилт-1,18,Сонгинохайрхан,6.625,106.703581,47.926865
18241,Тахилт-2,18,Сонгинохайрхан,15.56,106.680262,47.932526
18242,Тахилтын хөндий,18,Сонгинохайрхан,4.874,106.686955,47.960136
18250,Шижиртийн даваа,18,Сонгинохайрхан,5.809,106.708808,48.018961
18260,Хустайн ам,18,Сонгинохайрхан,0.43,106.696696,47.987413
18270,Хотын шинэ төв,18,Сонгинохайрхан,13.244,106.683097,47.887102
18271,Авто худалдааны цогцолбор,18,Сонгинохайрхан,1.581,106.699694,47.884028
18280,Бурхант,18,Сонгинохайрхан,22.007,106.664463,48.088943
18290,Шижир,18,Сонгинохайрхан,30.423,106.662476,48.0419
18300,"Хуст уул, Тахилт уул",18,Сонгинохайрхан,11.979,106.619198,48.058579
18310,Шар цэцэгт,18,Сонгинохайрхан,13.368,106.660939,47.990169
18311,Соёондын ам,18,Сонгинохайрхан,19.176,106.607567,47.997878
18312,Таширын ам,18,Сонгинохайрхан,18.329,106.597826,48.031644
18320,Зүүн туруун,18,Сонгинохайрхан,17.389,106.650822,47.937115
18330,Тарвагатайн урд ам,18,Сонгинохайрхан,26.056,106.618095,48.150179
18340,Баруун туруун-1,18,Сонгинохайрхан,9.726,106.629188,47.938103
18341,Баруун туруун-2,18,Сонгинохайрхан,22.682,106.613985,47.925328
18360,347-ийн гарам,18,Сонгинохайрхан,1.356,106.626416,48.098636
18361,Жаргалант тосгон,18,Сонгинохайрхан,3.695,106.634513,48.123788
18370,Саалийн ам,18,Сонгинохайрхан,38.283,106.572815,48.115881
18380,Аюушийн ам,18,Сонгинохайрхан,9.889,106.588251,48.134947
18390,Рашаант тосгон,18,Сонгинохайрхан,16.181,106.559624,48.000673
18400,Эмээлт-1,18,Сонгинохайрхан,8.818,106.592417,47.897967
18401,Эмээлт-2,18,Сонгинохайрхан,10.174,106.570196,47.88832
18402,Суурьшилгүй бүс,18,Сонгинохайрхан,12.099,106.576827,47.932276
18403,Долоон худгийн хөндий,18,Сонгинохайрхан,14.593,106.552566,47.966884
18410,361-ын гарам,18,Сонгинохайрхан,21.796,106.574635,48.030798
18412,Суурьшилгүй бүс,17,Хан-Уул,7.407,106.641283,47.86756
18420,Хурганы аж ахуй,18,Сонгинохайрхан,3.902,106.589932,47.86058
18440,369-ын гарам,18,Сонгинохайрхан,5.476,106.544147,47.938584
18450,Хужрын хяр,18,Сонгинохайрхан,19.495,106.516962,47.998303
18460,Хүй 7 худаг,18,Сонгинохайрхан,8.436,106.531358,47.92992
18470,Дунд дүүрэн ам,18,Сонгинохайрхан,36.225,106.507668,48.109658
18471,Суурьшилгүй бүс,18,Сонгинохайрхан,8.562,106.555413,47.873365
18472,Эмээлт уулын баруун хоолой,18,Сонгинохайрхан,10.571,106.536059,47.874258
18480,Нарийны хөндий,18,Сонгинохайрхан,57.677,106.526178,48.201487
18490,Дааган толгой,18,Сонгинохайрхан,7.723,106.521391,48.044886
18500,Их булаг,18,Сонгинохайрхан,21.955,106.484252,48.02461
18501,Суурьшилгүй бүс,18,Сонгинохайрхан,36.967,106.588235,48.214867
18510,Замтын булаг,18,Сонгинохайрхан,19.866,106.485164,48.082789
18520,Тусгалтын ам,18,Сонгинохайрхан,12.202,106.444529,48.205966
18530,Хөндлөнгийн ам-СХД,18,Сонгинохайрхан,41.551,106.455202,48.162074
18540,Бүрдийн ам,18,Сонгинохайрхан,17.185,106.461036,48.24355
18550,Суурьшилгүй бүс,18,Сонгинохайрхан,27.655,106.410795,48.239367
