код,бүс,дүүргийн_код,дүүрэг,талбай_км2,lon,lat
13011,Хуандай,13,Баянзүрх,55.154,107.290585,47.993421
13012,Арцат,13,Баянзүрх,31.793,107.23034,47.94121
13013,Бага хуандай,13,Баянзүрх,7.104,107.242558,47.916063
13020,Шар хоолой,13,Баянзүрх,122.136,107.228179,48.036892
13050,Могойн дэнж,13,Баянзүрх,3.651,107.195985,47.901592
13051,Суурьшилгүй бүс,13,Баянзүрх,54.426,107.20097,47.867634
13070,"Их ам, бага ам",13,Баянзүрх,14.247,107.185477,47.961665
13080,Гялалзах,13,Баянзүрх,2.574,107.181543,47.92058
13085,Хонхор нуур,13,Баянзүрх,19.456,107.209276,47.75837
13086,Шажин хурах,13,Баянзүрх,28.627,107.147339,47.759784
13087,Майхан уул,13,Баянзүрх,8.121,107.220052,47.799816
13088,Нам даваа,13,Баянзүрх,19.347,107.183009,47.837639
13089,Хөлийн гол-1,13,Баянзүрх,9.412,107.178534,47.794688
13090,Хонхор,13,Баянзүрх,5.457,107.167417,47.810622
13091,Харгана,13,Баянзүрх,16.727,107.119138,47.819991
13100,Туул-БЗД,13,Баянзүрх,3.186,107.171845,47.932592
13110,Төвийн хэсэг,13,Баянзүрх,1.311,107.156332,47.934503
13120,Баян дөхөм,13,Баянзүрх,5.404,107.130395,47.930685
13121,Бага булгийн ам-1,13,Баянзүрх,10.825,107.126706,47.979357
13140,Эмийн ургамал,13,Баянзүрх,2.129,107.14212,47.851978
13150,Бага булгийн ам-2,13,Баянзүрх,15.269,107.112087,47.954821
13160,Гүнжийн хоолой,13,Баянзүрх,14.497,107.131656,48.017775
13170,Бумбат,13,Баянзүрх,14.457,107.104405,47.841504
13180,Ургах наран,13,Баянзүрх,3.21,107.123081,47.870518
13181,Сүүл даваа,13,Баянзүрх,6.281,107.150814,47.871672
13182,Ногоон зоорь,13,Баянзүрх,3.793,107.102466,47.886443
13183,Хөлийн гол-2,13,Баянзүрх,1.667,107.100948,47.873844
13184,Туулын зөрлөг,13,Баянзүрх,0.972,107.088644,47.876174
13190,Товчоо,13,Баянзүрх,2.092,107.07261,47.889387
13200,Төр хурах,13,Баянзүрх,14.32,107.120587,47.788018
13201,Суурьшилгүй бүс,13,Баянзүрх,132.668,107.022092,47.783345
13210,Хужирбулан,13,Баянзүрх,9.978,107.072947,47.927572
13211,Их булгийн ам,13,Баянзүрх,7.629,107.084258,47.95557
13212,Баатархайрхан,13,Баянзүрх,2.785,107.044533,47.939321
13213,Майхант,13,Баянзүрх,6.034,107.057817,47.958274
13214,Улиастайн гол,13,Баянзүрх,12.852,107.041826,47.983484
13215,Цардуулт,13,Баянзүрх,9.212,107.076224,47.984417
