department,hospital_beds
Internal medicine,7564
Pediatrics,4134
Surgery and traumatology,3441
Neurology,3068
Obstetrics,1857
Gyneacology,1663
Psychiatry and narcology,992
Otolaryngology,287
Ophtalmology,183
