year,product,tj
2015,Hard coal,21246.29
2015,Brown coal,5684.29
2015,Coke and semi-coke of coal,6.27
2015,"Briquettes, ovoids and similar solid fuels manufactured from coal",14.04
2015,Gasoline (excluding biofuels),18662.19
2015,Diesel,27187.68
2015,Jet fuel for aircrafts,2368.5
2015,Kerosene,137.4
2015,Fuel Oils,26.01
2015,LPG,1084.92
2015,Other spirits,389.2
2015,Oil and lubricants,473.34
2015,Other petroleum and oil products,108.76
2015,"Petroleum Jelly, paraffin waxes and Bitumen and asphalt, natural products",1297.99
2015,"Wood, wood waste & other solid biomass, charcoal",30423.75
2015,Electrical energy - produced from wind and hydro only,25168.17
2015,Heat,44640.23
2016,Hard coal,25744.35
2016,Brown coal,9547.69
2016,Coke and semi-coke of coal,0.85
2016,"Briquettes, ovoids and similar solid fuels manufactured from coal",25.35
2016,Gasoline (excluding biofuels),17079.96
2016,Diesel,24905.54
2016,Jet fuel for aircrafts,2421.27
2016,Kerosene,2608.65
2016,Fuel Oils,8.25
2016,LPG,1352.24
2016,Other spirits,895.37
2016,Oil and lubricants,511.23
2016,Other petroleum and oil products,140.15
2016,"Petroleum Jelly, paraffin waxes and Bitumen and asphalt, natural products",2137.36
2016,"Wood, wood waste & other solid biomass, charcoal",31514.5
2016,Electrical energy - produced from wind and hydro only,26031.36
2016,Heat,45139.2
2017,Hard coal,80083.68
2017,Brown coal,9955.74
2017,Coke and semi-coke of coal,9.2
2017,"Briquettes, ovoids and similar solid fuels manufactured from coal",26.47
2017,Gasoline (excluding biofuels),17829.89
2017,Diesel,34338.8
2017,Jet fuel for aircrafts,1468.55
2017,Kerosene,2183.53
2017,Fuel Oils,7.55
2017,LPG,1410.69
2017,Other spirits,1065.02
2017,Oil and lubricants,763.23
2017,Other petroleum and oil products,1139.36
2017,"Petroleum Jelly, paraffin waxes and Bitumen and asphalt, natural products",1247.69
2017,"Wood, wood waste & other solid biomass, charcoal",31731.58
2017,Electrical energy - produced from wind and hydro only,27666.39
2017,Heat,45169.49
2018,Hard coal,81645.88
2018,Brown coal,8821.23
2018,Coke and semi-coke of coal,33.05
