салбар,огноо,утга
"Уул уурхай, олборлолт",2026-03,5042.8
"Уул уурхай, олборлолт",2026-02,4373.5
"Уул уурхай, олборлолт",2026-01,4167.1
"Уул уурхай, олборлолт",2025-12,4695.5
"Уул уурхай, олборлолт",2025-11,4247.6
"Уул уурхай, олборлолт",2025-10,4187.7
"Уул уурхай, олборлолт",2025-09,3846.0
"Уул уурхай, олборлолт",2025-08,3772.4
"Уул уурхай, олборлолт",2025-07,3559.9
"Уул уурхай, олборлолт",2025-06,2916.7
"Уул уурхай, олборлолт",2025-05,3564.3
"Уул уурхай, олборлолт",2025-04,3246.3
"Уул уурхай, олборлолт",2025-03,2727.6
"Уул уурхай, олборлолт",2025-02,2453.6
"Уул уурхай, олборлолт",2025-01,2616.6
"Уул уурхай, олборлолт",2024-12,3169.9
"Уул уурхай, олборлолт",2024-11,3222.9
"Уул уурхай, олборлолт",2024-10,3682.4
"Уул уурхай, олборлолт",2024-09,3336.3
"Уул уурхай, олборлолт",2024-08,3257.3
"Уул уурхай, олборлолт",2024-07,3292.8
"Уул уурхай, олборлолт",2024-06,3804.8
"Уул уурхай, олборлолт",2024-05,3924.2
"Уул уурхай, олборлолт",2024-04,3685.6
"Уул уурхай, олборлолт",2024-03,3627.5
"Уул уурхай, олборлолт",2024-02,3059.7
"Уул уурхай, олборлолт",2024-01,2863.2
"Уул уурхай, олборлолт",2023-12,2873.2
"Уул уурхай, олборлолт",2023-11,2938.1
"Уул уурхай, олборлолт",2023-10,2814.7
"Уул уурхай, олборлолт",2023-09,2941.4
"Уул уурхай, олборлолт",2023-08,2916.5
"Уул уурхай, олборлолт",2023-07,2217.6
"Уул уурхай, олборлолт",2023-06,2281.0
"Уул уурхай, олборлолт",2023-05,2304.0
"Уул уурхай, олборлолт",2023-04,2433.9
"Уул уурхай, олборлолт",2023-03,2451.0
"Уул уурхай, олборлолт",2023-02,2053.6
"Уул уурхай, олборлолт",2023-01,2280.6
"Уул уурхай, олборлолт",2022-12,2058.4
"Уул уурхай, олборлолт",2022-11,2044.5
"Уул уурхай, олборлолт",2022-10,2158.1
"Уул уурхай, олборлолт",2022-09,2008.5
"Уул уурхай, олборлолт",2022-08,1972.3
"Уул уурхай, олборлолт",2022-07,1384.8
"Уул уурхай, олборлолт",2022-06,1360.6
"Уул уурхай, олборлолт",2022-05,1197.3
"Уул уурхай, олборлолт",2022-04,1196.9
"Уул уурхай, олборлолт",2022-03,973.5
