он,сар,аймаг,нийт_тоо,нийт_талбай_мян_га,ашиглалтын_тоо,ашиглалтын_талбай_мян_га,хайгуулын_тоо,хайгуулын_талбай_мян_га
2025,5,Сүхбаатар,106,368.7,72,57.7,34,311.0
2025,5,Сэлэнгэ,170,99.7,137,48.6,33,51.1
2025,5,Төв,384,360.7,307,169.0,77,191.7
2025,5,Увс,107,215.3,46,21.2,61,194.1
2025,5,Улаанбаатар,95,10.0,92,9.7,3,0.2
2025,5,Ховд,104,343.3,38,32.3,66,311.0
2025,5,Хөвсгөл,23,11.6,21,10.3,2,1.3
2025,5,Хэнтий,216,263.0,133,59.0,83,204.0
2025,6,Архангай,30,37.7,19,11.8,11,26.0
2025,6,Баян-Өлгий,97,375.4,30,16.4,67,359.0
2025,6,Баянхонгор,143,381.2,103,169.5,40,211.7
2025,6,Булган,113,209.9,79,41.6,34,168.3
2025,6,Говь-Алтай,132,538.1,64,78.3,68,459.8
2025,6,Говьсүмбэр,16,41.5,14,37.5,2,4.0
2025,6,Дархан-Уул,67,14.8,61,8.4,6,6.3
2025,6,Дорноговь,357,1072.5,224,277.6,133,794.8
2025,6,Дорнод,167,703.0,80,75.0,87,628.1
2025,6,Дундговь,193,459.3,133,204.2,60,255.1
2025,6,Завхан,45,189.7,13,21.3,32,168.4
2025,6,Орхон,14,17.6,9,10.7,5,6.9
2025,6,Өвөрхангай,60,180.2,28,20.6,32,159.6
2025,6,Өмнөговь,151,792.2,110,486.3,41,306.0
2025,6,Сүхбаатар,106,368.7,72,57.7,34,311.0
2025,6,Сэлэнгэ,173,104.3,137,48.6,36,55.7
2025,6,Төв,382,363.8,304,168.8,78,195.0
2025,6,Увс,108,215.1,46,21.2,62,193.9
2025,6,Улаанбаатар,96,10.0,93,9.8,3,0.2
2025,6,Ховд,106,359.2,38,32.3,68,326.9
2025,6,Хөвсгөл,23,11.6,21,10.3,2,1.3
2025,6,Хэнтий,217,264.4,133,59.0,84,205.4
2025,7,Архангай,30,37.7,19,11.8,11,26.0
2025,7,Баян-Өлгий,98,377.0,30,16.4,68,360.6
2025,7,Баянхонгор,144,404.2,103,169.5,41,234.7
2025,7,Булган,113,210.0,79,41.6,34,168.3
2025,7,Говь-Алтай,132,532.2,64,78.3,68,453.9
2025,7,Говьсүмбэр,16,41.5,14,37.5,2,4.0
2025,7,Дархан-Уул,66,14.7,60,8.4,6,6.3
2025,7,Дорноговь,361,1066.0,229,284.6,132,781.5
2025,7,Дорнод,167,703.0,80,75.0,87,628.1
2025,7,Дундговь,193,459.3,133,204.2,60,255.1
2025,7,Завхан,48,193.5,14,22.2,34,171.3
2025,7,Орхон,14,17.6,9,10.7,5,6.9
2025,7,Өвөрхангай,61,180.4,28,20.6,33,159.8
2025,7,Өмнөговь,153,815.2,110,486.3,43,329.0
2025,7,Сүхбаатар,106,368.7,72,57.7,34,311.0
2025,7,Сэлэнгэ,171,104.3,135,48.6,36,55.7
2025,7,Төв,384,363.9,307,172.0,77,191.9
2025,7,Увс,110,218.9,47,21.7,63,197.2
2025,7,Улаанбаатар,96,10.0,93,9.8,3,0.2
2025,7,Ховд,108,360.8,38,32.3,70,328.5
2025,7,Хөвсгөл,23,11.6,21,10.3,2,1.3
2025,7,Хэнтий,223,265.5,136,60.0,87,205.5
2025,8,Архангай,30,37.7,19,11.8,11,26.0
2025,8,Баян-Өлгий,102,392.9,31,20.3,71,372.5
2025,8,Баянхонгор,142,407.1,99,166.7,43,240.4
2025,8,Булган,116,208.8,79,40.3,37,168.5
2025,8,Говь-Алтай,137,569.5,64,78.3,73,491.3
2025,8,Говьсүмбэр,16,41.5,14,37.5,2,4.0
2025,8,Дархан-Уул,66,14.7,60,8.4,6,6.3
2025,8,Дорноговь,361,1070.0,228,285.5,133,784.5
2025,8,Дорнод,169,706.1,82,76.5,87,629.6
2025,8,Дундговь,193,457.9,132,202.7,61,255.2
2025,8,Завхан,48,193.5,14,22.2,34,171.3
2025,8,Орхон,14,17.6,9,10.7,5,6.9
2025,8,Өвөрхангай,64,180.5,29,23.1,35,157.3
2025,8,Өмнөговь,152,814.9,109,485.9,43,329.0
2025,8,Сүхбаатар,106,368.7,72,57.7,34,311.0
2025,8,Сэлэнгэ,170,104.5,135,50.1,35,54.4
2025,8,Төв,380,362.8,303,171.8,77,191.0
2025,8,Увс,112,219.0,49,26.7,63,192.3
2025,8,Улаанбаатар,97,10.6,93,9.8,4,0.8
2025,8,Ховд,111,378.0,38,32.3,73,345.7
2025,8,Хөвсгөл,23,11.6,21,10.3,2,1.3
2025,8,Хэнтий,225,266.7,136,60.0,89,206.6
2025,9,Архангай,30,37.7,19,11.8,11,26.0
2025,9,Баян-Өлгий,102,392.9,31,20.3,71,372.5
2025,9,Баянхонгор,141,406.9,98,166.5,43,240.4
2025,9,Булган,117,209.1,79,40.3,38,168.8
2025,9,Говь-Алтай,138,580.8,64,78.3,74,502.5
2025,9,Говьсүмбэр,16,41.5,14,37.5,2,4.0
2025,9,Дархан-Уул,66,14.7,60,8.4,6,6.3
2025,9,Дорноговь,361,1098.4,227,285.4,134,813.0
2025,9,Дорнод,169,707.6,82,76.5,87,631.1
2025,9,Дундговь,193,457.9,133,208.9,60,249.0
2025,9,Завхан,48,193.5,14,22.2,34,171.3
2025,9,Орхон,14,17.6,9,10.7,5,6.9
2025,9,Өвөрхангай,65,180.5,30,23.2,35,157.3
2025,9,Өмнөговь,152,814.9,109,485.9,43,329.0
2025,9,Сүхбаатар,106,368.6,72,57.7,34,311.0
2025,9,Сэлэнгэ,170,104.5,135,50.1,35,54.4
2025,9,Төв,382,362.8,305,172.4,77,190.4
2025,9,Увс,114,225.3,49,26.7,65,198.7
2025,9,Улаанбаатар,97,10.6,93,9.8,4,0.8
2025,9,Ховд,111,378.0,38,32.3,73,345.7
2025,9,Хөвсгөл,23,11.6,21,10.3,2,1.3
2025,9,Хэнтий,227,266.7,137,61.1,90,205.6
2025,10,Архангай,32,38.3,21,12.3,11,26.0
2025,10,Баян-Өлгий,102,392.9,31,20.3,71,372.5
2025,10,Баянхонгор,141,406.9,98,166.5,43,240.4
2025,10,Булган,117,209.1,79,40.3,38,168.8
2025,10,Говь-Алтай,138,581.1,64,78.5,74,502.5
2025,10,Говьсүмбэр,16,41.5,14,37.5,2,4.0
2025,10,Дархан-Уул,66,14.7,60,8.4,6,6.3
2025,10,Дорноговь,363,1105.3,230,292.0,133,813.3
2025,10,Дорнод,169,707.6,82,76.5,87,631.1
2025,10,Дундговь,194,457.9,133,208.9,61,249.0
2025,10,Завхан,49,193.5,14,22.2,35,171.3
2025,10,Орхон,14,17.6,9,10.7,5,6.9
2025,10,Өвөрхангай,65,180.5,30,23.2,35,157.3
2025,10,Өмнөговь,153,814.9,110,488.8,43,326.0
2025,10,Сүхбаатар,106,368.6,72,57.7,34,311.0
2025,10,Сэлэнгэ,170,104.5,135,50.1,35,54.4
2025,10,Төв,383,365.3,305,172.4,78,192.8
2025,10,Увс,114,225.3,49,26.7,65,198.7
2025,10,Улаанбаатар,97,10.6,93,9.8,4,0.8
2025,10,Ховд,112,378.5,38,32.3,74,346.2
2025,10,Хөвсгөл,23,11.6,21,10.3,2,1.3
2025,10,Хэнтий,227,266.7,137,61.1,90,205.6
2025,11,Архангай,32,38.3,21,12.3,11,26.0
2025,11,Баян-Өлгий,103,395.4,31,20.3,72,375.0
2025,11,Баянхонгор,141,406.9,97,166.4,44,240.5
2025,11,Булган,116,207.6,79,40.3,37,167.3
2025,11,Говь-Алтай,138,577.2,64,78.5,74,498.7
2025,11,Говьсүмбэр,17,42.1,14,37.5,3,4.6
2025,11,Дархан-Уул,66,14.7,60,8.4,6,6.3
2025,11,Дорноговь,363,1105.3,230,292.0,133,813.3
2025,11,Дорнод,169,717.5,82,76.5,87,641.0
2025,11,Дундговь,195,484.8,133,208.9,62,275.9
2025,11,Завхан,49,193.5,14,22.2,35,171.3
2025,11,Орхон,14,17.6,9,10.7,5,6.9
2025,11,Өвөрхангай,65,180.5,30,23.2,35,157.3
2025,11,Өмнөговь,153,814.9,110,488.8,43,326.0
2025,11,Сүхбаатар,106,368.6,72,57.7,34,311.0
2025,11,Сэлэнгэ,168,104.4,133,50.0,35,54.4
2025,11,Төв,381,365.3,303,172.4,78,192.9
2025,11,Увс,115,227.5,49,26.7,66,200.8
2025,11,Улаанбаатар,96,10.6,93,9.8,3,0.8
2025,11,Ховд,112,378.5,38,32.3,74,346.2
2025,11,Хөвсгөл,23,11.6,21,10.3,2,1.3
2025,11,Хэнтий,227,266.7,137,61.1,90,205.6
2025,12,Архангай,32,38.2,21,12.3,11,26.0
2025,12,Баян-Өлгий,105,400.2,31,20.3,74,379.9
2025,12,Баянхонгор,144,433.5,97,166.4,47,267.0
2025,12,Булган,116,207.6,79,40.3,37,167.3
2025,12,Говь-Алтай,141,606.3,64,78.5,77,527.8
2025,12,Говьсүмбэр,17,42.1,14,37.5,3,4.6
2025,12,Дархан-Уул,66,14.7,60,8.4,6,6.3
2025,12,Дорноговь,366,1117.5,230,291.1,136,826.4
2025,12,Дорнод,170,703.5,82,78.6,88,624.9
2025,12,Дундговь,196,477.7,135,209.5,61,268.2
2025,12,Завхан,49,193.5,14,22.2,35,171.3
2025,12,Орхон,14,17.6,9,10.7,5,6.9
