year,region,value
1971,Zavkhan,67.5
1971,Govi-Altai,43.9
1971,Bayan-Ulgii,45.3
1971,Khovd,63.2
1971,Uvs,82.8
1971,Orkhon,
1971,Uvurkhangai,120.1
1971,Bulgan,41.5
1971,Bayankhongor,90
1971,Arkhangai,87.1
1971,Khuvsgul,75.8
1971,Tuv,89.4
1971,Govisumber,
1971,Selenge,28.3
1971,Dornogovi,38.7
1971,Darkhan-Uul,0.1
1971,Umnugovi,67.7
1971,Dundgovi,180.9
1971,Dornod,45.5
1971,Sukhbaatar,105
1971,Khentii,73.4
1971,Ulaanbaatar,1.8
1972,Zavkhan,63.1
1972,Govi-Altai,47.7
1972,Bayan-Ulgii,53.8
1972,Khovd,72.3
1972,Uvs,104.7
1972,Orkhon,
1972,Uvurkhangai,93.7
1972,Bulgan,52.3
1972,Bayankhongor,71.3
1972,Arkhangai,99.6
1972,Khuvsgul,86
1972,Tuv,57.9
1972,Govisumber,
1972,Selenge,31.3
1972,Dornogovi,35.3
1972,Darkhan-Uul,0.1
1972,Umnugovi,38.5
1972,Dundgovi,31.7
1972,Dornod,72.1
1972,Sukhbaatar,50.5
1972,Khentii,87.1
1972,Ulaanbaatar,1.2
1973,Zavkhan,103.3
1973,Govi-Altai,48.9
1973,Bayan-Ulgii,35.9
1973,Khovd,69.2
1973,Uvs,79
1973,Orkhon,
1973,Uvurkhangai,85.1
1973,Bulgan,55
1973,Bayankhongor,80.7
1973,Arkhangai,94.6
1973,Khuvsgul,83.5
1973,Tuv,71.7
1973,Govisumber,
1973,Selenge,26.1
1973,Dornogovi,53.3
1973,Darkhan-Uul,0.1
1973,Umnugovi,108.1
1973,Dundgovi,51.4
1973,Dornod,36.6
1973,Sukhbaatar,35.3
1973,Khentii,66.3
1973,Ulaanbaatar,2.3
1974,Zavkhan,41.7
1974,Govi-Altai,32.7
1974,Bayan-Ulgii,25.7
1974,Khovd,57.5
1974,Uvs,70.7
1974,Orkhon,
1974,Uvurkhangai,52
1974,Bulgan,40.5
1974,Bayankhongor,66.5
1974,Arkhangai,60.6
1974,Khuvsgul,51.1
1974,Tuv,47.4
1974,Govisumber,
1974,Selenge,23.6
1974,Dornogovi,33.9
1974,Darkhan-Uul,0.3
1974,Umnugovi,19.5
1974,Dundgovi,31.1
1974,Dornod,38.1
1974,Sukhbaatar,87.7
1974,Khentii,66.8
1974,Ulaanbaatar,1.6
1975,Zavkhan,54.7
1975,Govi-Altai,44
1975,Bayan-Ulgii,67.5
1975,Khovd,69.2
1975,Uvs,78.9
1975,Orkhon,
1975,Uvurkhangai,58
1975,Bulgan,72.1
1975,Bayankhongor,66.9
1975,Arkhangai,90.2
1975,Khuvsgul,99.5
1975,Tuv,75.8
1975,Govisumber,
1975,Selenge,34.1
1975,Dornogovi,40.3
1975,Darkhan-Uul,0.4
1975,Umnugovi,19.6
1975,Dundgovi,52
1975,Dornod,34.4
1975,Sukhbaatar,40.3
1975,Khentii,70.4
1975,Ulaanbaatar,2.4
1976,Zavkhan,80.3
1976,Govi-Altai,54.8
1976,Bayan-Ulgii,31.9
1976,Khovd,35.8
1976,Uvs,118.5
1976,Orkhon,0.2
1976,Uvurkhangai,79.3
1976,Bulgan,78.3
1976,Bayankhongor,93.3
1976,Arkhangai,82.3
1976,Khuvsgul,119.8
1976,Tuv,102
1976,Govisumber,
1976,Selenge,41.2
1976,Dornogovi,41.5
1976,Darkhan-Uul,0.7
1976,Umnugovi,26.6
1976,Dundgovi,51.2
1976,Dornod,70.3
1976,Sukhbaatar,51.9
1976,Khentii,94.6
