month,indicator,temperature
2011-06,Average,17.3
2011-06,Maximum,32.1
2011-06,Minimum,5.9
2011-07,Average,17.4
2011-07,Maximum,29.7
2011-07,Minimum,6.1
2011-08,Average,18.4
2011-08,Maximum,31.8
2011-08,Minimum,5.7
2011-09,Average,8.0
2011-09,Maximum,23.9
2011-09,Minimum,-6.9
2011-10,Average,3.7
2011-10,Maximum,22.0
2011-10,Minimum,-7.7
2011-11,Average,-10.4
2011-11,Maximum,9.3
2011-11,Minimum,-24.6
2011-12,Average,-22.1
2011-12,Maximum,-11.4
2011-12,Minimum,-31.5
2012-01,Average,-25.5
2012-01,Maximum,-11.6
2012-01,Minimum,-37.0
2012-02,Average,-20.2
2012-02,Maximum,-6.4
2012-02,Minimum,-34.4
2012-03,Average,-8.0
2012-03,Maximum,14.0
2012-03,Minimum,-23.9
2012-04,Average,2.7
2012-04,Maximum,21.7
2012-04,Minimum,-9.7
2012-05,Average,11.5
2012-05,Maximum,29.5
2012-05,Minimum,-2.0
2012-06,Average,15.2
2012-06,Maximum,32.7
2012-06,Minimum,4.0
2012-07,Average,18.0
2012-07,Maximum,29.4
2012-07,Minimum,7.5
2012-08,Average,15.9
2012-08,Maximum,30.9
2012-08,Minimum,0.0
2012-09,Average,11.6
2012-09,Maximum,27.4
2012-09,Minimum,-1.9
2012-10,Average,0.2
2012-10,Maximum,17.8
2012-10,Minimum,-14.1
2012-11,Average,-12.3
2012-11,Maximum,8.1
2012-11,Minimum,-28.4
2012-12,Average,-22.4
2012-12,Maximum,-9.5
2012-12,Minimum,-32.9
2013-01,Average,-20.8
2013-01,Maximum,-7.1
2013-01,Minimum,-33.2
2013-02,Average,-19.4
2013-02,Maximum,-2.5
2013-02,Minimum,-29.9
2013-03,Average,-6.3
2013-03,Maximum,9.6
2013-03,Minimum,-20.8
2013-04,Average,0.2
2013-04,Maximum,19.5
2013-04,Minimum,-14.8
2013-05,Average,11.6
2013-05,Maximum,28.7
2013-05,Minimum,-1.1
2013-06,Average,15.8
2013-06,Maximum,29.5
2013-06,Minimum,1.8
2013-07,Average,17.9
2013-07,Maximum,30.0
2013-07,Minimum,7.3
2013-08,Average,15.5
2013-08,Maximum,27.4
2013-08,Minimum,3.4
2013-09,Average,9.3
2013-09,Maximum,26.5
2013-09,Minimum,-4.2
2013-10,Average,1.0
2013-10,Maximum,20.2
2013-10,Minimum,-12.4
2013-11,Average,-8.0
2013-11,Maximum,9.1
2013-11,Minimum,-20.6
2013-12,Average,-15.9
2013-12,Maximum,-3.1
2013-12,Minimum,-28.7
2014-01,Average,-18.5
2014-01,Maximum,-3.7
2014-01,Minimum,-31.6
2014-02,Average,-18.4
2014-02,Maximum,2.1
2014-02,Minimum,-29.5
2014-03,Average,-4.7
2014-03,Maximum,12.1
2014-03,Minimum,-22.2
2014-04,Average,6.9
2014-04,Maximum,23.0
2014-04,Minimum,-8.0
2014-05,Average,8.2
2014-05,Maximum,32.6
2014-05,Minimum,-8.0
2014-06,Average,15.4
2014-06,Maximum,29.6
2014-06,Minimum,0.1
2014-07,Average,17.9
2014-07,Maximum,32.5
2014-07,Minimum,8.4
2014-08,Average,16.3
2014-08,Maximum,29.0
2014-08,Minimum,4.6
2014-09,Average,9.9
2014-09,Maximum,31.7
2014-09,Minimum,-8.8
2014-10,Average,3.7
2014-10,Maximum,17.1
2014-10,Minimum,-8.7
2014-11,Average,-8.2
2014-11,Maximum,9.2
2014-11,Minimum,-23.8
2014-12,Average,-16.6
2014-12,Maximum,-6.3
2014-12,Minimum,-26.7
2015-01,Average,-15.6
2015-01,Maximum,-3.6
2015-01,Minimum,-26.7
2015-02,Average,-12.9
