огноо,ангилал,хэрэглээний_үнийн_индекс
2013-03,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",101.9
2013-03,"Бусад бараа, үйлчилгээ",59.5
2013-03,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",70.8
2013-03,"Гэр ахуйн тавилга, гэр ахуйн бараа",62.7
2013-03,Боловсролын үйлчилгээ,43.1
2013-03,"Орон сууц, ус, цахилгаан, түлш",59.2
2013-03,"Эм тариа, эмнэлгийн үйлчилгээ",60.6
2013-03,Тээвэр,79.0
2013-03,"Зочид буудал, зоогийн газар, дотуур байр",62.8
2013-03,"Согтууруулах ундаа, тамхи",66.3
2013-03,"Хүнсний бараа, ундаа, ус",66.5
2013-03,"Хувцас, бөс бараа, гутал",59.2
2013-04,Боловсролын үйлчилгээ,43.1
2013-04,"Гэр ахуйн тавилга, гэр ахуйн бараа",63.3
2013-04,"Эм тариа, эмнэлгийн үйлчилгээ",61.8
2013-04,"Зочид буудал, зоогийн газар, дотуур байр",64.0
2013-04,"Согтууруулах ундаа, тамхи",66.5
2013-04,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",101.9
2013-04,"Бусад бараа, үйлчилгээ",60.0
2013-04,"Хувцас, бөс бараа, гутал",59.5
2013-04,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",70.8
2013-04,"Орон сууц, ус, цахилгаан, түлш",59.0
2013-04,"Хүнсний бараа, ундаа, ус",67.7
2013-04,Тээвэр,79.3
2013-05,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",71.0
2013-05,"Хувцас, бөс бараа, гутал",60.0
2013-05,Тээвэр,79.3
2013-05,"Эм тариа, эмнэлгийн үйлчилгээ",61.9
2013-05,"Хүнсний бараа, ундаа, ус",69.5
2013-05,"Согтууруулах ундаа, тамхи",66.8
2013-05,"Бусад бараа, үйлчилгээ",60.4
2013-05,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",101.9
2013-05,Боловсролын үйлчилгээ,43.1
2013-05,"Зочид буудал, зоогийн газар, дотуур байр",64.5
2013-05,"Гэр ахуйн тавилга, гэр ахуйн бараа",63.6
2013-05,"Орон сууц, ус, цахилгаан, түлш",59.1
2013-06,"Зочид буудал, зоогийн газар, дотуур байр",65.0
2013-06,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",101.9
2013-06,"Бусад бараа, үйлчилгээ",60.6
2013-06,"Эм тариа, эмнэлгийн үйлчилгээ",62.7
2013-06,"Орон сууц, ус, цахилгаан, түлш",57.5
2013-06,"Хүнсний бараа, ундаа, ус",70.3
2013-06,Боловсролын үйлчилгээ,43.1
2013-06,Тээвэр,79.4
2013-06,"Гэр ахуйн тавилга, гэр ахуйн бараа",63.9
2013-06,"Хувцас, бөс бараа, гутал",60.4
2013-06,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",70.8
2013-06,"Согтууруулах ундаа, тамхи",67.0
2013-07,Боловсролын үйлчилгээ,43.1
2013-07,"Бусад бараа, үйлчилгээ",60.7
2013-07,Тээвэр,78.7
2013-07,"Эм тариа, эмнэлгийн үйлчилгээ",63.1
2013-07,"Согтууруулах ундаа, тамхи",67.4
2013-07,"Гэр ахуйн тавилга, гэр ахуйн бараа",64.4
2013-07,"Зочид буудал, зоогийн газар, дотуур байр",65.6
2013-07,"Орон сууц, ус, цахилгаан, түлш",57.1
2013-07,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",70.3
2013-07,"Хувцас, бөс бараа, гутал",60.7
2013-07,"Хүнсний бараа, ундаа, ус",69.6
2013-07,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",101.9
2013-08,"Эм тариа, эмнэлгийн үйлчилгээ",63.9
2013-08,"Бусад бараа, үйлчилгээ",61.0
2013-08,"Согтууруулах ундаа, тамхи",67.6
2013-08,Боловсролын үйлчилгээ,43.1
2013-08,"Гэр ахуйн тавилга, гэр ахуйн бараа",65.0
2013-08,"Зочид буудал, зоогийн газар, дотуур байр",65.7
2013-08,Тээвэр,78.1
2013-08,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",101.9
2013-08,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",70.4
2013-08,"Хувцас, бөс бараа, гутал",61.0
2013-08,"Орон сууц, ус, цахилгаан, түлш",58.2
2013-08,"Хүнсний бараа, ундаа, ус",69.2
2013-09,"Зочид буудал, зоогийн газар, дотуур байр",67.6
2013-09,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",70.5
2013-09,"Бусад бараа, үйлчилгээ",62.5
2013-09,"Эм тариа, эмнэлгийн үйлчилгээ",64.1
2013-09,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",101.8
2013-09,"Хувцас, бөс бараа, гутал",62.4
2013-09,"Хүнсний бараа, ундаа, ус",67.5
2013-09,Тээвэр,78.8
2013-09,"Согтууруулах ундаа, тамхи",68.0
2013-09,"Гэр ахуйн тавилга, гэр ахуйн бараа",66.2
2013-09,Боловсролын үйлчилгээ,54.9
2013-09,"Орон сууц, ус, цахилгаан, түлш",60.6
2013-10,Тээвэр,79.4
2013-10,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",101.7
2013-10,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",70.5
2013-10,"Гэр ахуйн тавилга, гэр ахуйн бараа",68.6
2013-10,"Орон сууц, ус, цахилгаан, түлш",61.6
2013-10,"Зочид буудал, зоогийн газар, дотуур байр",67.9
2013-10,"Хүнсний бараа, ундаа, ус",67.8
2013-10,"Эм тариа, эмнэлгийн үйлчилгээ",65.8
2013-10,"Бусад бараа, үйлчилгээ",64.4
2013-10,"Согтууруулах ундаа, тамхи",71.3
2013-10,Боловсролын үйлчилгээ,54.9
2013-10,"Хувцас, бөс бараа, гутал",63.9
2013-11,"Бусад бараа, үйлчилгээ",66.5
2013-11,Тээвэр,79.6
2013-11,"Хувцас, бөс бараа, гутал",66.0
2013-11,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",101.7
2013-11,"Эм тариа, эмнэлгийн үйлчилгээ",66.8
2013-11,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",70.6
2013-11,"Согтууруулах ундаа, тамхи",72.6
2013-11,"Зочид буудал, зоогийн газар, дотуур байр",69.8
2013-11,"Орон сууц, ус, цахилгаан, түлш",64.0
2013-11,"Хүнсний бараа, ундаа, ус",67.6
2013-11,Боловсролын үйлчилгээ,54.9
2013-11,"Гэр ахуйн тавилга, гэр ахуйн бараа",70.3
2013-12,"Гэр ахуйн тавилга, гэр ахуйн бараа",71.7
2013-12,"Зочид буудал, зоогийн газар, дотуур байр",71.2
2013-12,"Бусад бараа, үйлчилгээ",68.7
2013-12,"Орон сууц, ус, цахилгаан, түлш",64.4
2013-12,"Хувцас, бөс бараа, гутал",67.5
2013-12,"Эм тариа, эмнэлгийн үйлчилгээ",67.3
2013-12,"Хүнсний бараа, ундаа, ус",68.5
2013-12,Тээвэр,79.8
2013-12,"Согтууруулах ундаа, тамхи",73.2
2013-12,Боловсролын үйлчилгээ,54.9
2013-12,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",70.9
2013-12,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",101.8
2014-01,"Орон сууц, ус, цахилгаан, түлш",64.8
2014-01,Боловсролын үйлчилгээ,54.9
2014-01,Тээвэр,79.8
2014-01,"Согтууруулах ундаа, тамхи",74.8
2014-01,"Бусад бараа, үйлчилгээ",69.4
2014-01,"Зочид буудал, зоогийн газар, дотуур байр",71.3
2014-01,"Гэр ахуйн тавилга, гэр ахуйн бараа",72.8
2014-01,"Хувцас, бөс бараа, гутал",69.0
2014-01,"Хүнсний бараа, ундаа, ус",70.0
2014-01,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",101.8
2014-01,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",71.0
2014-01,"Эм тариа, эмнэлгийн үйлчилгээ",68.0
2014-02,"Гэр ахуйн тавилга, гэр ахуйн бараа",73.6
2014-02,"Зочид буудал, зоогийн газар, дотуур байр",71.4
2014-02,"Бусад бараа, үйлчилгээ",70.3
2014-02,"Согтууруулах ундаа, тамхи",75.3
2014-02,"Орон сууц, ус, цахилгаан, түлш",65.3
2014-02,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",71.2
2014-02,"Хүнсний бараа, ундаа, ус",72.4
2014-02,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",101.8
2014-02,Тээвэр,81.8
2014-02,"Хувцас, бөс бараа, гутал",69.6
2014-02,"Эм тариа, эмнэлгийн үйлчилгээ",68.5
2014-02,Боловсролын үйлчилгээ,54.9
2014-03,"Орон сууц, ус, цахилгаан, түлш",65.5
2014-03,"Хувцас, бөс бараа, гутал",70.2
2014-03,"Эм тариа, эмнэлгийн үйлчилгээ",68.7
2014-03,"Бусад бараа, үйлчилгээ",71.0
2014-03,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",71.5
2014-03,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",101.8
2014-03,"Хүнсний бараа, ундаа, ус",73.7
2014-03,"Согтууруулах ундаа, тамхи",75.6
2014-03,"Зочид буудал, зоогийн газар, дотуур байр",71.9
2014-03,Тээвэр,82.3
2014-03,Боловсролын үйлчилгээ,54.9
2014-03,"Гэр ахуйн тавилга, гэр ахуйн бараа",74.0
2014-04,"Согтууруулах ундаа, тамхи",75.8
2014-04,"Зочид буудал, зоогийн газар, дотуур байр",72.6
2014-04,"Хүнсний бараа, ундаа, ус",74.9
2014-04,"Орон сууц, ус, цахилгаан, түлш",65.5
2014-04,"Эм тариа, эмнэлгийн үйлчилгээ",68.8
2014-04,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",101.8
2014-04,"Хувцас, бөс бараа, гутал",71.1
2014-04,"Бусад бараа, үйлчилгээ",71.3
2014-04,"Гэр ахуйн тавилга, гэр ахуйн бараа",74.5
2014-04,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",71.7
2014-04,Тээвэр,82.5
2014-04,Боловсролын үйлчилгээ,54.9
2014-05,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",101.7
2014-05,"Орон сууц, ус, цахилгаан, түлш",65.3
2014-05,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",71.5
2014-05,"Бусад бараа, үйлчилгээ",72.9
2014-05,"Эм тариа, эмнэлгийн үйлчилгээ",68.9
2014-05,"Зочид буудал, зоогийн газар, дотуур байр",74.0
2014-05,"Согтууруулах ундаа, тамхи",77.3
2014-05,Боловсролын үйлчилгээ,54.9
2014-05,"Хүнсний бараа, ундаа, ус",76.5
2014-05,Тээвэр,82.8
2014-05,"Гэр ахуйн тавилга, гэр ахуйн бараа",75.1
2014-05,"Хувцас, бөс бараа, гутал",71.6
2014-06,"Бусад бараа, үйлчилгээ",73.9
2014-06,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",72.1
2014-06,Тээвэр,83.5
2014-06,"Гэр ахуйн тавилга, гэр ахуйн бараа",76.1
2014-06,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",101.8
2014-06,"Орон сууц, ус, цахилгаан, түлш",65.1
2014-06,"Хүнсний бараа, ундаа, ус",78.6
2014-06,"Хувцас, бөс бараа, гутал",72.7
2014-06,"Согтууруулах ундаа, тамхи",78.3
2014-06,"Зочид буудал, зоогийн газар, дотуур байр",75.9
2014-06,"Эм тариа, эмнэлгийн үйлчилгээ",69.8
2014-06,Боловсролын үйлчилгээ,54.9
2014-07,"Хүнсний бараа, ундаа, ус",79.2
2014-07,Тээвэр,84.0
2014-07,"Хувцас, бөс бараа, гутал",73.4
2014-07,"Бусад бараа, үйлчилгээ",74.8
2014-07,Боловсролын үйлчилгээ,54.9
2014-07,"Эм тариа, эмнэлгийн үйлчилгээ",71.8
2014-07,"Зочид буудал, зоогийн газар, дотуур байр",76.0
2014-07,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",101.9
2014-07,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",72.4
2014-07,"Гэр ахуйн тавилга, гэр ахуйн бараа",76.6
2014-07,"Орон сууц, ус, цахилгаан, түлш",64.3
2014-07,"Согтууруулах ундаа, тамхи",78.4
2014-08,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",101.8
2014-08,Тээвэр,85.7
2014-08,"Гэр ахуйн тавилга, гэр ахуйн бараа",77.5
2014-08,Боловсролын үйлчилгээ,54.9
2014-08,"Хүнсний бараа, ундаа, ус",78.5
2014-08,"Эм тариа, эмнэлгийн үйлчилгээ",72.4
2014-08,"Орон сууц, ус, цахилгаан, түлш",65.9
2014-08,"Хувцас, бөс бараа, гутал",73.8
2014-08,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",72.5
2014-08,"Зочид буудал, зоогийн газар, дотуур байр",76.4
2014-08,"Бусад бараа, үйлчилгээ",75.4
2014-08,"Согтууруулах ундаа, тамхи",79.1
2014-09,"Зочид буудал, зоогийн газар, дотуур байр",76.6
2014-09,"Бусад бараа, үйлчилгээ",76.2
2014-09,"Эм тариа, эмнэлгийн үйлчилгээ",72.6
2014-09,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",75.5
2014-09,"Хүнсний бараа, ундаа, ус",75.6
2014-09,"Хувцас, бөс бараа, гутал",74.9
2014-09,Тээвэр,85.8
2014-09,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",101.8
2014-09,"Орон сууц, ус, цахилгаан, түлш",66.9
2014-09,"Согтууруулах ундаа, тамхи",79.4
2014-09,"Гэр ахуйн тавилга, гэр ахуйн бараа",78.4
2014-09,Боловсролын үйлчилгээ,64.1
2014-10,"Согтууруулах ундаа, тамхи",80.0
2014-10,"Зочид буудал, зоогийн газар, дотуур байр",76.8
2014-10,"Бусад бараа, үйлчилгээ",76.7
2014-10,"Эм тариа, эмнэлгийн үйлчилгээ",72.8
2014-10,"Хувцас, бөс бараа, гутал",75.8
2014-10,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",101.9
2014-10,"Гэр ахуйн тавилга, гэр ахуйн бараа",79.6
2014-10,Тээвэр,86.1
2014-10,"Хүнсний бараа, ундаа, ус",75.3
2014-10,"Орон сууц, ус, цахилгаан, түлш",69.7
2014-10,Боловсролын үйлчилгээ,64.1
2014-10,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",75.9
2014-11,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",101.8
2014-11,"Орон сууц, ус, цахилгаан, түлш",73.5
2014-11,"Эм тариа, эмнэлгийн үйлчилгээ",73.0
2014-11,"Хувцас, бөс бараа, гутал",76.6
2014-11,Тээвэр,86.3
2014-11,Боловсролын үйлчилгээ,64.1
2014-11,"Хүнсний бараа, ундаа, ус",74.9
2014-11,"Гэр ахуйн тавилга, гэр ахуйн бараа",80.2
2014-11,"Зочид буудал, зоогийн газар, дотуур байр",76.8
2014-11,"Согтууруулах ундаа, тамхи",80.5
2014-11,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",76.5
2014-11,"Бусад бараа, үйлчилгээ",77.0
2014-12,"Бусад бараа, үйлчилгээ",77.2
2014-12,Боловсролын үйлчилгээ,64.1
2014-12,"Гэр ахуйн тавилга, гэр ахуйн бараа",80.9
2014-12,"Зочид буудал, зоогийн газар, дотуур байр",77.1
2014-12,"Согтууруулах ундаа, тамхи",81.0
2014-12,"Эм тариа, эмнэлгийн үйлчилгээ",73.8
2014-12,"Хүнсний бараа, ундаа, ус",75.0
2014-12,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",101.8
2014-12,"Орон сууц, ус, цахилгаан, түлш",75.0
2014-12,Тээвэр,86.6
2014-12,"Хувцас, бөс бараа, гутал",77.6
2014-12,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",76.5
2015-01,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",76.7
2015-01,Боловсролын үйлчилгээ,64.1
2015-01,"Зочид буудал, зоогийн газар, дотуур байр",77.4
2015-01,"Гэр ахуйн тавилга, гэр ахуйн бараа",81.2
2015-01,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",101.7
2015-01,Тээвэр,86.7
2015-01,"Бусад бараа, үйлчилгээ",77.6
2015-01,"Орон сууц, ус, цахилгаан, түлш",75.4
2015-01,"Эм тариа, эмнэлгийн үйлчилгээ",74.2
2015-01,"Хувцас, бөс бараа, гутал",78.8
2015-01,"Хүнсний бараа, ундаа, ус",75.8
2015-01,"Согтууруулах ундаа, тамхи",82.5
2015-02,"Хувцас, бөс бараа, гутал",79.1
2015-02,"Орон сууц, ус, цахилгаан, түлш",75.6
2015-02,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",101.8
2015-02,"Зочид буудал, зоогийн газар, дотуур байр",77.5
2015-02,"Эм тариа, эмнэлгийн үйлчилгээ",74.3
2015-02,Боловсролын үйлчилгээ,64.1
2015-02,"Хүнсний бараа, ундаа, ус",76.5
2015-02,"Согтууруулах ундаа, тамхи",82.6
2015-02,Тээвэр,86.7
2015-02,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",76.8
2015-02,"Гэр ахуйн тавилга, гэр ахуйн бараа",81.5
2015-02,"Бусад бараа, үйлчилгээ",77.8
2015-03,"Согтууруулах ундаа, тамхи",82.8
2015-03,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",77.1
2015-03,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",101.7
2015-03,"Бусад бараа, үйлчилгээ",78.4
2015-03,Тээвэр,86.8
2015-03,"Хувцас, бөс бараа, гутал",79.6
2015-03,"Орон сууц, ус, цахилгаан, түлш",74.8
2015-03,"Эм тариа, эмнэлгийн үйлчилгээ",74.4
2015-03,"Хүнсний бараа, ундаа, ус",78.5
2015-03,Боловсролын үйлчилгээ,64.1
2015-03,"Гэр ахуйн тавилга, гэр ахуйн бараа",82.0
2015-03,"Зочид буудал, зоогийн газар, дотуур байр",78.4
2015-04,"Бусад бараа, үйлчилгээ",78.7
2015-04,"Согтууруулах ундаа, тамхи",83.0
2015-04,Боловсролын үйлчилгээ,64.1
2015-04,"Хүнсний бараа, ундаа, ус",80.6
2015-04,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",77.9
2015-04,"Орон сууц, ус, цахилгаан, түлш",74.0
2015-04,"Эм тариа, эмнэлгийн үйлчилгээ",74.8
2015-04,Тээвэр,86.9
2015-04,"Гэр ахуйн тавилга, гэр ахуйн бараа",82.8
2015-04,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",101.8
2015-04,"Хувцас, бөс бараа, гутал",80.2
2015-04,"Зочид буудал, зоогийн газар, дотуур байр",78.5
2015-05,"Орон сууц, ус, цахилгаан, түлш",73.7
2015-05,"Согтууруулах ундаа, тамхи",83.2
2015-05,"Гэр ахуйн тавилга, гэр ахуйн бараа",83.2
2015-05,"Эм тариа, эмнэлгийн үйлчилгээ",75.1
2015-05,Тээвэр,86.7
2015-05,"Бусад бараа, үйлчилгээ",79.3
2015-05,"Хувцас, бөс бараа, гутал",80.6
2015-05,"Зочид буудал, зоогийн газар, дотуур байр",79.3
2015-05,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",101.8
2015-05,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",78.2
2015-05,"Хүнсний бараа, ундаа, ус",81.2
2015-05,Боловсролын үйлчилгээ,64.1
2015-06,"Эм тариа, эмнэлгийн үйлчилгээ",75.0
2015-06,"Хүнсний бараа, ундаа, ус",80.9
2015-06,Тээвэр,86.8
2015-06,Боловсролын үйлчилгээ,64.1
2015-06,"Бусад бараа, үйлчилгээ",79.8
2015-06,"Зочид буудал, зоогийн газар, дотуур байр",79.7
2015-06,"Хувцас, бөс бараа, гутал",80.8
2015-06,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",77.6
2015-06,"Орон сууц, ус, цахилгаан, түлш",73.5
2015-06,"Согтууруулах ундаа, тамхи",83.5
2015-06,"Гэр ахуйн тавилга, гэр ахуйн бараа",83.5
2015-06,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",101.4
2015-07,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",77.7
2015-07,"Хувцас, бөс бараа, гутал",80.8
2015-07,"Хүнсний бараа, ундаа, ус",80.8
2015-07,"Бусад бараа, үйлчилгээ",80.6
2015-07,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",101.2
2015-07,"Эм тариа, эмнэлгийн үйлчилгээ",75.4
2015-07,Тээвэр,86.9
2015-07,"Согтууруулах ундаа, тамхи",83.6
2015-07,"Орон сууц, ус, цахилгаан, түлш",73.3
2015-07,Боловсролын үйлчилгээ,64.1
2015-07,"Зочид буудал, зоогийн газар, дотуур байр",79.8
2015-07,"Гэр ахуйн тавилга, гэр ахуйн бараа",83.7
2015-08,"Зочид буудал, зоогийн газар, дотуур байр",79.9
2015-08,"Хувцас, бөс бараа, гутал",81.0
2015-08,"Гэр ахуйн тавилга, гэр ахуйн бараа",84.0
2015-08,"Хүнсний бараа, ундаа, ус",77.3
2015-08,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",77.9
2015-08,Боловсролын үйлчилгээ,78.8
2015-08,Тээвэр,86.8
2015-08,"Эм тариа, эмнэлгийн үйлчилгээ",75.5
2015-08,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",101.2
2015-08,"Орон сууц, ус, цахилгаан, түлш",73.7
2015-08,"Согтууруулах ундаа, тамхи",83.6
2015-08,"Бусад бараа, үйлчилгээ",80.8
2015-09,Тээвэр,86.9
2015-09,"Орон сууц, ус, цахилгаан, түлш",74.4
2015-09,"Бусад бараа, үйлчилгээ",81.0
2015-09,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",101.2
2015-09,"Хувцас, бөс бараа, гутал",81.2
2015-09,"Гэр ахуйн тавилга, гэр ахуйн бараа",84.4
2015-09,"Согтууруулах ундаа, тамхи",83.6
2015-09,Боловсролын үйлчилгээ,78.8
2015-09,"Эм тариа, эмнэлгийн үйлчилгээ",76.1
2015-09,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",78.0
2015-09,"Зочид буудал, зоогийн газар, дотуур байр",80.4
2015-09,"Хүнсний бараа, ундаа, ус",74.6
2015-10,"Зочид буудал, зоогийн газар, дотуур байр",80.3
2015-10,Боловсролын үйлчилгээ,78.8
2015-10,"Эм тариа, эмнэлгийн үйлчилгээ",76.3
2015-10,"Хүнсний бараа, ундаа, ус",72.1
2015-10,Тээвэр,86.9
2015-10,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",101.1
2015-10,"Бусад бараа, үйлчилгээ",80.9
2015-10,"Орон сууц, ус, цахилгаан, түлш",75.3
2015-10,"Гэр ахуйн тавилга, гэр ахуйн бараа",84.5
2015-10,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",77.9
2015-10,"Согтууруулах ундаа, тамхи",83.4
2015-10,"Хувцас, бөс бараа, гутал",81.7
2015-11,"Зочид буудал, зоогийн газар, дотуур байр",80.1
2015-11,"Согтууруулах ундаа, тамхи",83.4
2015-11,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",101.1
2015-11,"Бусад бараа, үйлчилгээ",81.1
2015-11,"Хувцас, бөс бараа, гутал",82.3
2015-11,"Орон сууц, ус, цахилгаан, түлш",78.4
2015-11,"Гэр ахуйн тавилга, гэр ахуйн бараа",84.8
2015-11,"Эм тариа, эмнэлгийн үйлчилгээ",76.2
2015-11,Тээвэр,87.2
2015-11,"Хүнсний бараа, ундаа, ус",71.0
2015-11,Боловсролын үйлчилгээ,78.8
2015-11,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",78.0
2015-12,Боловсролын үйлчилгээ,78.8
2015-12,"Хувцас, бөс бараа, гутал",82.5
2015-12,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",78.2
2015-12,"Гэр ахуйн тавилга, гэр ахуйн бараа",84.9
2015-12,"Хүнсний бараа, ундаа, ус",70.6
2015-12,"Согтууруулах ундаа, тамхи",83.4
2015-12,"Зочид буудал, зоогийн газар, дотуур байр",80.6
2015-12,"Бусад бараа, үйлчилгээ",81.3
2015-12,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",101.1
2015-12,"Орон сууц, ус, цахилгаан, түлш",77.4
2015-12,Тээвэр,87.0
2015-12,"Эм тариа, эмнэлгийн үйлчилгээ",76.7
2016-01,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",100.8
2016-01,Тээвэр,85.4
2016-01,"Эм тариа, эмнэлгийн үйлчилгээ",76.9
2016-01,"Бусад бараа, үйлчилгээ",80.4
2016-01,"Хувцас, бөс бараа, гутал",82.1
2016-01,"Хүнсний бараа, ундаа, ус",72.2
2016-01,"Гэр ахуйн тавилга, гэр ахуйн бараа",84.9
2016-01,"Орон сууц, ус, цахилгаан, түлш",77.1
2016-01,Боловсролын үйлчилгээ,79.5
2016-01,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",78.3
2016-01,"Согтууруулах ундаа, тамхи",83.3
2016-01,"Зочид буудал, зоогийн газар, дотуур байр",79.9
2016-02,"Гэр ахуйн тавилга, гэр ахуйн бараа",85.0
2016-02,Боловсролын үйлчилгээ,79.5
2016-02,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",78.4
2016-02,"Согтууруулах ундаа, тамхи",83.2
2016-02,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",100.8
2016-02,Тээвэр,84.9
2016-02,"Бусад бараа, үйлчилгээ",80.6
2016-02,"Эм тариа, эмнэлгийн үйлчилгээ",76.9
2016-02,"Орон сууц, ус, цахилгаан, түлш",76.3
2016-02,"Хүнсний бараа, ундаа, ус",74.0
2016-02,"Хувцас, бөс бараа, гутал",82.4
2016-02,"Зочид буудал, зоогийн газар, дотуур байр",79.9
2016-03,"Бусад бараа, үйлчилгээ",80.7
2016-03,"Зочид буудал, зоогийн газар, дотуур байр",79.9
2016-03,Тээвэр,84.9
2016-03,"Гэр ахуйн тавилга, гэр ахуйн бараа",85.1
2016-03,"Согтууруулах ундаа, тамхи",83.2
2016-03,"Хүнсний бараа, ундаа, ус",75.3
2016-03,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",100.8
2016-03,"Орон сууц, ус, цахилгаан, түлш",75.8
2016-03,"Эм тариа, эмнэлгийн үйлчилгээ",76.9
2016-03,"Хувцас, бөс бараа, гутал",82.5
2016-03,Боловсролын үйлчилгээ,79.5
2016-03,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",78.4
2016-04,"Согтууруулах ундаа, тамхи",83.2
2016-04,"Орон сууц, ус, цахилгаан, түлш",75.8
2016-04,Тээвэр,84.8
2016-04,"Хувцас, бөс бараа, гутал",82.7
2016-04,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",78.5
2016-04,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",100.7
2016-04,"Бусад бараа, үйлчилгээ",80.6
2016-04,Боловсролын үйлчилгээ,79.5
2016-04,"Зочид буудал, зоогийн газар, дотуур байр",79.9
2016-04,"Эм тариа, эмнэлгийн үйлчилгээ",77.0
2016-04,"Хүнсний бараа, ундаа, ус",78.5
2016-04,"Гэр ахуйн тавилга, гэр ахуйн бараа",85.2
2016-05,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",78.5
2016-05,"Орон сууц, ус, цахилгаан, түлш",75.6
2016-05,"Бусад бараа, үйлчилгээ",80.7
2016-05,"Зочид буудал, зоогийн газар, дотуур байр",80.4
