огноо,ангилал,хэрэглээний_үнийн_индекс
2010-09,"Хүнсний бараа, ундаа, ус",46.2
2010-10,"Хувцас, бөс бараа, гутал",43.1
2010-10,Тээвэр,64.3
2010-10,"Согтууруулах ундаа, тамхи",40.7
2010-10,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",66.0
2010-10,"Хүнсний бараа, ундаа, ус",45.2
2010-10,"Эм тариа, эмнэлгийн үйлчилгээ",53.6
2010-10,Боловсролын үйлчилгээ,34.1
2010-10,"Зочид буудал, зоогийн газар, дотуур байр",45.5
2010-10,"Гэр ахуйн тавилга, гэр ахуйн бараа",52.1
2010-10,"Орон сууц, ус, цахилгаан, түлш",46.1
2010-10,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",103.7
2010-10,"Бусад бараа, үйлчилгээ",52.3
2010-11,"Зочид буудал, зоогийн газар, дотуур байр",46.3
2010-11,"Орон сууц, ус, цахилгаан, түлш",46.9
2010-11,"Хувцас, бөс бараа, гутал",43.7
2010-11,Тээвэр,64.3
2010-11,"Бусад бараа, үйлчилгээ",52.4
2010-11,"Согтууруулах ундаа, тамхи",40.9
2010-11,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",66.3
2010-11,"Хүнсний бараа, ундаа, ус",45.0
2010-11,"Гэр ахуйн тавилга, гэр ахуйн бараа",53.1
2010-11,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",103.7
2010-11,"Эм тариа, эмнэлгийн үйлчилгээ",53.9
2010-11,Боловсролын үйлчилгээ,34.1
2010-12,"Хүнсний бараа, ундаа, ус",46.0
2010-12,"Орон сууц, ус, цахилгаан, түлш",47.9
2010-12,"Гэр ахуйн тавилга, гэр ахуйн бараа",52.9
2010-12,Тээвэр,64.6
2010-12,"Согтууруулах ундаа, тамхи",41.2
2010-12,Боловсролын үйлчилгээ,34.1
2010-12,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",103.7
2010-12,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",66.4
2010-12,"Хувцас, бөс бараа, гутал",44.5
2010-12,"Зочид буудал, зоогийн газар, дотуур байр",46.3
2010-12,"Эм тариа, эмнэлгийн үйлчилгээ",53.7
2010-12,"Бусад бараа, үйлчилгээ",52.6
2011-01,"Хувцас, бөс бараа, гутал",44.9
2011-01,Тээвэр,64.7
2011-01,"Орон сууц, ус, цахилгаан, түлш",48.1
2011-01,"Эм тариа, эмнэлгийн үйлчилгээ",53.8
2011-01,"Хүнсний бараа, ундаа, ус",48.4
2011-01,"Гэр ахуйн тавилга, гэр ахуйн бараа",52.9
2011-01,"Зочид буудал, зоогийн газар, дотуур байр",46.4
2011-01,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",103.7
2011-01,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",66.5
2011-01,"Бусад бараа, үйлчилгээ",52.7
2011-01,"Согтууруулах ундаа, тамхи",41.5
2011-01,Боловсролын үйлчилгээ,34.1
2011-02,"Зочид буудал, зоогийн газар, дотуур байр",46.5
2011-02,"Согтууруулах ундаа, тамхи",42.1
2011-02,"Хувцас, бөс бараа, гутал",45.1
2011-02,"Эм тариа, эмнэлгийн үйлчилгээ",53.9
2011-02,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",103.7
2011-02,"Орон сууц, ус, цахилгаан, түлш",47.8
2011-02,Боловсролын үйлчилгээ,34.1
2011-02,"Гэр ахуйн тавилга, гэр ахуйн бараа",53.1
2011-02,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",66.6
2011-02,"Бусад бараа, үйлчилгээ",52.8
2011-02,"Хүнсний бараа, ундаа, ус",50.7
2011-02,Тээвэр,64.7
2011-03,Боловсролын үйлчилгээ,34.1
2011-03,"Хувцас, бөс бараа, гутал",45.4
2011-03,"Орон сууц, ус, цахилгаан, түлш",47.6
2011-03,"Бусад бараа, үйлчилгээ",52.8
2011-03,Тээвэр,65.7
2011-03,"Согтууруулах ундаа, тамхи",42.2
2011-03,"Зочид буудал, зоогийн газар, дотуур байр",46.5
2011-03,"Хүнсний бараа, ундаа, ус",51.2
2011-03,"Эм тариа, эмнэлгийн үйлчилгээ",54.3
2011-03,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",103.8
2011-03,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",66.6
2011-03,"Гэр ахуйн тавилга, гэр ахуйн бараа",53.1
2011-04,"Бусад бараа, үйлчилгээ",52.9
2011-04,"Зочид буудал, зоогийн газар, дотуур байр",46.7
2011-04,"Эм тариа, эмнэлгийн үйлчилгээ",54.4
