бүс_нутаг,сар,амьд_төрөлт
Зүүн бүс,2019-04,429
Хангайн бүс,2019-04,1092
Улаанбаатар,2019-04,3500
Баруун бүс,2019-04,879
Төвийн бүс,2019-05,810
Зүүн бүс,2019-05,425
Хангайн бүс,2019-05,1058
Улаанбаатар,2019-05,3737
Баруун бүс,2019-05,869
Төвийн бүс,2019-06,765
Зүүн бүс,2019-06,405
Хангайн бүс,2019-06,1059
Улаанбаатар,2019-06,3375
Баруун бүс,2019-06,783
Төвийн бүс,2019-07,842
Зүүн бүс,2019-07,449
Хангайн бүс,2019-07,1153
Улаанбаатар,2019-07,3586
Баруун бүс,2019-07,917
Төвийн бүс,2019-08,823
Зүүн бүс,2019-08,373
Хангайн бүс,2019-08,1113
Улаанбаатар,2019-08,3441
Баруун бүс,2019-08,870
Төвийн бүс,2019-09,852
Зүүн бүс,2019-09,405
Хангайн бүс,2019-09,1036
Улаанбаатар,2019-09,3490
Баруун бүс,2019-09,814
Төвийн бүс,2019-10,869
Зүүн бүс,2019-10,398
Хангайн бүс,2019-10,1073
Улаанбаатар,2019-10,3504
Баруун бүс,2019-10,901
Төвийн бүс,2019-11,750
Зүүн бүс,2019-11,376
Хангайн бүс,2019-11,1051
Улаанбаатар,2019-11,3426
Баруун бүс,2019-11,749
Төвийн бүс,2019-12,851
Зүүн бүс,2019-12,375
Хангайн бүс,2019-12,1059
Улаанбаатар,2019-12,3520
Баруун бүс,2019-12,796
Төвийн бүс,2020-01,859
Зүүн бүс,2020-01,431
Хангайн бүс,2020-01,938
Улаанбаатар,2020-01,3265
Баруун бүс,2020-01,767
Төвийн бүс,2020-02,718
Зүүн бүс,2020-02,355
Хангайн бүс,2020-02,945
Улаанбаатар,2020-02,2989
Баруун бүс,2020-02,708
Төвийн бүс,2020-03,767
Зүүн бүс,2020-03,493
Хангайн бүс,2020-03,1099
Улаанбаатар,2020-03,3416
Баруун бүс,2020-03,913
Төвийн бүс,2020-04,808
Зүүн бүс,2020-04,402
Хангайн бүс,2020-04,1029
Улаанбаатар,2020-04,3367
Баруун бүс,2020-04,846
Төвийн бүс,2020-05,800
Зүүн бүс,2020-05,399
Хангайн бүс,2020-05,1003
Улаанбаатар,2020-05,3442
Баруун бүс,2020-05,834
Төвийн бүс,2020-06,753
Зүүн бүс,2020-06,406
Хангайн бүс,2020-06,995
Улаанбаатар,2020-06,3248
Баруун бүс,2020-06,874
Төвийн бүс,2020-07,856
Зүүн бүс,2020-07,411
Хангайн бүс,2020-07,1092
Улаанбаатар,2020-07,3559
Баруун бүс,2020-07,897
Төвийн бүс,2020-08,819
Зүүн бүс,2020-08,410
Хангайн бүс,2020-08,1059
Улаанбаатар,2020-08,3422
Баруун бүс,2020-08,876
Төвийн бүс,2020-09,756
Зүүн бүс,2020-09,387
Хангайн бүс,2020-09,1046
Улаанбаатар,2020-09,3202
Баруун бүс,2020-09,829
Төвийн бүс,2020-10,769
Зүүн бүс,2020-10,424
Хангайн бүс,2020-10,955
Улаанбаатар,2020-10,3417
Баруун бүс,2020-10,782
Төвийн бүс,2020-11,700
Зүүн бүс,2020-11,412
Хангайн бүс,2020-11,987
Улаанбаатар,2020-11,3227
Баруун бүс,2020-11,751
Төвийн бүс,2020-12,848
Зүүн бүс,2020-12,399
Хангайн бүс,2020-12,1013
Улаанбаатар,2020-12,3225
Баруун бүс,2020-12,862
Төвийн бүс,2021-01,758
Зүүн бүс,2021-01,368
Хангайн бүс,2021-01,905
Улаанбаатар,2021-01,3007
Баруун бүс,2021-01,733
Төвийн бүс,2021-02,726
Зүүн бүс,2021-02,379
Хангайн бүс,2021-02,941
Улаанбаатар,2021-02,2840
Баруун бүс,2021-02,738
Төвийн бүс,2021-03,917
Зүүн бүс,2021-03,430
Хангайн бүс,2021-03,1029
Улаанбаатар,2021-03,3145
Баруун бүс,2021-03,836
Төвийн бүс,2021-04,775
Зүүн бүс,2021-04,415
Хангайн бүс,2021-04,1051
Улаанбаатар,2021-04,3178
Баруун бүс,2021-04,788
Төвийн бүс,2021-05,859
Зүүн бүс,2021-05,409
Хангайн бүс,2021-05,1014
Улаанбаатар,2021-05,3115
Баруун бүс,2021-05,884
Төвийн бүс,2021-06,841
Зүүн бүс,2021-06,422
Хангайн бүс,2021-06,1005
Улаанбаатар,2021-06,3270
Баруун бүс,2021-06,823
Төвийн бүс,2021-07,844
Зүүн бүс,2021-07,424
Хангайн бүс,2021-07,1122
Улаанбаатар,2021-07,3224
Баруун бүс,2021-07,821
Төвийн бүс,2021-08,686
Зүүн бүс,2021-08,349
Хангайн бүс,2021-08,978
Улаанбаатар,2021-08,2972
Баруун бүс,2021-08,798
Төвийн бүс,2021-09,764
Зүүн бүс,2021-09,401
Хангайн бүс,2021-09,995
Улаанбаатар,2021-09,3098
Баруун бүс,2021-09,819
Төвийн бүс,2021-10,768
Зүүн бүс,2021-10,384
Хангайн бүс,2021-10,999
Улаанбаатар,2021-10,3036
Баруун бүс,2021-10,768
Төвийн бүс,2021-11,723
Зүүн бүс,2021-11,357
Хангайн бүс,2021-11,919
Улаанбаатар,2021-11,2852
Баруун бүс,2021-11,705
Төвийн бүс,2021-12,716
Зүүн бүс,2021-12,352
Хангайн бүс,2021-12,771
Улаанбаатар,2021-12,2679
Баруун бүс,2021-12,734
Төвийн бүс,2022-01,509
Зүүн бүс,2022-01,282
Хангайн бүс,2022-01,771
Улаанбаатар,2022-01,2212
Баруун бүс,2022-01,578
Төвийн бүс,2022-02,511
Зүүн бүс,2022-02,265
Хангайн бүс,2022-02,710
Улаанбаатар,2022-02,1934
Баруун бүс,2022-02,530
Төвийн бүс,2022-03,620
Зүүн бүс,2022-03,308
Хангайн бүс,2022-03,801
Улаанбаатар,2022-03,3127
Баруун бүс,2022-03,627
Төвийн бүс,2022-04,610
Зүүн бүс,2022-04,348
Хангайн бүс,2022-04,857
Улаанбаатар,2022-04,2926
Баруун бүс,2022-04,703
Төвийн бүс,2022-05,640
Зүүн бүс,2022-05,332
Хангайн бүс,2022-05,818
Улаанбаатар,2022-05,3087
Баруун бүс,2022-05,685
Төвийн бүс,2022-06,644
Зүүн бүс,2022-06,311
Хангайн бүс,2022-06,756
Улаанбаатар,2022-06,2976
Баруун бүс,2022-06,742
Төвийн бүс,2022-07,623
Зүүн бүс,2022-07,325
Хангайн бүс,2022-07,934
Улаанбаатар,2022-07,3170
Баруун бүс,2022-07,732
Төвийн бүс,2022-08,747
Зүүн бүс,2022-08,393
Хангайн бүс,2022-08,936
Улаанбаатар,2022-08,3197
Баруун бүс,2022-08,772
Төвийн бүс,2022-09,697
Зүүн бүс,2022-09,357
Хангайн бүс,2022-09,949
Улаанбаатар,2022-09,3265
Баруун бүс,2022-09,767
Төвийн бүс,2022-10,697
Зүүн бүс,2022-10,365
Хангайн бүс,2022-10,986
Улаанбаатар,2022-10,3202
Баруун бүс,2022-10,784
Төвийн бүс,2022-11,734
Зүүн бүс,2022-11,332
Хангайн бүс,2022-11,822
Улаанбаатар,2022-11,2914
Баруун бүс,2022-11,750
Төвийн бүс,2022-12,671
Зүүн бүс,2022-12,378
Хангайн бүс,2022-12,953
Улаанбаатар,2022-12,3187
Баруун бүс,2022-12,727
Төвийн бүс,2023-01,656
Зүүн бүс,2023-01,331
Хангайн бүс,2023-01,881
Улаанбаатар,2023-01,2965
Баруун бүс,2023-01,715
Төвийн бүс,2023-02,613
Зүүн бүс,2023-02,329
Хангайн бүс,2023-02,799
Улаанбаатар,2023-02,2590
Баруун бүс,2023-02,644
Төвийн бүс,2023-03,699
Зүүн бүс,2023-03,375
Хангайн бүс,2023-03,980
Улаанбаатар,2023-03,3080
Баруун бүс,2023-03,795
Төвийн бүс,2023-04,669
Зүүн бүс,2023-04,367
Хангайн бүс,2023-04,833
Улаанбаатар,2023-04,2945
Баруун бүс,2023-04,778
Төвийн бүс,2023-05,638
Зүүн бүс,2023-05,333
Хангайн бүс,2023-05,856
Улаанбаатар,2023-05,3059
Баруун бүс,2023-05,724
Төвийн бүс,2023-06,645
Зүүн бүс,2023-06,324
Хангайн бүс,2023-06,786
Улаанбаатар,2023-06,2881
Баруун бүс,2023-06,714
Төвийн бүс,2023-07,637
Зүүн бүс,2023-07,369
Хангайн бүс,2023-07,836
Улаанбаатар,2023-07,2951
Баруун бүс,2023-07,735
Төвийн бүс,2023-08,632
Зүүн бүс,2023-08,339
Хангайн бүс,2023-08,862
Улаанбаатар,2023-08,2849
Баруун бүс,2023-08,676
Төвийн бүс,2023-09,646
Зүүн бүс,2023-09,308
