year,month,province,total_count,total_area_kha,extraction_count,extraction_area_kha,exploration_count,exploration_area_kha
2021,5,Tuv,381,339.2,306,158.2,75,181.0
2021,5,Ulaanbaatar,156,14.0,150,13.1,6,0.9
2021,5,Umnugovi,161,925.0,104,479.7,57,445.3
2021,5,Uvs,108,285.3,42,19.9,66,265.5
2021,5,Uvurkhangai,41,97.2,27,15.3,14,81.9
2021,5,Zavkhan,46,178.9,10,17.0,36,162.0
2021,6,Arkhangai,26,24.5,18,10.7,8,13.8
2021,6,Bayan-Ulgii,54,151.4,29,16.4,25,135.0
2021,6,Bayankhongor,137,345.4,91,124.7,46,220.7
2021,6,Bulgan,103,88.7,78,41.6,25,47.1
2021,6,Darkhan-Uul,66,9.1,61,7.6,5,1.5
2021,6,Dornod,154,540.5,73,63.7,81,476.9
2021,6,Dornogovi,333,1069.9,203,261.9,130,808.0
2021,6,Dundgovi,192,592.6,113,175.6,79,417.1
2021,6,Govi-Altai,134,581.9,55,92.2,79,489.7
2021,6,Govisumber,16,44.6,13,38.9,3,5.8
2021,6,Khentii,212,299.3,125,54.3,87,245.0
2021,6,Khovd,89,217.2,37,17.2,52,200.0
2021,6,Khuvsgul,22,10.6,21,10.3,1,0.3
2021,6,Orkhon,8,11.0,8,11.0,0,0.0
2021,6,Selenge,172,84.7,140,42.2,32,42.5
2021,6,Sukhbaatar,91,248.0,72,68.2,19,179.8
2021,6,Tuv,382,349.5,307,158.5,75,191.0
2021,6,Ulaanbaatar,156,14.0,150,13.1,6,0.9
2021,6,Umnugovi,159,926.4,104,479.7,55,446.6
2021,6,Uvs,107,283.6,42,19.9,65,263.7
2021,6,Uvurkhangai,43,101.2,27,15.3,16,85.9
2021,6,Zavkhan,46,166.2,12,18.6,34,147.6
2021,7,Arkhangai,27,25.2,19,11.5,8,13.8
2021,7,Bayan-Ulgii,57,154.7,29,16.4,28,138.3
2021,7,Bayankhongor,137,345.4,91,124.7,46,220.7
2021,7,Bulgan,106,92.1,79,41.6,27,50.5
2021,7,Darkhan-Uul,66,9.1,61,7.6,5,1.5
2021,7,Dornod,156,539.7,74,68.9,82,470.7
2021,7,Dornogovi,339,1100.8,204,262.0,135,838.8
2021,7,Dundgovi,193,592.6,114,176.0,79,416.7
2021,7,Govi-Altai,132,580.6,55,92.2,77,488.4
2021,7,Govisumber,16,44.6,13,38.9,3,5.8
2021,7,Khentii,213,300.0,125,54.3,88,245.7
2021,7,Khovd,89,217.2,37,17.2,52,200.0
2021,7,Khuvsgul,22,10.6,21,10.3,1,0.3
2021,7,Orkhon,8,11.0,8,11.0,0,0.0
2021,7,Selenge,173,84.8,140,42.2,33,42.6
2021,7,Sukhbaatar,91,248.0,72,68.2,19,179.8
2021,7,Tuv,388,379.8,307,158.5,81,221.3
2021,7,Ulaanbaatar,155,13.3,150,13.1,5,0.2
2021,7,Umnugovi,160,932.7,105,480.9,55,451.8
2021,7,Uvs,107,291.3,42,19.9,65,271.4
2021,7,Uvurkhangai,47,114.8,27,15.3,20,99.5
2021,7,Zavkhan,49,166.7,12,18.6,37,148.2
2021,8,Arkhangai,31,31.7,21,11.8,10,19.8
2021,8,Bayan-Ulgii,59,156.8,29,16.4,30,140.4
2021,8,Bayankhongor,136,344.8,91,124.7,45,220.1
2021,8,Bulgan,106,91.8,80,41.6,26,50.3
2021,8,Darkhan-Uul,66,9.1,61,7.6,5,1.5
2021,8,Dornod,155,534.2,74,68.9,81,465.2
2021,8,Dornogovi,339,1104.6,205,263.2,134,841.4
2021,8,Dundgovi,194,609.9,114,176.0,80,434.0
2021,8,Govi-Altai,131,564.6,55,92.2,76,472.4
2021,8,Govisumber,16,44.6,13,38.9,3,5.8
2021,8,Khentii,211,295.0,126,55.2,85,239.7
2021,8,Khovd,90,219.6,37,17.2,53,202.4
2021,8,Khuvsgul,22,10.6,21,10.3,1,0.3
2021,8,Orkhon,9,11.1,9,11.1,0,0.0
2021,8,Selenge,173,85.1,139,42.1,34,43.0
2021,8,Sukhbaatar,90,244.4,72,68.2,18,176.2
2021,8,Tuv,389,374.3,308,158.7,81,215.6
2021,8,Ulaanbaatar,155,13.3,150,13.1,5,0.2
2021,8,Umnugovi,158,930.2,105,480.9,53,449.2
2021,8,Uvs,107,278.1,42,19.9,65,258.3
2021,8,Uvurkhangai,47,114.8,27,15.3,20,99.5
2021,8,Zavkhan,51,186.0,12,18.6,39,167.5
2021,9,Arkhangai,31,31.7,21,11.8,10,19.8
2021,9,Bayan-Ulgii,59,150.2,29,16.4,30,133.8
2021,9,Bayankhongor,136,344.7,92,136.5,44,208.2
2021,9,Bulgan,106,90.2,81,41.6,25,48.6
2021,9,Darkhan-Uul,66,12.7,60,7.4,6,5.3
2021,9,Dornod,155,538.2,74,68.9,81,469.3
2021,9,Dornogovi,339,1104.0,206,263.7,133,840.3
2021,9,Dundgovi,194,609.9,114,176.0,80,434.0
2021,9,Govi-Altai,131,564.6,55,92.2,76,472.4
2021,9,Govisumber,16,44.6,13,38.9,3,5.8
2021,9,Khentii,213,295.2,127,56.2,86,239.0
2021,9,Khovd,90,222.6,36,17.1,54,205.4
2021,9,Khuvsgul,22,10.6,21,10.3,1,0.3
