year,value
2007,37909
2008,59146
2009,17186
2010,39921
2011,84465
2012,70618
2013,64475
2014,55037
2015,45631
2016,45535
2017,64226
2018,87658
2019,94065
2020,75428
2021,82859
2022,89063
2023,96650
2024,154294
2025,112625
