year,indicator,kt
2018,Produced,43435.7
2018,Imports,2.1
2018,Consumption (total),6897.7
2018,Consumed by thermal power stations,5608.1
2018,Distributed to establishments and households for fuel purposes,1289.6
2018,Export,36264.7
2018,Losses during transportation and storage,372.4
2019,Produced,43554.9
2019,Imports,53.9
2019,Consumption (total),6585.5
2019,Consumed by thermal power stations,5196.4
2019,Distributed to establishments and households for fuel purposes,1389.2
2019,Export,36604.1
2019,Losses during transportation and storage,312.1
2020,Produced,37806.7
2020,Imports,4.5
2020,Consumption (total),5830.1
2020,Consumed by thermal power stations,4941.9
2020,Distributed to establishments and households for fuel purposes,888.3
2020,Export,28676.9
2020,Losses during transportation and storage,364.8
2021,Produced,28645.0
2021,Imports,9.0
2021,Consumption (total),5955.1
2021,Consumed by thermal power stations,5015.7
2021,Distributed to establishments and households for fuel purposes,939.5
2021,Export,16117.6
2021,Losses during transportation and storage,402.0
2022,Produced,33874.5
2022,Imports,26.1
2022,Consumption (total),6593.8
2022,Consumed by thermal power stations,5628.8
2022,Distributed to establishments and households for fuel purposes,965.1
2022,Export,31821.6
2022,Losses during transportation and storage,113.5
2023,Produced,74283.7
2023,Imports,22.8
2023,Consumption (total),8604.7
2023,Consumed by thermal power stations,7389.5
2023,Distributed to establishments and households for fuel purposes,1215.2
2023,Export,69612.5
2023,Losses during transportation and storage,185.1
2024,Produced,95055.8
2024,Imports,9.3
2024,Consumption (total),10162.0
2024,Consumed by thermal power stations,8540.4
2024,Distributed to establishments and households for fuel purposes,1621.6
2024,Export,83754.7
2024,Losses during transportation and storage,492.4
