малын_төрөл,бүс,он,утга
Хонь,Улсын дүн,1999,15191.3
Ямаа,Улсын дүн,1999,11033.9
Үхэр,Улсын дүн,1999,3824.7
Адуу,Улсын дүн,2000,2660.7
Тэмээ,Улсын дүн,2000,322.9
Хонь,Улсын дүн,2000,13876.4
Ямаа,Улсын дүн,2000,10269.8
Үхэр,Улсын дүн,2000,3097.6
Адуу,Улсын дүн,2001,2191.9
Тэмээ,Улсын дүн,2001,285.2
Хонь,Улсын дүн,2001,11937.4
Ямаа,Улсын дүн,2001,9591.3
Үхэр,Улсын дүн,2001,2069.6
Адуу,Улсын дүн,2002,1988.9
Тэмээ,Улсын дүн,2002,253.1
Хонь,Улсын дүн,2002,10636.6
Ямаа,Улсын дүн,2002,9134.8
Үхэр,Улсын дүн,2002,1884.3
Адуу,Улсын дүн,2003,1968.9
Тэмээ,Улсын дүн,2003,256.7
Хонь,Улсын дүн,2003,10756.4
Ямаа,Улсын дүн,2003,10653.0
Үхэр,Улсын дүн,2003,1792.8
Адуу,Улсын дүн,2004,2005.3
Тэмээ,Улсын дүн,2004,256.6
Хонь,Улсын дүн,2004,11686.4
Ямаа,Улсын дүн,2004,12238.0
Үхэр,Улсын дүн,2004,1841.6
Адуу,Улсын дүн,2005,2029.1
Тэмээ,Улсын дүн,2005,254.2
Хонь,Улсын дүн,2005,12884.6
Ямаа,Улсын дүн,2005,13267.4
Үхэр,Улсын дүн,2005,1963.7
Адуу,Улсын дүн,2006,2114.8
Тэмээ,Улсын дүн,2006,253.3
Хонь,Улсын дүн,2006,14815.1
Ямаа,Улсын дүн,2006,15451.7
Үхэр,Улсын дүн,2006,2167.9
Адуу,Улсын дүн,2007,2239.5
Тэмээ,Улсын дүн,2007,260.6
Хонь,Улсын дүн,2007,16990.1
Ямаа,Улсын дүн,2007,18347.9
Үхэр,Улсын дүн,2007,2425.8
Адуу,Улсын дүн,2008,2187.0
Тэмээ,Улсын дүн,2008,266.4
Хонь,Улсын дүн,2008,18362.4
Ямаа,Улсын дүн,2008,19969.4
Үхэр,Улсын дүн,2008,2503.4
Адуу,Улсын дүн,2009,2221.3
Тэмээ,Улсын дүн,2009,277.1
Хонь,Улсын дүн,2009,19274.8
Ямаа,Улсын дүн,2009,19651.5
Үхэр,Улсын дүн,2009,2599.4
Адуу,Улсын дүн,2010,1920.3
Тэмээ,Улсын дүн,2010,269.6
Хонь,Улсын дүн,2010,14480.4
Ямаа,Улсын дүн,2010,13883.2
Үхэр,Улсын дүн,2010,2176.0
Адуу,Улсын дүн,2011,2112.9
Тэмээ,Улсын дүн,2011,280.1
Хонь,Улсын дүн,2011,15668.5
Ямаа,Улсын дүн,2011,15934.6
Үхэр,Улсын дүн,2011,2339.7
Адуу,Улсын дүн,2012,2330.4
Тэмээ,Улсын дүн,2012,305.8
Хонь,Улсын дүн,2012,18141.4
Ямаа,Улсын дүн,2012,17558.7
Үхэр,Улсын дүн,2012,2584.6
Адуу,Улсын дүн,2013,2619.4
Тэмээ,Улсын дүн,2013,321.5
Хонь,Улсын дүн,2013,20066.4
Ямаа,Улсын дүн,2013,19227.6
Үхэр,Улсын дүн,2013,2909.5
Адуу,Улсын дүн,2014,2995.8
Тэмээ,Улсын дүн,2014,349.3
Хонь,Улсын дүн,2014,23214.8
Ямаа,Улсын дүн,2014,22008.9
Үхэр,Улсын дүн,2014,3413.9
Адуу,Улсын дүн,2015,3295.3
Тэмээ,Улсын дүн,2015,368.0
Хонь,Улсын дүн,2015,24943.1
Ямаа,Улсын дүн,2015,23592.9
Үхэр,Улсын дүн,2015,3780.4
Адуу,Улсын дүн,2016,3635.5
Тэмээ,Улсын дүн,2016,401.3
Хонь,Улсын дүн,2016,27856.6
Ямаа,Улсын дүн,2016,25574.9
Үхэр,Улсын дүн,2016,4080.9
Адуу,Улсын дүн,2017,3939.8
Тэмээ,Улсын дүн,2017,434.1
Хонь,Улсын дүн,2017,30109.9
Ямаа,Улсын дүн,2017,27346.7
Үхэр,Улсын дүн,2017,4388.5
Адуу,Улсын дүн,2018,3940.1
Тэмээ,Улсын дүн,2018,459.7
Хонь,Улсын дүн,2018,30554.8
Ямаа,Улсын дүн,2018,27124.7
Үхэр,Улсын дүн,2018,4380.9
Адуу,Улсын дүн,2019,4214.8
Тэмээ,Улсын дүн,2019,472.4
Хонь,Улсын дүн,2019,32267.3
Ямаа,Улсын дүн,2019,29261.7
Үхэр,Улсын дүн,2019,4753.2
Адуу,Улсын дүн,2020,4093.9
Тэмээ,Улсын дүн,2020,472.9
Хонь,Улсын дүн,2020,30049.4
Ямаа,Улсын дүн,2020,27720.3
Үхэр,Улсын дүн,2020,4732.0
Адуу,Улсын дүн,2021,4324.4
Тэмээ,Улсын дүн,2021,454.0
Хонь,Улсын дүн,2021,31087.0
Ямаа,Улсын дүн,2021,26456.1
Үхэр,Улсын дүн,2021,5022.2
Адуу,Улсын дүн,2022,4821.1
Тэмээ,Улсын дүн,2022,470.5
Хонь,Улсын дүн,2022,32747.7
Ямаа,Улсын дүн,2022,27569.4
Үхэр,Улсын дүн,2022,5512.8
Адуу,Улсын дүн,2023,4829.7
Тэмээ,Улсын дүн,2023,473.9
Хонь,Улсын дүн,2023,29409.4
Ямаа,Улсын дүн,2023,24618.2
Үхэр,Улсын дүн,2023,5350.8
Адуу,Улсын дүн,2024,4683.2
Тэмээ,Улсын дүн,2024,480.6
Хонь,Улсын дүн,2024,24491.1
Ямаа,Улсын дүн,2024,22920.2
Үхэр,Улсын дүн,2024,5074.6
