date,value
2017-09,1283.3
2017-10,1298.5
2017-11,1127.6
2017-12,1104.2
2018-01,1151.6
2018-02,996.9
2018-03,1217.2
2018-04,1270.4
2018-05,1507.6
2018-06,1499.0
2018-07,1248.5
2018-08,1298.2
2018-09,1433.0
2018-10,1606.3
2018-11,1417.7
2018-12,1417.3
2019-01,1383.3
2019-02,1284.1
2019-03,1451.8
2019-04,1513.3
2019-05,1746.1
2019-06,1514.9
2019-07,1543.4
2019-08,1666.5
2019-09,1598.7
2019-10,1669.8
2019-11,1563.0
2019-12,1277.5
2020-01,1171.5
2020-02,1050.8
2020-03,1030.5
2020-04,955.6
2020-05,1208.3
2020-06,1380.0
2020-07,1404.9
2020-08,1420.4
2020-09,1672.3
2020-10,1912.1
2020-11,1730.0
2020-12,1801.6
2021-01,1355.6
2021-02,1289.1
2021-03,1539.5
2021-04,1449.5
2021-05,1675.3
2021-06,1600.8
2021-07,1407.8
2021-08,1465.3
2021-09,1444.5
2021-10,1617.5
2021-11,1530.5
2021-12,1542.7
2022-01,1651.9
2022-02,1300.2
2022-03,1423.1
2022-04,1705.6
2022-05,1841.5
2022-06,2027.3
2022-07,1893.5
2022-08,2557.3
2022-09,2573.8
2022-10,2807.8
2022-11,2624.5
2022-12,2782.9
2023-01,2931.3
2023-02,2655.8
2023-03,3085.0
2023-04,3070.5
2023-05,3069.5
2023-06,3108.4
2023-07,2972.7
2023-08,3770.0
2023-09,3716.4
2023-10,3646.5
2023-11,3770.5
2023-12,3816.7
2024-01,3647.1
2024-02,3684.0
2024-03,4321.3
2024-04,4390.6
2024-05,4788.3
2024-06,4689.5
2024-07,4091.2
2024-08,4067.9
2024-09,4158.3
2024-10,4536.3
2024-11,4072.3
2024-12,4085.7
2025-01,3448.8
2025-02,3284.4
2025-03,3442.0
2025-04,4017.4
2025-05,4458.2
2025-06,3856.8
2025-07,4363.7
2025-08,4849.3
2025-09,4961.8
2025-10,5284.5
2025-11,5236.4
2025-12,5776.6
2026-01,5120.5
2026-02,5286.1
2026-03,5999.6
