огноо,үзүүлэлт,утга
2005-10-01,Өөрийн хөрөнгө,194.423
2005-11-01,Нийт хөрөнгө,1503.233
2005-11-01,Нийт өр төлбөр,1302.239
2005-11-01,Өөрийн хөрөнгө,200.994
2005-12-01,Нийт хөрөнгө,1585.037
2005-12-01,Нийт өр төлбөр,1377.962
2005-12-01,Өөрийн хөрөнгө,207.076
2006-01-01,Нийт хөрөнгө,1587.994
2006-01-01,Нийт өр төлбөр,1378.604
2006-01-01,Өөрийн хөрөнгө,209.39
2006-02-01,Нийт хөрөнгө,1614.047
2006-02-01,Нийт өр төлбөр,1401.45
2006-02-01,Өөрийн хөрөнгө,212.597
2006-03-01,Нийт хөрөнгө,1671.673
2006-03-01,Нийт өр төлбөр,1445.652
2006-03-01,Өөрийн хөрөнгө,226.021
2006-04-01,Нийт хөрөнгө,2037.047
2006-04-01,Нийт өр төлбөр,1800.933
2006-04-01,Өөрийн хөрөнгө,236.114
2006-05-01,Нийт хөрөнгө,2096.267
2006-05-01,Нийт өр төлбөр,1855.841
2006-05-01,Өөрийн хөрөнгө,240.426
2006-06-01,Нийт хөрөнгө,2010.974
2006-06-01,Нийт өр төлбөр,1768.619
2006-06-01,Өөрийн хөрөнгө,242.355
2006-07-01,Нийт хөрөнгө,2206.583
2006-07-01,Нийт өр төлбөр,1957.657
2006-07-01,Өөрийн хөрөнгө,248.925
2006-08-01,Нийт хөрөнгө,2121.644
2006-08-01,Нийт өр төлбөр,1866.657
2006-08-01,Өөрийн хөрөнгө,254.988
2006-09-01,Нийт хөрөнгө,2248.815
2006-09-01,Нийт өр төлбөр,1984.583
2006-09-01,Өөрийн хөрөнгө,264.231
2006-10-01,Нийт хөрөнгө,2246.663
2006-10-01,Нийт өр төлбөр,1976.375
2006-10-01,Өөрийн хөрөнгө,270.288
2006-11-01,Нийт хөрөнгө,2243.992
2006-11-01,Нийт өр төлбөр,1968.748
2006-11-01,Өөрийн хөрөнгө,275.244
2006-12-01,Нийт хөрөнгө,2314.598
2006-12-01,Нийт өр төлбөр,2019.818
2006-12-01,Өөрийн хөрөнгө,294.78
2007-01-01,Нийт хөрөнгө,2272.621
2007-01-01,Нийт өр төлбөр,1980.841
2007-01-01,Өөрийн хөрөнгө,291.78
2007-02-01,Нийт хөрөнгө,2366.97
