он,төрөл,ажилтан
2015,Эмч,9563
2015,Сувилагч,11357
2016,Эмч,10000
2016,Сувилагч,11486
2017,Эмч,10576
2017,Сувилагч,11939
2018,Эмч,11169
2018,Сувилагч,12344
2019,Эмч,11788
2019,Сувилагч,12773
2020,Эмч,12431
2020,Сувилагч,13112
2021,Эмч,12970
2021,Сувилагч,13473
2022,Эмч,13983
2022,Сувилагч,13947
2023,Эмч,14978
2023,Сувилагч,14494
2024,Эмч,15973
2024,Сувилагч,15152
2025,Эмч,16093
2025,Сувилагч,15099
