date,category,cpi_index
2011-01,"Furnishings, household equipment",52.9
2011-01,Restaurants and hotels,46.4
2011-01,Communication,103.7
2011-01,Recreation and culture,66.5
2011-01,Miscellaneous goods and services,52.7
2011-01,"Alcoholic beverages, tobacco",41.5
2011-01,Education,34.1
2011-02,Restaurants and hotels,46.5
2011-02,"Alcoholic beverages, tobacco",42.1
2011-02,"Clothing, footwear and cloth",45.1
2011-02,Health,53.9
2011-02,Communication,103.7
2011-02,"Housing, water, electricity and fuels",47.8
2011-02,Education,34.1
2011-02,"Furnishings, household equipment",53.1
2011-02,Recreation and culture,66.6
2011-02,Miscellaneous goods and services,52.8
2011-02,Food and non-alcoholic beverages,50.7
2011-02,Transport,64.7
2011-03,Education,34.1
2011-03,"Clothing, footwear and cloth",45.4
2011-03,"Housing, water, electricity and fuels",47.6
2011-03,Miscellaneous goods and services,52.8
2011-03,Transport,65.7
2011-03,"Alcoholic beverages, tobacco",42.2
2011-03,Restaurants and hotels,46.5
2011-03,Food and non-alcoholic beverages,51.2
2011-03,Health,54.3
2011-03,Communication,103.8
2011-03,Recreation and culture,66.6
2011-03,"Furnishings, household equipment",53.1
2011-04,Miscellaneous goods and services,52.9
2011-04,Restaurants and hotels,46.7
2011-04,Health,54.4
2011-04,Recreation and culture,66.8
2011-04,"Furnishings, household equipment",53.3
2011-04,"Housing, water, electricity and fuels",47.2
2011-04,Education,34.1
2011-04,Communication,103.8
2011-04,Food and non-alcoholic beverages,50.4
2011-04,"Clothing, footwear and cloth",45.6
2011-04,"Alcoholic beverages, tobacco",42.2
2011-04,Transport,65.9
2011-05,Transport,66.0
2011-05,Communication,103.8
2011-05,Recreation and culture,67.0
2011-05,Health,54.5
2011-05,"Alcoholic beverages, tobacco",42.3
2011-05,Food and non-alcoholic beverages,50.0
2011-05,Education,34.1
2011-05,Miscellaneous goods and services,53.1
2011-05,"Furnishings, household equipment",53.6
2011-05,Restaurants and hotels,46.9
2011-05,"Housing, water, electricity and fuels",47.0
2011-05,"Clothing, footwear and cloth",46.0
2011-06,Education,34.1
2011-06,Recreation and culture,67.2
2011-06,Health,54.7
2011-06,"Alcoholic beverages, tobacco",42.4
2011-06,"Clothing, footwear and cloth",46.1
2011-06,Transport,66.4
2011-06,"Housing, water, electricity and fuels",49.0
2011-06,Communication,103.8
2011-06,Restaurants and hotels,47.0
2011-06,Food and non-alcoholic beverages,51.4
2011-06,Miscellaneous goods and services,53.6
2011-06,"Furnishings, household equipment",53.9
2011-07,"Housing, water, electricity and fuels",48.8
2011-07,Restaurants and hotels,47.7
2011-07,"Clothing, footwear and cloth",46.5
2011-07,"Alcoholic beverages, tobacco",42.4
2011-07,"Furnishings, household equipment",54.2
2011-07,Recreation and culture,68.0
2011-07,Education,34.1
2011-07,Communication,103.8
2011-07,Food and non-alcoholic beverages,51.6
2011-07,Miscellaneous goods and services,53.9
2011-07,Transport,70.5
2011-07,Health,54.7
2011-08,"Furnishings, household equipment",54.3
2011-08,Recreation and culture,68.1
2011-08,Food and non-alcoholic beverages,52.3
2011-08,"Housing, water, electricity and fuels",48.8
2011-08,"Clothing, footwear and cloth",46.6
2011-08,Miscellaneous goods and services,54.0
2011-08,Transport,71.9
2011-08,Restaurants and hotels,47.9
2011-08,"Alcoholic beverages, tobacco",42.3
2011-08,Education,34.1
2011-08,Communication,103.7
2011-08,Health,54.8
2011-09,Transport,72.6
2011-09,Health,54.9
2011-09,"Clothing, footwear and cloth",47.0
2011-09,Food and non-alcoholic beverages,51.2
2011-09,Communication,103.7
2011-09,"Housing, water, electricity and fuels",49.5
2011-09,Restaurants and hotels,48.0
2011-09,"Furnishings, household equipment",54.7
2011-09,Recreation and culture,68.2
2011-09,Miscellaneous goods and services,54.1
2011-09,"Alcoholic beverages, tobacco",42.4
2011-09,Education,37.0
2011-10,Miscellaneous goods and services,54.2
2011-10,"Alcoholic beverages, tobacco",42.4
2011-10,Transport,72.4
2011-10,Restaurants and hotels,48.2
2011-10,"Housing, water, electricity and fuels",53.0
2011-10,Health,55.0
2011-10,Education,37.4
2011-10,"Furnishings, household equipment",55.0
2011-10,Communication,103.7
2011-10,Recreation and culture,68.2
2011-10,Food and non-alcoholic beverages,51.1
2011-10,"Clothing, footwear and cloth",47.9
2011-11,Recreation and culture,68.5
2011-11,Miscellaneous goods and services,54.7
2011-11,"Alcoholic beverages, tobacco",42.5
2011-11,"Furnishings, household equipment",55.5
2011-11,Transport,72.4
2011-11,Food and non-alcoholic beverages,50.7
2011-11,Restaurants and hotels,48.6
2011-11,Communication,103.6
2011-11,Education,37.4
2011-11,Health,55.0
2011-11,"Clothing, footwear and cloth",48.9
2011-11,"Housing, water, electricity and fuels",53.5
2011-12,Transport,72.6
2011-12,Restaurants and hotels,49.0
2011-12,"Alcoholic beverages, tobacco",42.6
2011-12,Communication,103.6
2011-12,Recreation and culture,68.6
2011-12,Education,37.4
2011-12,Food and non-alcoholic beverages,51.2
2011-12,"Clothing, footwear and cloth",49.9
2011-12,Health,55.0
2011-12,Miscellaneous goods and services,54.9
2011-12,"Furnishings, household equipment",55.7
2011-12,"Housing, water, electricity and fuels",53.9
2012-01,Communication,103.6
2012-01,Food and non-alcoholic beverages,52.6
2012-01,Education,37.4
2012-01,Health,55.1
2012-01,Miscellaneous goods and services,55.2
2012-01,"Housing, water, electricity and fuels",54.2
2012-01,Transport,72.8
2012-01,"Furnishings, household equipment",55.9
2012-01,"Clothing, footwear and cloth",50.5
2012-01,"Alcoholic beverages, tobacco",42.7
2012-01,Recreation and culture,68.3
2012-01,Restaurants and hotels,49.2
2012-02,Miscellaneous goods and services,55.9
2012-02,Food and non-alcoholic beverages,54.9
2012-02,"Clothing, footwear and cloth",51.7
2012-02,Transport,76.6
2012-02,"Housing, water, electricity and fuels",54.0
2012-02,Communication,106.3
2012-02,Health,56.0
2012-02,Recreation and culture,68.1
2012-02,"Alcoholic beverages, tobacco",43.0
2012-02,"Furnishings, household equipment",56.9
2012-02,Restaurants and hotels,50.4
2012-02,Education,37.4
2012-03,Transport,76.8
2012-03,Restaurants and hotels,54.7
2012-03,Education,37.4
2012-03,"Alcoholic beverages, tobacco",43.2
2012-03,Health,56.6
2012-03,"Furnishings, household equipment",57.5
2012-03,Miscellaneous goods and services,56.0
