region,date,price
Darkhan-Uul,2024-11-04,2409.0
Khovd,2024-11-04,2700.0
Orkhon,2024-11-04,2567.0
Umnugovi,2024-11-04,2927.0
Darkhan-Uul,2024-11-12,2409.0
Khovd,2024-11-12,2700.0
Orkhon,2024-11-12,2567.0
Umnugovi,2024-11-12,2927.0
Darkhan-Uul,2024-11-18,2409.0
Khovd,2024-11-18,2700.0
Orkhon,2024-11-18,2567.0
Umnugovi,2024-11-18,2927.0
Darkhan-Uul,2024-11-25,2409.0
Khovd,2024-11-25,2700.0
Orkhon,2024-11-25,2567.0
Umnugovi,2024-11-25,2927.0
Darkhan-Uul,2024-12-02,2409.0
Khovd,2024-12-02,2700.0
Orkhon,2024-12-02,2567.0
Umnugovi,2024-12-02,2927.0
Darkhan-Uul,2024-12-09,2409.0
Khovd,2024-12-09,2700.0
Orkhon,2024-12-09,2567.0
Umnugovi,2024-12-09,2927.0
Darkhan-Uul,2024-12-16,2376.0
Khovd,2024-12-16,2700.0
Orkhon,2024-12-16,2567.0
Umnugovi,2024-12-16,2927.0
Darkhan-Uul,2024-12-23,2339.0
Khovd,2024-12-23,2700.0
Orkhon,2024-12-23,2567.0
Umnugovi,2024-12-23,2927.0
Darkhan-Uul,2024-12-30,2339.0
Khovd,2024-12-30,2700.0
Orkhon,2024-12-30,2567.0
Umnugovi,2024-12-30,2927.0
Darkhan-Uul,2025-01-06,2339.0
Khovd,2025-01-06,2700.0
Orkhon,2025-01-06,2567.0
Umnugovi,2025-01-06,2953.0
Darkhan-Uul,2025-01-13,2339.0
Khovd,2025-01-13,2700.0
Orkhon,2025-01-13,2567.0
Umnugovi,2025-01-13,2953.0
Darkhan-Uul,2025-01-20,2339.0
Khovd,2025-01-20,2700.0
Orkhon,2025-01-20,2567.0
Umnugovi,2025-01-20,2793.0
Darkhan-Uul,2025-01-27,2339.0
Khovd,2025-01-27,2700.0
Orkhon,2025-01-27,2567.0
Umnugovi,2025-01-27,2793.0
Darkhan-Uul,2025-02-03,2339.0
Khovd,2025-02-03,2700.0
Orkhon,2025-02-03,2567.0
Umnugovi,2025-02-03,2820.0
Darkhan-Uul,2025-02-10,2339.0
Khovd,2025-02-10,2700.0
Orkhon,2025-02-10,2567.0
Umnugovi,2025-02-10,2820.0
Darkhan-Uul,2025-02-17,2339.0
Khovd,2025-02-17,2700.0
Orkhon,2025-02-17,2333.0
Umnugovi,2025-02-17,2820.0
Darkhan-Uul,2025-02-24,2339.0
Khovd,2025-02-24,2700.0
Orkhon,2025-02-24,2233.0
Umnugovi,2025-02-24,2820.0
Darkhan-Uul,2025-03-10,2339.0
Khovd,2025-03-10,2700.0
Orkhon,2025-03-10,2183.0
Umnugovi,2025-03-10,2820.0
Darkhan-Uul,2025-03-17,2339.0
Khovd,2025-03-17,2700.0
Orkhon,2025-03-17,2183.0
Umnugovi,2025-03-17,2820.0
Darkhan-Uul,2025-03-24,2339.0
Khovd,2025-03-24,2800.0
Orkhon,2025-03-24,2233.0
Umnugovi,2025-03-24,2820.0
Darkhan-Uul,2025-03-31,2339.0
Khovd,2025-03-31,2800.0
Orkhon,2025-03-31,2233.0
Umnugovi,2025-03-31,2840.0
Darkhan-Uul,2025-04-07,2339.0
Khovd,2025-04-07,2800.0
Orkhon,2025-04-07,2233.0
Umnugovi,2025-04-07,2840.0
Darkhan-Uul,2025-04-14,2339.0
Khovd,2025-04-14,2800.0
Orkhon,2025-04-14,2233.0
Umnugovi,2025-04-14,2790.0
Darkhan-Uul,2025-04-21,2339.0
Khovd,2025-04-21,2800.0
Orkhon,2025-04-21,2233.0
Umnugovi,2025-04-21,2790.0
Darkhan-Uul,2025-04-28,2339.0
Khovd,2025-04-28,2800.0
Orkhon,2025-04-28,2233.0
Umnugovi,2025-04-28,2840.0
Darkhan-Uul,2025-05-05,2273.0
Khovd,2025-05-05,2800.0
Orkhon,2025-05-05,2233.0
Umnugovi,2025-05-05,2840.0
Darkhan-Uul,2025-05-12,2239.0
Khovd,2025-05-12,2800.0
Orkhon,2025-05-12,2233.0
Umnugovi,2025-05-12,2840.0
Darkhan-Uul,2025-05-19,2239.0
Khovd,2025-05-19,2800.0
Orkhon,2025-05-19,2233.0
Umnugovi,2025-05-19,2840.0
Darkhan-Uul,2025-05-26,2239.0
Khovd,2025-05-26,2800.0
Orkhon,2025-05-26,2233.0
Umnugovi,2025-05-26,2840.0
Darkhan-Uul,2025-06-02,2239.0
Khovd,2025-06-02,2800.0
Orkhon,2025-06-02,2233.0
Umnugovi,2025-06-02,2840.0
Darkhan-Uul,2025-06-09,2239.0
Khovd,2025-06-09,2800.0
Orkhon,2025-06-09,2233.0
Umnugovi,2025-06-09,2840.0
Darkhan-Uul,2025-06-16,2239.0
Khovd,2025-06-16,3000.0
Orkhon,2025-06-16,2233.0
Umnugovi,2025-06-16,2840.0
Darkhan-Uul,2025-06-23,2239.0
Khovd,2025-06-23,3000.0
Orkhon,2025-06-23,2233.0
Umnugovi,2025-06-23,2840.0
Darkhan-Uul,2025-06-30,2239.0
Khovd,2025-06-30,3000.0
Orkhon,2025-06-30,2233.0
Umnugovi,2025-06-30,2840.0
Darkhan-Uul,2025-07-07,2239.0
Khovd,2025-07-07,2850.0
Orkhon,2025-07-07,2233.0
Umnugovi,2025-07-07,2840.0
Darkhan-Uul,2025-07-21,2239.0
Khovd,2025-07-21,2850.0
Orkhon,2025-07-21,2233.0
Umnugovi,2025-07-21,2840.0
Darkhan-Uul,2025-07-28,2239.0
Khovd,2025-07-28,2800.0
Orkhon,2025-07-28,2233.0
Umnugovi,2025-07-28,2840.0
Darkhan-Uul,2025-08-04,2239.0
Khovd,2025-08-04,2800.0
Orkhon,2025-08-04,2233.0
Umnugovi,2025-08-04,2840.0
Darkhan-Uul,2025-08-11,2239.0
Khovd,2025-08-11,2800.0
Orkhon,2025-08-11,2233.0
Umnugovi,2025-08-11,2840.0
Darkhan-Uul,2025-08-18,2239.0
Khovd,2025-08-18,2800.0
Orkhon,2025-08-18,2233.0
Umnugovi,2025-08-18,2840.0
Darkhan-Uul,2025-08-25,2239.0
Khovd,2025-08-25,2800.0
Orkhon,2025-08-25,2233.0
Umnugovi,2025-08-25,2840.0
Darkhan-Uul,2025-09-01,2239.0
Khovd,2025-09-01,2800.0
Orkhon,2025-09-01,2233.0
Umnugovi,2025-09-01,2780.0
Darkhan-Uul,2025-09-08,2239.0
Khovd,2025-09-08,2800.0
Orkhon,2025-09-08,2233.0
Umnugovi,2025-09-08,2780.0
Darkhan-Uul,2025-09-15,2239.0
Khovd,2025-09-15,2800.0
Orkhon,2025-09-15,2333.0
Umnugovi,2025-09-15,2780.0
Darkhan-Uul,2025-09-22,2239.0
Khovd,2025-09-22,2800.0
Orkhon,2025-09-22,2333.0
Umnugovi,2025-09-22,2780.0
Darkhan-Uul,2025-09-29,2239.0
Khovd,2025-09-29,2900.0
Orkhon,2025-09-29,2333.0
Umnugovi,2025-09-29,2780.0
Darkhan-Uul,2025-10-06,2239.0
Khovd,2025-10-06,2900.0
Orkhon,2025-10-06,2367.0
Umnugovi,2025-10-06,2780.0
Darkhan-Uul,2025-10-13,2239.0
Khovd,2025-10-13,2900.0
Orkhon,2025-10-13,2367.0
Umnugovi,2025-10-13,2780.0
Darkhan-Uul,2025-10-20,2239.0
Khovd,2025-10-20,2900.0
Orkhon,2025-10-20,2367.0
Umnugovi,2025-10-20,2780.0
Darkhan-Uul,2025-10-27,2393.0
Khovd,2025-10-27,2900.0
Orkhon,2025-10-27,2367.0
Umnugovi,2025-10-27,2780.0
Darkhan-Uul,2025-11-03,2393.0
Khovd,2025-11-03,2900.0
Orkhon,2025-11-03,2367.0
Umnugovi,2025-11-03,2780.0
Darkhan-Uul,2025-11-10,2393.0
Khovd,2025-11-10,2900.0
Orkhon,2025-11-10,2367.0
Umnugovi,2025-11-10,2780.0
Darkhan-Uul,2025-11-17,2393.0
Khovd,2025-11-17,2900.0
Orkhon,2025-11-17,2367.0
Umnugovi,2025-11-17,2780.0
Darkhan-Uul,2025-11-24,2393.0
Khovd,2025-11-24,3000.0
Orkhon,2025-11-24,2367.0
Umnugovi,2025-11-24,2780.0
Darkhan-Uul,2025-12-01,2393.0
Khovd,2025-12-01,3000.0
Orkhon,2025-12-01,2367.0
Umnugovi,2025-12-01,2780.0
Darkhan-Uul,2025-12-08,2393.0
Khovd,2025-12-08,3000.0
Orkhon,2025-12-08,2367.0
Umnugovi,2025-12-08,2780.0
Darkhan-Uul,2025-12-15,2393.0
Khovd,2025-12-15,3000.0
Orkhon,2025-12-15,2367.0
Umnugovi,2025-12-15,2780.0
Darkhan-Uul,2025-12-22,2393.0
Khovd,2025-12-22,3000.0
Orkhon,2025-12-22,2367.0
Umnugovi,2025-12-22,2827.0
Darkhan-Uul,2025-12-30,2393.0
Khovd,2025-12-30,3000.0
Orkhon,2025-12-30,2367.0
Umnugovi,2025-12-30,2860.0
Darkhan-Uul,2026-01-05,2393.0
Khovd,2026-01-05,3000.0
Orkhon,2026-01-05,2367.0
Umnugovi,2026-01-05,2860.0
Darkhan-Uul,2026-01-12,2393.0
Khovd,2026-01-12,3000.0
Orkhon,2026-01-12,2367.0
Umnugovi,2026-01-12,2860.0
Darkhan-Uul,2026-01-19,2500.0
Khovd,2026-01-19,3500.0
Orkhon,2026-01-19,2367.0
Umnugovi,2026-01-19,2860.0
Darkhan-Uul,2026-01-26,2500.0
Khovd,2026-01-26,3500.0
Orkhon,2026-01-26,2367.0
Umnugovi,2026-01-26,2827.0
Darkhan-Uul,2026-02-02,2500.0
Khovd,2026-02-02,3500.0
Orkhon,2026-02-02,2367.0
Umnugovi,2026-02-02,2827.0
Darkhan-Uul,2026-02-09,2500.0
Khovd,2026-02-09,3500.0
Orkhon,2026-02-09,2367.0
Umnugovi,2026-02-09,2827.0
Darkhan-Uul,2026-02-23,2526.0
Khovd,2026-02-23,3500.0
Orkhon,2026-02-23,2367.0
Umnugovi,2026-02-23,2827.0
Darkhan-Uul,2026-03-02,2526.0
Khovd,2026-03-02,3500.0
Orkhon,2026-03-02,2367.0
Umnugovi,2026-03-02,2827.0
Darkhan-Uul,2026-03-09,2526.0
Khovd,2026-03-09,3300.0
Orkhon,2026-03-09,2367.0
Umnugovi,2026-03-09,2827.0
Darkhan-Uul,2026-03-16,2526.0
Khovd,2026-03-16,3200.0
Orkhon,2026-03-16,2367.0
Umnugovi,2026-03-16,2950.0
Darkhan-Uul,2026-03-23,2526.0
Khovd,2026-03-23,3200.0
Orkhon,2026-03-23,2367.0
Umnugovi,2026-03-23,2950.0
Darkhan-Uul,2026-03-30,2526.0
Khovd,2026-03-30,3200.0
Orkhon,2026-03-30,2367.0
Umnugovi,2026-03-30,2950.0
Darkhan-Uul,2026-04-07,2526.0
Khovd,2026-04-07,3200.0
Orkhon,2026-04-07,2367.0
Umnugovi,2026-04-07,2950.0
Darkhan-Uul,2026-04-13,2526.0
Khovd,2026-04-13,3200.0
Orkhon,2026-04-13,2367.0
Umnugovi,2026-04-13,2950.0
Darkhan-Uul,2026-04-20,2526.0
Khovd,2026-04-20,3200.0
Orkhon,2026-04-20,2467.0
Umnugovi,2026-04-20,2950.0
Darkhan-Uul,2026-04-28,2526.0
Khovd,2026-04-28,3200.0
Orkhon,2026-04-28,2700.0
Umnugovi,2026-04-28,2950.0
Darkhan-Uul,2026-05-04,2899.0
Khovd,2026-05-04,3200.0
Orkhon,2026-05-04,2700.0
Umnugovi,2026-05-04,3150.0
Darkhan-Uul,2026-05-11,2899.0
Khovd,2026-05-11,3200.0
Orkhon,2026-05-11,2700.0
Umnugovi,2026-05-11,3150.0
Darkhan-Uul,2026-05-18,2899.0
Khovd,2026-05-18,3200.0
Orkhon,2026-05-18,2700.0
Umnugovi,2026-05-18,3150.0
Darkhan-Uul,2026-05-25,2899.0
Khovd,2026-05-25,3200.0
Orkhon,2026-05-25,2700.0
Umnugovi,2026-05-25,3150.0
Darkhan-Uul,2026-06-02,2933.0
Khovd,2026-06-02,3200.0
Orkhon,2026-06-02,2700.0
Umnugovi,2026-06-02,3150.0
Darkhan-Uul,2026-06-08,2933.0
Khovd,2026-06-08,3200.0
Orkhon,2026-06-08,2700.0
Umnugovi,2026-06-08,3150.0
Darkhan-Uul,2026-06-15,2933.0
Khovd,2026-06-15,3500.0
Orkhon,2026-06-15,2700.0
Umnugovi,2026-06-15,3150.0
Darkhan-Uul,2026-06-22,2933.0
Khovd,2026-06-22,3500.0
Orkhon,2026-06-22,2700.0
Umnugovi,2026-06-22,3150.0
Darkhan-Uul,2026-06-29,2931.0
Khovd,2026-06-29,3500.0
Orkhon,2026-06-29,2700.0
Umnugovi,2026-06-29,3150.0
Darkhan-Uul,2026-07-06,2970.0
Khovd,2026-07-06,3500.0
Orkhon,2026-07-06,2700.0
Umnugovi,2026-07-06,3150.0
Darkhan-Uul,2026-07-20,2970.0
Darkhan-Uul,2026-07-20,2970.0
Khovd,2026-07-20,3200.0
Khovd,2026-07-20,3200.0
Orkhon,2026-07-20,2700.0
Orkhon,2026-07-20,2700.0
Umnugovi,2026-07-20,3150.0
Umnugovi,2026-07-20,3150.0
Darkhan-Uul,2026-08-03,2970.0
Khovd,2026-08-03,3200.0
Orkhon,2026-08-03,2700.0
Umnugovi,2026-08-03,3150.0
Darkhan-Uul,2026-08-10,2970.0
Khovd,2026-08-10,3200.0
Orkhon,2026-08-10,2700.0
Umnugovi,2026-08-10,3150.0
Darkhan-Uul,2026-08-17,2970.0
Khovd,2026-08-17,3200.0
Orkhon,2026-08-17,2700.0
Umnugovi,2026-08-17,3150.0
Darkhan-Uul,2026-08-24,2970.0
Khovd,2026-08-24,3200.0
Orkhon,2026-08-24,2700.0
Umnugovi,2026-08-24,3150.0
Darkhan-Uul,2026-08-31,3039.0
Khovd,2026-08-31,3200.0
Orkhon,2026-08-31,2700.0
Umnugovi,2026-08-31,3150.0
