date,cpi_index
2010-01,44.9
2010-02,46.0
2010-03,47.3
2010-04,48.3
2010-05,49.3
2010-06,50.8
2010-07,50.0
2010-08,48.6
2010-09,49.0
2010-10,48.7
2010-11,48.8
2010-12,49.5
2011-01,50.8
2011-02,51.5
2011-03,51.8
2011-04,51.6
2011-05,51.6
2011-06,52.3
2011-07,52.9
2011-08,53.3
2011-09,53.5
2011-10,54.0
2011-11,54.3
2011-12,54.7
2012-01,55.3
2012-02,56.8
2012-03,58.2
2012-04,59.5
2012-05,59.8
2012-06,60.4
2012-07,60.7
2012-08,61.0
2012-09,61.4
2012-10,62.1
2012-11,62.4
2012-12,62.5
2013-01,63.0
2013-02,64.2
2013-03,64.8
2013-04,65.3
2013-05,66.1
2013-06,66.2
2013-07,66.0
2013-08,66.1
2013-09,67.2
2013-10,68.2
2013-11,69.1
2013-12,70.0
2014-01,70.9
2014-02,72.2
2014-03,72.8
2014-04,73.4
2014-05,74.2
2014-06,75.3
2014-07,75.7
2014-08,76.0
2014-09,76.3
2014-10,76.9
2014-11,77.5
2014-12,78.1
2015-01,78.7
2015-02,79.0
2015-03,79.7
2015-04,80.5
2015-05,80.8
2015-06,80.7
2015-07,80.7
2015-08,80.8
2015-09,80.2
2015-10,79.7
2015-11,79.8
2015-12,79.7
2016-01,79.8
2016-02,80.2
2016-03,80.5
2016-04,81.4
2016-05,81.5
2016-06,81.3
2016-07,81.3
2016-08,80.7
2016-09,80.3
2016-10,79.8
2016-11,80.2
2016-12,80.7
2017-01,81.4
2017-02,82.1
2017-03,83.0
2017-04,84.0
2017-05,84.5
2017-06,84.0
2017-07,84.0
2017-08,84.7
2017-09,84.9
2017-10,85.3
2017-11,85.4
2017-12,85.8
2018-01,87.0
2018-02,87.7
2018-03,88.5
2018-04,89.1
2018-05,89.6
2018-06,90.1
2018-07,90.6
2018-08,89.8
2018-09,89.8
2018-10,90.6
2018-11,92.2
2018-12,92.8
2019-01,93.3
2019-02,93.8
2019-03,94.5
2019-04,95.4
2019-05,96.8
2019-06,97.5
2019-07,97.5
2019-08,97.8
2019-09,97.8
2019-10,97.5
2019-11,97.1
2019-12,97.7
2020-01,98.6
2020-02,99.7
2020-03,100.5
2020-04,99.8
2020-05,99.9
2020-06,100.2
2020-07,100.8
2020-08,99.9
2020-09,99.6
2020-10,100.1
2020-11,100.6
2020-12,100.2
2021-01,101.1
2021-02,102.2
2021-03,102.8
2021-04,105.0
2021-05,106.0
2021-06,107.0
2021-07,108.5
2021-08,109.4
2021-09,109.8
2021-10,110.6
2021-11,111.7
2021-12,114.1
2022-01,116.3
2022-02,117.9
2022-03,119.0
2022-04,121.6
2022-05,123.2
2022-06,125.1
2022-07,126.4
2022-08,125.2
2022-09,125.0
2022-10,126.5
2022-11,128.0
2022-12,129.2
2023-01,130.7
2023-02,132.3
2023-03,133.6
2023-04,135.3
2023-05,137.1
2023-06,138.4
2023-07,138.0
2023-08,137.8
2023-09,137.5
2023-10,137.9
2023-11,138.9
2023-12,139.4
2024-01,140.6
2024-02,141.6
2024-03,142.9
2024-04,144.0
2024-05,145.0
2024-06,145.4
2024-07,145.5
2024-08,146.7
2024-09,146.8
2024-10,147.6
2024-11,150.1
2024-12,152.0
2025-01,154.1
2025-02,156.5
2025-03,157.1
2025-04,157.7
2025-05,158.1
2025-06,158.5
2025-07,158.6
2025-08,161.0
2025-09,161.3
2025-10,162.3
2025-11,163.3
2025-12,164.4
2026-01,166.3
2026-02,167.1
2026-03,169.1
