бүс_нутаг,сар,амьд_төрөлт
Архангай,2016-01,154
Баян-Өлгий,2016-01,223
Баянхонгор,2016-01,159
Булган,2016-01,74
Говь-Алтай,2016-01,95
Говьсүмбэр,2016-01,30
Дархан-Уул,2016-01,212
Дорноговь,2016-01,121
Дорнод,2016-01,159
Дундговь,2016-01,83
Завхан,2016-01,106
Орхон,2016-01,199
Сэлэнгэ,2016-01,153
Сүхбаатар,2016-01,120
Төв,2016-01,114
Увс,2016-01,175
Улаанбаатар,2016-01,3221
Ховд,2016-01,200
Хэнтий,2016-01,129
Хөвсгөл,2016-01,233
Өвөрхангай,2016-01,227
Өмнөговь,2016-01,117
Архангай,2016-02,152
Баян-Өлгий,2016-02,227
Баянхонгор,2016-02,144
Булган,2016-02,71
Говь-Алтай,2016-02,99
Говьсүмбэр,2016-02,28
Дархан-Уул,2016-02,206
Дорноговь,2016-02,128
Дорнод,2016-02,166
Дундговь,2016-02,84
Завхан,2016-02,134
Орхон,2016-02,182
Сэлэнгэ,2016-02,147
Сүхбаатар,2016-02,90
Төв,2016-02,84
Увс,2016-02,184
Улаанбаатар,2016-02,3158
Ховд,2016-02,192
Хэнтий,2016-02,136
Хөвсгөл,2016-02,239
Өвөрхангай,2016-02,197
Өмнөговь,2016-02,107
Архангай,2016-03,161
Баян-Өлгий,2016-03,238
Баянхонгор,2016-03,172
Булган,2016-03,77
Говь-Алтай,2016-03,106
Говьсүмбэр,2016-03,45
Дархан-Уул,2016-03,212
Дорноговь,2016-03,124
Дорнод,2016-03,188
Дундговь,2016-03,87
Завхан,2016-03,133
Орхон,2016-03,234
Сэлэнгэ,2016-03,171
Сүхбаатар,2016-03,134
Төв,2016-03,96
Увс,2016-03,140
Улаанбаатар,2016-03,3401
Ховд,2016-03,193
Хэнтий,2016-03,128
Хөвсгөл,2016-03,280
Өвөрхангай,2016-03,225
Өмнөговь,2016-03,137
Архангай,2016-04,151
Баян-Өлгий,2016-04,248
Баянхонгор,2016-04,175
Булган,2016-04,68
Говь-Алтай,2016-04,83
Говьсүмбэр,2016-04,31
Дархан-Уул,2016-04,180
Дорноговь,2016-04,119
Дорнод,2016-04,156
Дундговь,2016-04,82
Завхан,2016-04,120
Орхон,2016-04,181
Сэлэнгэ,2016-04,141
Сүхбаатар,2016-04,102
Төв,2016-04,108
Увс,2016-04,178
Улаанбаатар,2016-04,3229
Ховд,2016-04,179
Хэнтий,2016-04,139
Хөвсгөл,2016-04,263
Өвөрхангай,2016-04,223
Өмнөговь,2016-04,103
Архангай,2016-05,171
Баян-Өлгий,2016-05,260
Баянхонгор,2016-05,158
Булган,2016-05,75
Говь-Алтай,2016-05,113
Говьсүмбэр,2016-05,51
Дархан-Уул,2016-05,194
Дорноговь,2016-05,120
Дорнод,2016-05,182
Дундговь,2016-05,92
Завхан,2016-05,131
Орхон,2016-05,239
Сэлэнгэ,2016-05,160
Сүхбаатар,2016-05,84
Төв,2016-05,117
Увс,2016-05,196
Улаанбаатар,2016-05,3546
Ховд,2016-05,197
Хэнтий,2016-05,141
Хөвсгөл,2016-05,238
Өвөрхангай,2016-05,241
Өмнөговь,2016-05,110
Архангай,2016-06,175
Баян-Өлгий,2016-06,229
Баянхонгор,2016-06,180
Булган,2016-06,80
Говь-Алтай,2016-06,116
Говьсүмбэр,2016-06,44
Дархан-Уул,2016-06,205
Дорноговь,2016-06,126
Дорнод,2016-06,192
Дундговь,2016-06,85
Завхан,2016-06,120
Орхон,2016-06,225
Сэлэнгэ,2016-06,147
Сүхбаатар,2016-06,109
Төв,2016-06,92
Увс,2016-06,147
Улаанбаатар,2016-06,3450
Ховд,2016-06,185
Хэнтий,2016-06,161
Хөвсгөл,2016-06,240
Өвөрхангай,2016-06,213
Өмнөговь,2016-06,130
Архангай,2016-07,187
Баян-Өлгий,2016-07,204
Баянхонгор,2016-07,155
Булган,2016-07,92
Говь-Алтай,2016-07,104
Говьсүмбэр,2016-07,52
Дархан-Уул,2016-07,242
Дорноговь,2016-07,118
Дорнод,2016-07,170
Дундговь,2016-07,74
Завхан,2016-07,124
Орхон,2016-07,222
Сэлэнгэ,2016-07,157
Сүхбаатар,2016-07,120
Төв,2016-07,130
Увс,2016-07,171
Улаанбаатар,2016-07,3696
Ховд,2016-07,161
Хэнтий,2016-07,156
Хөвсгөл,2016-07,240
Өвөрхангай,2016-07,243
Өмнөговь,2016-07,131
Архангай,2016-08,161
Баян-Өлгий,2016-08,261
Баянхонгор,2016-08,200
Булган,2016-08,61
Говь-Алтай,2016-08,120
Говьсүмбэр,2016-08,37
Дархан-Уул,2016-08,219
Дорноговь,2016-08,117
Дорнод,2016-08,201
Дундговь,2016-08,71
Завхан,2016-08,139
Орхон,2016-08,243
Сэлэнгэ,2016-08,179
Сүхбаатар,2016-08,114
Төв,2016-08,105
Увс,2016-08,187
Улаанбаатар,2016-08,3556
Ховд,2016-08,213
Хэнтий,2016-08,137
Хөвсгөл,2016-08,281
Өвөрхангай,2016-08,234
Өмнөговь,2016-08,108
Архангай,2016-09,171
Баян-Өлгий,2016-09,227
Баянхонгор,2016-09,164
Булган,2016-09,72
Говь-Алтай,2016-09,79
Говьсүмбэр,2016-09,36
Дархан-Уул,2016-09,219
Дорноговь,2016-09,110
Дорнод,2016-09,172
Дундговь,2016-09,80
Завхан,2016-09,117
Орхон,2016-09,233
Сэлэнгэ,2016-09,185
Сүхбаатар,2016-09,100
Төв,2016-09,82
Увс,2016-09,184
Улаанбаатар,2016-09,3421
Ховд,2016-09,184
Хэнтий,2016-09,134
Хөвсгөл,2016-09,239
Өвөрхангай,2016-09,238
Өмнөговь,2016-09,113
Архангай,2016-10,173
Баян-Өлгий,2016-10,259
Баянхонгор,2016-10,166
Булган,2016-10,74
Говь-Алтай,2016-10,92
Говьсүмбэр,2016-10,33
Дархан-Уул,2016-10,217
Дорноговь,2016-10,122
Дорнод,2016-10,183
Дундговь,2016-10,78
Завхан,2016-10,95
Орхон,2016-10,230
Сэлэнгэ,2016-10,125
Сүхбаатар,2016-10,95
Төв,2016-10,87
Увс,2016-10,156
Улаанбаатар,2016-10,3566
Ховд,2016-10,169
Хэнтий,2016-10,102
Хөвсгөл,2016-10,219
Өвөрхангай,2016-10,219
Өмнөговь,2016-10,115
Архангай,2016-11,170
Баян-Өлгий,2016-11,206
Баянхонгор,2016-11,151
Булган,2016-11,62
Говь-Алтай,2016-11,92
Говьсүмбэр,2016-11,35
Дархан-Уул,2016-11,209
Дорноговь,2016-11,147
Дорнод,2016-11,152
Дундговь,2016-11,78
Завхан,2016-11,103
Орхон,2016-11,235
Сэлэнгэ,2016-11,149
Сүхбаатар,2016-11,99
Төв,2016-11,106
Увс,2016-11,179
Улаанбаатар,2016-11,3222
Ховд,2016-11,173
Хэнтий,2016-11,131
Хөвсгөл,2016-11,271
Өвөрхангай,2016-11,210
Өмнөговь,2016-11,125
Архангай,2016-12,131
Баян-Өлгий,2016-12,249
Баянхонгор,2016-12,142
Булган,2016-12,65
Говь-Алтай,2016-12,77
Говьсүмбэр,2016-12,28
Дархан-Уул,2016-12,171
Дорноговь,2016-12,84
Дорнод,2016-12,155
Дундговь,2016-12,59
Завхан,2016-12,99
Орхон,2016-12,198
Сэлэнгэ,2016-12,122
Сүхбаатар,2016-12,95
Төв,2016-12,97
Увс,2016-12,143
Улаанбаатар,2016-12,3221
Ховд,2016-12,174
Хэнтий,2016-12,144
Хөвсгөл,2016-12,222
Өвөрхангай,2016-12,205
Өмнөговь,2016-12,113
Архангай,2017-01,158
Баян-Өлгий,2017-01,217
Баянхонгор,2017-01,130
Булган,2017-01,67
Говь-Алтай,2017-01,87
Говьсүмбэр,2017-01,33
Дархан-Уул,2017-01,159
Дорноговь,2017-01,112
Дорнод,2017-01,150
Дундговь,2017-01,67
Завхан,2017-01,97
Орхон,2017-01,183
Сэлэнгэ,2017-01,120
Сүхбаатар,2017-01,104
Төв,2017-01,102
Увс,2017-01,134
Улаанбаатар,2017-01,2823
Ховд,2017-01,155
Хэнтий,2017-01,110
Хөвсгөл,2017-01,209
Өвөрхангай,2017-01,193
Өмнөговь,2017-01,92
Архангай,2017-02,134
Баян-Өлгий,2017-02,220
Баянхонгор,2017-02,134
Булган,2017-02,70
Говь-Алтай,2017-02,63
Говьсүмбэр,2017-02,30
Дархан-Уул,2017-02,148
Дорноговь,2017-02,77
Дорнод,2017-02,126
Дундговь,2017-02,68
Завхан,2017-02,98
Орхон,2017-02,149
Сэлэнгэ,2017-02,91
Сүхбаатар,2017-02,68
Төв,2017-02,83
Увс,2017-02,143
Улаанбаатар,2017-02,2428
Ховд,2017-02,142
Хэнтий,2017-02,101
Хөвсгөл,2017-02,170
Өвөрхангай,2017-02,159
Өмнөговь,2017-02,69
Архангай,2017-03,190
Баян-Өлгий,2017-03,257
Баянхонгор,2017-03,176
Булган,2017-03,58
Говь-Алтай,2017-03,112
Говьсүмбэр,2017-03,34
Дархан-Уул,2017-03,209
Дорноговь,2017-03,119
Дорнод,2017-03,181
Дундговь,2017-03,82
Завхан,2017-03,113
Орхон,2017-03,209
Сэлэнгэ,2017-03,181
Сүхбаатар,2017-03,109
Төв,2017-03,100
Увс,2017-03,171
Улаанбаатар,2017-03,3247
Ховд,2017-03,193
Хэнтий,2017-03,103
Хөвсгөл,2017-03,220
Өвөрхангай,2017-03,197
Өмнөговь,2017-03,108
Архангай,2017-04,165
Баян-Өлгий,2017-04,248
Баянхонгор,2017-04,152
Булган,2017-04,70
Говь-Алтай,2017-04,101
Говьсүмбэр,2017-04,24
Дархан-Уул,2017-04,183
Дорноговь,2017-04,102
Дорнод,2017-04,161
Дундговь,2017-04,63
Завхан,2017-04,95
Орхон,2017-04,204
Сэлэнгэ,2017-04,127
Сүхбаатар,2017-04,109
Төв,2017-04,115
Увс,2017-04,161
Улаанбаатар,2017-04,3183
Ховд,2017-04,188
Хэнтий,2017-04,124
Хөвсгөл,2017-04,271
Өвөрхангай,2017-04,197
Өмнөговь,2017-04,105
Архангай,2017-05,148
Баян-Өлгий,2017-05,237
Баянхонгор,2017-05,190
Булган,2017-05,76
Говь-Алтай,2017-05,106
Говьсүмбэр,2017-05,36
Дархан-Уул,2017-05,179
Дорноговь,2017-05,113
Дорнод,2017-05,141
Дундговь,2017-05,75
Завхан,2017-05,102
Орхон,2017-05,220
Сэлэнгэ,2017-05,154
Сүхбаатар,2017-05,105
Төв,2017-05,111
Увс,2017-05,203
Улаанбаатар,2017-05,3288
Ховд,2017-05,224
Хэнтий,2017-05,142
Хөвсгөл,2017-05,220
Өвөрхангай,2017-05,181
Өмнөговь,2017-05,102
Архангай,2017-06,151
Баян-Өлгий,2017-06,268
Баянхонгор,2017-06,167
Булган,2017-06,73
Говь-Алтай,2017-06,108
Говьсүмбэр,2017-06,42
Дархан-Уул,2017-06,178
Дорноговь,2017-06,115
Дорнод,2017-06,158
Дундговь,2017-06,76
Завхан,2017-06,160
Орхон,2017-06,213
Сэлэнгэ,2017-06,132
Сүхбаатар,2017-06,94
Төв,2017-06,100
Увс,2017-06,188
Улаанбаатар,2017-06,3340
Ховд,2017-06,188
Хэнтий,2017-06,128
Хөвсгөл,2017-06,239
Өвөрхангай,2017-06,189
Өмнөговь,2017-06,86
Архангай,2017-07,188
Баян-Өлгий,2017-07,249
Баянхонгор,2017-07,163
Булган,2017-07,74
Говь-Алтай,2017-07,97
Говьсүмбэр,2017-07,34
Дархан-Уул,2017-07,204
Дорноговь,2017-07,89
Дорнод,2017-07,190
Дундговь,2017-07,64
Завхан,2017-07,125
Орхон,2017-07,274
Сэлэнгэ,2017-07,162
Сүхбаатар,2017-07,104
Төв,2017-07,105
Увс,2017-07,218
Улаанбаатар,2017-07,3401
Ховд,2017-07,199
Хэнтий,2017-07,136
Хөвсгөл,2017-07,287
Өвөрхангай,2017-07,230
Өмнөговь,2017-07,116
Архангай,2017-08,157
Баян-Өлгий,2017-08,215
Баянхонгор,2017-08,151
Булган,2017-08,65
Говь-Алтай,2017-08,99
Говьсүмбэр,2017-08,36
