product,date,price
"Horse meat, kg",2025-12-08,14176.0
"Beef, without bones, kg",2025-12-08,24223.0
"Mutton, kg",2025-12-08,16826.0
"Goat meat, kg",2025-12-08,13658.0
"Beef, kg",2025-12-08,20965.0
"Horse meat, kg",2025-12-01,14135.0
"Beef, without bones, kg",2025-12-01,23818.0
"Beef, kg",2025-12-01,20714.0
"Goat meat, kg",2025-12-01,13658.0
"Mutton, kg",2025-12-01,16538.0
"Beef, without bones, kg",2025-11-24,23776.0
"Horse meat, kg",2025-11-24,14059.0
"Beef, kg",2025-11-24,20628.0
"Goat meat, kg",2025-11-24,13325.0
"Mutton, kg",2025-11-24,16444.0
"Beef, kg",2025-11-17,20509.0
"Goat meat, kg",2025-11-17,13325.0
"Mutton, kg",2025-11-17,16457.0
"Beef, without bones, kg",2025-11-17,23755.0
"Horse meat, kg",2025-11-17,14290.0
"Goat meat, kg",2025-11-10,13325.0
"Horse meat, kg",2025-11-10,14425.0
"Beef, without bones, kg",2025-11-10,24119.0
"Mutton, kg",2025-11-10,16671.0
"Beef, kg",2025-11-10,20875.0
"Beef, without bones, kg",2025-11-03,24171.0
"Horse meat, kg",2025-11-03,14092.0
"Goat meat, kg",2025-11-03,12792.0
"Mutton, kg",2025-11-03,16641.0
"Beef, kg",2025-11-03,20746.0
"Goat meat, kg",2025-10-27,12305.0
"Beef, without bones, kg",2025-10-27,24222.0
"Horse meat, kg",2025-10-27,14092.0
"Mutton, kg",2025-10-27,16684.0
"Beef, kg",2025-10-27,20826.0
"Goat meat, kg",2025-10-20,12305.0
"Mutton, kg",2025-10-20,16716.0
"Beef, without bones, kg",2025-10-20,24353.0
"Horse meat, kg",2025-10-20,14175.0
"Beef, kg",2025-10-20,20916.0
"Beef, without bones, kg",2025-10-13,24266.0
"Goat meat, kg",2025-10-13,12305.0
"Mutton, kg",2025-10-13,16716.0
"Horse meat, kg",2025-10-13,14200.0
"Beef, kg",2025-10-13,20764.0
"Goat meat, kg",2025-10-06,12305.0
"Beef, kg",2025-10-06,20734.0
"Beef, without bones, kg",2025-10-06,24188.0
"Mutton, kg",2025-10-06,16584.0
"Horse meat, kg",2025-10-06,13979.0
"Goat meat, kg",2025-09-29,12637.0
"Horse meat, kg",2025-09-29,14226.0
"Beef, kg",2025-09-29,20841.0
"Mutton, kg",2025-09-29,16622.0
"Beef, without bones, kg",2025-09-29,24058.0
"Horse meat, kg",2025-09-22,14226.0
"Mutton, kg",2025-09-22,16664.0
"Goat meat, kg",2025-09-22,12637.0
"Beef, kg",2025-09-22,20803.0
"Beef, without bones, kg",2025-09-22,24268.0
"Beef, kg",2025-09-15,20737.0
"Beef, without bones, kg",2025-09-15,24485.0
"Goat meat, kg",2025-09-15,12151.0
"Mutton, kg",2025-09-15,16768.0
"Horse meat, kg",2025-09-15,13394.0
"Mutton, kg",2025-09-08,16733.0
"Beef, kg",2025-09-08,20659.0
"Beef, without bones, kg",2025-09-08,24527.0
"Horse meat, kg",2025-09-08,13313.0
"Goat meat, kg",2025-09-08,12151.0
"Mutton, kg",2025-09-01,16691.0
"Beef, kg",2025-09-01,20737.0
"Beef, without bones, kg",2025-09-01,24485.0
"Horse meat, kg",2025-09-01,13313.0
"Goat meat, kg",2025-09-01,12151.0
"Mutton, kg",2025-08-25,16781.0
"Beef, kg",2025-08-25,20686.0
"Horse meat, kg",2025-08-25,13133.0
"Beef, without bones, kg",2025-08-25,24355.0
"Goat meat, kg",2025-08-25,12151.0
"Mutton, kg",2025-08-18,16781.0
"Goat meat, kg",2025-08-18,12151.0
"Beef, kg",2025-08-18,20575.0
"Horse meat, kg",2025-08-18,13133.0
"Beef, without bones, kg",2025-08-18,24176.0
"Mutton, kg",2025-08-11,16809.0
"Beef, without bones, kg",2025-08-11,24080.0
"Beef, kg",2025-08-11,20848.0
"Horse meat, kg",2025-08-11,13133.0
"Goat meat, kg",2025-08-11,12151.0
"Horse meat, kg",2025-08-04,13133.0
"Beef, kg",2025-08-04,21067.0
"Goat meat, kg",2025-08-04,12317.0
"Mutton, kg",2025-08-04,16949.0
"Beef, without bones, kg",2025-08-04,24338.0
"Goat meat, kg",2025-07-28,12774.0
"Beef, kg",2025-07-28,21565.0
"Mutton, kg",2025-07-28,17021.0
"Horse meat, kg",2025-07-28,13213.0
"Beef, without bones, kg",2025-07-28,24565.0
"Horse meat, kg",2025-07-21,13213.0
"Beef, without bones, kg",2025-07-21,24565.0
"Goat meat, kg",2025-07-21,12774.0
"Beef, kg",2025-07-21,21565.0
"Mutton, kg",2025-07-21,17021.0
"Horse meat, kg",2025-07-07,13213.0
"Mutton, kg",2025-07-07,16971.0
"Goat meat, kg",2025-07-07,12774.0
"Beef, kg",2025-07-07,21442.0
"Beef, without bones, kg",2025-07-07,24629.0
"Horse meat, kg",2025-06-30,13133.0
"Beef, without bones, kg",2025-06-30,24629.0
"Beef, kg",2025-06-30,21315.0
"Mutton, kg",2025-06-30,16922.0
"Goat meat, kg",2025-06-30,12774.0
"Mutton, kg",2025-06-23,16922.0
"Horse meat, kg",2025-06-23,13133.0
"Beef, kg",2025-06-23,21437.0
"Goat meat, kg",2025-06-23,12956.0
"Beef, without bones, kg",2025-06-23,24710.0
"Beef, kg",2025-06-16,21548.0
"Goat meat, kg",2025-06-16,13127.0
