сар,утга
2009-01,6.132
2009-02,7.628
2009-03,6.257
2009-04,9.793
2009-05,7.46
2009-06,7.914
2009-07,12.764
2009-08,12.764
2009-09,12.764
2009-10,12.216
2009-11,12.216
2009-12,12.216
2010-01,10.39
2010-02,8.294
2010-03,16.111
2010-04,10.927
2010-05,5.673
2010-06,8.856
2010-07,12.464
2010-08,18.614
2010-09,11.041
2010-10,9.235
2010-11,10.653
2010-12,7.128
2011-01,6.409
2011-02,4.878
2011-03,6.888
2011-04,5.634
2011-05,0.765
2011-06,11.665
2011-07,2.788
2011-08,5.218
2011-09,6.535
2011-10,1.312
2011-11,-0.609
2011-12,1.518
2012-01,0.78
2012-02,11.933
2012-03,13.225
2012-04,2.746
2012-05,1.11
2012-06,4.354
2012-07,5.764
2012-08,3.046
2012-09,-9.006
2012-10,-3.595
2012-11,3.574
2012-12,-0.173
2013-01,-5.666
2013-02,3.551
2013-03,3.572
2013-04,-1.204
2013-05,-0.952
2013-06,0.549
2013-07,1.012
2013-08,2.907
2013-09,3.921
2013-10,0.79
2013-11,2.23
2013-12,5.934
2014-01,0.412
2014-02,6.892
2014-03,3.873
2014-04,6.287
2014-05,5.114
2014-06,0.639
2014-07,-5.532
2014-08,2.939
2014-09,3.37
2014-10,3.632
2014-11,3.16
2014-12,-0.026
2015-01,1.479
2015-02,2.301
2015-03,-1.245
2015-04,5.299
2015-05,7.34
2015-06,12.425
2015-07,9.79
2015-08,8.376
2015-09,8.737
2015-10,10.779
2015-11,9.71
2015-12,0.802
2016-01,9.687
2016-02,8.151
2016-03,13.041
2016-04,11.405
2016-05,10.04
2016-06,9.26
2016-07,9.695
2016-08,13.023
2016-09,12.374
2016-10,9.002
2016-11,3.709
2016-12,7.614
2017-01,14.187
2017-02,7.829
2017-03,8.668
2017-04,9.105
2017-05,10.049
2017-06,11.194
2017-07,8.917
2017-08,13.948
2017-09,12.542
2017-10,14.717
2017-11,13.214
2017-12,9.853
2018-01,15.965
2018-02,13.732
2018-03,6.045
2018-04,14.482
2018-05,17.34
2018-06,13.072
2018-07,13.888
2018-08,6.666
2018-09,14.384
2018-10,14.262
2018-11,11.473
2018-12,12.895
2019-01,11.795
2019-02,7.605
2019-03,9.484
2019-04,12.724
2019-05,10.636
2019-06,10.402
2019-07,12.008
2019-08,9.586
2019-09,9.437
2019-10,12.688
2019-11,11.551
2019-12,13.332
2020-01,12.646
2020-02,7.783
2020-03,6.609
2020-04,11.603
2020-05,13.234
2020-06,12.348
2020-07,13.628
2020-08,14.729
2020-09,11.689
2020-10,14.052
2020-11,12.566
2020-12,13.498
2021-01,7.548
2021-02,7.246
2021-03,6.809
2021-04,7.355
2021-05,12.078
2021-06,14.064
2021-07,9.236
2021-08,12.55
2021-09,10.703
2021-10,11.949
2021-11,6.984
2021-12,17.529
2022-01,4.095
2022-02,1.843
2022-03,3.786
2022-04,6.087
2022-05,6.35
2022-06,4.464
2022-07,5.614
2022-08,5.871
2022-09,5.296
2022-10,3.764
2022-11,4.714
2022-12,5.94
2023-01,3.579
2023-02,4.602
2023-03,4.934
2023-04,3.213
2023-05,5.46
2023-06,8.05
2023-07,6.842
2023-08,6.809
2023-09,1.884
2023-10,4.075
2023-11,7.342
2023-12,10.628
2024-01,3.792
2024-02,4.271
2024-03,12.876
2024-04,15.161
2024-05,4.257
2024-06,3.771
2024-07,5.045
2024-08,8.559
2024-09,1.229
2024-10,-3.52
2024-11,-6.015
2024-12,-12.983
2025-01,-9.52
2025-02,5.973
2025-03,-1.383
2025-04,0.263
2025-05,5.917
2025-06,4.176
2025-07,6.342
2025-08,7.964
2025-09,-4.736
