category,year,value
Base metals & articles thereof,1995,17070.3
Food products,1995,2541.5
"Live animals, animals origin products",1995,10414.3
Mineral products,1995,309976.4
"Natural or cultured stones, precious metal, jewellery",1995,4.4
Textiles & textile articles,1995,80730.6
Base metals & articles thereof,1996,15969.2
Food products,1996,1746.0
"Live animals, animals origin products",1996,14136.8
Mineral products,1996,242778.3
"Natural or cultured stones, precious metal, jewellery",1996,0.5
Textiles & textile articles,1996,103496.5
Base metals & articles thereof,1997,21851.6
Food products,1997,2000.0
"Live animals, animals origin products",1997,18664.2
Mineral products,1997,251443.6
"Natural or cultured stones, precious metal, jewellery",1997,116996.4
Textiles & textile articles,1997,96574.4
Base metals & articles thereof,1998,11002.9
Food products,1998,2837.6
"Live animals, animals origin products",1998,18793.2
Mineral products,1998,156287.2
"Natural or cultured stones, precious metal, jewellery",1998,123706.2
Textiles & textile articles,1998,77872.0
Base metals & articles thereof,1999,8269.3
Food products,1999,2552.6
"Live animals, animals origin products",1999,21864.5
Mineral products,1999,146837.2
"Natural or cultured stones, precious metal, jewellery",1999,99014.6
Textiles & textile articles,1999,127380.9
Base metals & articles thereof,2000,6054.8
Food products,2000,1142.1
"Live animals, animals origin products",2000,23102.5
Mineral products,2000,188562.7
"Natural or cultured stones, precious metal, jewellery",2000,75786.0
Textiles & textile articles,2000,192275.6
Base metals & articles thereof,2001,5105.9
Food products,2001,328.3
"Live animals, animals origin products",2001,26369.2
Mineral products,2001,175212.7
"Natural or cultured stones, precious metal, jewellery",2001,150178.7
Textiles & textile articles,2001,171502.6
Base metals & articles thereof,2002,4326.9
Food products,2002,382.8
"Live animals, animals origin products",2002,28864.2
Mineral products,2002,173371.7
"Natural or cultured stones, precious metal, jewellery",2002,119326.2
Textiles & textile articles,2002,145144.0
Base metals & articles thereof,2003,8562.9
Food products,2003,191.7
"Live animals, animals origin products",2003,22505.4
Mineral products,2003,214583.4
"Natural or cultured stones, precious metal, jewellery",2003,139903.7
Textiles & textile articles,2003,165022.1
Base metals & articles thereof,2004,19779.8
Food products,2004,490.6
"Live animals, animals origin products",2004,18354.9
Mineral products,2004,353738.5
"Natural or cultured stones, precious metal, jewellery",2004,243257.2
Textiles & textile articles,2004,197002.6
Base metals & articles thereof,2005,18227.8
Food products,2005,1710.5
"Live animals, animals origin products",2005,19608.4
Mineral products,2005,454731.0
"Natural or cultured stones, precious metal, jewellery",2005,331576.6
Textiles & textile articles,2005,191434.2
Base metals & articles thereof,2006,24769.1
Food products,2006,2122.3
"Live animals, animals origin products",2006,25662.1
Mineral products,2006,893992.2
"Natural or cultured stones, precious metal, jewellery",2006,270172.0
Textiles & textile articles,2006,246682.3
Base metals & articles thereof,2007,26492.2
Food products,2007,2642.5
"Live animals, animals origin products",2007,26733.0
Mineral products,2007,1301403.7
"Natural or cultured stones, precious metal, jewellery",2007,234880.0
Textiles & textile articles,2007,262566.8
Base metals & articles thereof,2008,23121.8
Food products,2008,3527.4
"Live animals, animals origin products",2008,31641.5
Mineral products,2008,1529401.0
"Natural or cultured stones, precious metal, jewellery",2008,600172.6
Textiles & textile articles,2008,226542.8
Base metals & articles thereof,2009,17414.4
Food products,2009,5474.0
"Live animals, animals origin products",2009,45808.8
Mineral products,2009,1251766.6
"Natural or cultured stones, precious metal, jewellery",2009,308525.2
Textiles & textile articles,2009,192166.6
Base metals & articles thereof,2010,22158.2
Food products,2010,6051.2
"Live animals, animals origin products",2010,69384.3
Mineral products,2010,2354476.0
"Natural or cultured stones, precious metal, jewellery",2010,178351.5
Textiles & textile articles,2010,216340.8
Base metals & articles thereof,2011,25668.83
Food products,2011,7824.67
"Live animals, animals origin products",2011,39946.94
Mineral products,2011,4299412.13
"Natural or cultured stones, precious metal, jewellery",2011,109916.03
Textiles & textile articles,2011,241477.36
Base metals & articles thereof,2012,19806.36
Food products,2012,8928.47
"Live animals, animals origin products",2012,24237.31
Mineral products,2012,3909626.56
"Natural or cultured stones, precious metal, jewellery",2012,122345.36
Textiles & textile articles,2012,233604.52
Base metals & articles thereof,2013,21517.72
Food products,2013,14925.3
"Live animals, animals origin products",2013,24224.12
Mineral products,2013,3495466.91
"Natural or cultured stones, precious metal, jewellery",2013,309910.52
Textiles & textile articles,2013,283003.31
Base metals & articles thereof,2014,47702.96
Food products,2014,11588.84
"Live animals, animals origin products",2014,16513.47
Mineral products,2014,4791481.68
"Natural or cultured stones, precious metal, jewellery",2014,405577.69
Textiles & textile articles,2014,338751.64
Base metals & articles thereof,2015,72279.02
Food products,2015,15669.29
"Live animals, animals origin products",2015,26382.04
Mineral products,2015,3678200.05
"Natural or cultured stones, precious metal, jewellery",2015,421384.96
Textiles & textile articles,2015,302654.55
Base metals & articles thereof,2016,86178.15
Food products,2016,11920.24
"Live animals, animals origin products",2016,29242.19
Mineral products,2016,3484046.56
"Natural or cultured stones, precious metal, jewellery",2016,761511.22
Textiles & textile articles,2016,300223.45
Base metals & articles thereof,2017,101000.62
Food products,2017,23007.94
"Live animals, animals origin products",2017,67416.82
Mineral products,2017,4933672.06
"Natural or cultured stones, precious metal, jewellery",2017,596939.24
Textiles & textile articles,2017,335466.05
Base metals & articles thereof,2018,91754.73
Food products,2018,91423.28
"Live animals, animals origin products",2018,102121.22
Mineral products,2018,6070339.17
"Natural or cultured stones, precious metal, jewellery",2018,145480.75
Textiles & textile articles,2018,409800.65
Base metals & articles thereof,2019,77821.21
Food products,2019,61856.37
"Live animals, animals origin products",2019,97610.45
Mineral products,2019,6377586.38
"Natural or cultured stones, precious metal, jewellery",2019,419075.83
Textiles & textile articles,2019,434672.31
Base metals & articles thereof,2020,66620.97
Food products,2020,70206.03
"Live animals, animals origin products",2020,52915.27
Mineral products,2020,5256037.29
"Natural or cultured stones, precious metal, jewellery",2020,1789935.13
Textiles & textile articles,2020,279484.63
Base metals & articles thereof,2021,97068.52
Food products,2021,47076.09
"Live animals, animals origin products",2021,42266.45
Mineral products,2021,7510437.69
"Natural or cultured stones, precious metal, jewellery",2021,1025376.62
Textiles & textile articles,2021,370657.86
Base metals & articles thereof,2022,98870.37
Food products,2022,23710.09
"Live animals, animals origin products",2022,65256.8
Mineral products,2022,10543268.92
"Natural or cultured stones, precious metal, jewellery",2022,1135442.86
Textiles & textile articles,2022,486156.3
Base metals & articles thereof,2023,123035.16
Food products,2023,157718.67
"Live animals, animals origin products",2023,200065.97
Mineral products,2023,13146454.24
"Natural or cultured stones, precious metal, jewellery",2023,762000.59
Textiles & textile articles,2023,451152.59
Base metals & articles thereof,2024,153215.15
Food products,2024,103326.75
"Live animals, animals origin products",2024,197492.05
Mineral products,2024,13769884.51
"Natural or cultured stones, precious metal, jewellery",2024,912490.33
Textiles & textile articles,2024,404074.48
