year,month,production_kt,sales_kt,export_kt
2021,1,4877.2,4395.0,3285.4
2021,2,4207.7,3550.4,2612.1
2021,3,3742.7,3359.0,2493.1
2021,4,2962.8,1895.0,1205.2
2021,5,2031.4,1425.0,850.4
2021,6,1478.9,1432.5,841.5
2021,7,1687.1,1597.1,1085.2
2021,8,1415.2,1431.5,718.1
2021,9,1769.8,1421.2,562.0
2021,10,2835.3,1929.9,725.0
2021,11,2725.8,2467.0,985.9
2021,12,2583.7,1838.0,569.0
2025,1,5880.8,4693.5,3406.2
2025,2,7347.8,5456.9,4504.8
2025,3,7987.8,4921.5,3897.0
2025,4,8718.3,7829.5,7091.4
2025,5,9147.2,7025.7,6282.9
2025,6,6626.1,5289.2,4910.1
2025,7,7981.4,7315.1,6672.0
2025,8,7627.9,6783.5,6116.6
2025,9,10130.1,10105.3,9100.4
2025,10,10165.9,8382.5,7065.0
2025,11,11089.8,9459.2,8320.8
2025,12,11350.5,10503.8,9115.7
