type_of_livestock,region,year,value
Total,Total,1970,22574.7
Total,Total,1971,22692.6
Total,Total,1972,23108.1
Total,Total,1973,23538.0
Total,Total,1974,24313.5
Total,Total,1975,24351.6
Total,Total,1976,23684.0
Total,Total,1977,22942.1
Total,Total,1978,24025.7
Total,Total,1979,24201.2
Total,Total,1980,23771.5
Total,Total,1981,24263.1
Total,Total,1982,24764.7
Total,Total,1983,23570.3
Total,Total,1984,22591.9
Total,Total,1985,22485.5
Total,Total,1986,22590.5
Total,Total,1987,22741.1
Total,Total,1988,23122.3
Total,Total,1989,24674.9
Total,Total,1990,25856.9
Total,Total,1991,25527.9
Total,Total,1992,25694.1
Total,Total,1993,24688.3
Total,Total,1994,26778.4
Total,Total,1995,28572.3
Total,Total,1996,29300.1
Total,Total,1997,31292.3
Total,Total,1998,32897.5
Total,Total,1999,33568.9
Total,Total,2000,30227.5
Total,Total,2001,26075.4
Total,Total,2002,23897.6
Total,Total,2003,25427.7
Total,Total,2004,28028.0
Total,Total,2005,30398.8
Total,Total,2006,34803.0
Total,Total,2007,40263.9
Total,Total,2008,43288.5
Total,Total,2009,43981.0
Total,Total,2010,32729.5
Total,Total,2011,36335.8
Total,Total,2012,40920.9
Total,Total,2013,45144.3
Total,Total,2014,51982.6
Total,Total,2015,55979.8
Total,Total,2016,61549.2
Total,Total,2017,66219.0
Total,Total,2018,66460.2
Total,Total,2019,70969.3
Total,Total,2020,67068.5
Total,Total,2021,67343.8
Total,Total,2022,71121.5
Total,Total,2023,64681.9
Total,Total,2024,57649.7
