бүс,сар,нас_баралт
Зүүн бүс,2019-05,115
Төвийн бүс,2019-05,200
Улаанбаатар,2019-05,709
Хангайн бүс,2019-05,294
Баруун бүс,2019-06,137
Зүүн бүс,2019-06,80
Төвийн бүс,2019-06,198
Улаанбаатар,2019-06,607
Хангайн бүс,2019-06,258
Баруун бүс,2019-07,165
Зүүн бүс,2019-07,111
Төвийн бүс,2019-07,218
Улаанбаатар,2019-07,625
Хангайн бүс,2019-07,291
Баруун бүс,2019-08,172
Зүүн бүс,2019-08,99
Төвийн бүс,2019-08,214
Улаанбаатар,2019-08,631
Хангайн бүс,2019-08,309
Баруун бүс,2019-09,157
Зүүн бүс,2019-09,85
Төвийн бүс,2019-09,247
Улаанбаатар,2019-09,635
Хангайн бүс,2019-09,241
Баруун бүс,2019-10,159
Зүүн бүс,2019-10,95
Төвийн бүс,2019-10,242
Улаанбаатар,2019-10,758
Хангайн бүс,2019-10,288
Баруун бүс,2019-11,138
Зүүн бүс,2019-11,85
Төвийн бүс,2019-11,195
Улаанбаатар,2019-11,643
Хангайн бүс,2019-11,205
Баруун бүс,2019-12,190
Зүүн бүс,2019-12,106
Төвийн бүс,2019-12,196
Улаанбаатар,2019-12,895
Хангайн бүс,2019-12,287
Баруун бүс,2020-01,159
Зүүн бүс,2020-01,93
Төвийн бүс,2020-01,176
Улаанбаатар,2020-01,684
Хангайн бүс,2020-01,254
Баруун бүс,2020-02,164
Зүүн бүс,2020-02,82
Төвийн бүс,2020-02,199
Улаанбаатар,2020-02,613
Хангайн бүс,2020-02,240
Баруун бүс,2020-03,136
Зүүн бүс,2020-03,91
Төвийн бүс,2020-03,196
Улаанбаатар,2020-03,652
Хангайн бүс,2020-03,217
Баруун бүс,2020-04,171
Зүүн бүс,2020-04,92
Төвийн бүс,2020-04,182
Улаанбаатар,2020-04,639
Хангайн бүс,2020-04,226
Баруун бүс,2020-05,152
Зүүн бүс,2020-05,81
Төвийн бүс,2020-05,181
Улаанбаатар,2020-05,645
Хангайн бүс,2020-05,229
Баруун бүс,2020-06,167
Зүүн бүс,2020-06,101
Төвийн бүс,2020-06,181
Улаанбаатар,2020-06,608
Хангайн бүс,2020-06,249
Баруун бүс,2020-07,177
Зүүн бүс,2020-07,107
Төвийн бүс,2020-07,228
