он,бүтээгдэхүүн,тж
2015,Чулуун нүүрс,444577.323758
2015,Хүрэн нүүрс,123718.351057
2015,Kокс болон хагас кокс,6.271624
2015,Газрын тос,51914.256
2015,"Нүүрснээс гаргаж авсан брикет, шахмал нүүрс болон эдгээртэй төстэй хатуу түлш",14.04078
2015,Автобензин (био түлшийг оруулахгүй),19178.49776
2015,Дизель түлш,28199.93779
2015,Онгоцны түлш,2412.85212
2015,Керосин,195.76848
2015,Мазут,128.41544
2015,Пропан,1120.25793
2015,Бусад шингэн түлш,389.19765
2015,"Тос, тосолгооны материал",467.44158
2015,Бусад нефтийн болон тосон бүтээгдэхүүн,106.32498
2015,"Нефтийн вазелин, парафины лав, байгалийн битум болон асфальт",1908.76836
2015,"Мод, модны хаягдал болон бусад биомасс, модны нүүрс",30423.753
2015,Цахилгаан эрчим хүч,25351.164
2015,Дулаан,44640.2264
2016,Чулуун нүүрс,743283.049388
2016,Хүрэн нүүрс,135241.768174
2016,Kокс болон хагас кокс,0.846
2016,Газрын тос,48838.816
2016,"Нүүрснээс гаргаж авсан брикет, шахмал нүүрс болон эдгээртэй төстэй хатуу түлш",25.3518
2016,Автобензин (био түлшийг оруулахгүй),17016.21919
2016,Дизель түлш,23595.66392
2016,Онгоцны түлш,2403.6264
2016,Керосин,2602.67484
2016,Мазут,104.5754
2016,Пропан,1388.53407
2016,Бусад шингэн түлш,895.37388
2016,"Тос, тосолгооны материал",501.5151
2016,Бусад нефтийн болон тосон бүтээгдэхүүн,140.01258
2016,"Нефтийн вазелин, парафины лав, байгалийн битум болон асфальт",2070.52914
2016,"Мод, модны хаягдал болон бусад биомасс, модны нүүрс",31514.49518
2016,Цахилгаан эрчим хүч,26031.3642
2016,Дулаан,45139.19927
2017,Чулуун нүүрс,1192229.868021
2017,Хүрэн нүүрс,141862.9
2017,Kокс болон хагас кокс,9.2
2017,Газрын тос,45134.4056
2017,"Нүүрснээс гаргаж авсан брикет, шахмал нүүрс болон эдгээртэй төстэй хатуу түлш",26.47416
2017,Автобензин (био түлшийг оруулахгүй),18201.302888
2017,Дизель түлш,34710.065733
2017,Онгоцны түлш,1475.327265
2017,Керосин,2178.521203
2017,Мазут,95.848044
2017,Пропан,1446.863316
2017,Бусад шингэн түлш,1065.021184
2017,"Тос, тосолгооны материал",740.614477
2017,Бусад нефтийн болон тосон бүтээгдэхүүн,1139.223333
2017,"Нефтийн вазелин, парафины лав, байгалийн битум болон асфальт",1208.907018
2017,"Мод, модны хаягдал болон бусад биомасс, модны нүүрс",31731.582
2017,Цахилгаан эрчим хүч,27758.773577
2017,Дулаан,45169.485245
2018,Чулуун нүүрс,946195.271343
2018,Хүрэн нүүрс,148612.43
2018,Kокс болон хагас кокс,33.047862
2018,Газрын тос,37820.734592
2018,"Нүүрснээс гаргаж авсан брикет, шахмал нүүрс болон эдгээртэй төстэй хатуу түлш",57.39264
2018,Автобензин (био түлшийг оруулахгүй),19294.457617
2018,Дизель түлш,36582.060055
2018,Онгоцны түлш,1775.844995
2018,Керосин,4788.420938
2018,Мазут,120.111624
2018,Пропан,2736.722797
2018,Бусад шингэн түлш,786.20237
2018,"Тос, тосолгооны материал",850.12894
2018,Бусад нефтийн болон тосон бүтээгдэхүүн,4030.061121
2018,"Нефтийн вазелин, парафины лав, байгалийн битум болон асфальт",1884.255762
2018,"Мод, модны хаягдал болон бусад биомасс, модны нүүрс",33694.15693
2018,Цахилгаан эрчим хүч,29998.770862
2018,Дулаан,50221.035395
2019,Чулуун нүүрс,961958.232872
2019,Хүрэн нүүрс,141848.034766
2019,Kокс болон хагас кокс,60.320026
2019,Газрын тос,49982.3676
2019,"Нүүрснээс гаргаж авсан брикет, шахмал нүүрс болон эдгээртэй төстэй хатуу түлш",5887.64394
2019,Автобензин (био түлшийг оруулахгүй),23988.376808
2019,Дизель түлш,46564.454804
2019,Онгоцны түлш,2054.838353
2019,Керосин,2297.103658
2019,Мазут,120.15869
2019,Пропан,1571.118147
2019,Бусад шингэн түлш,309.898454
2019,"Тос, тосолгооны материал",930.754039
2019,Бусад нефтийн болон тосон бүтээгдэхүүн,3637.705062
2019,"Нефтийн вазелин, парафины лав, байгалийн битум болон асфальт",2238.192442
2019,"Мод, модны хаягдал болон бусад биомасс, модны нүүрс",35846.811466
2019,Цахилгаан эрчим хүч,31650.749442
2019,Дулаан,53127.859678
2020,Чулуун нүүрс,630781.2638
2020,Хүрэн нүүрс,226958.26299
2020,Kокс болон хагас кокс,28.773588
2020,Газрын тос,24306.928
2020,"Нүүрснээс гаргаж авсан брикет, шахмал нүүрс болон эдгээртэй төстэй хатуу түлш",15620.544
2020,Автобензин (био түлшийг оруулахгүй),25964.94323
2020,Дизель түлш,44257.324174
2020,Онгоцны түлш,864.139015
2020,Керосин,1976.048519
2020,Мазут,111.53632
2020,Пропан,1591.883744
2020,Бусад шингэн түлш,236.665899
2020,"Тос, тосолгооны материал",897.89112
2020,Бусад нефтийн болон тосон бүтээгдэхүүн,6210.96485
2020,"Нефтийн вазелин, парафины лав, байгалийн битум болон асфальт",1750.21152
2020,"Мод, модны хаягдал болон бусад биомасс, модны нүүрс",38090.066824
2020,Цахилгаан эрчим хүч,32197.754196
2020,Дулаан,56439.37966
2021,Чулуун нүүрс,554069.214036
2021,Хүрэн нүүрс,154986.29952
2021,Kокс болон хагас кокс,40.014503
2021,Газрын тос,27040.885824
2021,"Нүүрснээс гаргаж авсан брикет, шахмал нүүрс болон эдгээртэй төстэй хатуу түлш",6015.2292
2021,Автобензин (био түлшийг оруулахгүй),25372.818665
2021,Дизель түлш,42622.446225
2021,Онгоцны түлш,1212.141288
2021,Керосин,1954.052378
2021,Мазут,72.217618
2021,Пропан,971.332435
2021,Бусад шингэн түлш,64.596714
2021,"Тос, тосолгооны материал",989.724498
2021,Бусад нефтийн болон тосон бүтээгдэхүүн,3299.319756
2021,"Нефтийн вазелин, парафины лав, байгалийн битум болон асфальт",1746.229293
2021,"Мод, модны хаягдал болон бусад биомасс, модны нүүрс",40165.261217
2021,Цахилгаан эрчим хүч,35706.599456
2021,Дулаан,60260.898262
2022,Чулуун нүүрс,727508.702799
2022,Хүрэн нүүрс,151875.807426
2022,Kокс болон хагас кокс,40.613499
2022,Газрын тос,15187.186352
2022,"Нүүрснээс гаргаж авсан брикет, шахмал нүүрс болон эдгээртэй төстэй хатуу түлш",16949.6523
2022,Автобензин (био түлшийг оруулахгүй),30139.531226
2022,Дизель түлш,42323.861665
2022,Онгоцны түлш,3249.033278
2022,Керосин,438.636986
2022,Мазут,100.785621
2022,Пропан,875.194034
2022,Бусад шингэн түлш,13.411872
2022,"Тос, тосолгооны материал",1041.484816
2022,Бусад нефтийн болон тосон бүтээгдэхүүн,1757.077103
2022,"Нефтийн вазелин, парафины лав, байгалийн битум болон асфальт",2123.895412
2022,"Мод, модны хаягдал болон бусад биомасс, модны нүүрс",39571.946132
2022,Цахилгаан эрчим хүч,37417.852933
2022,Дулаан,63036.280244
2023,Чулуун нүүрс,1668387.800207
2023,Хүрэн нүүрс,197220.384155
2023,Kокс болон хагас кокс,28.111621
2023,Газрын тос,28942.288
2023,"Нүүрснээс гаргаж авсан брикет, шахмал нүүрс болон эдгээртэй төстэй хатуу түлш",15388.74
2023,Автобензин (био түлшийг оруулахгүй),32332.711526
2023,Дизель түлш,58062.553676
2023,Онгоцны түлш,4862.028175
2023,Керосин,270.809881
2023,Мазут,148.801078
2023,Пропан,1862.18141
