үзүүлэлт,он,мянган_Гкал
Үйлдвэрлэсэн,1995,6832
Дулааны цахилгаан станцын дотоод хэрэглээ,1995,41
ААНБ болон өрхөд түгээсэн-Бүгд,1995,6772
"Үйлдвэр, барилга",1995,2709
"Тээвэр, холбоо",1995,446
Хөдөө аж ахуй,1995,147
"Өрх, орон сууц, нийтийн аж ахуй",1995,2361
Бусад,1995,1110
Түгээлтийн алдагдал,1995,18
Үйлдвэрлэсэн,1996,6497
Дулааны цахилгаан станцын дотоод хэрэглээ,1996,316
ААНБ болон өрхөд түгээсэн-Бүгд,1996,6115
"Үйлдвэр, барилга",1996,1784
"Тээвэр, холбоо",1996,249
Хөдөө аж ахуй,1996,103
"Өрх, орон сууц, нийтийн аж ахуй",1996,3332
Бусад,1996,648
Түгээлтийн алдагдал,1996,66
Үйлдвэрлэсэн,1997,6551
Дулааны цахилгаан станцын дотоод хэрэглээ,1997,528
ААНБ болон өрхөд түгээсэн-Бүгд,1997,5997
"Үйлдвэр, барилга",1997,1778
"Тээвэр, холбоо",1997,250
Хөдөө аж ахуй,1997,46
"Өрх, орон сууц, нийтийн аж ахуй",1997,3126
Бусад,1997,796
Түгээлтийн алдагдал,1997,27
Үйлдвэрлэсэн,1998,6722
Дулааны цахилгаан станцын дотоод хэрэглээ,1998,733
ААНБ болон өрхөд түгээсэн-Бүгд,1998,5769
"Үйлдвэр, барилга",1998,1730
"Тээвэр, холбоо",1998,202
Хөдөө аж ахуй,1998,327
"Өрх, орон сууц, нийтийн аж ахуй",1998,2743
Бусад,1998,769
Түгээлтийн алдагдал,1998,220
Үйлдвэрлэсэн,1999,6762
Дулааны цахилгаан станцын дотоод хэрэглээ,1999,75
ААНБ болон өрхөд түгээсэн-Бүгд,1999,6410
"Үйлдвэр, барилга",1999,1995
"Тээвэр, холбоо",1999,435
Хөдөө аж ахуй,1999,49
"Өрх, орон сууц, нийтийн аж ахуй",1999,3235
Бусад,1999,696
Түгээлтийн алдагдал,1999,277
Үйлдвэрлэсэн,2000,6885
Дулааны цахилгаан станцын дотоод хэрэглээ,2000,138
ААНБ болон өрхөд түгээсэн-Бүгд,2000,6514
"Үйлдвэр, барилга",2000,2620
"Тээвэр, холбоо",2000,411
Хөдөө аж ахуй,2000,33
"Өрх, орон сууц, нийтийн аж ахуй",2000,2655
Бусад,2000,795
Түгээлтийн алдагдал,2000,233
