сар,үзүүлэлт,утга
2021-04,БҮГД | Жилийн төлөвлөгөө,235400.0
2021-04,БҮГД | Өссөн дүнгийн гүйцэтгэл,84426.4
2021-04,Газрын тосны экспорт | Биелэлт (%),35.9
2021-04,Газрын тосны экспорт | Жилийн төлөвлөгөө,183200.0
2021-04,Газрын тосны экспорт | Өссөн дүнгийн гүйцэтгэл,65710.2
2021-04,Газрын тосны үйлчилгээний орлого | Биелэлт (%),79.4
2021-04,Газрын тосны үйлчилгээний орлого | Жилийн төлөвлөгөө,873.9
2021-04,Газрын тосны үйлчилгээний орлого | Өссөн дүнгийн гүйцэтгэл,693.7
2021-04,Сонгон шалгаруулалт | Биелэлт (%),61.3
2021-04,Сонгон шалгаруулалт | Жилийн төлөвлөгөө,16000.0
2021-04,Сонгон шалгаруулалт | Өссөн дүнгийн гүйцэтгэл,9811.2
2021-04,Улсын төсвийн хөрөнгөөр хайгуул хийсэн ордын нөхөн төлбөр | Биелэлт (%),11.4
2021-04,Улсын төсвийн хөрөнгөөр хайгуул хийсэн ордын нөхөн төлбөр | Жилийн төлөвлөгөө,2500.0
2021-04,Улсын төсвийн хөрөнгөөр хайгуул хийсэн ордын нөхөн төлбөр | Өссөн дүнгийн гүйцэтгэл,284.2
2021-05,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Биелэлт (%),33.6
2021-05,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Жилийн төлөвлөгөө,31200.0
2021-05,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Өссөн дүнгийн гүйцэтгэл,10498.3
2021-05,Ашигт малтмалын үйлчилгээний орлого | Биелэлт (%),49.1
2021-05,Ашигт малтмалын үйлчилгээний орлого | Жилийн төлөвлөгөө,1626.1
2021-05,Ашигт малтмалын үйлчилгээний орлого | Өссөн дүнгийн гүйцэтгэл,797.7
2021-05,БҮГД | Биелэлт (%),45.9
2021-05,БҮГД | Жилийн төлөвлөгөө,235400.0
2021-05,БҮГД | Өссөн дүнгийн гүйцэтгэл,108155.2
2021-05,Газрын тосны экспорт | Биелэлт (%),46.9
2021-05,Газрын тосны экспорт | Жилийн төлөвлөгөө,183200.0
2021-05,Газрын тосны экспорт | Өссөн дүнгийн гүйцэтгэл,85920.0
2021-05,Газрын тосны үйлчилгээний орлого | Биелэлт (%),94.0
2021-05,Газрын тосны үйлчилгээний орлого | Жилийн төлөвлөгөө,873.9
2021-05,Газрын тосны үйлчилгээний орлого | Өссөн дүнгийн гүйцэтгэл,821.7
2021-05,Сонгон шалгаруулалт | Биелэлт (%),61.3
