сар,үзүүлэлт,температур
2010-02,Хамгийн их,-4.6
2010-03,Дундаж,-11.5
2010-03,Хамгийн бага,-29.1
2010-03,Хамгийн их,7.8
2010-04,Дундаж,-2.2
2010-04,Хамгийн бага,-17.0
2010-04,Хамгийн их,22.3
2010-05,Дундаж,12.1
2010-05,Хамгийн бага,-1.5
2010-05,Хамгийн их,29.5
2010-06,Дундаж,19.4
2010-06,Хамгийн бага,3.4
2010-06,Хамгийн их,38.3
2010-07,Дундаж,21.7
2010-07,Хамгийн бага,7.4
2010-07,Хамгийн их,37.4
2010-08,Дундаж,15.6
2010-08,Хамгийн бага,2.4
2010-08,Хамгийн их,30.1
2010-09,Дундаж,12.2
2010-09,Хамгийн бага,-5.3
2010-09,Хамгийн их,31.5
2010-10,Дундаж,1.6
2010-10,Хамгийн бага,-9.8
2010-10,Хамгийн их,21.9
2010-11,Дундаж,-8.9
2010-11,Хамгийн бага,-23.9
2010-11,Хамгийн их,8.1
2010-12,Дундаж,-19.0
2010-12,Хамгийн бага,-33.0
2010-12,Хамгийн их,-3.0
2011-01,Дундаж,-23.8
2011-01,Хамгийн бага,-32.5
2011-01,Хамгийн их,-10.5
2011-02,Дундаж,-15.6
2011-02,Хамгийн бага,-27.5
2011-02,Хамгийн их,1.8
2011-03,Дундаж,-9.6
2011-03,Хамгийн бага,-27.1
2011-03,Хамгийн их,12.6
2011-04,Дундаж,4.2
2011-04,Хамгийн бага,-10.2
2011-04,Хамгийн их,23.5
2011-05,Дундаж,8.2
2011-05,Хамгийн бага,-5.4
2011-05,Хамгийн их,26.8
2011-06,Дундаж,17.3
2011-06,Хамгийн бага,5.9
2011-06,Хамгийн их,32.1
2011-07,Дундаж,17.4
2011-07,Хамгийн бага,6.1
2011-07,Хамгийн их,29.7
2011-08,Дундаж,18.4
2011-08,Хамгийн бага,5.7
2011-08,Хамгийн их,31.8
2011-09,Дундаж,8.0
2011-09,Хамгийн бага,-6.9
2011-09,Хамгийн их,23.9
2011-10,Дундаж,3.7
2011-10,Хамгийн бага,-7.7
2011-10,Хамгийн их,22.0
2011-11,Дундаж,-10.4
2011-11,Хамгийн бага,-24.6
2011-11,Хамгийн их,9.3
2011-12,Дундаж,-22.1
2011-12,Хамгийн бага,-31.5
2011-12,Хамгийн их,-11.4
2012-01,Дундаж,-25.5
2012-01,Хамгийн бага,-37.0
2012-01,Хамгийн их,-11.6
2012-02,Дундаж,-20.2
2012-02,Хамгийн бага,-34.4
2012-02,Хамгийн их,-6.4
2012-03,Дундаж,-8.0
2012-03,Хамгийн бага,-23.9
2012-03,Хамгийн их,14.0
2012-04,Дундаж,2.7
2012-04,Хамгийн бага,-9.7
2012-04,Хамгийн их,21.7
2012-05,Дундаж,11.5
2012-05,Хамгийн бага,-2.0
2012-05,Хамгийн их,29.5
2012-06,Дундаж,15.2
2012-06,Хамгийн бага,4.0
2012-06,Хамгийн их,32.7
2012-07,Дундаж,18.0
2012-07,Хамгийн бага,7.5
2012-07,Хамгийн их,29.4
2012-08,Дундаж,15.9
2012-08,Хамгийн бага,0.0
2012-08,Хамгийн их,30.9
2012-09,Дундаж,11.6
2012-09,Хамгийн бага,-1.9
2012-09,Хамгийн их,27.4
2012-10,Дундаж,0.2
2012-10,Хамгийн бага,-14.1
2012-10,Хамгийн их,17.8
2012-11,Дундаж,-12.3
2012-11,Хамгийн бага,-28.4
2012-11,Хамгийн их,8.1
2012-12,Дундаж,-22.4
2012-12,Хамгийн бага,-32.9
2012-12,Хамгийн их,-9.5
2013-01,Дундаж,-20.8
2013-01,Хамгийн бага,-33.2
2013-01,Хамгийн их,-7.1
2013-02,Дундаж,-19.4
2013-02,Хамгийн бага,-29.9
2013-02,Хамгийн их,-2.5
2013-03,Дундаж,-6.3
2013-03,Хамгийн бага,-20.8
2013-03,Хамгийн их,9.6
2013-04,Дундаж,0.2
2013-04,Хамгийн бага,-14.8
2013-04,Хамгийн их,19.5
2013-05,Дундаж,11.6
2013-05,Хамгийн бага,-1.1
2013-05,Хамгийн их,28.7
2013-06,Дундаж,15.8
2013-06,Хамгийн бага,1.8
2013-06,Хамгийн их,29.5
2013-07,Дундаж,17.9
2013-07,Хамгийн бага,7.3
2013-07,Хамгийн их,30.0
2013-08,Дундаж,15.5
2013-08,Хамгийн бага,3.4
2013-08,Хамгийн их,27.4
2013-09,Дундаж,9.3
2013-09,Хамгийн бага,-4.2
2013-09,Хамгийн их,26.5
2013-10,Дундаж,1.0
2013-10,Хамгийн бага,-12.4
2013-10,Хамгийн их,20.2
2013-11,Дундаж,-8.0
2013-11,Хамгийн бага,-20.6
2013-11,Хамгийн их,9.1
2013-12,Дундаж,-15.9
2013-12,Хамгийн бага,-28.7
2013-12,Хамгийн их,-3.1
2014-01,Дундаж,-18.5
2014-01,Хамгийн бага,-31.6
2014-01,Хамгийн их,-3.7
2014-02,Дундаж,-18.4
2014-02,Хамгийн бага,-29.5
2014-02,Хамгийн их,2.1
2014-03,Дундаж,-4.7
2014-03,Хамгийн бага,-22.2
2014-03,Хамгийн их,12.1
2014-04,Дундаж,6.9
2014-04,Хамгийн бага,-8.0
2014-04,Хамгийн их,23.0
2014-05,Дундаж,8.2
2014-05,Хамгийн бага,-8.0
2014-05,Хамгийн их,32.6
2014-06,Дундаж,15.4
2014-06,Хамгийн бага,0.1
2014-06,Хамгийн их,29.6
2014-07,Дундаж,17.9
2014-07,Хамгийн бага,8.4
2014-07,Хамгийн их,32.5
2014-08,Дундаж,16.3
2014-08,Хамгийн бага,4.6
2014-08,Хамгийн их,29.0
2014-09,Дундаж,9.9
2014-09,Хамгийн бага,-8.8
2014-09,Хамгийн их,31.7
2014-10,Дундаж,3.7
2014-10,Хамгийн бага,-8.7
2014-10,Хамгийн их,17.1
2014-11,Дундаж,-8.2
2014-11,Хамгийн бага,-23.8
2014-11,Хамгийн их,9.2
2014-12,Дундаж,-16.6
2014-12,Хамгийн бага,-26.7
2014-12,Хамгийн их,-6.3
2015-01,Дундаж,-15.6
2015-01,Хамгийн бага,-26.7
2015-01,Хамгийн их,-3.6
2015-02,Дундаж,-12.9
2015-02,Хамгийн бага,-24.8
2015-02,Хамгийн их,2.7
2015-03,Дундаж,-6.2
2015-03,Хамгийн бага,-22.4
2015-03,Хамгийн их,17.5
2015-04,Дундаж,4.1
2015-04,Хамгийн бага,-17.0
2015-04,Хамгийн их,27.0
2015-05,Дундаж,9.0
2015-05,Хамгийн бага,-5.0
2015-05,Хамгийн их,28.0
2015-06,Дундаж,16.7
2015-06,Хамгийн бага,3.0
2015-06,Хамгийн их,31.1
2015-07,Дундаж,20.3
2015-07,Хамгийн бага,10.0
2015-07,Хамгийн их,34.0
2015-08,Дундаж,18.8
2015-08,Хамгийн бага,7.8
2015-08,Хамгийн их,33.7
2015-09,Дундаж,10.7
2015-09,Хамгийн бага,-2.6
2015-09,Хамгийн их,27.3
2015-10,Дундаж,2.9
2015-10,Хамгийн бага,-8.9
2015-10,Хамгийн их,20.2
2015-11,Дундаж,-10.9
2015-11,Хамгийн бага,-30.2
2015-11,Хамгийн их,10.3
2015-12,Дундаж,-15.7
2015-12,Хамгийн бага,-30.4
2015-12,Хамгийн их,-6.9
2016-01,Дундаж,-23.9
2016-01,Хамгийн бага,-32.0
2016-01,Хамгийн их,-12.3
2016-02,Дундаж,-16.2
2016-02,Хамгийн бага,-26.8
2016-02,Хамгийн их,-1.2
2016-03,Дундаж,-4.7
2016-03,Хамгийн бага,-24.4
2016-03,Хамгийн их,12.7
2016-04,Дундаж,3.5
2016-04,Хамгийн бага,-8.9
2016-04,Хамгийн их,18.7
2016-05,Дундаж,9.1
2016-05,Хамгийн бага,-7.3
2016-05,Хамгийн их,28.0
2016-06,Дундаж,15.6
2016-06,Хамгийн бага,6.8
2016-06,Хамгийн их,29.4
2016-07,Дундаж,20.7
2016-07,Хамгийн бага,8.6
2016-07,Хамгийн их,34.6
2016-08,Дундаж,17.6
2016-08,Хамгийн бага,2.2
2016-08,Хамгийн их,36.7
2016-09,Дундаж,10.6
2016-09,Хамгийн бага,-4.1
2016-09,Хамгийн их,22.8
2016-10,Дундаж,-1.7
2016-10,Хамгийн бага,-19.2
2016-10,Хамгийн их,18.8
2016-11,Дундаж,-13.7
2016-11,Хамгийн бага,-31.5
2016-11,Хамгийн их,6.7
2016-12,Дундаж,-16.5
2016-12,Хамгийн бага,-26.9
2016-12,Хамгийн их,-4.3
2017-01,Дундаж,-20.0
2017-01,Хамгийн бага,-31.4
2017-01,Хамгийн их,-4.8
2017-02,Дундаж,-13.7
2017-02,Хамгийн бага,-25.6
2017-02,Хамгийн их,-0.8
2017-03,Дундаж,-4.2
2017-03,Хамгийн бага,-15.9
2017-03,Хамгийн их,13.1
2017-04,Дундаж,5.0
2017-04,Хамгийн бага,-8.2
2017-04,Хамгийн их,23.1
2017-05,Дундаж,12.7
2017-05,Хамгийн бага,-6.0
2017-05,Хамгийн их,31.4
2017-06,Дундаж,19.3
2017-06,Хамгийн бага,4.0
2017-06,Хамгийн их,34.5
2017-07,Дундаж,21.0
2017-07,Хамгийн бага,9.0
2017-07,Хамгийн их,36.9
2017-08,Дундаж,15.8
2017-08,Хамгийн бага,3.4
2017-08,Хамгийн их,29.0
2017-09,Дундаж,9.7
2017-09,Хамгийн бага,-6.1
2017-09,Хамгийн их,26.1
2017-10,Дундаж,0.7
2017-10,Хамгийн бага,-10.8
2017-10,Хамгийн их,17.7
2017-11,Дундаж,-12.2
2017-11,Хамгийн бага,-26.7
2017-11,Хамгийн их,9.4
2017-12,Дундаж,-16.7
2017-12,Хамгийн бага,-25.5
2017-12,Хамгийн их,-1.5
2018-01,Дундаж,-22.4
2018-01,Хамгийн бага,-33.8
2018-01,Хамгийн их,-10.0
2018-02,Дундаж,-17.7
2018-02,Хамгийн бага,-28.3
2018-02,Хамгийн их,-2.9
2018-03,Дундаж,-2.0
2018-03,Хамгийн бага,-22.1
2018-03,Хамгийн их,18.9
2018-04,Дундаж,4.5
2018-04,Хамгийн бага,-14.1
2018-04,Хамгийн их,24.1
2018-05,Дундаж,13.5
2018-05,Хамгийн бага,-3.7
2018-05,Хамгийн их,32.3
2018-06,Дундаж,17.9
2018-06,Хамгийн бага,4.4
2018-06,Хамгийн их,32.4
2018-07,Дундаж,17.8
2018-07,Хамгийн бага,5.8
2018-07,Хамгийн их,32.0
2018-08,Дундаж,17.5
2018-08,Хамгийн бага,8.4
2018-08,Хамгийн их,28.4
2018-09,Дундаж,8.3
2018-09,Хамгийн бага,-2.6
2018-09,Хамгийн их,22.2
2018-10,Дундаж,2.8
2018-10,Хамгийн бага,-10.6
2018-10,Хамгийн их,18.3
2018-11,Дундаж,-8.8
2018-11,Хамгийн бага,-22.3
2018-11,Хамгийн их,12.8
2018-12,Дундаж,-20.3
2018-12,Хамгийн бага,-31.1
2018-12,Хамгийн их,-1.9
2019-01,Дундаж,-17.9
2019-01,Хамгийн бага,-29.6
2019-01,Хамгийн их,-4.6
2019-02,Дундаж,-16.7
2019-02,Хамгийн бага,-32.7
2019-02,Хамгийн их,3.8
2019-03,Дундаж,-3.8
