ангилал,он,утга
Зүүн бүс,2016,11.4
Зүүн бүс,2015,10.7
Зүүн бүс,2014,13.1
Зүүн бүс,2013,11.2
Зүүн бүс,2012,10.8
Зүүн бүс,2011,11.1
Зүүн бүс,2010,10.5
Зүүн бүс,2009,9.1
Улаанбаатар,2024,5.8
Улаанбаатар,2023,5.0
Улаанбаатар,2022,5.8
Улаанбаатар,2021,8.1
Улаанбаатар,2020,6.3
Улаанбаатар,2019,11.2
Улаанбаатар,2018,7.6
Улаанбаатар,2017,7.5
Улаанбаатар,2016,9.1
Улаанбаатар,2015,6.9
Улаанбаатар,2014,5.1
Улаанбаатар,2013,4.6
Улаанбаатар,2012,7.1
Улаанбаатар,2011,5.6
Улаанбаатар,2010,8.7
Улаанбаатар,2009,14.0
Хөгжлийн бэрхшээлтэй,2024,6.2
Хөгжлийн бэрхшээлтэй,2023,6.4
Хөгжлийн бэрхшээлтэй,2022,11.1
Хөгжлийн бэрхшээлтэй,2021,11.7
Хөгжлийн бэрхшээлтэй,2020,6.1
Хөгжлийн бэрхшээлтэй,2019,11.0
Хөгжлийн бэрхшээлтэй,2018,4.6
Хөгжлийн бэрхшээлтэй,2017,6.9
Хөгжлийн бэрхшээлтэй,2016,5.8
Хөгжлийн бэрхшээлтэй,2015,6.1
Хөгжлийн бэрхшээлтэй,2014,6.2
Хөгжлийн бэрхшээлтэй,2013,8.3
Хөгжлийн бэрхшээлтэй,2012,9.9
Хөгжлийн бэрхшээлтэй,2011,9.1
Хөгжлийн бэрхшээлтэй,2010,12.7
Хөгжлийн бэрхшээлтэй,2009,14.7
Хөгжлийн бэрхшээлгүй,2024,5.9
Хөгжлийн бэрхшээлгүй,2023,5.3
Хөгжлийн бэрхшээлгүй,2022,6.3
Хөгжлийн бэрхшээлгүй,2021,8.3
Хөгжлийн бэрхшээлгүй,2020,6.8
Хөгжлийн бэрхшээлгүй,2019,9.8
Хөгжлийн бэрхшээлгүй,2018,7.8
Хөгжлийн бэрхшээлгүй,2017,8.8
Хөгжлийн бэрхшээлгүй,2016,10.1
Хөгжлийн бэрхшээлгүй,2015,7.5
Хөгжлийн бэрхшээлгүй,2014,8.0
Хөгжлийн бэрхшээлгүй,2013,7.9
Хөгжлийн бэрхшээлгүй,2012,8.2
Хөгжлийн бэрхшээлгүй,2011,7.7
Хөгжлийн бэрхшээлгүй,2010,9.8
Хөгжлийн бэрхшээлгүй,2009,11.5
