он,гэмт_хэргийн_төрөл,тоо
2023,Хүрээлэн байгаа орчны эсрэг,472
2023,Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,400
2023,Цахим мэдээллийн аюулгүй байдлын эсрэг,388
2023,Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,357
2023,Эдийн засгийн гэмт хэрэг,200
2023,Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,125
2023,Хүүхдийн эсрэг гэмт хэрэг,68
2023,Эрүүл мэндийн эсрэг,39
2023,Цэргийн албаны эсрэг гэмт хэрэг,13
2023,Соёлын өвийн эсрэг,12
2023,Үндэсний аюулгүй байдлын эсрэг,2
2023,"Хүний хувийн улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",1
2024,Өмчлөх эрхийн эсрэг,27971
2024,Хүний эрүүл мэндийн халдашгүй байдлын эсрэг,8935
2024,ХАБТХАЖ-ын эсрэг гэмт хэрэг,3167
2024,Хүний амьд явах эрхийн эсрэг,852
2024,"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",847
2024,Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,586
2024,Хүрээлэн байгаа орчны эсрэг,489
2024,Цахим мэдээллийн аюулгүй байдлын эсрэг,406
2024,"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг",378
2024,Эдийн засгийн гэмт хэрэг,336
2024,Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,321
2024,Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,166
2024,Хүүхдийн эсрэг гэмт хэрэг,66
2024,Эрүүл мэндийн эсрэг,48
2024,"Хүний хувийн улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",42
2024,Соёлын өвийн эсрэг,24
2024,Цэргийн албаны эсрэг гэмт хэрэг,21
2024,Үндэсний аюулгүй байдлын эсрэг,1
