хүйс,бүс,он,оюутан
Эмэгтэй,Төв,2025,2359.0
Эмэгтэй,Төвийн бүс,2025,506.0
Эмэгтэй,Увс,2025,2918.0
Эмэгтэй,Улаанбаатар,2025,47342.0
Эмэгтэй,Улаанбаатар,2025,47342.0
Эмэгтэй,Улсын дүн,2025,99483.0
Эмэгтэй,Хангайн бүс,2025,17194.0
Эмэгтэй,Ховд,2025,2962.0
Эмэгтэй,Хэнтий,2025,2272.0
Эмэгтэй,Хөвсгөл,2025,3930.0
Эмэгтэй,Өвөрхангай,2025,3360.0
Эмэгтэй,Өмнөговь,2025,2994.0
Эрэгтэй,Архангай,2025,1539.0
Эрэгтэй,Баруун бүс,2025,6985.0
Эрэгтэй,Баян-Өлгий,2025,1111.0
Эрэгтэй,Баянхонгор,2025,1159.0
Эрэгтэй,Булган,2025,888.0
Эрэгтэй,Говь-Алтай,2025,1117.0
Эрэгтэй,Говьсүмбэр,2025,298.0
Эрэгтэй,Дархан-Уул,2025,1919.0
Эрэгтэй,Дорноговь,2025,1034.0
Эрэгтэй,Дорнод,2025,1176.0
Эрэгтэй,Дундговь,2025,678.0
Эрэгтэй,Завхан,2025,1459.0
Эрэгтэй,Зүүн бүс,2025,3372.0
Эрэгтэй,Орхон,2025,2034.0
Эрэгтэй,Сэлэнгэ,2025,1702.0
Эрэгтэй,Сүхбаатар,2025,896.0
Эрэгтэй,Төв,2025,1448.0
Эрэгтэй,Төвийн бүс,2025,8253.0
Эрэгтэй,Увс,2025,1649.0
Эрэгтэй,Улаанбаатар,2025,31989.0
Эрэгтэй,Улаанбаатар,2025,31989.0
Эрэгтэй,Улсын дүн,2025,62408.0
Эрэгтэй,Хангайн бүс,2025,9548.0
Эрэгтэй,Ховд,2025,1649.0
Эрэгтэй,Хэнтий,2025,1300.0
Эрэгтэй,Хөвсгөл,2025,2028.0
Эрэгтэй,Өвөрхангай,2025,1900.0
Эрэгтэй,Өмнөговь,2025,1174.0
