бүс,үнэ
Архангай,5000.0
Баян-Өлгий,4000.0
Баянхонгор,7500.0
Булган,4500.0
Говь-Алтай,5000.0
Говьсүмбэр,4200.0
Дархан-Уул,3600.0
Дорноговь,4750.0
Дорнод,3925.0
Дундговь,6000.0
Завхан,5000.0
Орхон,3500.0
Сэлэнгэ,3000.0
Сүхбаатар,3500.0
Төв,4000.0
Увс,4500.0
Ховд,5000.0
Хэнтий,4000.0
Хөвсгөл,4500.0
Өвөрхангай,5833.0
Өмнөговь,5000.0
