month,commodity,price
2021-09,Silver (USD/troy oz),23.3
2021-09,Tin (USD/tonne),35048.2
2021-09,"Tungsten, 65% (USD/tonne)",17005.2
2021-09,Uranium (USD/kg),93.9
2021-09,Zinc (USD/tonne),3042.0
2021-10,Copper (USD/tonne),9778.5
2021-10,Fluorspar concentrate FF-97 (USD/tonne),320.0
2021-10,Fluorspar ore FK-85 (USD/tonne),290.0
2021-10,Gold (USD/troy oz),1775.7
2021-10,"Iron concentrate, 60% (USD/tonne)",101.8
2021-10,"Iron ore, 56% (USD/tonne)",74.3
2021-10,Lead (USD/tonne),2339.5
2021-10,"Manganese, 36% (USD/tonne)",203.6
2021-10,Molybdenum (USD/tonne),42028.5
2021-10,Silver (USD/troy oz),23.3
2021-10,Tin (USD/tonne),37962.4
2021-10,"Tungsten, 65% (USD/tonne)",17334.3
2021-10,"Tungsten, 99% (USD/tonne)",41330.0
2021-10,Uranium (USD/kg),99.6
2021-10,Zinc (USD/tonne),3370.1
2021-11,Copper (USD/tonne),9764.6
2021-11,Fluorspar concentrate FF-97 (USD/tonne),320.0
2021-11,Fluorspar ore FK-85 (USD/tonne),275.0
2021-11,Gold (USD/troy oz),1820.3
2021-11,"Iron concentrate, 60% (USD/tonne)",82.7
2021-11,"Iron ore, 56% (USD/tonne)",57.2
2021-11,Lead (USD/tonne),2347.0
2021-11,"Manganese, 36% (USD/tonne)",201.0
2021-11,Molybdenum (USD/tonne),41826.7
2021-11,Silver (USD/troy oz),24.2
2021-11,Tin (USD/tonne),39307.2
2021-11,"Tungsten, 65% (USD/tonne)",16951.2
2021-11,"Tungsten, 99% (USD/tonne)",41840.0
2021-11,Uranium (USD/kg),100.9
2021-11,Zinc (USD/tonne),3316.7
2021-12,Copper (USD/tonne),9550.3
2021-12,Fluorspar concentrate FF-97 (USD/tonne),320.0
2021-12,Fluorspar ore FK-85 (USD/tonne),275.0
2021-12,Gold (USD/troy oz),1787.6
2021-12,Lead (USD/tonne),2304.8
2021-12,"Manganese, 36% (USD/tonne)",189.6
2021-12,Molybdenum (USD/tonne),41182.3
2021-12,Silver (USD/troy oz),22.5
2021-12,Tin (USD/tonne),39573.8
2021-12,"Tungsten, 65% (USD/tonne)",17030.2
2021-12,"Tungsten, 99% (USD/tonne)",41630.0
2021-12,Uranium (USD/kg),92.7
2021-12,Zinc (USD/tonne),3407.9
2022-01,Copper (USD/tonne),9774.5
2022-01,Fluorspar concentrate FF-97 (USD/tonne),335.0
2022-01,Fluorspar ore FK-85 (USD/tonne),290.0
2022-01,Gold (USD/troy oz),1817.8
2022-01,"Iron concentrate, 60% (USD/tonne)",119.3
2022-01,"Iron ore, 56% (USD/tonne)",97.6
2022-01,Lead (USD/tonne),2342.0
2022-01,"Manganese, 36% (USD/tonne)",189.8
2022-01,Molybdenum (USD/tonne),41910.9
2022-01,Silver (USD/troy oz),23.2
2022-01,Tin (USD/tonne),41789.6
2022-01,"Tungsten, 65% (USD/tonne)",17928.2
2022-01,"Tungsten, 99% (USD/tonne)",43680.0
2022-01,Uranium (USD/kg),95.0
2022-01,Zinc (USD/tonne),3609.3
2022-02,Copper (USD/tonne),9774.5
2022-02,Fluorspar concentrate FF-97 (USD/tonne),335.0
2022-02,Fluorspar ore FK-85 (USD/tonne),290.0
2022-02,Gold (USD/troy oz),1817.8
2022-02,"Iron concentrate, 60% (USD/tonne)",119.3
2022-02,"Iron ore, 56% (USD/tonne)",97.6
2022-02,Lead (USD/tonne),2342.0
2022-02,"Manganese, 36% (USD/tonne)",189.8
2022-02,Molybdenum (USD/tonne),41910.9
2022-02,Silver (USD/troy oz),23.2
2022-02,Tin (USD/tonne),41789.6
2022-02,"Tungsten, 65% (USD/tonne)",17928.2
2022-02,"Tungsten, 99% (USD/tonne)",43680.0
2022-02,Uranium (USD/kg),95.0
2022-02,Zinc (USD/tonne),3609.3
2022-03,Copper (USD/tonne),9940.0
2022-03,Fluorspar concentrate FF-97 (USD/tonne),370.0
2022-03,Fluorspar ore FK-85 (USD/tonne),342.5
2022-03,Gold (USD/troy oz),1857.0
2022-03,"Iron concentrate, 60% (USD/tonne)",128.7
2022-03,"Iron ore, 56% (USD/tonne)",109.7
2022-03,Lead (USD/tonne),2299.2
2022-03,"Manganese, 36% (USD/tonne)",191.1
2022-03,Molybdenum (USD/tonne),41786.4
2022-03,Silver (USD/troy oz),23.5
2022-03,Tin (USD/tonne),44104.1
2022-03,"Tungsten, 65% (USD/tonne)",18542.2
2022-03,"Tungsten, 99% (USD/tonne)",46160.0
2022-03,Uranium (USD/kg),107.5
2022-03,Zinc (USD/tonne),3643.7
2022-04,Copper (USD/tonne),10237.6
2022-04,Gold (USD/troy oz),1947.6
2022-04,"Iron concentrate, 60% (USD/tonne)",137.0
2022-04,"Iron ore, 56% (USD/tonne)",111.4
2022-04,Lead (USD/tonne),2359.5
2022-04,"Manganese, 36% (USD/tonne)",201.7
2022-04,Molybdenum (USD/tonne),42328.7
2022-04,Silver (USD/troy oz),25.2
2022-04,Tin (USD/tonne),44248.9
2022-04,"Tungsten, 65% (USD/tonne)",18497.1
2022-04,"Tungsten, 99% (USD/tonne)",47170.0
2022-04,Uranium (USD/kg),128.3
2022-04,Zinc (USD/tonne),3974.3
2022-05,Copper (USD/tonne),10182.3
2022-05,Fluorspar concentrate FF-97 (USD/tonne),370.0
2022-05,Fluorspar ore FK-85 (USD/tonne),342.5
2022-05,Gold (USD/troy oz),1936.3
2022-05,"Iron concentrate, 60% (USD/tonne)",136.4
2022-05,"Iron ore, 56% (USD/tonne)",93.0
2022-05,Lead (USD/tonne),2396.1
2022-05,"Manganese, 36% (USD/tonne)",203.5
2022-05,Molybdenum (USD/tonne),42430.8
2022-05,Silver (USD/troy oz),24.6
2022-05,Tin (USD/tonne),43099.7
2022-05,"Tungsten, 65% (USD/tonne)",18494.9
2022-05,"Tungsten, 99% (USD/tonne)",47500.0
2022-05,Uranium (USD/kg),116.8
2022-05,Zinc (USD/tonne),4370.4
2022-06,Copper (USD/tonne),9362.1
2022-06,Fluorspar concentrate FF-97 (USD/tonne),370.0
2022-06,Fluorspar ore FK-85 (USD/tonne),342.5
2022-06,Gold (USD/troy oz),1849.9
2022-06,"Iron concentrate, 60% (USD/tonne)",115.1
2022-06,"Iron ore, 56% (USD/tonne)",77.5
2022-06,Lead (USD/tonne),2144.5
2022-06,"Manganese, 36% (USD/tonne)",201.2
2022-06,Molybdenum (USD/tonne),41371.3
2022-06,Silver (USD/troy oz),21.9
2022-06,Tin (USD/tonne),35913.3
2022-06,"Tungsten, 65% (USD/tonne)",16731.6
2022-06,"Tungsten, 99% (USD/tonne)",45610.0
2022-06,Uranium (USD/kg),105.3
2022-06,Zinc (USD/tonne),3758.8
2022-07,Copper (USD/tonne),9032.0
2022-07,Fluorspar concentrate FF-97 (USD/tonne),370.0
2022-07,Fluorspar ore FK-85 (USD/tonne),370.0
