бүс,он,тариалсан_талбай
Булган,1960,16.9
Булган,1961,24.17
Булган,1962,26.95
Булган,1963,30.39
Булган,1964,28.16
Булган,1965,27.62
Булган,1966,29.32
Булган,1967,32.21
Булган,1968,32.86
Булган,1969,31.27
Булган,1970,29.7
Булган,1971,29.75
Булган,1972,30.31
Булган,1973,30.44
Булган,1974,31.32
Булган,1975,31.4
Булган,1976,33.24
Булган,1977,32.86
Булган,1978,43.5
Булган,1979,44.7
Булган,1980,45.95
Булган,1981,45.99
Булган,1982,45.73
Булган,1983,54.3
Булган,1984,67.12
Булган,1985,72.84
Булган,1986,77.79
Булган,1987,82.24
Булган,1988,78.84
Булган,1989,78.08
Булган,1990,76.12
Булган,1991,66.66
Булган,1992,63.17
Булган,1993,61.65
Булган,1994,54.74
Булган,1995,42.48
Булган,1996,38.9
Булган,1997,37.59
Булган,1998,27.52
Булган,1999,29.02
Булган,2000,27.03
Булган,2001,28.47
Булган,2002,30.35
Булган,2003,29.68
Булган,2004,25.0
Булган,2005,21.17
Булган,2006,19.25
Булган,2007,17.64
Булган,2008,17.64
Булган,2009,28.51
Булган,2010,33.19
Булган,2011,32.64
Булган,2012,36.03
Булган,2013,33.87
Булган,2014,37.42
Булган,2015,41.24
Булган,2016,42.3
Булган,2017,48.8
Булган,2018,48.54
Булган,2019,50.79
Булган,2020,49.61
Булган,2021,57.98
Булган,2022,54.33
Булган,2023,55.83
Булган,2024,52.54
Булган,2025,51.55
Дархан-Уул,1960,0.0
Дархан-Уул,1961,0.0
Дархан-Уул,1962,0.0
Дархан-Уул,1963,0.0
Дархан-Уул,1964,0.0
Дархан-Уул,1965,0.0
Дархан-Уул,1966,0.0
Дархан-Уул,1967,0.0
Дархан-Уул,1968,0.0
Дархан-Уул,1969,0.0
Дархан-Уул,1970,0.0
Дархан-Уул,1971,0.0
Дархан-Уул,1972,0.0
Дархан-Уул,1973,0.0
Дархан-Уул,1974,0.19
Дархан-Уул,1975,0.24
Дархан-Уул,1976,0.26
Дархан-Уул,1977,0.26
Дархан-Уул,1978,0.33
Дархан-Уул,1979,3.91
Дархан-Уул,1980,0.46
Дархан-Уул,1981,23.57
Дархан-Уул,1982,24.67
Дархан-Уул,1983,24.04
Дархан-Уул,1984,19.04
Дархан-Уул,1985,21.26
Дархан-Уул,1986,21.02
Дархан-Уул,1987,20.86
Дархан-Уул,1988,23.13
Дархан-Уул,1989,20.72
Дархан-Уул,1990,21.49
Дархан-Уул,1991,19.65
Дархан-Уул,1992,20.2
Дархан-Уул,1993,18.08
Дархан-Уул,1994,17.42
Дархан-Уул,1995,17.3
Дархан-Уул,1996,15.1
Дархан-Уул,1997,13.85
Дархан-Уул,1998,11.41
Дархан-Уул,1999,13.76
Дархан-Уул,2000,14.6
Дархан-Уул,2001,14.5
Дархан-Уул,2002,15.9
Дархан-Уул,2003,14.82
Дархан-Уул,2004,9.96
Дархан-Уул,2005,8.98
Дархан-Уул,2006,5.75
Дархан-Уул,2007,10.78
Дархан-Уул,2008,8.23
Дархан-Уул,2009,12.06
Дархан-Уул,2010,13.73
Дархан-Уул,2011,14.39
Дархан-Уул,2012,15.61
Дархан-Уул,2013,18.56
Дархан-Уул,2014,19.08
Дархан-Уул,2015,21.05
Дархан-Уул,2016,19.07
Дархан-Уул,2017,22.58
Дархан-Уул,2018,20.56
Дархан-Уул,2019,21.09
Дархан-Уул,2020,20.1
Дархан-Уул,2021,25.29
Дархан-Уул,2022,22.31
Дархан-Уул,2023,23.0
Дархан-Уул,2024,21.29
Дархан-Уул,2025,17.81
Дорнод,1960,18.71
Дорнод,1961,25.86
Дорнод,1962,38.37
Дорнод,1963,37.59
Дорнод,1964,42.32
Дорнод,1965,43.24
Дорнод,1966,39.62
Дорнод,1967,33.75
Дорнод,1968,30.03
Дорнод,1969,28.48
Дорнод,1970,23.31
Дорнод,1971,18.43
Дорнод,1972,18.18
Дорнод,1973,19.37
Дорнод,1974,19.75
Дорнод,1975,21.84
Дорнод,1976,24.34
Дорнод,1977,27.77
Дорнод,1978,29.82
Дорнод,1979,30.28
Дорнод,1980,32.26
Дорнод,1981,31.81
Дорнод,1982,27.71
Дорнод,1983,32.11
Дорнод,1984,31.52
Дорнод,1985,33.6
Дорнод,1986,34.65
Дорнод,1987,43.37
Дорнод,1988,45.88
Дорнод,1989,48.14
Дорнод,1990,43.86
Дорнод,1991,39.78
Дорнод,1992,33.89
Дорнод,1993,23.78
Дорнод,1994,13.52
Дорнод,1995,8.74
Дорнод,1996,11.59
Дорнод,1997,14.61
Дорнод,1998,8.16
Дорнод,1999,6.81
Дорнод,2000,5.14
Дорнод,2001,5.34
Дорнод,2002,6.18
Дорнод,2003,5.49
Дорнод,2004,4.59
Дорнод,2005,3.66
Дорнод,2006,2.95
Дорнод,2007,2.7
Дорнод,2008,3.44
