үзүүлэлт,он,утга
Импорт,1924,1.1
Экспорт,1924,1.4
Импорт,1925,1.5
Экспорт,1925,1.5
Импорт,1926,1.9
Экспорт,1926,3.1
Импорт,1927,3.1
Экспорт,1927,4.9
Импорт,1928,0.8
Экспорт,1928,1.8
Импорт,1929,4.1
Экспорт,1929,6.2
Импорт,1930,7.2
Экспорт,1930,8.0
Импорт,1931,15.1
Экспорт,1931,11.6
Импорт,1932,16.7
Экспорт,1932,7.8
Импорт,1933,18.8
Экспорт,1933,8.4
Импорт,1934,30.2
Экспорт,1934,13.8
Импорт,1935,7.9
Экспорт,1935,5.4
Импорт,1936,2.2
Экспорт,1936,1.4
Импорт,1937,2.1
Экспорт,1937,1.1
Импорт,1938,2.2
Экспорт,1938,1.2
Импорт,1939,2.4
Экспорт,1939,2.1
Импорт,1940,3.8
Экспорт,1940,2.3
Импорт,1941,3.5
Экспорт,1941,4.3
Импорт,1942,1.9
Экспорт,1942,4.5
Импорт,1943,2.6
Экспорт,1943,4.7
Импорт,1944,3.1
Экспорт,1944,4.8
Импорт,1945,4.1
Экспорт,1945,4.6
Импорт,1946,4.4
Экспорт,1946,4.1
Импорт,1947,5.1
Экспорт,1947,7.3
Импорт,1948,4.9
Экспорт,1948,5.5
Импорт,1949,5.3
Экспорт,1949,5.8
Импорт,1950,7.3
Экспорт,1950,7.8
Импорт,1951,8.3
Экспорт,1951,9.4
Импорт,1952,9.0
Экспорт,1952,9.8
Импорт,1953,9.1
Экспорт,1953,10.7
Импорт,1954,10.5
Экспорт,1954,11.9
Импорт,1955,11.4
Экспорт,1955,11.8
Импорт,1956,15.0
Экспорт,1956,12.7
Импорт,1957,17.0
Экспорт,1957,12.9
Импорт,1958,17.4
Экспорт,1958,12.5
Импорт,1959,18.6
Экспорт,1959,13.9
Импорт,1960,21.8
Экспорт,1960,16.3
Импорт,1961,137.0
Экспорт,1961,75.3
Импорт,1962,130.4
Экспорт,1962,78.9
Импорт,1963,101.1
Экспорт,1963,67.9
Импорт,1964,118.0
Экспорт,1964,66.3
Импорт,1965,98.4
Экспорт,1965,81.0
Импорт,1966,109.0
Экспорт,1966,82.0
Импорт,1967,116.2
Экспорт,1967,86.1
Импорт,1968,116.1
Экспорт,1968,77.2
Импорт,1969,110.4
Экспорт,1969,76.6
Импорт,1970,120.7
Экспорт,1970,84.4
Импорт,1971,128.3
Экспорт,1971,105.5
Импорт,1972,158.5
Экспорт,1972,131.0
Импорт,1973,228.6
Экспорт,1973,166.5
Импорт,1974,225.2
Экспорт,1974,205.9
Импорт,1975,265.8
Экспорт,1975,218.2
Импорт,1976,264.4
Экспорт,1976,216.7
Импорт,1977,302.3
Экспорт,1977,217.1
Импорт,1978,329.4
Экспорт,1978,264.2
Импорт,1979,376.3
Экспорт,1979,323.5
Импорт,1980,547.8
Экспорт,1980,402.8
Импорт,1981,703.7
Экспорт,1981,468.8
Импорт,1982,790.9
Экспорт,1982,561.8
Импорт,1983,928.2
Экспорт,1983,609.9
Импорт,1984,975.2
Экспорт,1984,674.4
Импорт,1985,1095.5
Экспорт,1985,689.1
Импорт,1986,1139.7
Экспорт,1986,716.1
Импорт,1987,1104.6
Экспорт,1987,717.9
Импорт,1988,1113.6
Экспорт,1988,739.1
Импорт,1989,963.0
Экспорт,1989,721.5
Импорт,1990,924.0
Экспорт,1990,660.7
Импорт,1991,360.9
Экспорт,1991,348.0
Импорт,1992,418.3
Экспорт,1992,388.4
Импорт,1993,379.0
Экспорт,1993,382.6
Импорт,1994,258.4
Экспорт,1994,356.1
Импорт,1995,415.3
Экспорт,1995,473.3
Импорт,1996,450.9
Экспорт,1996,424.3
Импорт,1997,468.3
Экспорт,1997,568.5
Импорт,1998,503.3
Экспорт,1998,462.3
Импорт,1999,512.8
Экспорт,1999,454.2
Импорт,2000,614.5
Экспорт,2000,535.8
Импорт,2001,637.7
Экспорт,2001,521.5
Импорт,2002,690.8
Экспорт,2002,524.0
Импорт,2003,801.0
Экспорт,2003,615.9
Импорт,2004,1021.1
Экспорт,2004,869.7
Импорт,2005,1177.3
Экспорт,2005,1063.9
Импорт,2006,1435.0
Экспорт,2006,1542.0
Импорт,2007,2061.8
Экспорт,2007,1947.5
Импорт,2008,3244.5
Экспорт,2008,2534.5
Импорт,2009,2137.7
Экспорт,2009,1885.4
Импорт,2010,3200.1
Экспорт,2010,2908.5
Импорт,2011,6598.36
Экспорт,2011,4817.5
Импорт,2012,6738.38
Экспорт,2012,4384.67
Импорт,2013,6357.82
Экспорт,2013,4269.06
Импорт,2014,5236.67
Экспорт,2014,5774.33
Импорт,2015,3797.52
Экспорт,2015,4669.28
Импорт,2016,3339.62
Экспорт,2016,4916.33
Импорт,2017,4337.32
Экспорт,2017,6200.59
Импорт,2018,5874.8
Экспорт,2018,7011.76
Импорт,2019,6127.52
Экспорт,2019,7619.63
Импорт,2020,5298.91
Экспорт,2020,7576.31
Импорт,2021,6845.45
Экспорт,2021,9241.12
Импорт,2022,8704.39
Экспорт,2022,12538.59
Импорт,2023,9250.25
Экспорт,2023,15186.9
Импорт,2024,11614.66
Экспорт,2024,15783.38
