year,province,count
2025,Ulaanbaatar,795756
2025,Umnugovi,74860
2025,Khuvsgul,42564
2025,Orkhon,38527
2025,Selenge,36930
2025,Darkhan-Uul,36903
2025,Uvurkhangai,34796
2025,Bayan-Ulgii,33838
2025,Dornogovi,32229
2025,Khovd,31910
2025,Tuv,29364
2025,Dornod,27331
2025,Uvs,25686
2025,Bayankhongor,25522
2025,Arkhangai,24978
2025,Khentii,24286
2025,Zavkhan,22185
2025,Sukhbaatar,21290
2025,Bulgan,19230
2025,Govi-Altai,17914
2025,Dundgovi,17535
2025,Govisumber,5257
2024,Ulaanbaatar,796989
2024,Umnugovi,66152
2024,Khuvsgul,35439
2024,Orkhon,33857
2024,Selenge,32358
2024,Darkhan-Uul,30877
2024,Uvurkhangai,29915
2024,Dornogovi,29293
2024,Bayan-Ulgii,29251
2024,Khovd,28229
2024,Uvs,23822
2024,Dornod,23629
2024,Tuv,22863
2024,Bayankhongor,22773
2024,Arkhangai,21772
2024,Khentii,20688
2024,Zavkhan,19469
2024,Sukhbaatar,19038
2024,Bulgan,16686
2024,Govi-Altai,16387
2024,Dundgovi,14997
2024,Govisumber,4521
2023,Ulaanbaatar,697870
2023,Umnugovi,64354
2023,Khuvsgul,31564
2023,Orkhon,30440
2023,Selenge,30093
2023,Darkhan-Uul,27871
2023,Uvurkhangai,27207
2023,Dornogovi,26664
2023,Bayan-Ulgii,25346
2023,Khovd,23799
2023,Uvs,21407
2023,Tuv,21097
2023,Dornod,20976
2023,Arkhangai,20616
2023,Bayankhongor,19969
2023,Khentii,19821
2023,Zavkhan,17790
2023,Sukhbaatar,17370
2023,Bulgan,15429
2023,Govi-Altai,14880
2023,Dundgovi,13836
2023,Govisumber,4121
2022,Ulaanbaatar,712992
2022,Umnugovi,65872
2022,Orkhon,34962
2022,Selenge,34457
2022,Khuvsgul,34427
2022,Uvurkhangai,33933
2022,Darkhan-Uul,32487
2022,Bayan-Ulgii,29018
2022,Khovd,27663
2022,Dornogovi,26983
2022,Tuv,26392
2022,Bayankhongor,23949
2022,Uvs,22709
2022,Khentii,22024
2022,Dornod,21188
2022,Zavkhan,20143
2022,Arkhangai,20087
2022,Sukhbaatar,19489
2022,Govi-Altai,18328
2022,Bulgan,18133
2022,Dundgovi,15034
2022,Govisumber,4622
2021,Ulaanbaatar,662644
2021,Umnugovi,60619
2021,Uvurkhangai,38814
2021,Khuvsgul,34450
2021,Orkhon,33878
2021,Selenge,33572
2021,Darkhan-Uul,31283
2021,Dornogovi,30453
2021,Bayankhongor,28774
2021,Bayan-Ulgii,28728
2021,Tuv,27251
2021,Khovd,26163
2021,Dornod,25344
2021,Uvs,24309
2021,Zavkhan,22015
2021,Khentii,21861
2021,Arkhangai,21826
2021,Sukhbaatar,19969
2021,Bulgan,19897
2021,Govi-Altai,19110
2021,Dundgovi,18695
2021,Govisumber,5052
2020,Ulaanbaatar,615622
2020,Umnugovi,50784
2020,Khuvsgul,35791
2020,Uvurkhangai,32718
2020,Selenge,31925
2020,Orkhon,31288
2020,Darkhan-Uul,28802
2020,Bayankhongor,27502
2020,Bayan-Ulgii,25711
2020,Dornogovi,25568
2020,Tuv,25559
2020,Khovd,23808
2020,Dornod,23140
2020,Uvs,21826
2020,Zavkhan,20378
2020,Arkhangai,20008
2020,Khentii,19651
2020,Bulgan,18455
2020,Sukhbaatar,18217
2020,Govi-Altai,17777
2020,Dundgovi,17596
2020,Govisumber,4608
2019,Ulaanbaatar,568872
2019,Umnugovi,42064
2019,Khuvsgul,31577
2019,Uvurkhangai,30934
2019,Selenge,29242
2019,Orkhon,29063
2019,Darkhan-Uul,26984
2019,Bayankhongor,25292
2019,Dornogovi,24104
2019,Tuv,23940
2019,Bayan-Ulgii,23154
2019,Khovd,21906
2019,Dornod,21233
2019,Uvs,19352
2019,Zavkhan,18792
2019,Arkhangai,17908
2019,Khentii,17884
2019,Bulgan,17272
2019,Sukhbaatar,16825
2019,Dundgovi,16280
2019,Govi-Altai,16023
2019,Govisumber,4339
2018,Ulaanbaatar,537672
2018,Umnugovi,38973
2018,Uvurkhangai,28510
2018,Khuvsgul,28313
2018,Selenge,27825
2018,Orkhon,27107
2018,Darkhan-Uul,25291
2018,Bayan-Ulgii,23242
2018,Tuv,22256
2018,Dornogovi,21840
2018,Bayankhongor,21293
2018,Khovd,19896
2018,Dornod,19408
2018,Uvs,17328
2018,Zavkhan,17049
2018,Bulgan,15880
2018,Khentii,15829
2018,Arkhangai,15432
2018,Sukhbaatar,15085
2018,Dundgovi,14322
2018,Govi-Altai,14303
2018,Govisumber,4026
2017,Ulaanbaatar,512007
2017,Umnugovi,33154
2017,Khuvsgul,25613
2017,Orkhon,25327
2017,Selenge,25214
2017,Uvurkhangai,25084
2017,Darkhan-Uul,23212
2017,Bayan-Ulgii,20746
2017,Tuv,20556
2017,Dornogovi,19853
2017,Bayankhongor,19496
2017,Khovd,17792
2017,Dornod,17387
2017,Zavkhan,15467
2017,Uvs,15250
2017,Bulgan,14691
2017,Khentii,13715
2017,Arkhangai,13639
2017,Sukhbaatar,13432
2017,Govi-Altai,12436
2017,Dundgovi,12427
2017,Govisumber,3647
2016,Ulaanbaatar,487528
2016,Umnugovi,27709
2016,Orkhon,24163
2016,Selenge,23366
2016,Khuvsgul,23299
2016,Uvurkhangai,22091
2016,Darkhan-Uul,21897
2016,Bayan-Ulgii,19417
2016,Tuv,19060
2016,Dornogovi,18497
2016,Bayankhongor,18415
2016,Khovd,16074
2016,Dornod,15758
2016,Zavkhan,14329
2016,Uvs,14028
2016,Bulgan,13773
2016,Sukhbaatar,12522
2016,Arkhangai,12158
2016,Khentii,12020
2016,Dundgovi,11122
2016,Govi-Altai,10979
2016,Govisumber,3347
2015,Ulaanbaatar,466683
2015,Umnugovi,24373
2015,Orkhon,22490
2015,Khuvsgul,21032
2015,Selenge,20935
2015,Darkhan-Uul,20700
2015,Uvurkhangai,19817
2015,Bayan-Ulgii,18221
2015,Tuv,17471
2015,Dornogovi,17362
2015,Bayankhongor,17008
2015,Dornod,14796
2015,Khovd,14771
2015,Zavkhan,13011
2015,Uvs,12901
2015,Bulgan,12692
2015,Sukhbaatar,11471
2015,Arkhangai,10822
2015,Khentii,10665
2015,Dundgovi,9860
2015,Govi-Altai,9570
2015,Govisumber,3069
2014,Ulaanbaatar,443793
2014,Umnugovi,22457
2014,Orkhon,20574
2014,Khuvsgul,19405
2014,Darkhan-Uul,19055
2014,Selenge,18791
2014,Uvurkhangai,17171
2014,Bayan-Ulgii,16932
2014,Dornogovi,16724
2014,Tuv,16311
2014,Bayankhongor,15748
2014,Dornod,13924
2014,Khovd,13655
2014,Zavkhan,12140
2014,Uvs,11723
2014,Bulgan,11589
2014,Sukhbaatar,10404
2014,Arkhangai,9963
2014,Khentii,9795
2014,Govi-Altai,8848
2014,Dundgovi,8629
2014,Govisumber,2814
2013,Ulaanbaatar,410516
2013,Umnugovi,19904
2013,Orkhon,18877
2013,Khuvsgul,17405
2013,Darkhan-Uul,17339
2013,Selenge,16910
2013,Dornogovi,15725
2013,Uvurkhangai,15044
2013,Bayan-Ulgii,14692
2013,Bayankhongor,14307
2013,Dornod,12746
2013,Tuv,12383
2013,Khovd,12316
2013,Zavkhan,10498
2013,Uvs,10241
2013,Bulgan,9585
2013,Arkhangai,9118
2013,Sukhbaatar,9044
2013,Khentii,8758
2013,Govi-Altai,8036
2013,Dundgovi,7240
2013,Govisumber,2422
2012,Ulaanbaatar,367814
2012,Umnugovi,18377
2012,Orkhon,17304
2012,Khuvsgul,16140
2012,Darkhan-Uul,15696
2012,Selenge,15554
2012,Dornogovi,14318
2012,Uvurkhangai,14056
2012,Bayan-Ulgii,13259
2012,Bayankhongor,13144
2012,Dornod,11721
2012,Khovd,11418
2012,Tuv,11207
2012,Zavkhan,9577
2012,Uvs,9535
2012,Bulgan,8891
2012,Sukhbaatar,8235
2012,Arkhangai,8166
2012,Khentii,7668
2012,Govi-Altai,7412
2012,Dundgovi,6639
2012,Govisumber,2143
