он,аймаг,ор
2015,Архангай,511
2015,Баян-Өлгий,673
2015,Баянхонгор,477
2015,Булган,332
2015,Говь-Алтай,375
2015,Говьсүмбэр,105
2015,Дархан-Уул,674
2015,Дорноговь,404
2015,Дорнод,428
2015,Дундговь,227
2015,Завхан,497
2015,Орхон,599
2015,Сэлэнгэ,621
2015,Сүхбаатар,365
2015,Төв,521
2015,Увс,540
2015,Улаанбаатар,11485
2015,Ховд,558
2015,Хэнтий,433
2015,Хөвсгөл,765
2015,Өвөрхангай,684
2015,Өмнөговь,446
2016,Архангай,519
2016,Баян-Өлгий,728
2016,Баянхонгор,525
2016,Булган,376
2016,Говь-Алтай,439
2016,Говьсүмбэр,118
2016,Дархан-Уул,742
2016,Дорноговь,438
2016,Дорнод,538
2016,Дундговь,301
2016,Завхан,574
2016,Орхон,650
2016,Сэлэнгэ,708
2016,Сүхбаатар,494
2016,Төв,523
2016,Увс,571
2016,Улаанбаатар,11835
2016,Ховд,566
2016,Хэнтий,365
2016,Хөвсгөл,788
2016,Өвөрхангай,716
2016,Өмнөговь,446
2017,Архангай,518
2017,Баян-Өлгий,775
2017,Баянхонгор,547
2017,Булган,372
2017,Говь-Алтай,449
2017,Говьсүмбэр,124
2017,Дархан-Уул,742
2017,Дорноговь,464
2017,Дорнод,550
2017,Дундговь,301
2017,Завхан,587
2017,Орхон,645
2017,Сэлэнгэ,708
2017,Сүхбаатар,405
2017,Төв,504
2017,Увс,551
2017,Улаанбаатар,12326
2017,Ховд,577
2017,Хэнтий,471
2017,Хөвсгөл,783
2017,Өвөрхангай,835
2017,Өмнөговь,663
2018,Архангай,518
2018,Баян-Өлгий,790
2018,Баянхонгор,591
2018,Булган,376
2018,Говь-Алтай,455
2018,Говьсүмбэр,124
2018,Дархан-Уул,762
2018,Дорноговь,491
2018,Дорнод,557
2018,Дундговь,309
2018,Завхан,572
2018,Орхон,725
2018,Сэлэнгэ,801
2018,Сүхбаатар,416
2018,Төв,507
2018,Увс,588
2018,Улаанбаатар,12855
2018,Ховд,563
2018,Хэнтий,489
2018,Хөвсгөл,893
2018,Өвөрхангай,833
2018,Өмнөговь,669
2019,Архангай,519
2019,Баян-Өлгий,790
2019,Баянхонгор,591
2019,Булган,376
2019,Говь-Алтай,471
2019,Говьсүмбэр,122
2019,Дархан-Уул,762
2019,Дорноговь,506
2019,Дорнод,553
2019,Дундговь,309
2019,Завхан,552
2019,Орхон,863
2019,Сэлэнгэ,841
2019,Сүхбаатар,462
2019,Төв,515
2019,Увс,589
2019,Улаанбаатар,13315
2019,Ховд,604
2019,Хэнтий,489
2019,Хөвсгөл,880
2019,Өвөрхангай,856
2019,Өмнөговь,696
2020,Архангай,551
2020,Баян-Өлгий,949
2020,Баянхонгор,663
2020,Булган,358
2020,Говь-Алтай,481
2020,Говьсүмбэр,134
2020,Дархан-Уул,774
2020,Дорноговь,523
2020,Дорнод,567
2020,Дундговь,351
2020,Завхан,674
2020,Орхон,895
2020,Сэлэнгэ,815
2020,Сүхбаатар,549
2020,Төв,565
2020,Увс,610
2020,Улаанбаатар,13780
2020,Ховд,763
2020,Хэнтий,559
2020,Хөвсгөл,893
2020,Өвөрхангай,934
2020,Өмнөговь,695
2021,Архангай,1541
2021,Баян-Өлгий,946
2021,Баянхонгор,1921
2021,Булган,976
2021,Говь-Алтай,491
2021,Говьсүмбэр,289
2021,Дархан-Уул,1018
2021,Дорноговь,540
2021,Дорнод,573
2021,Дундговь,351
2021,Завхан,1323
2021,Орхон,900
2021,Сэлэнгэ,830
2021,Сүхбаатар,548
2021,Төв,1281
2021,Увс,575
2021,Улаанбаатар,15326
2021,Ховд,826
2021,Хэнтий,1026
2021,Хөвсгөл,922
2021,Өвөрхангай,1606
2021,Өмнөговь,1501
2022,Архангай,551
2022,Баян-Өлгий,972
2022,Баянхонгор,690
2022,Булган,333
2022,Говь-Алтай,486
2022,Говьсүмбэр,170
2022,Дархан-Уул,844
2022,Дорноговь,550
2022,Дорнод,574
2022,Дундговь,351
2022,Завхан,632
2022,Орхон,907
2022,Сэлэнгэ,822
2022,Сүхбаатар,525
2022,Төв,579
2022,Увс,558
2022,Улаанбаатар,15846
2022,Ховд,849
2022,Хэнтий,588
2022,Хөвсгөл,997
2022,Өвөрхангай,1054
2022,Өмнөговь,751
2023,Архангай,594
2023,Баян-Өлгий,1016
2023,Баянхонгор,691
2023,Булган,309
2023,Говь-Алтай,493
2023,Говьсүмбэр,176
2023,Дархан-Уул,843
2023,Дорноговь,549
