сар,үзүүлэлт,утга
2021-03,Сүхбаатар | Дизель Евро-5,2320.0
2021-03,Төв | АИ-92,1430.0
2021-03,Төв | Дизель,2120.0
2021-03,Төв | Дизель Евро-5,2090.0
2021-03,Увс | АИ-92,1520.0
2021-03,Увс | Дизель Евро-5,2050.0
2021-03,Улаанбаатар | Дизель Евро-5,2200.0
2021-03,Ховд | АИ-92,1550.0
2021-03,Ховд | Дизель Евро-5,1900.0
2021-03,Хэнтий | АИ-92,1470.0
2021-03,Хэнтий | Дизель,2150.0
2021-03,Хэнтий | Дизель Евро-5,2100.0
2021-03,Хөвсгөл | АИ-92,1510.0
2021-03,Хөвсгөл | Дизель,2200.0
2021-03,Хөвсгөл | Дизель Евро-5,2100.0
2021-03,Өвөрхангай | АИ-92,1450.0
2021-03,Өвөрхангай | Дизель,2240.0
2021-03,Өвөрхангай | Дизель Евро-5,2100.0
2021-03,Өмнөговь | АИ-92,1580.0
2021-03,Өмнөговь | Дизель,2200.0
2021-03,Өмнөговь | Дизель Евро-5,2250.0
2021-04,Архангай | АИ-92,1500.0
2021-04,Архангай | Дизель,2240.0
2021-04,Архангай | Дизель Евро-5,2200.0
2021-04,Баян-Өлгий | АИ-92,1530.0
2021-04,Баян-Өлгий | Дизель Евро-5,1700.0
2021-04,Баянхонгор | АИ-92,1530.0
2021-04,Баянхонгор | Дизель Евро-5,2100.0
2021-04,Булган | АИ-92,1460.0
2021-04,Булган | Дизель,2190.0
2021-04,Булган | Дизель Евро-5,2180.0
2021-04,Говь-Алтай | АИ-92,1600.0
2021-04,Говь-Алтай | Дизель Евро-5,2170.0
2021-04,Говьсүмбэр | АИ-92,1480.0
2021-04,Говьсүмбэр | Дизель,2150.0
2021-04,Говьсүмбэр | Дизель Евро-5,2190.0
2021-04,Дорноговь | АИ-92,1520.0
2021-04,Дорноговь | Дизель,2150.0
2021-04,Дорноговь | Дизель Евро-5,2200.0
2021-04,Дорнод | АИ-92,1550.0
2021-04,Дорнод | Дизель,2200.0
2021-04,Дорнод | Дизель Евро-5,2100.0
2021-04,Дундговь | АИ-92,1530.0
2021-04,Дундговь | Дизель,2160.0
2021-04,Дундговь | Дизель Евро-5,2230.0
2021-04,Завхан | АИ-92,1690.0
2021-04,Завхан | Дизель Евро-5,2150.0
2021-04,Орхон | АИ-92,1420.0
2021-04,Орхон | Дизель,2190.0
2021-04,Орхон | Дизель Евро-5,2160.0
2021-04,Сэлэнгэ | АИ-92,1440.0
2021-04,Сэлэнгэ | Дизель,2130.0
