Ангилал,Он,утга
Эмэгтэй,2009,11.6
Эрэгтэй,2009,11.6
Эмэгтэй,2010,9.2
Эрэгтэй,2010,10.5
Эмэгтэй,2011,7.4
Эрэгтэй,2011,8.1
Эмэгтэй,2012,8.1
Эрэгтэй,2012,8.4
Эмэгтэй,2013,8.3
Эрэгтэй,2013,7.6
Эмэгтэй,2014,7.3
Эрэгтэй,2014,8.5
Эмэгтэй,2015,6.7
Эрэгтэй,2015,8.2
Эмэгтэй,2016,8.2
Эрэгтэй,2016,11.6
Эмэгтэй,2017,7.8
Эрэгтэй,2017,9.6
Эмэгтэй,2018,7.1
Эрэгтэй,2018,8.3
Эмэгтэй,2019,8.9
Эрэгтэй,2019,10.7
Эмэгтэй,2020,6.6
Эрэгтэй,2020,6.9
Эмэгтэй,2021,7.8
Эрэгтэй,2021,8.7
Эмэгтэй,2022,5.3
Эрэгтэй,2022,7.3
Эмэгтэй,2023,4.5
Эрэгтэй,2023,6.0
Эмэгтэй,2024,5.6
Эрэгтэй,2024,6.2
