year,indicator,gcal
2018,"Agriculture, forestry and fishing, hunting",55
2018,Household and communal housing,4104
2018,Other,3219
2018,Losses in transmission and distribution,490
2019,Gross generation,13277
2019,Power and thermal stations internal use,1603
2019,Distributed to establishments and households,11108
2019,Industry and construction,2914
2019,Transport and communication,327
2019,"Agriculture, forestry and fishing, hunting",53
2019,Household and communal housing,4073
2019,Other,3741
2019,Losses in transmission and distribution,567
2020,Gross generation,14122
2020,Power and thermal stations internal use,1312
2020,Distributed to establishments and households,12191
2020,Industry and construction,3178
2020,Transport and communication,384
2020,"Agriculture, forestry and fishing, hunting",57
2020,Household and communal housing,4517
2020,Other,4055
2020,Losses in transmission and distribution,619
2021,Gross generation,14973
2021,Power and thermal stations internal use,1405
2021,Distributed to establishments and households,13012
2021,Industry and construction,3410
2021,Transport and communication,403
2021,"Agriculture, forestry and fishing, hunting",58
2021,Household and communal housing,4261
2021,Other,4879
2021,Losses in transmission and distribution,556
2022,Gross generation,15643
2022,Power and thermal stations internal use,1485
2022,Distributed to establishments and households,13479
2022,Industry and construction,3355
2022,Transport and communication,428
2022,"Agriculture, forestry and fishing, hunting",71
2022,Household and communal housing,4683
2022,Other,4943
2022,Losses in transmission and distribution,563
2023,Gross generation,16394
2023,Power and thermal stations internal use,1483
2023,Distributed to establishments and households,14445
2023,Industry and construction,3602
2023,Transport and communication,437
2023,"Agriculture, forestry and fishing, hunting",65
2023,Household and communal housing,5265
2023,Other,5077
2023,Losses in transmission and distribution,556
2024,Gross generation,17383
2024,Power and thermal stations internal use,1530
2024,Distributed to establishments and households,15314
2024,Industry and construction,3530
2024,Transport and communication,474
2024,"Agriculture, forestry and fishing, hunting",86
2024,Household and communal housing,5460
2024,Other,5764
2024,Losses in transmission and distribution,539
