үзүүлэлт,он,гВтц
Үйлдвэрлэсэн,1989,3568.0
Импорт,1989,158.0
Хэрэглэсэн,1989,2880.0
Үйлдвэрлэсэн,1990,3348.0
Импорт,1990,228.0
Хэрэглэсэн,1990,2719.0
Үйлдвэрлэсэн,1991,3229.0
Импорт,1991,84.0
Хэрэглэсэн,1991,2400.0
Үйлдвэрлэсэн,1992,2929.0
Импорт,1992,101.9
Хэрэглэсэн,1992,2175.0
Үйлдвэрлэсэн,1993,2582.0
Импорт,1993,197.0
Хэрэглэсэн,1993,2006.0
Үйлдвэрлэсэн,1994,2715.0
Импорт,1994,215.0
Хэрэглэсэн,1994,1861.0
Үйлдвэрлэсэн,1995,2628.0
Импорт,1995,381.0
Хэрэглэсэн,1995,1909.0
Үйлдвэрлэсэн,1996,2614.0
Импорт,1996,383.0
Хэрэглэсэн,1996,1936.0
Үйлдвэрлэсэн,1997,2720.0
Импорт,1997,376.0
Хэрэглэсэн,1997,1939.0
Үйлдвэрлэсэн,1998,2675.0
Импорт,1998,367.0
Хэрэглэсэн,1998,1929.0
Үйлдвэрлэсэн,1999,2842.0
Импорт,1999,203.0
Хэрэглэсэн,1999,1867.0
Үйлдвэрлэсэн,2000,2946.0
Импорт,2000,181.0
Хэрэглэсэн,2000,1910.0
Үйлдвэрлэсэн,2001,3017.0
Импорт,2001,196.0
Хэрэглэсэн,2001,1948.0
Үйлдвэрлэсэн,2002,3111.7
Импорт,2002,167.3
Хэрэглэсэн,2002,2031.7
Үйлдвэрлэсэн,2003,3137.7
Импорт,2003,171.3
Хэрэглэсэн,2003,2194.6
Үйлдвэрлэсэн,2004,3303.4
Импорт,2004,170.8
Хэрэглэсэн,2004,2357.0
Үйлдвэрлэсэн,2005,3418.9
Импорт,2005,167.5
Хэрэглэсэн,2005,2534.0
Үйлдвэрлэсэн,2006,3544.2
Импорт,2006,168.3
Хэрэглэсэн,2006,2619.7
Үйлдвэрлэсэн,2007,3700.7
Импорт,2007,195.4
Хэрэглэсэн,2007,2829.1
Үйлдвэрлэсэн,2008,4000.6
Импорт,2008,197.6
Хэрэглэсэн,2008,3093.3
Үйлдвэрлэсэн,2009,4038.8
Импорт,2009,156.6
Хэрэглэсэн,2009,3034.1
Үйлдвэрлэсэн,2010,4312.8
Импорт,2010,262.9
Хэрэглэсэн,2010,3375.9
Үйлдвэрлэсэн,2011,4536.4
Импорт,2011,275.5
Хэрэглэсэн,2011,3453.0
Үйлдвэрлэсэн,2012,4815.6
Импорт,2012,366.0
Хэрэглэсэн,2012,3772.6
Үйлдвэрлэсэн,2013,5019.5
Импорт,2013,1195.5
Хэрэглэсэн,2013,4732.1
Үйлдвэрлэсэн,2014,5375.8
Импорт,2014,1349.2
Хэрэглэсэн,2014,5158.4
Үйлдвэрлэсэн,2015,5513.2
Импорт,2015,1416.8
Хэрэглэсэн,2015,5283.5
Үйлдвэрлэсэн,2016,5667.1
Импорт,2016,1446.3
Хэрэглэсэн,2016,5445.7
Үйлдвэрлэсэн,2017,6027.3
Импорт,2017,1574.3
Хэрэглэсэн,2017,5948.7
Үйлдвэрлэсэн,2018,6535.3
Импорт,2018,1665.7
Хэрэглэсэн,2018,6449.7
Үйлдвэрлэсэн,2019,6900.4
Импорт,2019,1722.7
Хэрэглэсэн,2019,6846.4
Үйлдвэрлэсэн,2020,7069.7
Импорт,2020,1684.9
Хэрэглэсэн,2020,6816.8
Үйлдвэрлэсэн,2021,7825.3
Импорт,2021,1823.1
Хэрэглэсэн,2021,7718.9
Үйлдвэрлэсэн,2022,8035.0
Импорт,2022,2107.4
Хэрэглэсэн,2022,8095.4
Үйлдвэрлэсэн,2023,8487.4
Импорт,2023,2426.9
Хэрэглэсэн,2023,8639.3
Үйлдвэрлэсэн,2024,8692.8
Импорт,2024,2753.0
Хэрэглэсэн,2024,9131.9
