year,product,tj
2015,Hard coal,444577.323758
2015,Brown coal,123718.351057
2015,Coke and semi-coke of coal,6.271624
2015,Crude oil,51914.256
2015,"Briquettes, ovoids and similar solid fuels manufactured from coal",14.04078
2015,Gasoline (excluding biofuels),19178.49776
2015,Diesel,28199.93779
2015,Jet fuel for aircrafts,2412.85212
2015,Kerosene,195.76848
2015,Fuel Oils,128.41544
2015,LPG,1120.25793
2015,Other spirits,389.19765
2015,Oil and lubricants,467.44158
2015,Other petroleum and oil products,106.32498
2015,"Petroleum Jelly, paraffin waxes and Bitumen and asphalt, natural products",1908.76836
2015,"Wood, wood waste & other solid biomass, charcoal",30423.753
2015,Electrical energy - produced from wind and hydro only,25351.164
2015,Heat,44640.2264
2016,Hard coal,743283.049388
2016,Brown coal,135241.768174
2016,Coke and semi-coke of coal,0.846
2016,Crude oil,48838.816
2016,"Briquettes, ovoids and similar solid fuels manufactured from coal",25.3518
2016,Gasoline (excluding biofuels),17016.21919
2016,Diesel,23595.66392
2016,Jet fuel for aircrafts,2403.6264
2016,Kerosene,2602.67484
2016,Fuel Oils,104.5754
2016,LPG,1388.53407
2016,Other spirits,895.37388
2016,Oil and lubricants,501.5151
2016,Other petroleum and oil products,140.01258
2016,"Petroleum Jelly, paraffin waxes and Bitumen and asphalt, natural products",2070.52914
2016,"Wood, wood waste & other solid biomass, charcoal",31514.49518
2016,Electrical energy - produced from wind and hydro only,26031.3642
2016,Heat,45139.19927
2017,Hard coal,1192229.868021
2017,Brown coal,141862.9
2017,Coke and semi-coke of coal,9.2
2017,Crude oil,45134.4056
2017,"Briquettes, ovoids and similar solid fuels manufactured from coal",26.47416
2017,Gasoline (excluding biofuels),18201.302888
2017,Diesel,34710.065733
2017,Jet fuel for aircrafts,1475.327265
2017,Kerosene,2178.521203
2017,Fuel Oils,95.848044
2017,LPG,1446.863316
2017,Other spirits,1065.021184
2017,Oil and lubricants,740.614477
2017,Other petroleum and oil products,1139.223333
2017,"Petroleum Jelly, paraffin waxes and Bitumen and asphalt, natural products",1208.907018
2017,"Wood, wood waste & other solid biomass, charcoal",31731.582
2017,Electrical energy - produced from wind and hydro only,27758.773577
2017,Heat,45169.485245
2018,Hard coal,946195.271343
2018,Brown coal,148612.43
2018,Coke and semi-coke of coal,33.047862
2018,Crude oil,37820.734592
2018,"Briquettes, ovoids and similar solid fuels manufactured from coal",57.39264
2018,Gasoline (excluding biofuels),19294.457617
2018,Diesel,36582.060055
2018,Jet fuel for aircrafts,1775.844995
2018,Kerosene,4788.420938
2018,Fuel Oils,120.111624
2018,LPG,2736.722797
2018,Other spirits,786.20237
2018,Oil and lubricants,850.12894
2018,Other petroleum and oil products,4030.061121
2018,"Petroleum Jelly, paraffin waxes and Bitumen and asphalt, natural products",1884.255762
2018,"Wood, wood waste & other solid biomass, charcoal",33694.15693
2018,Electrical energy - produced from wind and hydro only,29998.770862
2018,Heat,50221.035395
2019,Hard coal,961958.232872
2019,Brown coal,141848.034766
2019,Coke and semi-coke of coal,60.320026
2019,Crude oil,49982.3676
2019,"Briquettes, ovoids and similar solid fuels manufactured from coal",5887.64394
2019,Gasoline (excluding biofuels),23988.376808
2019,Diesel,46564.454804
2019,Jet fuel for aircrafts,2054.838353
2019,Kerosene,2297.103658
2019,Fuel Oils,120.15869
2019,LPG,1571.118147
2019,Other spirits,309.898454
2019,Oil and lubricants,930.754039
2019,Other petroleum and oil products,3637.705062
2019,"Petroleum Jelly, paraffin waxes and Bitumen and asphalt, natural products",2238.192442
2019,"Wood, wood waste & other solid biomass, charcoal",35846.811466
2019,Electrical energy - produced from wind and hydro only,31650.749442
2019,Heat,53127.859678
2020,Hard coal,630781.2638
2020,Brown coal,226958.26299
2020,Coke and semi-coke of coal,28.773588
2020,Crude oil,24306.928
2020,"Briquettes, ovoids and similar solid fuels manufactured from coal",15620.544
2020,Gasoline (excluding biofuels),25964.94323
2020,Diesel,44257.324174
2020,Jet fuel for aircrafts,864.139015
2020,Kerosene,1976.048519
2020,Fuel Oils,111.53632
2020,LPG,1591.883744
2020,Other spirits,236.665899
2020,Oil and lubricants,897.89112
2020,Other petroleum and oil products,6210.96485
2020,"Petroleum Jelly, paraffin waxes and Bitumen and asphalt, natural products",1750.21152
2020,"Wood, wood waste & other solid biomass, charcoal",38090.066824
2020,Electrical energy - produced from wind and hydro only,32197.754196
2020,Heat,56439.37966
2021,Hard coal,554069.214036
2021,Brown coal,154986.29952
2021,Coke and semi-coke of coal,40.014503
2021,Crude oil,27040.885824
2021,"Briquettes, ovoids and similar solid fuels manufactured from coal",6015.2292
2021,Gasoline (excluding biofuels),25372.818665
2021,Diesel,42622.446225
2021,Jet fuel for aircrafts,1212.141288
2021,Kerosene,1954.052378
2021,Fuel Oils,72.217618
2021,LPG,971.332435
2021,Other spirits,64.596714
2021,Oil and lubricants,989.724498
2021,Other petroleum and oil products,3299.319756
2021,"Petroleum Jelly, paraffin waxes and Bitumen and asphalt, natural products",1746.229293
