year,month,province,total_count,total_area_kha,extraction_count,extraction_area_kha,exploration_count,exploration_area_kha
2026,7,Arkhangai,32,38.2,21,12.3,11,26.0
2026,7,Bayan-Ulgii,116,434.7,31,20.3,85,414.4
2026,7,Bayankhongor,154,490.7,99,167.0,55,323.7
2026,7,Bulgan,110,206.1,75,39.1,35,167.0
2026,7,Govi-Altai,139,654.3,54,79.1,85,575.2
2026,7,Govisumber,17,42.1,14,37.5,3,4.6
2026,7,Darkhan-Uul,67,16.9,60,8.4,7,8.5
2026,7,Dornogovi,373,1179.6,232,300.8,141,878.9
2026,7,Dornod,170,680.9,85,82.0,85,598.8
2026,7,Dundgovi,193,472.9,135,224.3,58,248.7
2026,7,Zavkhan,50,232.8,14,22.2,36,210.6
2026,7,Orkhon,14,17.6,9,10.7,5,6.9
2026,7,Uvurkhangai,67,199.5,31,24.1,36,175.4
2026,7,Umnugovi,155,837.5,111,488.5,44,349.0
2026,7,Sukhbaatar,114,473.5,73,61.7,41,411.9
2026,7,Selenge,167,106.6,129,48.8,38,57.9
2026,7,Tuv,391,386.8,300,173.9,91,212.9
2026,7,Uvs,121,255.1,50,27.0,71,228.0
2026,7,Ulaanbaatar,94,10.4,93,9.8,1,0.6
2026,7,Khovd,122,427.9,38,32.3,84,395.6
2026,7,Khuvsgul,22,17.4,20,10.2,2,7.2
2026,7,Khentii,236,272.2,137,62.1,99,210.1
