Region,Month,value
 Western region,2024-12,15.0
 Western region,2025-01,16.0
 Western region,2025-02,13.0
 Western region,2025-03,14.0
 Western region,2025-04,24.0
 Western region,2025-05,14.0
 Western region,2025-06,30.0
 Western region,2025-07,36.0
 Bayan-Ulgii,2026-07,5.0
 Bayan-Ulgii,2026-06,0.0
 Bayan-Ulgii,2026-05,10.0
 Bayan-Ulgii,2026-04,14.0
 Bayan-Ulgii,2026-03,17.0
 Bayan-Ulgii,2026-02,0.0
 Bayan-Ulgii,2026-01,16.0
 Bayan-Ulgii,2025-12,5.0
 Bayan-Ulgii,2025-11,24.0
 Bayan-Ulgii,2025-10,20.0
 Bayan-Ulgii,2025-09,11.0
 Bayan-Ulgii,2025-08,18.0
 Bayan-Ulgii,2016-01,9.0
 Bayan-Ulgii,2016-02,5.0
 Bayan-Ulgii,2016-03,33.0
 Bayan-Ulgii,2016-04,17.0
 Bayan-Ulgii,2016-05,16.0
 Bayan-Ulgii,2016-06,27.0
 Bayan-Ulgii,2016-07,19.0
 Bayan-Ulgii,2016-08,10.0
 Bayan-Ulgii,2016-09,5.0
 Bayan-Ulgii,2016-10,0.0
 Bayan-Ulgii,2016-11,14.0
 Bayan-Ulgii,2016-12,19.0
 Bayan-Ulgii,2017-01,18.0
 Bayan-Ulgii,2017-02,13.0
 Bayan-Ulgii,2017-03,25.0
 Bayan-Ulgii,2017-04,20.0
 Bayan-Ulgii,2017-05,15.0
 Bayan-Ulgii,2017-06,6.0
 Bayan-Ulgii,2017-07,0.0
 Bayan-Ulgii,2017-08,16.0
 Bayan-Ulgii,2017-09,16.0
 Bayan-Ulgii,2017-10,40.0
 Bayan-Ulgii,2017-11,15.0
 Bayan-Ulgii,2017-12,14.0
 Bayan-Ulgii,2018-01,5.0
 Bayan-Ulgii,2018-02,16.0
 Bayan-Ulgii,2018-03,18.0
 Bayan-Ulgii,2018-04,8.0
 Bayan-Ulgii,2018-05,18.0
 Bayan-Ulgii,2018-06,26.0
 Bayan-Ulgii,2018-07,23.0
 Bayan-Ulgii,2018-08,19.0
 Bayan-Ulgii,2018-09,8.0
 Bayan-Ulgii,2018-10,21.0
 Bayan-Ulgii,2018-11,26.0
 Bayan-Ulgii,2018-12,12.0
 Bayan-Ulgii,2019-01,0.0
 Bayan-Ulgii,2019-02,12.0
 Bayan-Ulgii,2019-03,28.0
 Bayan-Ulgii,2019-04,0.0
 Bayan-Ulgii,2019-05,21.0
 Bayan-Ulgii,2019-06,13.0
 Bayan-Ulgii,2019-07,15.0
 Bayan-Ulgii,2019-08,8.0
 Bayan-Ulgii,2019-09,19.0
 Bayan-Ulgii,2019-10,9.0
 Bayan-Ulgii,2019-11,52.0
 Bayan-Ulgii,2019-12,31.0
 Bayan-Ulgii,2020-01,16.0
 Bayan-Ulgii,2020-02,4.0
 Bayan-Ulgii,2020-03,8.0
 Bayan-Ulgii,2020-04,18.0
 Bayan-Ulgii,2020-05,8.0
 Bayan-Ulgii,2020-06,8.0
 Bayan-Ulgii,2020-07,19.0
 Bayan-Ulgii,2020-08,18.0
 Bayan-Ulgii,2020-09,16.0
 Bayan-Ulgii,2020-10,28.0
 Bayan-Ulgii,2020-11,12.0
 Bayan-Ulgii,2020-12,5.0
 Bayan-Ulgii,2021-01,20.0
 Bayan-Ulgii,2021-02,4.0
 Bayan-Ulgii,2021-03,19.0
 Bayan-Ulgii,2021-04,12.0
 Bayan-Ulgii,2021-05,13.0
 Bayan-Ulgii,2021-06,13.0
 Bayan-Ulgii,2021-07,39.0
 Bayan-Ulgii,2021-08,24.0
 Bayan-Ulgii,2021-09,30.0
 Bayan-Ulgii,2021-10,14.0
 Bayan-Ulgii,2021-11,23.0
 Bayan-Ulgii,2021-12,30.0
 Bayan-Ulgii,2022-01,18.0
 Bayan-Ulgii,2022-02,9.0
 Bayan-Ulgii,2022-03,15.0
 Bayan-Ulgii,2022-04,17.0
 Bayan-Ulgii,2022-05,12.0
 Bayan-Ulgii,2022-06,19.0
 Bayan-Ulgii,2022-07,39.0
 Bayan-Ulgii,2022-08,4.0
 Bayan-Ulgii,2022-09,43.0
 Bayan-Ulgii,2022-10,25.0
 Bayan-Ulgii,2022-11,24.0
 Bayan-Ulgii,2022-12,8.0
 Bayan-Ulgii,2023-01,4.0
 Bayan-Ulgii,2023-02,25.0
 Bayan-Ulgii,2023-03,12.0
 Bayan-Ulgii,2023-04,20.0
 Bayan-Ulgii,2023-05,23.0
 Bayan-Ulgii,2023-06,8.0
 Bayan-Ulgii,2023-07,20.0
 Bayan-Ulgii,2023-08,16.0
 Bayan-Ulgii,2023-09,19.0
 Bayan-Ulgii,2023-10,32.0
 Bayan-Ulgii,2023-11,35.0
 Bayan-Ulgii,2023-12,0.0
 Bayan-Ulgii,2024-01,12.0
 Bayan-Ulgii,2024-02,9.0
 Bayan-Ulgii,2024-03,9.0
 Bayan-Ulgii,2024-04,12.0
 Bayan-Ulgii,2024-05,7.0
 Bayan-Ulgii,2024-06,0.0
 Bayan-Ulgii,2024-07,9.0
 Bayan-Ulgii,2024-08,56.0
 Bayan-Ulgii,2024-09,42.0
 Bayan-Ulgii,2024-10,31.0
 Bayan-Ulgii,2024-11,20.0
 Bayan-Ulgii,2024-12,5.0
 Bayan-Ulgii,2025-01,15.0
 Bayan-Ulgii,2025-02,13.0
 Bayan-Ulgii,2025-03,15.0
 Bayan-Ulgii,2025-04,34.0
 Bayan-Ulgii,2025-05,9.0
 Bayan-Ulgii,2025-06,35.0
 Bayan-Ulgii,2025-07,58.0
 Govi-Altai,2026-07,13.0
 Govi-Altai,2026-06,18.0
 Govi-Altai,2026-05,0.0
 Govi-Altai,2026-04,22.0
 Govi-Altai,2026-03,33.0
 Govi-Altai,2026-02,35.0
 Govi-Altai,2026-01,27.0
 Govi-Altai,2025-12,32.0
 Govi-Altai,2025-11,14.0
 Govi-Altai,2025-10,15.0
 Govi-Altai,2025-09,15.0
 Govi-Altai,2025-08,16.0
 Govi-Altai,2016-01,0.0
 Govi-Altai,2016-02,29.0
 Govi-Altai,2016-03,15.0
 Govi-Altai,2016-04,14.0
 Govi-Altai,2016-05,0.0
 Govi-Altai,2016-06,14.0
 Govi-Altai,2016-07,0.0
 Govi-Altai,2016-08,0.0
 Govi-Altai,2016-09,0.0
 Govi-Altai,2016-10,24.0
 Govi-Altai,2016-11,13.0
 Govi-Altai,2016-12,0.0
 Govi-Altai,2017-01,30.0
 Govi-Altai,2017-02,0.0
 Govi-Altai,2017-03,35.0
 Govi-Altai,2017-04,0.0
 Govi-Altai,2017-05,17.0
 Govi-Altai,2017-06,16.0
 Govi-Altai,2017-07,32.0
 Govi-Altai,2017-08,23.0
 Govi-Altai,2017-09,11.0
 Govi-Altai,2017-10,0.0
 Govi-Altai,2017-11,31.0
 Govi-Altai,2017-12,0.0
 Govi-Altai,2018-01,14.0
 Govi-Altai,2018-02,13.0
 Govi-Altai,2018-03,11.0
 Govi-Altai,2018-04,16.0
 Govi-Altai,2018-05,27.0
 Govi-Altai,2018-06,0.0
 Govi-Altai,2018-07,0.0
 Govi-Altai,2018-08,10.0
 Govi-Altai,2018-09,25.0
 Govi-Altai,2018-10,32.0
 Govi-Altai,2018-11,0.0
 Govi-Altai,2018-12,11.0
 Govi-Altai,2019-01,10.0
 Govi-Altai,2019-02,0.0
 Govi-Altai,2019-03,34.0
 Govi-Altai,2019-04,11.0
 Govi-Altai,2019-05,0.0
 Govi-Altai,2019-06,23.0
 Govi-Altai,2019-07,15.0
 Govi-Altai,2019-08,0.0
 Govi-Altai,2019-09,18.0
 Govi-Altai,2019-10,19.0
 Govi-Altai,2019-11,10.0
 Govi-Altai,2019-12,0.0
 Govi-Altai,2020-01,0.0
 Govi-Altai,2020-02,30.0
 Govi-Altai,2020-03,0.0
 Govi-Altai,2020-04,61.0
 Govi-Altai,2020-05,30.0
 Govi-Altai,2020-06,24.0
 Govi-Altai,2020-07,28.0
 Govi-Altai,2020-08,0.0
 Govi-Altai,2020-09,7.0
 Govi-Altai,2020-10,20.0
 Govi-Altai,2020-11,9.0
 Govi-Altai,2020-12,8.0
 Govi-Altai,2021-01,0.0
 Govi-Altai,2021-02,9.0
 Govi-Altai,2021-03,0.0
 Govi-Altai,2021-04,8.0
 Govi-Altai,2021-05,7.0
