гэмт_хэргийн_төрөл,он,гэмт_этгээд
"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",2014,2146
Улсын дүн,2014,23737
Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,2014,106
"Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",2014,0
Хүний амьд явах эрхийн эсрэг гэмт хэрэг,2014,327
"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",2014,417
Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,2014,57
"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",2014,141
Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,2014,8365
Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,2014,396
Хүүхдийн эсрэг гэмт хэрэг,2014,0
"Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",2014,2048
Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,2014,2
Цэргийн албаны эсрэг гэмт хэрэг,2014,12
Эдийн засгийн гэмт хэрэг гэмт хэрэг,2014,182
Эрүүл мэндийн эсрэг гэмт хэрэг,2014,0
Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,2014,11
Өмчлөх эрхийн эсрэг гэмт хэрэг,2014,9233
Авлигын гэмт хэрэг,2015,29
Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,2015,278
"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",2015,2219
Улсын дүн,2015,24857
Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,2015,99
"Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",2015,0
Хүний амьд явах эрхийн эсрэг гэмт хэрэг,2015,316
"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",2015,446
Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,2015,58
"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",2015,159
Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,2015,8468
Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,2015,304
Хүүхдийн эсрэг гэмт хэрэг,2015,0
"Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",2015,1956
Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,2015,2
Цэргийн албаны эсрэг гэмт хэрэг,2015,10
Эдийн засгийн гэмт хэрэг гэмт хэрэг,2015,186
Эрүүл мэндийн эсрэг гэмт хэрэг,2015,0
Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,2015,1
Өмчлөх эрхийн эсрэг гэмт хэрэг,2015,10326
Авлигын гэмт хэрэг,2016,19
Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,2016,280
"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",2016,1997
Улсын дүн,2016,23805
Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,2016,90
"Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",2016,0
Хүний амьд явах эрхийн эсрэг гэмт хэрэг,2016,296
"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",2016,426
Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,2016,45
"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",2016,127
Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,2016,8503
Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,2016,210
Хүүхдийн эсрэг гэмт хэрэг,2016,0
"Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",2016,1728
Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,2016,10
Цэргийн албаны эсрэг гэмт хэрэг,2016,13
Эдийн засгийн гэмт хэрэг гэмт хэрэг,2016,144
Эрүүл мэндийн эсрэг гэмт хэрэг,2016,0
Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,2016,2
Өмчлөх эрхийн эсрэг гэмт хэрэг,2016,9915
Авлигын гэмт хэрэг,2017,17
Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,2017,215
"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",2017,1106
Улсын дүн,2017,18131
Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,2017,63
"Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",2017,0
Хүний амьд явах эрхийн эсрэг гэмт хэрэг,2017,270
"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",2017,496
Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,2017,30
"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",2017,30
Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,2017,7267
Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,2017,293
Хүүхдийн эсрэг гэмт хэрэг,2017,3
"Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",2017,1273
Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,2017,14
Цэргийн албаны эсрэг гэмт хэрэг,2017,5
Эдийн засгийн гэмт хэрэг гэмт хэрэг,2017,102
Эрүүл мэндийн эсрэг гэмт хэрэг,2017,4
Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,2017,17
Өмчлөх эрхийн эсрэг гэмт хэрэг,2017,6926
Авлигын гэмт хэрэг,2018,2
Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,2018,119
"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",2018,329
Улсын дүн,2018,16389
Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,2018,54
"Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",2018,1
Хүний амьд явах эрхийн эсрэг гэмт хэрэг,2018,266
"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",2018,392
Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,2018,34
"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",2018,0
Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,2018,6936
Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,2018,307
Хүүхдийн эсрэг гэмт хэрэг,2018,8
"Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",2018,903
Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,2018,7
Цэргийн албаны эсрэг гэмт хэрэг,2018,12
Эдийн засгийн гэмт хэрэг гэмт хэрэг,2018,58
Эрүүл мэндийн эсрэг гэмт хэрэг,2018,10
Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,2018,66
Өмчлөх эрхийн эсрэг гэмт хэрэг,2018,6885
Авлигын гэмт хэрэг,2019,8
Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,2019,226
"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",2019,366
Улсын дүн,2019,17110
Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,2019,27
"Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",2019,0
Хүний амьд явах эрхийн эсрэг гэмт хэрэг,2019,266
"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",2019,388
Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,2019,35
"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",2019,0
Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,2019,6672
Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,2019,359
Хүүхдийн эсрэг гэмт хэрэг,2019,14
"Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",2019,973
Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,2019,12
Цэргийн албаны эсрэг гэмт хэрэг,2019,13
Эдийн засгийн гэмт хэрэг гэмт хэрэг,2019,104
Эрүүл мэндийн эсрэг гэмт хэрэг,2019,1
Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,2019,0
Өмчлөх эрхийн эсрэг гэмт хэрэг,2019,7641
Авлигын гэмт хэрэг,2020,1
Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,2020,150
"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",2020,352
Улсын дүн,2020,16667
Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,2020,35
"Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",2020,0
Хүний амьд явах эрхийн эсрэг гэмт хэрэг,2020,262
"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",2020,366
Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,2020,53
"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",2020,0
