Region,Month,value
Total,2026-03,1725
Total,2026-02,1318
Total,2026-01,1473
Total,2025-12,1622
Total,2025-11,1550
Total,2025-10,1572
Total,2025-09,1551
Total,2025-8,1400
Total,2025-07,1493
Total,2025-06,1500
Total,2025-05,1482
Total,2025-04,1496
Total,2025-03,1563
Total,2025-02,1196
Total,2025-01,1482
Total,2024-12,1706
Total,2024-11,1592
Total,2024-10,1596
Total,2024-09,1504
Total,2024-08,1506
Total,2024-07,1566
Total,2024-06,1428
Total,2024-05,1545
Total,2024-04,1405
Total,2024-03,1398
Total,2024-02,1384
Total,2024-01,1483
Total,2023-12,1691
Total,2023-11,1596
Total,2023-10,1325
Total,2023-09,1347
Total,2023-08,1442
Total,2023-07,1519
Total,2023-06,1593
Total,2023-05,1323
Total,2023-04,1344
Total,2023-03,1587
Total,2023-02,1336
Total,2023-01,1430
Total,2022-12,1671
Total,2022-11,1472
Total,2022-10,1485
Total,2022-09,1490
Total,2022-08,1609
Total,2022-07,1438
Total,2022-06,1424
Total,2022-05,1506
Total,2022-04,1558
Total,2022-03,1496
Total,2022-02,1487
Total,2022-01,1345
Total,2021-12,1785
Total,2021-11,1950
Total,2021-10,2302
Total,2021-09,2026
Total,2021-08,1678
Total,2021-07,1819
Total,2021-06,1715
Total,2021-05,1403
Total,2021-04,1484
Total,2021-03,1381
Total,2021-02,1237
Total,2021-01,1151
Total,2020-12,1219
Total,2020-11,1278
Total,2020-10,1427
Total,2020-09,1405
Total,2020-08,1331
Total,2020-07,1402
Total,2020-06,1306
Total,2020-05,1288
Total,2020-04,1310
Total,2020-03,1292
Total,2020-02,1298
Total,2020-01,1366
Total,2019-12,1674
Total,2019-11,1266
Total,2019-10,1542
Total,2019-09,1365
Total,2019-08,1425
Total,2019-07,1410
Total,2019-06,1280
Total,2019-05,1508
Total,2019-04,1431
Total,2019-03,1373
Total,2019-02,1358
Total,2019-01,1573
Total,2018-12,1609
Total,2018-11,1361
Total,2018-10,1461
Total,2018-09,1460
Total,2018-08,1391
Total,2018-07,1533
Total,2018-06,1367
Total,2018-05,1432
Total,2018-04,1375
Total,2018-03,1486
Total,2018-02,1370
Total,2018-01,1486
Total,2017-12,1411
Total,2017-11,1292
Total,2017-10,1378
Total,2017-09,1360
Total,2017-08,1347
Total,2017-07,1279
Total,2017-06,1280
Total,2017-05,1362
Total,2017-04,1206
Total,2017-03,1428
Total,2017-02,1112
Total,2017-01,1357
Total,2016-12,1286
Total,2016-11,1348
Total,2016-10,1255
Total,2016-09,1301
Total,2016-08,1355
Total,2016-07,1341
Total,2016-06,1297
Total,2016-05,1441
Total,2016-04,1411
Total,2016-03,1457
Total,2016-02,1372
Total,2016-01,1317
 Western region,2026-03,166
 Western region,2026-02,130
 Western region,2026-01,157
 Western region,2025-12,163
 Western region,2025-11,125
 Western region,2025-10,147
 Western region,2025-09,156
 Western region,2025-8,144
 Western region,2025-07,158
 Western region,2025-06,138
 Western region,2025-05,138
 Western region,2025-04,148
 Western region,2025-03,165
 Western region,2025-02,157
 Western region,2025-01,134
 Western region,2024-12,158
 Western region,2024-11,132
 Western region,2024-10,151
 Western region,2024-09,155
 Western region,2024-08,157
 Western region,2024-07,207
 Western region,2024-06,181
 Western region,2024-05,172
 Western region,2024-04,144
 Western region,2024-03,133
 Western region,2024-02,163
 Western region,2024-01,151
 Western region,2023-12,169
 Western region,2023-11,128
 Western region,2023-10,152
 Western region,2023-09,142
 Western region,2023-08,173
 Western region,2023-07,191
 Western region,2023-06,145
 Western region,2023-05,175
 Western region,2023-04,150
 Western region,2023-03,189
 Western region,2023-02,174
 Western region,2023-01,151
 Western region,2022-12,160
 Western region,2022-11,160
 Western region,2022-10,164
 Western region,2022-09,149
 Western region,2022-08,183
 Western region,2022-07,166
 Western region,2022-06,150
 Western region,2022-05,178
 Western region,2022-04,172
 Western region,2022-03,160
 Western region,2022-02,147
 Western region,2022-01,159
 Western region,2021-12,197
 Western region,2021-11,188
 Western region,2021-10,215
 Western region,2021-09,242
 Western region,2021-08,197
 Western region,2021-07,192
 Western region,2021-06,152
 Western region,2021-05,177
 Western region,2021-04,146
 Western region,2021-03,145
 Western region,2021-02,150
 Western region,2021-01,137
 Western region,2020-12,150
 Western region,2020-11,140
 Western region,2020-10,152
 Western region,2020-09,147
 Western region,2020-08,168
 Western region,2020-07,177
 Western region,2020-06,167
 Western region,2020-05,152
 Western region,2020-04,171
 Western region,2020-03,136
 Western region,2020-02,164
 Western region,2020-01,159
 Western region,2019-12,190
 Western region,2019-11,138
 Western region,2019-10,159
 Western region,2019-09,157
 Western region,2019-08,172
 Western region,2019-07,165
 Western region,2019-06,137
 Western region,2019-05,190
 Western region,2019-04,190
 Western region,2019-03,184
 Western region,2019-02,172
 Western region,2019-01,185
 Western region,2018-12,194
 Western region,2018-11,154
 Western region,2018-10,173
 Western region,2018-09,162
 Western region,2018-08,166
 Western region,2018-07,160
 Western region,2018-06,162
 Western region,2018-05,163
 Western region,2018-04,166
 Western region,2018-03,207
 Western region,2018-02,172
 Western region,2018-01,175
 Western region,2017-12,175
 Western region,2017-11,163
 Western region,2017-10,175
 Western region,2017-09,150
 Western region,2017-08,168
 Western region,2017-07,158
 Western region,2017-06,155
 Western region,2017-05,176
 Western region,2017-04,144
 Western region,2017-03,183
 Western region,2017-02,169
 Western region,2017-01,148
 Western region,2016-12,168
 Western region,2016-11,169
 Western region,2016-10,142
 Western region,2016-09,144
 Western region,2016-08,164
 Western region,2016-07,173
 Western region,2016-06,184
 Western region,2016-05,200
 Western region,2016-04,183
 Western region,2016-03,197
 Western region,2016-02,159
 Western region,2016-01,167
 Bayan-Ulgii,2026-03,41
 Bayan-Ulgii,2026-02,23
 Bayan-Ulgii,2026-01,31
 Bayan-Ulgii,2025-12,40
 Bayan-Ulgii,2025-11,26
 Bayan-Ulgii,2025-10,40
 Bayan-Ulgii,2025-09,36
 Bayan-Ulgii,2025-8,41
 Bayan-Ulgii,2025-07,43
 Bayan-Ulgii,2025-06,31
 Bayan-Ulgii,2025-05,37
 Bayan-Ulgii,2025-04,44
 Bayan-Ulgii,2025-03,32
 Bayan-Ulgii,2025-02,42
 Bayan-Ulgii,2025-01,38
 Bayan-Ulgii,2024-12,45
 Bayan-Ulgii,2024-11,46
 Bayan-Ulgii,2024-10,29
 Bayan-Ulgii,2024-09,43
 Bayan-Ulgii,2024-08,43
 Bayan-Ulgii,2024-07,46
 Bayan-Ulgii,2024-06,41
 Bayan-Ulgii,2024-05,54
 Bayan-Ulgii,2024-04,31
 Bayan-Ulgii,2024-03,34
 Bayan-Ulgii,2024-02,38
 Bayan-Ulgii,2024-01,38
 Bayan-Ulgii,2023-12,43
 Bayan-Ulgii,2023-11,36
 Bayan-Ulgii,2023-10,32
 Bayan-Ulgii,2023-09,39
 Bayan-Ulgii,2023-08,36
 Bayan-Ulgii,2023-07,50
 Bayan-Ulgii,2023-06,39
 Bayan-Ulgii,2023-05,50
 Bayan-Ulgii,2023-04,39
 Bayan-Ulgii,2023-03,51
 Bayan-Ulgii,2023-02,52
 Bayan-Ulgii,2023-01,37
 Bayan-Ulgii,2022-12,54
 Bayan-Ulgii,2022-11,35
 Bayan-Ulgii,2022-10,38
 Bayan-Ulgii,2022-09,38
 Bayan-Ulgii,2022-08,44
 Bayan-Ulgii,2022-07,42
 Bayan-Ulgii,2022-06,36
 Bayan-Ulgii,2022-05,50
 Bayan-Ulgii,2022-04,44
 Bayan-Ulgii,2022-03,38
 Bayan-Ulgii,2022-02,41
 Bayan-Ulgii,2022-01,41
 Bayan-Ulgii,2021-12,51
 Bayan-Ulgii,2021-11,54
 Bayan-Ulgii,2021-10,42
 Bayan-Ulgii,2021-09,61
 Bayan-Ulgii,2021-08,51
 Bayan-Ulgii,2021-07,38
 Bayan-Ulgii,2021-06,44
 Bayan-Ulgii,2021-05,39
 Bayan-Ulgii,2021-04,28
 Bayan-Ulgii,2021-03,34
 Bayan-Ulgii,2021-02,28
 Bayan-Ulgii,2021-01,31
 Bayan-Ulgii,2020-12,39
 Bayan-Ulgii,2020-11,38
 Bayan-Ulgii,2020-10,26
 Bayan-Ulgii,2020-09,23
 Bayan-Ulgii,2020-08,46
 Bayan-Ulgii,2020-07,40
 Bayan-Ulgii,2020-06,42
 Bayan-Ulgii,2020-05,44
 Bayan-Ulgii,2020-04,53
 Bayan-Ulgii,2020-03,30
 Bayan-Ulgii,2020-02,40
 Bayan-Ulgii,2020-01,46
 Bayan-Ulgii,2019-12,48
 Bayan-Ulgii,2019-11,37
 Bayan-Ulgii,2019-10,48
 Bayan-Ulgii,2019-09,36
 Bayan-Ulgii,2019-08,41
 Bayan-Ulgii,2019-07,47
 Bayan-Ulgii,2019-06,41
 Bayan-Ulgii,2019-05,51
 Bayan-Ulgii,2019-04,55
 Bayan-Ulgii,2019-03,56
 Bayan-Ulgii,2019-02,43
 Bayan-Ulgii,2019-01,55
