огноо,валютын_код,валютын_нэр,ханш_төгрөг
2021-09-10,EUR,Евро,3373.29
2021-09-10,JPY,Японы иен,25.91
2021-09-10,KRW,Солонгосын вон,2.44
2021-09-10,RUB,Оросын рубль,39.15
2021-09-10,USD,Америк доллар,2848.58
2021-09-11,CNY,Хятад юань,442.32
2021-09-11,EUR,Евро,3373.29
2021-09-11,JPY,Японы иен,25.91
2021-09-11,KRW,Солонгосын вон,2.44
2021-09-11,RUB,Оросын рубль,39.15
2021-09-11,USD,Америк доллар,2848.58
2021-09-12,CNY,Хятад юань,442.32
2021-09-12,EUR,Евро,3373.29
2021-09-12,JPY,Японы иен,25.91
2021-09-12,KRW,Солонгосын вон,2.44
2021-09-12,RUB,Оросын рубль,39.15
2021-09-12,USD,Америк доллар,2848.58
2021-09-13,CNY,Хятад юань,441.49
2021-09-13,EUR,Евро,3357.55
2021-09-13,JPY,Японы иен,25.87
2021-09-13,KRW,Солонгосын вон,2.43
2021-09-13,RUB,Оросын рубль,39.0
2021-09-13,USD,Америк доллар,2849.12
2021-09-14,CNY,Хятад юань,442.25
2021-09-14,EUR,Евро,3369.2
2021-09-14,JPY,Японы иен,25.9
2021-09-14,KRW,Солонгосын вон,2.44
2021-09-14,RUB,Оросын рубль,39.19
2021-09-14,USD,Америк доллар,2849.22
2021-09-15,CNY,Хятад юань,442.62
2021-09-15,EUR,Евро,3366.86
2021-09-15,JPY,Японы иен,26.03
2021-09-15,KRW,Солонгосын вон,2.44
2021-09-15,RUB,Оросын рубль,39.12
2021-09-15,USD,Америк доллар,2849.17
2021-09-16,CNY,Хятад юань,442.13
2021-09-16,EUR,Евро,3356.7
2021-09-16,JPY,Японы иен,26.06
2021-09-16,KRW,Солонгосын вон,2.43
2021-09-16,RUB,Оросын рубль,39.34
2021-09-16,USD,Америк доллар,2849.25
2021-09-17,CNY,Хятад юань,441.49
2021-09-17,EUR,Евро,3354.68
2021-09-17,JPY,Японы иен,25.91
2021-09-17,KRW,Солонгосын вон,2.42
2021-09-17,RUB,Оросын рубль,39.26
2021-09-17,USD,Америк доллар,2848.62
2021-09-18,CNY,Хятад юань,441.49
2021-09-18,EUR,Евро,3354.68
2021-09-18,JPY,Японы иен,25.91
2021-09-18,KRW,Солонгосын вон,2.42
2021-09-18,RUB,Оросын рубль,39.26
2021-09-18,USD,Америк доллар,2848.62
2021-09-19,CNY,Хятад юань,441.49
2021-09-19,EUR,Евро,3354.68
2021-09-19,JPY,Японы иен,25.91
2021-09-19,KRW,Солонгосын вон,2.42
2021-09-19,RUB,Оросын рубль,39.26
2021-09-19,USD,Америк доллар,2848.62
2021-09-20,CNY,Хятад юань,440.63
2021-09-20,EUR,Евро,3336.41
2021-09-20,JPY,Японы иен,25.97
2021-09-20,KRW,Солонгосын вон,2.4
2021-09-20,RUB,Оросын рубль,38.82
2021-09-20,USD,Америк доллар,2849.2
2021-09-21,CNY,Хятад юань,440.63
2021-09-21,EUR,Евро,3341.14
2021-09-21,JPY,Японы иен,25.99
2021-09-21,KRW,Солонгосын вон,2.4
2021-09-21,RUB,Оросын рубль,38.94
2021-09-21,USD,Америк доллар,2849.22
2021-09-22,CNY,Хятад юань,440.37
2021-09-22,EUR,Евро,3341.02
2021-09-22,JPY,Японы иен,26.03
2021-09-22,KRW,Солонгосын вон,2.41
2021-09-22,RUB,Оросын рубль,39.07
2021-09-22,USD,Америк доллар,2848.51
2021-09-23,CNY,Хятад юань,440.71
2021-09-23,EUR,Евро,3337.81
2021-09-23,JPY,Японы иен,25.91
2021-09-23,KRW,Солонгосын вон,2.42
2021-09-23,RUB,Оросын рубль,39.21
2021-09-23,USD,Америк доллар,2849.18
2021-09-24,CNY,Хятад юань,440.81
2021-09-24,EUR,Евро,3343.88
2021-09-24,JPY,Японы иен,25.79
2021-09-24,KRW,Солонгосын вон,2.42
2021-09-24,RUB,Оросын рубль,39.04
2021-09-24,USD,Америк доллар,2848.64
2021-09-25,CNY,Хятад юань,440.81
2021-09-25,EUR,Евро,3343.88
2021-09-25,JPY,Японы иен,25.79
2021-09-25,KRW,Солонгосын вон,2.42
2021-09-25,RUB,Оросын рубль,39.04
2021-09-25,USD,Америк доллар,2848.64
2021-09-26,CNY,Хятад юань,440.81
2021-09-26,EUR,Евро,3343.88
2021-09-26,JPY,Японы иен,25.79
2021-09-26,KRW,Солонгосын вон,2.42
2021-09-26,RUB,Оросын рубль,39.04
2021-09-26,USD,Америк доллар,2848.64
2021-09-27,CNY,Хятад юань,441.06
2021-09-27,EUR,Евро,3332.1
2021-09-27,JPY,Японы иен,25.72
2021-09-27,KRW,Солонгосын вон,2.42
2021-09-27,RUB,Оросын рубль,39.2
2021-09-27,USD,Америк доллар,2849.17
2021-09-28,CNY,Хятад юань,441.3
2021-09-28,EUR,Евро,3329.73
2021-09-28,JPY,Японы иен,25.61
2021-09-28,KRW,Солонгосын вон,2.4
2021-09-28,RUB,Оросын рубль,39.3
2021-09-28,USD,Америк доллар,2849.09
2021-09-29,CNY,Хятад юань,440.38
2021-09-29,EUR,Евро,3322.02
2021-09-29,JPY,Японы иен,25.59
2021-09-29,KRW,Солонгосын вон,2.41
2021-09-29,RUB,Оросын рубль,39.15
2021-09-29,USD,Америк доллар,2848.46
2021-09-30,CNY,Хятад юань,440.8
2021-09-30,EUR,Евро,3306.35
2021-09-30,JPY,Японы иен,25.47
2021-09-30,KRW,Солонгосын вон,2.41
2021-09-30,RUB,Оросын рубль,39.22
2021-09-30,USD,Америк доллар,2849.2
2021-10-01,CNY,Хятад юань,441.89
2021-10-01,EUR,Евро,3298.53
2021-10-01,JPY,Японы иен,25.61
2021-10-01,KRW,Солонгосын вон,2.4
2021-10-01,RUB,Оросын рубль,39.1
2021-10-01,USD,Америк доллар,2848.72
2021-10-02,CNY,Хятад юань,441.89
2021-10-02,EUR,Евро,3298.53
2021-10-02,JPY,Японы иен,25.61
2021-10-02,KRW,Солонгосын вон,2.4
2021-10-02,RUB,Оросын рубль,39.1
2021-10-02,USD,Америк доллар,2848.72
2021-10-03,CNY,Хятад юань,441.89
2021-10-03,EUR,Евро,3298.53
2021-10-03,JPY,Японы иен,25.61
2021-10-03,KRW,Солонгосын вон,2.4
2021-10-03,RUB,Оросын рубль,39.1
2021-10-03,USD,Америк доллар,2848.72
2021-10-04,CNY,Хятад юань,441.92
2021-10-04,EUR,Евро,3307.3
2021-10-04,JPY,Японы иен,25.63
2021-10-04,KRW,Солонгосын вон,2.41
2021-10-04,RUB,Оросын рубль,39.07
2021-10-04,USD,Америк доллар,2848.91
2021-10-05,CNY,Хятад юань,441.95
2021-10-05,EUR,Евро,3304.24
2021-10-05,JPY,Японы иен,25.65
2021-10-05,KRW,Солонгосын вон,2.4
2021-10-05,RUB,Оросын рубль,39.25
2021-10-05,USD,Америк доллар,2849.1
2021-10-06,CNY,Хятад юань,441.85
2021-10-06,EUR,Евро,3291.85
2021-10-06,JPY,Японы иен,25.51
2021-10-06,KRW,Солонгосын вон,2.38
2021-10-06,RUB,Оросын рубль,39.22
2021-10-06,USD,Америк доллар,2848.48
2021-10-07,CNY,Хятад юань,441.99
2021-10-07,EUR,Евро,3296.45
2021-10-07,JPY,Японы иен,25.6
2021-10-07,KRW,Солонгосын вон,2.39
2021-10-07,RUB,Оросын рубль,39.42
2021-10-07,USD,Америк доллар,2849.38
2021-10-08,CNY,Хятад юань,441.82
2021-10-08,EUR,Евро,3289.9
2021-10-08,JPY,Японы иен,25.45
2021-10-08,KRW,Солонгосын вон,2.38
2021-10-08,RUB,Оросын рубль,39.57
2021-10-08,USD,Америк доллар,2848.89
2021-10-09,CNY,Хятад юань,441.82
2021-10-09,EUR,Евро,3289.9
2021-10-09,JPY,Японы иен,25.45
2021-10-09,KRW,Солонгосын вон,2.38
2021-10-09,RUB,Оросын рубль,39.57
2021-10-09,USD,Америк доллар,2848.89
2021-10-10,CNY,Хятад юань,441.82
2021-10-10,EUR,Евро,3289.9
2021-10-10,JPY,Японы иен,25.45
2021-10-10,KRW,Солонгосын вон,2.38
2021-10-10,RUB,Оросын рубль,39.57
2021-10-10,USD,Америк доллар,2848.89
2021-10-11,CNY,Хятад юань,442.67
2021-10-11,EUR,Евро,3298.13
2021-10-11,JPY,Японы иен,25.26
2021-10-11,KRW,Солонгосын вон,2.39
2021-10-11,RUB,Оросын рубль,39.69
2021-10-11,USD,Америк доллар,2849.23
2021-10-12,CNY,Хятад юань,441.31
2021-10-12,EUR,Евро,3292.76
2021-10-12,JPY,Японы иен,25.15
2021-10-12,KRW,Солонгосын вон,2.38
2021-10-12,RUB,Оросын рубль,39.64
2021-10-12,USD,Америк доллар,2849.39
2021-10-13,CNY,Хятад юань,441.83
2021-10-13,EUR,Евро,3290.1
2021-10-13,JPY,Японы иен,25.08
2021-10-13,KRW,Солонгосын вон,2.39
2021-10-13,RUB,Оросын рубль,39.64
2021-10-13,USD,Америк доллар,2848.45
2021-10-14,CNY,Хятад юань,442.67
2021-10-14,EUR,Евро,3307.44
2021-10-14,JPY,Японы иен,25.13
2021-10-14,KRW,Солонгосын вон,2.4
2021-10-14,RUB,Оросын рубль,39.67
2021-10-14,USD,Америк доллар,2849.28
2021-10-15,CNY,Хятад юань,443.15
2021-10-15,EUR,Евро,3308.04
2021-10-15,JPY,Японы иен,24.97
2021-10-15,KRW,Солонгосын вон,2.41
2021-10-15,RUB,Оросын рубль,40.0
2021-10-15,USD,Америк доллар,2848.81
2021-10-16,CNY,Хятад юань,443.15
2021-10-16,EUR,Евро,3308.04
2021-10-16,JPY,Японы иен,24.97
2021-10-16,KRW,Солонгосын вон,2.41
2021-10-16,RUB,Оросын рубль,40.0
2021-10-16,USD,Америк доллар,2848.81
2021-10-17,CNY,Хятад юань,443.15
2021-10-17,EUR,Евро,3308.04
2021-10-17,JPY,Японы иен,24.97
2021-10-17,KRW,Солонгосын вон,2.41
2021-10-17,RUB,Оросын рубль,40.0
2021-10-17,USD,Америк доллар,2848.81
2021-10-18,CNY,Хятад юань,442.92
2021-10-18,EUR,Евро,3303.41
2021-10-18,JPY,Японы иен,24.93
2021-10-18,KRW,Солонгосын вон,2.4
2021-10-18,RUB,Оросын рубль,40.04
2021-10-18,USD,Америк доллар,2849.73
2021-10-19,CNY,Хятад юань,445.21
2021-10-19,EUR,Евро,3320.64
2021-10-19,JPY,Японы иен,24.99
2021-10-19,KRW,Солонгосын вон,2.42
2021-10-19,RUB,Оросын рубль,40.13
2021-10-19,USD,Америк доллар,2849.48
2021-10-20,CNY,Хятад юань,445.53
2021-10-20,EUR,Евро,3311.08
2021-10-20,JPY,Японы иен,24.91
2021-10-20,KRW,Солонгосын вон,2.42
2021-10-20,RUB,Оросын рубль,40.1
2021-10-20,USD,Америк доллар,2848.49
2021-10-21,CNY,Хятад юань,445.21
2021-10-21,EUR,Евро,3316.06
2021-10-21,JPY,Японы иен,24.97
2021-10-21,KRW,Солонгосын вон,2.42
2021-10-21,RUB,Оросын рубль,40.15
2021-10-21,USD,Америк доллар,2848.97
2021-10-22,CNY,Хятад юань,445.69
2021-10-22,EUR,Евро,3316.32
2021-10-22,JPY,Японы иен,25.01
2021-10-22,KRW,Солонгосын вон,2.42
2021-10-22,RUB,Оросын рубль,40.22
2021-10-22,USD,Америк доллар,2848.58
2021-10-23,CNY,Хятад юань,445.69
2021-10-23,EUR,Евро,3316.32
2021-10-23,JPY,Японы иен,25.01
2021-10-23,KRW,Солонгосын вон,2.42
2021-10-23,RUB,Оросын рубль,40.22
2021-10-23,USD,Америк доллар,2848.58
2021-10-24,CNY,Хятад юань,445.69
2021-10-24,EUR,Евро,3316.32
2021-10-24,JPY,Японы иен,25.01
2021-10-24,KRW,Солонгосын вон,2.42
2021-10-24,RUB,Оросын рубль,40.22
2021-10-24,USD,Америк доллар,2848.58
2021-10-25,CNY,Хятад юань,446.48
2021-10-25,EUR,Евро,3321.14
2021-10-25,JPY,Японы иен,25.07
2021-10-25,KRW,Солонгосын вон,2.44
2021-10-25,RUB,Оросын рубль,40.67
2021-10-25,USD,Америк доллар,2848.93
2021-10-26,CNY,Хятад юань,446.33
2021-10-26,EUR,Евро,3304.54
2021-10-26,JPY,Японы иен,24.98
2021-10-26,KRW,Солонгосын вон,2.44
2021-10-26,RUB,Оросын рубль,40.95
2021-10-26,USD,Америк доллар,2849.11
2021-10-27,CNY,Хятад юань,446.09
2021-10-27,EUR,Евро,3305.68
2021-10-27,JPY,Японы иен,25.04
2021-10-27,KRW,Солонгосын вон,2.44
2021-10-27,RUB,Оросын рубль,40.77
2021-10-27,USD,Америк доллар,2848.5
2021-10-28,CNY,Хятад юань,445.55
2021-10-28,EUR,Евро,3307.31
2021-10-28,JPY,Японы иен,25.08
2021-10-28,KRW,Солонгосын вон,2.44
2021-10-28,RUB,Оросын рубль,40.39
2021-10-28,USD,Америк доллар,2849.04
2021-10-29,CNY,Хятад юань,445.78
2021-10-29,EUR,Евро,3324.89
2021-10-29,JPY,Японы иен,25.08
2021-10-29,KRW,Солонгосын вон,2.44
2021-10-29,RUB,Оросын рубль,40.4
2021-10-29,USD,Америк доллар,2848.85
2021-10-30,CNY,Хятад юань,445.78
2021-10-30,EUR,Евро,3324.89
2021-10-30,JPY,Японы иен,25.08
2021-10-30,KRW,Солонгосын вон,2.44
2021-10-30,RUB,Оросын рубль,40.4
2021-10-30,USD,Америк доллар,2848.85
2021-10-31,CNY,Хятад юань,445.78
2021-10-31,EUR,Евро,3324.89
2021-10-31,JPY,Японы иен,25.08
2021-10-31,KRW,Солонгосын вон,2.44
2021-10-31,RUB,Оросын рубль,40.4
2021-10-31,USD,Америк доллар,2848.85
2021-11-01,CNY,Хятад юань,444.97
2021-11-01,EUR,Евро,3294.68
2021-11-01,JPY,Японы иен,24.9
2021-11-01,KRW,Солонгосын вон,2.42
2021-11-01,RUB,Оросын рубль,40.07
2021-11-01,USD,Америк доллар,2849.08
2021-11-02,CNY,Хятад юань,445.16
2021-11-02,EUR,Евро,3306.58
2021-11-02,JPY,Японы иен,25.06
2021-11-02,KRW,Солонгосын вон,2.42
2021-11-02,RUB,Оросын рубль,39.88
2021-11-02,USD,Америк доллар,2849.15
2021-11-03,CNY,Хятад юань,445.11
2021-11-03,EUR,Евро,3298.8
2021-11-03,JPY,Японы иен,25.01
2021-11-03,KRW,Солонгосын вон,2.41
2021-11-03,RUB,Оросын рубль,39.85
2021-11-03,USD,Америк доллар,2848.46
2021-11-04,CNY,Хятад юань,445.5
2021-11-04,EUR,Евро,3296.86
2021-11-04,JPY,Японы иен,24.95
2021-11-04,KRW,Солонгосын вон,2.41
2021-11-04,RUB,Оросын рубль,39.85
2021-11-04,USD,Америк доллар,2849.12
2021-11-05,CNY,Хятад юань,445.5
2021-11-05,EUR,Евро,3296.86
2021-11-05,JPY,Японы иен,24.95
2021-11-05,KRW,Солонгосын вон,2.41
2021-11-05,RUB,Оросын рубль,39.85
2021-11-05,USD,Америк доллар,2849.12
2021-11-06,CNY,Хятад юань,445.5
2021-11-06,EUR,Евро,3296.86
2021-11-06,JPY,Японы иен,24.95
2021-11-06,KRW,Солонгосын вон,2.41
2021-11-06,RUB,Оросын рубль,39.85
2021-11-06,USD,Америк доллар,2849.12
2021-11-07,CNY,Хятад юань,445.5
2021-11-07,EUR,Евро,3296.86
2021-11-07,JPY,Японы иен,24.95
2021-11-07,KRW,Солонгосын вон,2.41
2021-11-07,RUB,Оросын рубль,39.85
2021-11-07,USD,Америк доллар,2849.12
2021-11-08,CNY,Хятад юань,445.23
2021-11-08,EUR,Евро,3292.94
2021-11-08,JPY,Японы иен,25.08
2021-11-08,KRW,Солонгосын вон,2.41
2021-11-08,RUB,Оросын рубль,39.85
2021-11-08,USD,Америк доллар,2848.56
2021-11-09,CNY,Хятад юань,445.51
2021-11-09,EUR,Евро,3304.03
2021-11-09,JPY,Японы иен,25.25
2021-11-09,KRW,Солонгосын вон,2.42
2021-11-09,RUB,Оросын рубль,39.98
2021-11-09,USD,Америк доллар,2849.28
2021-11-10,CNY,Хятад юань,445.64
2021-11-10,EUR,Евро,3295.76
2021-11-10,JPY,Японы иен,25.19
2021-11-10,KRW,Солонгосын вон,2.41
2021-11-10,RUB,Оросын рубль,40.29
2021-11-10,USD,Америк доллар,2848.91
2021-11-11,CNY,Хятад юань,444.89
2021-11-11,EUR,Евро,3265.67
2021-11-11,JPY,Японы иен,24.98
2021-11-11,KRW,Солонгосын вон,2.41
2021-11-11,RUB,Оросын рубль,40.01
2021-11-11,USD,Америк доллар,2849.25
2021-11-12,CNY,Хятад юань,445.61
2021-11-12,EUR,Евро,3262.56
2021-11-12,JPY,Японы иен,24.98
2021-11-12,KRW,Солонгосын вон,2.42
2021-11-12,RUB,Оросын рубль,39.63
2021-11-12,USD,Америк доллар,2848.65
2021-11-13,CNY,Хятад юань,445.61
2021-11-13,EUR,Евро,3262.56
2021-11-13,JPY,Японы иен,24.98
2021-11-13,KRW,Солонгосын вон,2.42
2021-11-13,RUB,Оросын рубль,39.63
2021-11-13,USD,Америк доллар,2848.65
2021-11-14,CNY,Хятад юань,445.61
2021-11-14,EUR,Евро,3262.56
2021-11-14,JPY,Японы иен,24.98
2021-11-14,KRW,Солонгосын вон,2.42
2021-11-14,RUB,Оросын рубль,39.63
2021-11-14,USD,Америк доллар,2848.65
2021-11-15,CNY,Хятад юань,446.45
2021-11-15,EUR,Евро,3261.86
2021-11-15,JPY,Японы иен,25.0
2021-11-15,KRW,Солонгосын вон,2.42
2021-11-15,RUB,Оросын рубль,39.47
2021-11-15,USD,Америк доллар,2848.91
2021-11-16,CNY,Хятад юань,446.62
2021-11-16,EUR,Евро,3241.53
2021-11-16,JPY,Японы иен,24.93
2021-11-16,KRW,Солонгосын вон,2.41
2021-11-16,RUB,Оросын рубль,39.32
2021-11-16,USD,Америк доллар,2849.32
2021-11-17,CNY,Хятад юань,446.06
2021-11-17,EUR,Евро,3219.92
2021-11-17,JPY,Японы иен,24.8
2021-11-17,KRW,Солонгосын вон,2.41
2021-11-17,RUB,Оросын рубль,39.2
2021-11-17,USD,Америк доллар,2848.98
2021-11-18,CNY,Хятад юань,446.79
2021-11-18,EUR,Евро,3229.32
2021-11-18,JPY,Японы иен,24.98
2021-11-18,KRW,Солонгосын вон,2.42
2021-11-18,RUB,Оросын рубль,39.22
2021-11-18,USD,Америк доллар,2849.48
2021-11-19,CNY,Хятад юань,446.26
2021-11-19,EUR,Евро,3231.3
2021-11-19,JPY,Японы иен,24.91
2021-11-19,KRW,Солонгосын вон,2.4
2021-11-19,RUB,Оросын рубль,39.13
2021-11-19,USD,Америк доллар,2848.72
2021-11-20,CNY,Хятад юань,446.26
2021-11-20,EUR,Евро,3231.3
2021-11-20,JPY,Японы иен,24.91
2021-11-20,KRW,Солонгосын вон,2.4
2021-11-20,RUB,Оросын рубль,39.13
2021-11-20,USD,Америк доллар,2848.72
2021-11-21,CNY,Хятад юань,446.26
2021-11-21,EUR,Евро,3231.3
2021-11-21,JPY,Японы иен,24.91
2021-11-21,KRW,Солонгосын вон,2.4
2021-11-21,RUB,Оросын рубль,39.13
2021-11-21,USD,Америк доллар,2848.72
2021-11-22,CNY,Хятад юань,446.39
2021-11-22,EUR,Евро,3209.44
2021-11-22,JPY,Японы иен,24.94
2021-11-22,KRW,Солонгосын вон,2.4
2021-11-22,RUB,Оросын рубль,38.8
2021-11-22,USD,Америк доллар,2849.04
2021-11-23,CNY,Хятад юань,446.31
2021-11-23,EUR,Евро,3206.2
2021-11-23,JPY,Японы иен,24.84
2021-11-23,KRW,Солонгосын вон,2.4
2021-11-23,RUB,Оросын рубль,38.13
2021-11-23,USD,Америк доллар,2849.2
2021-11-24,CNY,Хятад юань,445.85
2021-11-24,EUR,Евро,3203.21
2021-11-24,JPY,Японы иен,24.79
2021-11-24,KRW,Солонгосын вон,2.4
2021-11-24,RUB,Оросын рубль,38.36
2021-11-24,USD,Америк доллар,2848.44
2021-11-25,CNY,Хятад юань,446.12
2021-11-25,EUR,Евро,3196.63
2021-11-25,JPY,Японы иен,24.7
2021-11-25,KRW,Солонгосын вон,2.4
2021-11-25,RUB,Оросын рубль,38.17
2021-11-25,USD,Америк доллар,2849.3
2021-11-26,CNY,Хятад юань,446.12
2021-11-26,EUR,Евро,3196.63
2021-11-26,JPY,Японы иен,24.7
2021-11-26,KRW,Солонгосын вон,2.4
2021-11-26,RUB,Оросын рубль,38.17
2021-11-26,USD,Америк доллар,2849.3
2021-11-27,CNY,Хятад юань,446.12
2021-11-27,EUR,Евро,3196.63
2021-11-27,JPY,Японы иен,24.7
2021-11-27,KRW,Солонгосын вон,2.4
2021-11-27,RUB,Оросын рубль,38.17
2021-11-27,USD,Америк доллар,2849.3
2021-11-28,CNY,Хятад юань,446.12
2021-11-28,EUR,Евро,3196.63
2021-11-28,JPY,Японы иен,24.7
2021-11-28,KRW,Солонгосын вон,2.4
2021-11-28,RUB,Оросын рубль,38.17
2021-11-28,USD,Америк доллар,2849.3
2021-11-29,CNY,Хятад юань,446.2
2021-11-29,EUR,Евро,3209.25
2021-11-29,JPY,Японы иен,25.08
2021-11-29,KRW,Солонгосын вон,2.39
2021-11-29,RUB,Оросын рубль,37.94
2021-11-29,USD,Америк доллар,2848.74
2021-11-30,CNY,Хятад юань,447.19
2021-11-30,EUR,Евро,3229.86
2021-11-30,JPY,Японы иен,25.18
2021-11-30,KRW,Солонгосын вон,2.39
2021-11-30,RUB,Оросын рубль,38.05
2021-11-30,USD,Америк доллар,2849.21
2021-12-01,CNY,Хятад юань,447.45
2021-12-01,EUR,Евро,3234.75
2021-12-01,JPY,Японы иен,25.13
2021-12-01,KRW,Солонгосын вон,2.42
2021-12-01,RUB,Оросын рубль,38.52
2021-12-01,USD,Америк доллар,2848.49
2021-12-02,CNY,Хятад юань,446.92
2021-12-02,EUR,Евро,3224.15
2021-12-02,JPY,Японы иен,25.16
2021-12-02,KRW,Солонгосын вон,2.43
2021-12-02,RUB,Оросын рубль,38.47
2021-12-02,USD,Америк доллар,2849.32
2021-12-03,CNY,Хятад юань,447.2
2021-12-03,EUR,Евро,3216.73
2021-12-03,JPY,Японы иен,25.12
2021-12-03,KRW,Солонгосын вон,2.41
2021-12-03,RUB,Оросын рубль,38.68
2021-12-03,USD,Америк доллар,2848.55
2021-12-04,CNY,Хятад юань,447.2
2021-12-04,EUR,Евро,3216.73
2021-12-04,JPY,Японы иен,25.12
2021-12-04,KRW,Солонгосын вон,2.41
2021-12-04,RUB,Оросын рубль,38.68
2021-12-04,USD,Америк доллар,2848.55
2021-12-05,CNY,Хятад юань,447.2
2021-12-05,EUR,Евро,3216.73
2021-12-05,JPY,Японы иен,25.12
2021-12-05,KRW,Солонгосын вон,2.41
2021-12-05,RUB,Оросын рубль,38.68
2021-12-05,USD,Америк доллар,2848.55
2021-12-06,CNY,Хятад юань,447.18
2021-12-06,EUR,Евро,3215.66
2021-12-06,JPY,Японы иен,25.18
2021-12-06,KRW,Солонгосын вон,2.41
2021-12-06,RUB,Оросын рубль,38.69
2021-12-06,USD,Америк доллар,2849.12
2021-12-07,CNY,Хятад юань,447.46
2021-12-07,EUR,Евро,3216.72
2021-12-07,JPY,Японы иен,25.07
2021-12-07,KRW,Солонгосын вон,2.42
2021-12-07,RUB,Оросын рубль,38.4
2021-12-07,USD,Америк доллар,2849.3
2021-12-08,CNY,Хятад юань,448.18
2021-12-08,EUR,Евро,3215.13
2021-12-08,JPY,Японы иен,25.12
2021-12-08,KRW,Солонгосын вон,2.42
2021-12-08,RUB,Оросын рубль,38.6
2021-12-08,USD,Америк доллар,2848.65
2021-12-09,CNY,Хятад юань,449.15
2021-12-09,EUR,Евро,3225.17
2021-12-09,JPY,Японы иен,25.1
2021-12-09,KRW,Солонгосын вон,2.42
2021-12-09,RUB,Оросын рубль,38.71
2021-12-09,USD,Америк доллар,2849.09
2021-12-10,CNY,Хятад юань,447.4
2021-12-10,EUR,Евро,3217.45
2021-12-10,JPY,Японы иен,25.08
2021-12-10,KRW,Солонгосын вон,2.41
2021-12-10,RUB,Оросын рубль,38.69
2021-12-10,USD,Америк доллар,2848.81
2021-12-11,CNY,Хятад юань,447.4
2021-12-11,EUR,Евро,3217.45
2021-12-11,JPY,Японы иен,25.08
2021-12-11,KRW,Солонгосын вон,2.41
2021-12-11,RUB,Оросын рубль,38.69
2021-12-11,USD,Америк доллар,2848.81
2021-12-12,CNY,Хятад юань,447.4
2021-12-12,EUR,Евро,3217.45
2021-12-12,JPY,Японы иен,25.08
2021-12-12,KRW,Солонгосын вон,2.41
2021-12-12,RUB,Оросын рубль,38.69
2021-12-12,USD,Америк доллар,2848.81
2021-12-13,CNY,Хятад юань,447.78
2021-12-13,EUR,Евро,3217.07
2021-12-13,JPY,Японы иен,25.09
2021-12-13,KRW,Солонгосын вон,2.41
2021-12-13,RUB,Оросын рубль,38.82
2021-12-13,USD,Америк доллар,2849.36
2021-12-14,CNY,Хятад юань,447.73
2021-12-14,EUR,Евро,3210.74
2021-12-14,JPY,Японы иен,25.05
2021-12-14,KRW,Солонгосын вон,2.41
2021-12-14,RUB,Оросын рубль,38.77
2021-12-14,USD,Америк доллар,2848.93
2021-12-15,CNY,Хятад юань,447.56
2021-12-15,EUR,Евро,3209.05
2021-12-15,JPY,Японы иен,25.05
2021-12-15,KRW,Солонгосын вон,2.4
2021-12-15,RUB,Оросын рубль,38.56
2021-12-15,USD,Америк доллар,2848.56
2021-12-16,CNY,Хятад юань,447.53
2021-12-16,EUR,Евро,3221.21
2021-12-16,JPY,Японы иен,24.97
2021-12-16,KRW,Солонгосын вон,2.41
2021-12-16,RUB,Оросын рубль,38.69
2021-12-16,USD,Америк доллар,2849.24
2021-12-17,CNY,Хятад юань,447.08
2021-12-17,EUR,Евро,3224.44
2021-12-17,JPY,Японы иен,25.06
2021-12-17,KRW,Солонгосын вон,2.4
2021-12-17,RUB,Оросын рубль,38.64
2021-12-17,USD,Америк доллар,2848.7
2021-12-18,CNY,Хятад юань,447.08
2021-12-18,EUR,Евро,3224.44
2021-12-18,JPY,Японы иен,25.06
2021-12-18,KRW,Солонгосын вон,2.4
2021-12-18,RUB,Оросын рубль,38.64
2021-12-18,USD,Америк доллар,2848.7
2021-12-19,CNY,Хятад юань,447.08
2021-12-19,EUR,Евро,3224.44
2021-12-19,JPY,Японы иен,25.06
2021-12-19,KRW,Солонгосын вон,2.4
2021-12-19,RUB,Оросын рубль,38.64
2021-12-19,USD,Америк доллар,2848.7
2021-12-20,CNY,Хятад юань,446.71
2021-12-20,EUR,Евро,3206.88
2021-12-20,JPY,Японы иен,25.11
2021-12-20,KRW,Солонгосын вон,2.39
2021-12-20,RUB,Оросын рубль,38.37
2021-12-20,USD,Америк доллар,2849.29
2021-12-21,CNY,Хятад юань,447.18
2021-12-21,EUR,Евро,3216.17
2021-12-21,JPY,Японы иен,25.07
2021-12-21,KRW,Солонгосын вон,2.39
2021-12-21,RUB,Оросын рубль,38.62
2021-12-21,USD,Америк доллар,2849.19
2021-12-22,CNY,Хятад юань,447.06
2021-12-22,EUR,Евро,3210.51
2021-12-22,JPY,Японы иен,24.96
2021-12-22,KRW,Солонгосын вон,2.39
2021-12-22,RUB,Оросын рубль,38.61
2021-12-22,USD,Америк доллар,2849.23
2021-12-23,CNY,Хятад юань,447.16
2021-12-23,EUR,Евро,3226.98
2021-12-23,JPY,Японы иен,24.93
2021-12-23,KRW,Солонгосын вон,2.4
2021-12-23,RUB,Оросын рубль,38.85
2021-12-23,USD,Америк доллар,2848.55
2021-12-24,CNY,Хятад юань,447.28
2021-12-24,EUR,Евро,3228.16
2021-12-24,JPY,Японы иен,24.91
2021-12-24,KRW,Солонгосын вон,2.4
2021-12-24,RUB,Оросын рубль,38.93
2021-12-24,USD,Америк доллар,2848.96
