огноо,валютын_код,валютын_нэр,ханш_төгрөг
2020-01-22,CNY,Хятад юань,398.26
2020-01-22,EUR,Евро,3046.42
2020-01-22,JPY,Японы иен,24.99
2020-01-22,KRW,Солонгосын вон,2.36
2020-01-22,RUB,Оросын рубль,44.44
2020-01-22,USD,Америк доллар,2748.61
2020-01-23,CNY,Хятад юань,396.68
2020-01-23,EUR,Евро,3048.77
2020-01-23,JPY,Японы иен,25.08
2020-01-23,KRW,Солонгосын вон,2.35
2020-01-23,RUB,Оросын рубль,44.38
2020-01-23,USD,Америк доллар,2749.24
2020-01-24,CNY,Хятад юань,396.35
2020-01-24,EUR,Евро,3039.02
2020-01-24,JPY,Японы иен,25.1
2020-01-24,KRW,Солонгосын вон,2.35
2020-01-24,RUB,Оросын рубль,44.5
2020-01-24,USD,Америк доллар,2749.37
2020-01-25,CNY,Хятад юань,396.35
2020-01-25,EUR,Евро,3039.02
2020-01-25,JPY,Японы иен,25.1
2020-01-25,KRW,Солонгосын вон,2.35
2020-01-25,RUB,Оросын рубль,44.5
2020-01-25,USD,Америк доллар,2749.37
2020-01-26,CNY,Хятад юань,396.35
2020-01-26,EUR,Евро,3039.02
2020-01-26,JPY,Японы иен,25.1
2020-01-26,KRW,Солонгосын вон,2.35
2020-01-26,RUB,Оросын рубль,44.5
2020-01-26,USD,Америк доллар,2749.37
2020-01-27,CNY,Хятад юань,396.49
2020-01-27,EUR,Евро,3034.31
2020-01-27,JPY,Японы иен,25.2
2020-01-27,KRW,Солонгосын вон,2.34
2020-01-27,RUB,Оросын рубль,44.05
2020-01-27,USD,Америк доллар,2750.34
2020-01-28,CNY,Хятад юань,396.56
2020-01-28,EUR,Евро,3031.52
2020-01-28,JPY,Японы иен,25.23
2020-01-28,KRW,Солонгосын вон,2.34
2020-01-28,RUB,Оросын рубль,43.76
2020-01-28,USD,Америк доллар,2750.8
2020-01-29,CNY,Хятад юань,396.62
2020-01-29,EUR,Евро,3027.41
2020-01-29,JPY,Японы иен,25.21
2020-01-29,KRW,Солонгосын вон,2.34
2020-01-29,RUB,Оросын рубль,44.1
2020-01-29,USD,Америк доллар,2751.19
2020-01-30,CNY,Хятад юань,396.68
2020-01-30,EUR,Евро,3031.31
2020-01-30,JPY,Японы иен,25.28
2020-01-30,KRW,Солонгосын вон,2.31
2020-01-30,RUB,Оросын рубль,43.69
2020-01-30,USD,Америк доллар,2751.61
2020-01-31,CNY,Хятад юань,396.67
2020-01-31,EUR,Евро,3034.57
2020-01-31,JPY,Японы иен,25.23
2020-01-31,KRW,Солонгосын вон,2.31
2020-01-31,RUB,Оросын рубль,43.61
2020-01-31,USD,Америк доллар,2751.57
2020-02-01,CNY,Хятад юань,396.67
2020-02-01,EUR,Евро,3034.57
2020-02-01,JPY,Японы иен,25.23
2020-02-01,KRW,Солонгосын вон,2.31
2020-02-01,RUB,Оросын рубль,43.61
2020-02-01,USD,Америк доллар,2751.57
2020-02-02,CNY,Хятад юань,396.67
2020-02-02,EUR,Евро,3034.57
2020-02-02,JPY,Японы иен,25.23
2020-02-02,KRW,Солонгосын вон,2.31
2020-02-02,RUB,Оросын рубль,43.61
2020-02-02,USD,Америк доллар,2751.57
2020-02-03,CNY,Хятад юань,392.01
2020-02-03,EUR,Евро,3048.19
2020-02-03,JPY,Японы иен,25.34
2020-02-03,KRW,Солонгосын вон,2.31
2020-02-03,RUB,Оросын рубль,43.12
2020-02-03,USD,Америк доллар,2752.32
2020-02-04,CNY,Хятад юань,393.6
2020-02-04,EUR,Евро,3041.68
2020-02-04,JPY,Японы иен,25.27
2020-02-04,KRW,Солонгосын вон,2.32
2020-02-04,RUB,Оросын рубль,43.32
2020-02-04,USD,Америк доллар,2752.65
2020-02-05,CNY,Хятад юань,393.23
2020-02-05,EUR,Евро,3039.55
2020-02-05,JPY,Японы иен,25.18
2020-02-05,KRW,Солонгосын вон,2.31
2020-02-05,RUB,Оросын рубль,43.52
2020-02-05,USD,Америк доллар,2752.97
2020-02-06,CNY,Хятад юань,395.08
2020-02-06,EUR,Евро,3030.19
2020-02-06,JPY,Японы иен,25.06
2020-02-06,KRW,Солонгосын вон,2.33
2020-02-06,RUB,Оросын рубль,43.84
2020-02-06,USD,Америк доллар,2753.97
2020-02-07,CNY,Хятад юань,394.31
2020-02-07,EUR,Евро,3019.96
2020-02-07,JPY,Японы иен,25.06
2020-02-07,KRW,Солонгосын вон,2.32
2020-02-07,RUB,Оросын рубль,43.29
2020-02-07,USD,Америк доллар,2753.93
2020-02-08,CNY,Хятад юань,394.31
2020-02-08,EUR,Евро,3019.96
2020-02-08,JPY,Японы иен,25.06
2020-02-08,KRW,Солонгосын вон,2.32
2020-02-08,RUB,Оросын рубль,43.29
2020-02-08,USD,Америк доллар,2753.93
2020-02-09,CNY,Хятад юань,394.31
2020-02-09,EUR,Евро,3019.96
2020-02-09,JPY,Японы иен,25.06
2020-02-09,KRW,Солонгосын вон,2.32
2020-02-09,RUB,Оросын рубль,43.29
2020-02-09,USD,Америк доллар,2753.93
2020-02-10,CNY,Хятад юань,394.45
2020-02-10,EUR,Евро,3014.84
2020-02-10,JPY,Японы иен,25.08
2020-02-10,KRW,Солонгосын вон,2.32
2020-02-10,RUB,Оросын рубль,43.21
2020-02-10,USD,Америк доллар,2754.16
2020-02-11,CNY,Хятад юань,394.76
2020-02-11,EUR,Евро,3005.47
2020-02-11,JPY,Японы иен,25.07
2020-02-11,KRW,Солонгосын вон,2.33
2020-02-11,RUB,Оросын рубль,43.08
2020-02-11,USD,Америк доллар,2754.15
2020-02-12,CNY,Хятад юань,395.14
2020-02-12,EUR,Евро,3007.39
2020-02-12,JPY,Японы иен,25.07
2020-02-12,KRW,Солонгосын вон,2.34
2020-02-12,RUB,Оросын рубль,43.78
2020-02-12,USD,Америк доллар,2755.28
2020-02-13,CNY,Хятад юань,394.72
2020-02-13,EUR,Евро,2997.91
2020-02-13,JPY,Японы иен,25.11
2020-02-13,KRW,Солонгосын вон,2.33
2020-02-13,RUB,Оросын рубль,43.3
2020-02-13,USD,Америк доллар,2755.56
2020-02-14,CNY,Хятад юань,394.68
2020-02-14,EUR,Евро,2988.06
2020-02-14,JPY,Японы иен,25.11
2020-02-14,KRW,Солонгосын вон,2.33
2020-02-14,RUB,Оросын рубль,43.44
2020-02-14,USD,Америк доллар,2756.26
2020-02-15,CNY,Хятад юань,394.68
2020-02-15,EUR,Евро,2988.06
2020-02-15,JPY,Японы иен,25.11
2020-02-15,KRW,Солонгосын вон,2.33
2020-02-15,RUB,Оросын рубль,43.44
2020-02-15,USD,Америк доллар,2756.26
2020-02-16,CNY,Хятад юань,394.68
2020-02-16,EUR,Евро,2988.06
2020-02-16,JPY,Японы иен,25.11
2020-02-16,KRW,Солонгосын вон,2.33
2020-02-16,RUB,Оросын рубль,43.44
2020-02-16,USD,Америк доллар,2756.26
2020-02-17,CNY,Хятад юань,395.15
2020-02-17,EUR,Евро,2989.18
2020-02-17,JPY,Японы иен,25.1
2020-02-17,KRW,Солонгосын вон,2.33
2020-02-17,RUB,Оросын рубль,43.57
2020-02-17,USD,Америк доллар,2757.29
2020-02-18,CNY,Хятад юань,393.95
2020-02-18,EUR,Евро,2986.65
2020-02-18,JPY,Японы иен,25.13
2020-02-18,KRW,Солонгосын вон,2.32
2020-02-18,RUB,Оросын рубль,43.25
2020-02-18,USD,Америк доллар,2758.39
2020-02-19,CNY,Хятад юань,394.36
2020-02-19,EUR,Евро,2979.39
2020-02-19,JPY,Японы иен,25.07
2020-02-19,KRW,Солонгосын вон,2.32
2020-02-19,RUB,Оросын рубль,43.33
2020-02-19,USD,Америк доллар,2758.95
2020-02-20,CNY,Хятад юань,393.66
2020-02-20,EUR,Евро,2977.8
2020-02-20,JPY,Японы иен,24.71
2020-02-20,KRW,Солонгосын вон,2.3
2020-02-20,RUB,Оросын рубль,43.33
2020-02-20,USD,Америк доллар,2759.65
2020-02-21,CNY,Хятад юань,392.55
2020-02-21,EUR,Евро,2986.32
2020-02-21,JPY,Японы иен,24.71
2020-02-21,KRW,Солонгосын вон,2.28
2020-02-21,RUB,Оросын рубль,42.9
2020-02-21,USD,Америк доллар,2760.89
2020-02-22,CNY,Хятад юань,392.55
2020-02-22,EUR,Евро,2986.32
2020-02-22,JPY,Японы иен,24.71
2020-02-22,KRW,Солонгосын вон,2.28
2020-02-22,RUB,Оросын рубль,42.9
2020-02-22,USD,Америк доллар,2760.89
2020-02-23,CNY,Хятад юань,392.55
2020-02-23,EUR,Евро,2986.32
2020-02-23,JPY,Японы иен,24.71
2020-02-23,KRW,Солонгосын вон,2.28
2020-02-23,RUB,Оросын рубль,42.9
2020-02-23,USD,Америк доллар,2760.89
2020-02-24,CNY,Хятад юань,392.55
2020-02-24,EUR,Евро,2986.32
2020-02-24,JPY,Японы иен,24.71
2020-02-24,KRW,Солонгосын вон,2.28
2020-02-24,RUB,Оросын рубль,42.9
2020-02-24,USD,Америк доллар,2760.89
2020-02-25,CNY,Хятад юань,392.55
2020-02-25,EUR,Евро,2986.32
2020-02-25,JPY,Японы иен,24.71
2020-02-25,KRW,Солонгосын вон,2.28
2020-02-25,RUB,Оросын рубль,42.9
2020-02-25,USD,Америк доллар,2760.89
2020-02-26,CNY,Хятад юань,392.55
2020-02-26,EUR,Евро,2986.32
2020-02-26,JPY,Японы иен,24.71
2020-02-26,KRW,Солонгосын вон,2.28
2020-02-26,RUB,Оросын рубль,42.9
2020-02-26,USD,Америк доллар,2760.89
2020-02-27,CNY,Хятад юань,393.73
2020-02-27,EUR,Евро,3022.95
2020-02-27,JPY,Японы иен,25.12
2020-02-27,KRW,Солонгосын вон,2.27
2020-02-27,RUB,Оросын рубль,42.06
2020-02-27,USD,Америк доллар,2761.69
2020-02-28,CNY,Хятад юань,394.75
2020-02-28,EUR,Евро,3039.26
2020-02-28,JPY,Японы иен,25.37
2020-02-28,KRW,Солонгосын вон,2.28
2020-02-28,RUB,Оросын рубль,41.16
2020-02-28,USD,Америк доллар,2762.71
2020-02-29,CNY,Хятад юань,394.75
2020-02-29,EUR,Евро,3039.26
2020-02-29,JPY,Японы иен,25.37
2020-02-29,KRW,Солонгосын вон,2.28
2020-02-29,RUB,Оросын рубль,41.16
2020-02-29,USD,Америк доллар,2762.71
2020-03-01,CNY,Хятад юань,394.75
2020-03-01,EUR,Евро,3039.26
2020-03-01,JPY,Японы иен,25.37
2020-03-01,KRW,Солонгосын вон,2.28
2020-03-01,RUB,Оросын рубль,41.16
2020-03-01,USD,Америк доллар,2762.71
2020-03-02,CNY,Хятад юань,396.88
2020-03-02,EUR,Евро,3057.27
2020-03-02,JPY,Японы иен,25.48
2020-03-02,KRW,Солонгосын вон,2.32
2020-03-02,RUB,Оросын рубль,41.72
2020-03-02,USD,Америк доллар,2763.26
2020-03-03,CNY,Хятад юань,395.87
2020-03-03,EUR,Евро,3075.43
2020-03-03,JPY,Японы иен,25.61
2020-03-03,KRW,Солонгосын вон,2.31
2020-03-03,RUB,Оросын рубль,41.57
2020-03-03,USD,Америк доллар,2764.18
2020-03-04,CNY,Хятад юань,398.75
2020-03-04,EUR,Евро,3090.08
2020-03-04,JPY,Японы иен,25.73
2020-03-04,KRW,Солонгосын вон,2.33
2020-03-04,RUB,Оросын рубль,41.9
2020-03-04,USD,Америк доллар,2763.69
2020-03-05,CNY,Хятад юань,398.35
2020-03-05,EUR,Евро,3074.84
2020-03-05,JPY,Японы иен,25.74
2020-03-05,KRW,Солонгосын вон,2.34
2020-03-05,RUB,Оросын рубль,41.75
2020-03-05,USD,Америк доллар,2764.27
2020-03-06,CNY,Хятад юань,397.89
2020-03-06,EUR,Евро,3107.69
2020-03-06,JPY,Японы иен,26.13
2020-03-06,KRW,Солонгосын вон,2.32
2020-03-06,RUB,Оросын рубль,40.94
2020-03-06,USD,Америк доллар,2764.36
2020-03-07,CNY,Хятад юань,397.89
2020-03-07,EUR,Евро,3107.69
2020-03-07,JPY,Японы иен,26.13
2020-03-07,KRW,Солонгосын вон,2.32
2020-03-07,RUB,Оросын рубль,40.94
2020-03-07,USD,Америк доллар,2764.36
2020-03-08,CNY,Хятад юань,397.89
2020-03-08,EUR,Евро,3107.69
2020-03-08,JPY,Японы иен,26.13
2020-03-08,KRW,Солонгосын вон,2.32
2020-03-08,RUB,Оросын рубль,40.94
2020-03-08,USD,Америк доллар,2764.36
2020-03-09,CNY,Хятад юань,397.87
2020-03-09,EUR,Евро,3159.02
2020-03-09,JPY,Японы иен,27.03
2020-03-09,KRW,Солонгосын вон,2.3
2020-03-09,RUB,Оросын рубль,36.93
2020-03-09,USD,Америк доллар,2765.01
2020-03-10,CNY,Хятад юань,398.4
2020-03-10,EUR,Евро,3149.01
2020-03-10,JPY,Японы иен,26.64
2020-03-10,KRW,Солонгосын вон,2.32
2020-03-10,RUB,Оросын рубль,38.42
2020-03-10,USD,Америк доллар,2766.66
2020-03-11,CNY,Хятад юань,397.81
2020-03-11,EUR,Евро,3134.2
2020-03-11,JPY,Японы иен,26.34
2020-03-11,KRW,Солонгосын вон,2.32
2020-03-11,RUB,Оросын рубль,38.73
2020-03-11,USD,Америк доллар,2766.53
2020-03-12,CNY,Хятад юань,396.33
2020-03-12,EUR,Евро,3129.4
2020-03-12,JPY,Японы иен,26.7
2020-03-12,KRW,Солонгосын вон,2.3
2020-03-12,RUB,Оросын рубль,37.32
2020-03-12,USD,Америк доллар,2766.69
2020-03-13,CNY,Хятад юань,396.07
2020-03-13,EUR,Евро,3096.72
2020-03-13,JPY,Японы иен,26.15
2020-03-13,KRW,Солонгосын вон,2.27
2020-03-13,RUB,Оросын рубль,37.9
2020-03-13,USD,Америк доллар,2767.52
2020-03-14,CNY,Хятад юань,396.07
2020-03-14,EUR,Евро,3096.72
2020-03-14,JPY,Японы иен,26.15
2020-03-14,KRW,Солонгосын вон,2.27
2020-03-14,RUB,Оросын рубль,37.9
2020-03-14,USD,Америк доллар,2767.52
2020-03-15,CNY,Хятад юань,396.07
2020-03-15,EUR,Евро,3096.72
2020-03-15,JPY,Японы иен,26.15
2020-03-15,KRW,Солонгосын вон,2.27
2020-03-15,RUB,Оросын рубль,37.9
2020-03-15,USD,Америк доллар,2767.52
2020-03-16,CNY,Хятад юань,395.12
2020-03-16,EUR,Евро,3094.39
2020-03-16,JPY,Японы иен,25.97
2020-03-16,KRW,Солонгосын вон,2.26
2020-03-16,RUB,Оросын рубль,37.35
2020-03-16,USD,Америк доллар,2768.04
2020-03-17,CNY,Хятад юань,395.38
2020-03-17,EUR,Евро,3085.09
2020-03-17,JPY,Японы иен,25.9
2020-03-17,KRW,Солонгосын вон,2.23
2020-03-17,RUB,Оросын рубль,37.66
2020-03-17,USD,Америк доллар,2768.88
2020-03-18,CNY,Хятад юань,394.37
2020-03-18,EUR,Евро,3037.78
2020-03-18,JPY,Японы иен,25.77
2020-03-18,KRW,Солонгосын вон,2.21
2020-03-18,RUB,Оросын рубль,35.73
2020-03-18,USD,Америк доллар,2769.17
2020-03-19,CNY,Хятад юань,390.99
2020-03-19,EUR,Евро,3004.74
2020-03-19,JPY,Японы иен,25.37
2020-03-19,KRW,Солонгосын вон,2.17
2020-03-19,RUB,Оросын рубль,34.69
2020-03-19,USD,Америк доллар,2769.73
2020-03-20,CNY,Хятад юань,392.69
2020-03-20,EUR,Евро,2996.58
2020-03-20,JPY,Японы иен,25.3
2020-03-20,KRW,Солонгосын вон,2.24
2020-03-20,RUB,Оросын рубль,35.52
2020-03-20,USD,Америк доллар,2770.76
2020-03-21,CNY,Хятад юань,392.69
2020-03-21,EUR,Евро,2996.58
2020-03-21,JPY,Японы иен,25.3
2020-03-21,KRW,Солонгосын вон,2.24
2020-03-21,RUB,Оросын рубль,35.52
2020-03-21,USD,Америк доллар,2770.76
2020-03-22,CNY,Хятад юань,392.69
2020-03-22,EUR,Евро,2996.58
2020-03-22,JPY,Японы иен,25.3
2020-03-22,KRW,Солонгосын вон,2.24
2020-03-22,RUB,Оросын рубль,35.52
