year,production_tonnes
2010,241050.3
2011,251347.9
2012,263415.5
2013,299280.7
2014,291655.8
2015,448155.8
2016,401584.7
2017,426168.4
2018,515182.5
2019,545029.2
2020,744516.0
2021,512679.2
2022,653966.6
2023,622082.7
2024,450443.1
