Indicator,Station location,Month,value
Average air temperature,West region,2025-11,
Average air temperature,West region,2025-10,
Average air temperature,West region,2025-09,
Average air temperature,West region,2025-08,
Average air temperature,West region,2025-07,
Average air temperature,West region,2025-06,
Average air temperature,West region,2025-5,
Average air temperature,West region,2025-4,
Average air temperature,West region,2025-3,
Average air temperature,West region,2025-2,
Average air temperature,West region,2025-1,
Average air temperature,West region,2024-12,
Average air temperature,West region,2024-11,
Average air temperature,West region,2024-10,
Average air temperature,West region,2024-09,
Average air temperature,West region,2024-08,
Average air temperature,West region,2024-07,
Average air temperature,West region,2024-06,
Average air temperature,West region,2024-05,
Average air temperature,West region,2024-04,
Average air temperature,West region,2024-03,
Average air temperature,West region,2024-02,
Average air temperature,West region,2024-01,
Average air temperature,West region,2023-12,
Average air temperature,West region,2023-11,
Average air temperature,West region,2023-10,
Average air temperature,West region,2023-09,
Average air temperature,West region,2023-08,
Average air temperature,West region,2023-07,
Average air temperature,West region,2023-06,
Average air temperature,West region,2023-05,
Average air temperature,West region,2023-04,
Average air temperature,West region,2023-03,
Average air temperature,West region,2023-02,
Average air temperature,West region,2023-01,
Average air temperature,West region,2022-12,-18.7
Average air temperature,West region,2022-11,
Average air temperature,West region,2022-10,
Average air temperature,West region,2022-09,
Average air temperature,West region,2022-08,
Average air temperature,West region,2022-07,
Average air temperature,West region,2022-06,
Average air temperature,West region,2022-05,
Average air temperature,West region,2022-04,
Average air temperature,West region,2022-03,
Average air temperature,West region,2022-02,
Average air temperature,West region,2022-01,
Average air temperature,West region,2021-12,
Average air temperature,West region,2021-11,
Average air temperature,West region,2021-10,
Average air temperature,West region,2021-09,
Average air temperature,West region,2021-08,
Average air temperature,West region,2021-07,
Average air temperature,West region,2021-06,
Average air temperature,West region,2021-05,
Average air temperature,West region,2021-04,
Average air temperature,West region,2021-03,
Average air temperature,West region,2021-02,
Average air temperature,West region,2021-01,
Average air temperature,West region,2020-12,
Average air temperature,West region,2020-11,
Average air temperature,West region,2020-10,
Average air temperature,West region,2020-09,
Average air temperature,West region,2020-08,
Average air temperature,West region,2020-07,
Average air temperature,West region,2020-06,
Average air temperature,West region,2020-05,
Average air temperature,West region,2020-04,
Average air temperature,West region,2020-03,
Average air temperature,West region,2020-02,
Average air temperature,West region,2020-01,
Average air temperature,West region,2019-12,
Average air temperature,West region,2019-11,
Average air temperature,West region,2019-10,
Average air temperature,West region,2019-09,
Average air temperature,West region,2019-08,
Average air temperature,West region,2019-07,
Average air temperature,West region,2019-06,
Average air temperature,West region,2019-05,
Average air temperature,West region,2019-04,
Average air temperature,West region,2019-03,
Average air temperature,West region,2019-02,
Average air temperature,West region,2019-01,
Average air temperature,West region,2018-12,
Average air temperature,West region,2018-11,
Average air temperature,West region,2018-10,
Average air temperature,West region,2018-09,
Average air temperature,West region,2018-08,
Average air temperature,West region,2018-07,
Average air temperature,West region,2018-06,
Average air temperature,West region,2018-05,
Average air temperature,West region,2018-04,
Average air temperature,West region,2018-03,
Average air temperature,West region,2018-02,
Average air temperature,West region,2018-01,
Average air temperature,West region,2017-12,
Average air temperature,West region,2017-11,
Average air temperature,West region,2017-10,
Average air temperature,West region,2017-09,
Average air temperature,West region,2017-08,
Average air temperature,West region,2017-07,
Average air temperature,West region,2017-06,
Average air temperature,West region,2017-05,
Average air temperature,West region,2017-04,
Average air temperature,West region,2017-03,
Average air temperature,West region,2017-02,
Average air temperature,West region,2017-01,
Average air temperature,West region,2016-12,
Average air temperature,West region,2016-11,
Average air temperature,West region,2016-10,
Average air temperature,West region,2016-09,
Average air temperature,West region,2016-08,
Average air temperature,West region,2016-07,
Average air temperature,West region,2016-06,
Average air temperature,West region,2016-05,
Average air temperature,West region,2016-04,
Average air temperature,West region,2016-03,
Average air temperature,West region,2016-02,
Average air temperature,West region,2016-01,
Average air temperature,West region,2015-12,
Average air temperature,West region,2015-11,
Average air temperature,West region,2015-10,
Average air temperature,West region,2015-09,
Average air temperature,West region,2015-08,
Average air temperature,West region,2015-07,
Average air temperature,West region,2015-06,
Average air temperature,West region,2015-05,
Average air temperature,West region,2015-04,
Average air temperature,West region,2015-03,
Average air temperature,West region,2015-02,
Average air temperature,West region,2015-01,
Average air temperature,West region,2014-12,
Average air temperature,West region,2014-11,
Average air temperature,West region,2014-10,
Average air temperature,West region,2014-09,
Average air temperature,West region,2014-08,
Average air temperature,West region,2014-07,
Average air temperature,West region,2014-06,
Average air temperature,West region,2014-05,
Average air temperature,West region,2014-04,
Average air temperature,West region,2014-03,
Average air temperature,West region,2014-02,
Average air temperature,West region,2014-01,
Average air temperature,West region,2013-12,
Average air temperature,West region,2013-11,
Average air temperature,West region,2013-10,
Average air temperature,West region,2013-09,
Average air temperature,West region,2013-08,
Average air temperature,West region,2013-07,
Average air temperature,West region,2013-06,
Average air temperature,West region,2013-05,
Average air temperature,West region,2013-04,
Average air temperature,West region,2013-03,
Average air temperature,West region,2013-02,
Average air temperature,West region,2013-01,
Average air temperature,West region,2012-12,
Average air temperature,West region,2012-11,
Average air temperature,West region,2012-10,
Average air temperature,West region,2012-09,
Average air temperature,West region,2012-08,
Average air temperature,West region,2012-07,
Average air temperature,West region,2012-06,
Average air temperature,West region,2012-05,
Average air temperature,West region,2012-04,
Average air temperature,West region,2012-03,
Average air temperature,West region,2012-02,
Average air temperature,West region,2012-01,
Average air temperature,West region,2011-12,
Average air temperature,West region,2011-11,
Average air temperature,West region,2011-10,
Average air temperature,West region,2011-09,
Average air temperature,West region,2011-08,
Average air temperature,West region,2011-07,
Average air temperature,West region,2011-06,
Average air temperature,West region,2011-05,
Average air temperature,West region,2011-04,
Average air temperature,West region,2011-03,
Average air temperature,West region,2011-02,
Average air temperature,West region,2011-01,
Average air temperature,West region,2010-12,
Average air temperature,West region,2010-11,
Average air temperature,West region,2010-10,
Average air temperature,West region,2010-09,
Average air temperature,West region,2010-08,
Average air temperature,West region,2010-07,
Average air temperature,West region,2010-06,
Average air temperature,West region,2010-05,
Average air temperature,West region,2010-04,
Average air temperature,West region,2010-03,
Average air temperature,West region,2010-02,
Average air temperature,West region,2010-01,
Average air temperature,West region,2009-12,
Average air temperature,West region,2009-11,
Average air temperature,West region,2009-10,
Average air temperature,West region,2009-09,
Average air temperature,West region,2009-08,
Average air temperature,West region,2009-07,
Average air temperature,West region,2009-06,
Average air temperature,West region,2009-05,
Average air temperature,West region,2009-04,
Average air temperature,West region,2009-03,
Average air temperature,West region,2009-02,
Average air temperature,West region,2009-01,
Average air temperature,West region,2008-12,
Average air temperature,West region,2008-11,
Average air temperature,West region,2008-10,
Average air temperature,West region,2008-09,
Average air temperature,West region,2008-08,
Average air temperature,West region,2008-07,
Average air temperature,West region,2008-06,
Average air temperature,West region,2008-05,
Average air temperature,West region,2008-04,
Average air temperature,West region,2008-03,
Average air temperature,West region,2008-02,
Average air temperature,West region,2008-01,
Average air temperature,West region,2007-12,
Average air temperature,West region,2007-11,
Average air temperature,West region,2007-10,
Average air temperature,West region,2007-09,
Average air temperature,West region,2007-08,
Average air temperature,West region,2007-07,
Average air temperature,West region,2007-06,
Average air temperature,West region,2007-05,
Average air temperature,West region,2007-04,
Average air temperature,West region,2007-03,
Average air temperature,West region,2007-02,
Average air temperature,West region,2007-01,
Average air temperature,West region,2006-12,
Average air temperature,West region,2006-11,
Average air temperature,West region,2006-10,
Average air temperature,West region,2006-09,
Average air temperature,West region,2006-08,
Average air temperature,West region,2006-07,
Average air temperature,West region,2006-06,
Average air temperature,West region,2006-05,
Average air temperature,West region,2006-04,
Average air temperature,West region,2006-03,
Average air temperature,West region,2006-02,
Average air temperature,West region,2006-01,
Average air temperature,West region,2005-12,
Average air temperature,West region,2005-11,
Average air temperature,West region,2005-10,
Average air temperature,West region,2005-09,
Average air temperature,West region,2005-08,
Average air temperature,West region,2005-07,
Average air temperature,West region,2005-06,
Average air temperature,West region,2005-05,
Average air temperature,West region,2005-04,
Average air temperature,West region,2005-03,
Average air temperature,West region,2005-02,
Average air temperature,West region,2005-01,
Average air temperature, Altai,2025-11,-9.4
Average air temperature, Altai,2025-10,-4.7
Average air temperature, Altai,2025-09,7.5
Average air temperature, Altai,2025-08,14.3
Average air temperature, Altai,2025-07,17.7
Average air temperature, Altai,2025-06,14.8
Average air temperature, Altai,2025-5,8.2
Average air temperature, Altai,2025-4,3.8
Average air temperature, Altai,2025-3,-8.2
Average air temperature, Altai,2025-2,-15.3
Average air temperature, Altai,2025-1,-14.5
Average air temperature, Altai,2024-12,-17.1
Average air temperature, Altai,2024-11,-7.0
Average air temperature, Altai,2024-10,1.6
Average air temperature, Altai,2024-09,8.2
Average air temperature, Altai,2024-08,16.6
Average air temperature, Altai,2024-07,18.2
Average air temperature, Altai,2024-06,14.8
Average air temperature, Altai,2024-05,13.3
Average air temperature, Altai,2024-04,1.8
Average air temperature, Altai,2024-03,-5.0
Average air temperature, Altai,2024-02,-16.1
Average air temperature, Altai,2024-01,-15.1
Average air temperature, Altai,2023-12,-14.2
Average air temperature, Altai,2023-11,-9.0
Average air temperature, Altai,2023-10,3.1
Average air temperature, Altai,2023-09,7.4
Average air temperature, Altai,2023-08,15.4
Average air temperature, Altai,2023-07,17.2
Average air temperature, Altai,2023-06,15.1
Average air temperature, Altai,2023-05,4.8
Average air temperature, Altai,2023-04,-1.8
Average air temperature, Altai,2023-03,-4.1
Average air temperature, Altai,2023-02,-11.8
Average air temperature, Altai,2023-01,-13.8
Average air temperature, Altai,2022-12,-16.8
Average air temperature, Altai,2022-11,-8.7
Average air temperature, Altai,2022-10,-1.5
Average air temperature, Altai,2022-09,10.4
Average air temperature, Altai,2022-08,14.2
Average air temperature, Altai,2022-07,15.4
Average air temperature, Altai,2022-06,15.5
Average air temperature, Altai,2022-05,10.3
Average air temperature, Altai,2022-04,1.0
Average air temperature, Altai,2022-03,-5.5
Average air temperature, Altai,2022-02,-18.5
Average air temperature, Altai,2022-01,-16.6
Average air temperature, Altai,2021-12,-12.3
Average air temperature, Altai,2021-11,-7.7
Average air temperature, Altai,2021-10,-0.4
Average air temperature, Altai,2021-09,8.7
Average air temperature, Altai,2021-08,12.1
Average air temperature, Altai,2021-07,16.2
Average air temperature, Altai,2021-06,13.2
Average air temperature, Altai,2021-05,8.3
Average air temperature, Altai,2021-04,0.3
Average air temperature, Altai,2021-03,-4.4
Average air temperature, Altai,2021-02,-8.6
Average air temperature, Altai,2021-01,-17.6
Average air temperature, Altai,2020-12,-20.7
Average air temperature, Altai,2020-11,-9.4
Average air temperature, Altai,2020-10,-3.0
Average air temperature, Altai,2020-09,7.4
Average air temperature, Altai,2020-08,13.0
Average air temperature, Altai,2020-07,15.5
Average air temperature, Altai,2020-06,12.5
Average air temperature, Altai,2020-05,9.2
Average air temperature, Altai,2020-04,4.9
Average air temperature, Altai,2020-03,-6.1
Average air temperature, Altai,2020-02,-10.1
Average air temperature, Altai,2020-01,-16.4
Average air temperature, Altai,2019-12,-14.3
Average air temperature, Altai,2019-11,-8.2
Average air temperature, Altai,2019-10,0.4
Average air temperature, Altai,2019-09,11.6
Average air temperature, Altai,2019-08,15.8
Average air temperature, Altai,2019-07,15.8
Average air temperature, Altai,2019-06,14.2
Average air temperature, Altai,2019-05,6.2
Average air temperature, Altai,2019-04,3.8
Average air temperature, Altai,2019-03,-6.8
Average air temperature, Altai,2019-02,-19.2
Average air temperature, Altai,2019-01,-19.0
Average air temperature, Altai,2018-12,-21.8
Average air temperature, Altai,2018-11,-9.5
Average air temperature, Altai,2018-10,0.4
Average air temperature, Altai,2018-09,5.8
Average air temperature, Altai,2018-08,14.6
Average air temperature, Altai,2018-07,15.5
Average air temperature, Altai,2018-06,15.4
Average air temperature, Altai,2018-05,8.8
Average air temperature, Altai,2018-04,3.1
Average air temperature, Altai,2018-03,-1.2
Average air temperature, Altai,2018-02,-15.6
Average air temperature, Altai,2018-01,-23.1
Average air temperature, Altai,2017-12,-14.3
Average air temperature, Altai,2017-11,-8.6
Average air temperature, Altai,2017-10,-0.8
Average air temperature, Altai,2017-09,8.0
Average air temperature, Altai,2017-08,13.7
Average air temperature, Altai,2017-07,18.7
Average air temperature, Altai,2017-06,16.3
Average air temperature, Altai,2017-05,10.0
Average air temperature, Altai,2017-04,3.5
Average air temperature, Altai,2017-03,-6.5
Average air temperature, Altai,2017-02,-11.0
Average air temperature, Altai,2017-01,-15.1
Average air temperature, Altai,2016-12,-10.4
Average air temperature, Altai,2016-11,-8.7
Average air temperature, Altai,2016-10,-2.2
Average air temperature, Altai,2016-09,9.7
Average air temperature, Altai,2016-08,14.8
Average air temperature, Altai,2016-07,16.3
Average air temperature, Altai,2016-06,13.0
Average air temperature, Altai,2016-05,5.5
Average air temperature, Altai,2016-04,2.8
Average air temperature, Altai,2016-03,-5.8
Average air temperature, Altai,2016-02,-16.2
Average air temperature, Altai,2016-01,-22.9
Average air temperature, Altai,2015-12,-13.3
Average air temperature, Altai,2015-11,-9.8
Average air temperature, Altai,2015-10,0.4
Average air temperature, Altai,2015-09,6.2
Average air temperature, Altai,2015-08,15.1
Average air temperature, Altai,2015-07,16.0
Average air temperature, Altai,2015-06,11.8
Average air temperature, Altai,2015-05,7.7
Average air temperature, Altai,2015-04,2.6
Average air temperature, Altai,2015-03,-7.1
Average air temperature, Altai,2015-02,-14.1
Average air temperature, Altai,2015-01,-13.2
Average air temperature, Altai,2014-12,-16.5
Average air temperature, Altai,2014-11,-9.3
Average air temperature, Altai,2014-10,2.4
Average air temperature, Altai,2014-09,7.0
Average air temperature, Altai,2014-08,14.0
Average air temperature, Altai,2014-07,16.0
Average air temperature, Altai,2014-06,12.5
Average air temperature, Altai,2014-05,6.9
Average air temperature, Altai,2014-04,2.3
Average air temperature, Altai,2014-03,-7.1
Average air temperature, Altai,2014-02,-18.9
Average air temperature, Altai,2014-01,-13.7
Average air temperature, Altai,2013-12,-13.5
Average air temperature, Altai,2013-11,-9.3
Average air temperature, Altai,2013-10,1.8
Average air temperature, Altai,2013-09,7.2
Average air temperature, Altai,2013-08,13.8
Average air temperature, Altai,2013-07,14.4
Average air temperature, Altai,2013-06,12.5
Average air temperature, Altai,2013-05,8.2
Average air temperature, Altai,2013-04,2.3
Average air temperature, Altai,2013-03,-1.4
Average air temperature, Altai,2013-02,-15.8
Average air temperature, Altai,2013-01,-15.2
Average air temperature, Altai,2012-12,-16.2
Average air temperature, Altai,2012-11,-11.2
Average air temperature, Altai,2012-10,-2.3
Average air temperature, Altai,2012-09,7.8
Average air temperature, Altai,2012-08,13.8
Average air temperature, Altai,2012-07,16.4
Average air temperature, Altai,2012-06,15.0
Average air temperature, Altai,2012-05,8.2
Average air temperature, Altai,2012-04,1.4
Average air temperature, Altai,2012-03,-9.7
Average air temperature, Altai,2012-02,-19.1
Average air temperature, Altai,2012-01,-21.6
Average air temperature, Altai,2011-12,-16.2
Average air temperature, Altai,2011-11,-7.4
Average air temperature, Altai,2011-10,0.6
Average air temperature, Altai,2011-09,5.6
Average air temperature, Altai,2011-08,14.8
Average air temperature, Altai,2011-07,15.2
Average air temperature, Altai,2011-06,13.9
Average air temperature, Altai,2011-05,6.0
Average air temperature, Altai,2011-04,3.2
Average air temperature, Altai,2011-03,-11.2
Average air temperature, Altai,2011-02,-13.3
Average air temperature, Altai,2011-01,-27.5
Average air temperature, Altai,2010-12,-14.0
Average air temperature, Altai,2010-11,-6.3
Average air temperature, Altai,2010-10,0.1
Average air temperature, Altai,2010-09,8.4
Average air temperature, Altai,2010-08,12.9
Average air temperature, Altai,2010-07,16.8
Average air temperature, Altai,2010-06,14.8
Average air temperature, Altai,2010-05,6.2
Average air temperature, Altai,2010-04,-3.8
Average air temperature, Altai,2010-03,-10.9
Average air temperature, Altai,2010-02,-17.8
Average air temperature, Altai,2010-01,-18.1
Average air temperature, Altai,2009-12,-16.1
Average air temperature, Altai,2009-11,-13.3
Average air temperature, Altai,2009-10,0.6
Average air temperature, Altai,2009-09,7.7
Average air temperature, Altai,2009-08,13.6
Average air temperature, Altai,2009-07,15.8
Average air temperature, Altai,2009-06,12.3
Average air temperature, Altai,2009-05,8.3
Average air temperature, Altai,2009-04,4.8
Average air temperature, Altai,2009-03,-6.8
Average air temperature, Altai,2009-02,-13.6
Average air temperature, Altai,2009-01,-16.9
Average air temperature, Altai,2008-12,-15.8
Average air temperature, Altai,2008-11,-8.3
Average air temperature, Altai,2008-10,0.8
Average air temperature, Altai,2008-09,8.8
Average air temperature, Altai,2008-08,15.2
Average air temperature, Altai,2008-07,16.1
Average air temperature, Altai,2008-06,14.0
Average air temperature, Altai,2008-05,8.7
Average air temperature, Altai,2008-04,1.5
Average air temperature, Altai,2008-03,-5.7
Average air temperature, Altai,2008-02,-17.7
Average air temperature, Altai,2008-01,-21.7
Average air temperature, Altai,2007-12,-15.8
Average air temperature, Altai,2007-11,-8.3
Average air temperature, Altai,2007-10,-1.7
Average air temperature, Altai,2007-09,8.0
Average air temperature, Altai,2007-08,14.4
Average air temperature, Altai,2007-07,17.9
Average air temperature, Altai,2007-06,15.1
Average air temperature, Altai,2007-05,9.1
Average air temperature, Altai,2007-04,1.1
Average air temperature, Altai,2007-03,-7.8
Average air temperature, Altai,2007-02,-8.0
Average air temperature, Altai,2007-01,-15.0
Average air temperature, Altai,2006-12,-12.7
Average air temperature, Altai,2006-11,-8.9
Average air temperature, Altai,2006-10,2.0
Average air temperature, Altai,2006-09,8.0
Average air temperature, Altai,2006-08,14.4
Average air temperature, Altai,2006-07,15.2
Average air temperature, Altai,2006-06,12.1
Average air temperature, Altai,2006-05,5.8
Average air temperature, Altai,2006-04,1.4
Average air temperature, Altai,2006-03,-7.2
Average air temperature, Altai,2006-02,-13.4
Average air temperature, Altai,2006-01,-16.2
Average air temperature, Altai,2005-12,-20.6
Average air temperature, Altai,2005-11,-10.1
Average air temperature, Altai,2005-10,-0.7
Average air temperature, Altai,2005-09,7.6
Average air temperature, Altai,2005-08,14.0
Average air temperature, Altai,2005-07,15.9
Average air temperature, Altai,2005-06,12.9
Average air temperature, Altai,2005-05,6.8
Average air temperature, Altai,2005-04,1.2
Average air temperature, Altai,2005-03,-7.3
Average air temperature, Altai,2005-02,-22.7
Average air temperature, Altai,2005-01,-20.4
Average air temperature, Ulgii,2025-11,-5.5
Average air temperature, Ulgii,2025-10,-2.4
Average air temperature, Ulgii,2025-09,9.9
Average air temperature, Ulgii,2025-08,16.2
Average air temperature, Ulgii,2025-07,20.1
Average air temperature, Ulgii,2025-06,18.8
Average air temperature, Ulgii,2025-5,12.0
Average air temperature, Ulgii,2025-4,6.6
Average air temperature, Ulgii,2025-3,-5.1
Average air temperature, Ulgii,2025-2,-13.5
Average air temperature, Ulgii,2025-1,-14.2
Average air temperature, Ulgii,2024-12,-16.8
Average air temperature, Ulgii,2024-11,-5.9
Average air temperature, Ulgii,2024-10,4.0
Average air temperature, Ulgii,2024-09,9.2
Average air temperature, Ulgii,2024-08,18.6
Average air temperature, Ulgii,2024-07,19.6
Average air temperature, Ulgii,2024-06,17.6
Average air temperature, Ulgii,2024-05,14.0
Average air temperature, Ulgii,2024-04,4.6
Average air temperature, Ulgii,2024-03,-2.9
Average air temperature, Ulgii,2024-02,-15.4
Average air temperature, Ulgii,2024-01,-13.8
Average air temperature, Ulgii,2023-12,-14.5
Average air temperature, Ulgii,2023-11,-5.5
Average air temperature, Ulgii,2023-10,4.7
Average air temperature, Ulgii,2023-09,8.9
Average air temperature, Ulgii,2023-08,17.4
Average air temperature, Ulgii,2023-07,19.0
Average air temperature, Ulgii,2023-06,17.0
Average air temperature, Ulgii,2023-05,6.2
Average air temperature, Ulgii,2023-04,0.0
Average air temperature, Ulgii,2023-03,-1.3
Average air temperature, Ulgii,2023-02,-11.7
Average air temperature, Ulgii,2023-01,-16.0
Average air temperature, Ulgii,2022-12,-28.7
Average air temperature, Ulgii,2022-11,-7.6
Average air temperature, Ulgii,2022-10,0.0
Average air temperature, Ulgii,2022-09,12.0
Average air temperature, Ulgii,2022-08,15.8
Average air temperature, Ulgii,2022-07,16.6
Average air temperature, Ulgii,2022-06,17.6
Average air temperature, Ulgii,2022-05,13.9
Average air temperature, Ulgii,2022-04,3.7
Average air temperature, Ulgii,2022-03,-4.4
Average air temperature, Ulgii,2022-02,-16.5
Average air temperature, Ulgii,2022-01,-16.8
Average air temperature, Ulgii,2021-12,-11.3
Average air temperature, Ulgii,2021-11,-6.3
Average air temperature, Ulgii,2021-10,0.0
Average air temperature, Ulgii,2021-09,10.4
Average air temperature, Ulgii,2021-08,15.1
Average air temperature, Ulgii,2021-07,19.6
Average air temperature, Ulgii,2021-06,14.4
Average air temperature, Ulgii,2021-05,10.6
Average air temperature, Ulgii,2021-04,2.4
Average air temperature, Ulgii,2021-03,-3.1
Average air temperature, Ulgii,2021-02,-7.1
Average air temperature, Ulgii,2021-01,-15.2
Average air temperature, Ulgii,2020-12,-16.9
Average air temperature, Ulgii,2020-11,-7.3
Average air temperature, Ulgii,2020-10,0.4
Average air temperature, Ulgii,2020-09,8.6
Average air temperature, Ulgii,2020-08,11.4
Average air temperature, Ulgii,2020-07,16.6
Average air temperature, Ulgii,2020-06,15.0
Average air temperature, Ulgii,2020-05,12.5
Average air temperature, Ulgii,2020-04,7.9
Average air temperature, Ulgii,2020-03,-3.8
Average air temperature, Ulgii,2020-02,-8.6
Average air temperature, Ulgii,2020-01,-14.0
Average air temperature, Ulgii,2019-12,-13.0
Average air temperature, Ulgii,2019-11,-6.8
Average air temperature, Ulgii,2019-10,2.6
Average air temperature, Ulgii,2019-09,11.6
Average air temperature, Ulgii,2019-08,11.6
Average air temperature, Ulgii,2019-07,16.8
Average air temperature, Ulgii,2019-06,15.6
Average air temperature, Ulgii,2019-05,8.5
Average air temperature, Ulgii,2019-04,5.2
Average air temperature, Ulgii,2019-03,-3.0
Average air temperature, Ulgii,2019-02,-16.5
Average air temperature, Ulgii,2019-01,-18.8
Average air temperature, Ulgii,2018-12,-19.3
Average air temperature, Ulgii,2018-11,-7.5
Average air temperature, Ulgii,2018-10,3.1
Average air temperature, Ulgii,2018-09,8.2
Average air temperature, Ulgii,2018-08,16.2
Average air temperature, Ulgii,2018-07,16.8
Average air temperature, Ulgii,2018-06,18.0
Average air temperature, Ulgii,2018-05,8.9
Average air temperature, Ulgii,2018-04,4.1
Average air temperature, Ulgii,2018-03,0.3
Average air temperature, Ulgii,2018-02,-12.4
Average air temperature, Ulgii,2018-01,-22.2
Average air temperature, Ulgii,2017-12,-14.6
Average air temperature, Ulgii,2017-11,-6.7
Average air temperature, Ulgii,2017-10,-0.2
Average air temperature, Ulgii,2017-09,9.2
Average air temperature, Ulgii,2017-08,15.7
Average air temperature, Ulgii,2017-07,19.5
Average air temperature, Ulgii,2017-06,18.6
Average air temperature, Ulgii,2017-05,12.4
Average air temperature, Ulgii,2017-04,5.7
Average air temperature, Ulgii,2017-03,-4.4
Average air temperature, Ulgii,2017-02,-9.9
Average air temperature, Ulgii,2017-01,-13.3
Average air temperature, Ulgii,2016-12,-10.2
Average air temperature, Ulgii,2016-11,-8.3
Average air temperature, Ulgii,2016-10,-1.3
Average air temperature, Ulgii,2016-09,12.1
Average air temperature, Ulgii,2016-08,15.9
Average air temperature, Ulgii,2016-07,19.3
Average air temperature, Ulgii,2016-06,16.6
Average air temperature, Ulgii,2016-05,7.7
Average air temperature, Ulgii,2016-04,5.3
Average air temperature, Ulgii,2016-03,-2.3
Average air temperature, Ulgii,2016-02,-13.5
Average air temperature, Ulgii,2016-01,-21.8
Average air temperature, Ulgii,2015-12,-10.0
Average air temperature, Ulgii,2015-11,-8.4
Average air temperature, Ulgii,2015-10,1.4
Average air temperature, Ulgii,2015-09,7.9
Average air temperature, Ulgii,2015-08,17.5
Average air temperature, Ulgii,2015-07,19.0
Average air temperature, Ulgii,2015-06,15.9
Average air temperature, Ulgii,2015-05,10.8
Average air temperature, Ulgii,2015-04,4.2
Average air temperature, Ulgii,2015-03,-5.2
Average air temperature, Ulgii,2015-02,-11.8
Average air temperature, Ulgii,2015-01,-13.7
Average air temperature, Ulgii,2014-12,-16.6
Average air temperature, Ulgii,2014-11,-7.9
Average air temperature, Ulgii,2014-10,2.8
Average air temperature, Ulgii,2014-09,8.6
Average air temperature, Ulgii,2014-08,16.2
Average air temperature, Ulgii,2014-07,17.0
Average air temperature, Ulgii,2014-06,15.1
Average air temperature, Ulgii,2014-05,8.9
Average air temperature, Ulgii,2014-04,4.5
Average air temperature, Ulgii,2014-03,-4.1
Average air temperature, Ulgii,2014-02,-17.2
Average air temperature, Ulgii,2014-01,-13.9
Average air temperature, Ulgii,2013-12,-12.1
Average air temperature, Ulgii,2013-11,-6.0
Average air temperature, Ulgii,2013-10,2.8
Average air temperature, Ulgii,2013-09,8.6
Average air temperature, Ulgii,2013-08,16.4
Average air temperature, Ulgii,2013-07,16.7
Average air temperature, Ulgii,2013-06,14.3
Average air temperature, Ulgii,2013-05,8.6
Average air temperature, Ulgii,2013-04,5.2
Average air temperature, Ulgii,2013-03,1.1
Average air temperature, Ulgii,2013-02,-13.6
Average air temperature, Ulgii,2013-01,-14.0
Average air temperature, Ulgii,2012-12,-16.1
Average air temperature, Ulgii,2012-11,-8.1
Average air temperature, Ulgii,2012-10,1.3
Average air temperature, Ulgii,2012-09,9.6
Average air temperature, Ulgii,2012-08,14.9
Average air temperature, Ulgii,2012-07,18.3
Average air temperature, Ulgii,2012-06,17.9
Average air temperature, Ulgii,2012-05,10.1
Average air temperature, Ulgii,2012-04,4.8
Average air temperature, Ulgii,2012-03,-8.2
Average air temperature, Ulgii,2012-02,-19.5
Average air temperature, Ulgii,2012-01,-22.1
Average air temperature, Ulgii,2011-12,-18.2
Average air temperature, Ulgii,2011-11,-7.5
Average air temperature, Ulgii,2011-10,2.0
Average air temperature, Ulgii,2011-09,8.4
Average air temperature, Ulgii,2011-08,16.7
Average air temperature, Ulgii,2011-07,17.4
Average air temperature, Ulgii,2011-06,16.5
Average air temperature, Ulgii,2011-05,9.2
Average air temperature, Ulgii,2011-04,5.5
Average air temperature, Ulgii,2011-03,-6.7
Average air temperature, Ulgii,2011-02,-12.8
Average air temperature, Ulgii,2011-01,-25.2
Average air temperature, Ulgii,2010-12,-13.0
Average air temperature, Ulgii,2010-11,-3.5
Average air temperature, Ulgii,2010-10,1.9
Average air temperature, Ulgii,2010-09,10.0
Average air temperature, Ulgii,2010-08,15.3
Average air temperature, Ulgii,2010-07,18.5
Average air temperature, Ulgii,2010-06,17.0
Average air temperature, Ulgii,2010-05,8.5
Average air temperature, Ulgii,2010-04,0.7
Average air temperature, Ulgii,2010-03,-8.3
Average air temperature, Ulgii,2010-02,-16.9
Average air temperature, Ulgii,2010-01,-17.0
Average air temperature, Ulgii,2009-12,-15.1
Average air temperature, Ulgii,2009-11,-11.8
Average air temperature, Ulgii,2009-10,3.1
Average air temperature, Ulgii,2009-09,9.0
Average air temperature, Ulgii,2009-08,14.8
Average air temperature, Ulgii,2009-07,17.6
Average air temperature, Ulgii,2009-06,14.2
Average air temperature, Ulgii,2009-05,10.6
Average air temperature, Ulgii,2009-04,6.2
Average air temperature, Ulgii,2009-03,-3.9
Average air temperature, Ulgii,2009-02,-11.3
Average air temperature, Ulgii,2009-01,-16.8
Average air temperature, Ulgii,2008-12,-14.1
Average air temperature, Ulgii,2008-11,-5.4
Average air temperature, Ulgii,2008-10,3.0
Average air temperature, Ulgii,2008-09,9.8
Average air temperature, Ulgii,2008-08,16.9
Average air temperature, Ulgii,2008-07,19.0
Average air temperature, Ulgii,2008-06,17.1
Average air temperature, Ulgii,2008-05,12.4
Average air temperature, Ulgii,2008-04,3.7
Average air temperature, Ulgii,2008-03,-2.5
Average air temperature, Ulgii,2008-02,-14.8
Average air temperature, Ulgii,2008-01,-20.1
