Classification,Year,value
Total,2025,1284.2
Total,2024,1256.4
Total,2023,1230.8
Total,2022,1196.2
Total,2021,1096.1
Total,2020,1116.7
Total,2019,1091.4
Total,2018,1050.5
Total,2017,1021.9
Total,2016,994.0
Total,2015,966.9
Total,2014,934.5
Total,2013,908.4
Total,2012,898.7
Total,2011,891.5
Total,2010,886.3
    Total number of children in early childhood education,2025,258.8
    Total number of children in early childhood education,2024,264.8
    Total number of children in early childhood education,2023,274.2
    Total number of children in early childhood education,2022,266.0
    Total number of children in early childhood education,2021,191.0
    Total number of children in early childhood education,2020,247.0
    Total number of children in early childhood education,2019,263.3
    Total number of children in early childhood education,2018,261.3
    Total number of children in early childhood education,2017,256.7
    Total number of children in early childhood education,2016,243.4
    Total number of children in early childhood education,2015,225.4
    Total number of children in early childhood education,2014,206.6
    Total number of children in early childhood education,2013,193.7
    Total number of children in early childhood education,2012,181.0
    Total number of children in early childhood education,2011,164.3
    Total number of children in early childhood education,2010,157.2
    Total number of pupils studying in general educational schools,2025,819.9
    Total number of pupils studying in general educational schools,2024,797.9
    Total number of pupils studying in general educational schools,2023,771.7
    Total number of pupils studying in general educational schools,2022,746.4
    Total number of pupils studying in general educational schools,2021,712.4
    Total number of pupils studying in general educational schools,2020,680.8
    Total number of pupils studying in general educational schools,2019,640.4
    Total number of pupils studying in general educational schools,2018,593.2
    Total number of pupils studying in general educational schools,2017,572.8
    Total number of pupils studying in general educational schools,2016,552.0
    Total number of pupils studying in general educational schools,2015,535.1
    Total number of pupils studying in general educational schools,2014,505.8
    Total number of pupils studying in general educational schools,2013,497.0
    Total number of pupils studying in general educational schools,2012,496.1
    Total number of pupils studying in general educational schools,2011,505.4
    Total number of pupils studying in general educational schools,2010,512.2
        Of which: Female,2025,407.1
        Of which: Female,2024,396.7
        Of which: Female,2023,383.6
        Of which: Female,2022,371.5
        Of which: Female,2021,355.2
        Of which: Female,2020,339.7
        Of which: Female,2019,319.9
        Of which: Female,2018,295.6
        Of which: Female,2017,286.0
        Of which: Female,2016,277.0
        Of which: Female,2015,269.4
        Of which: Female,2014,253.5
        Of which: Female,2013,249.0
        Of which: Female,2012,249.0
        Of which: Female,2011,253.5
        Of which: Female,2010,257.3
        Primary,2025,378.4
        Primary,2024,379.6
        Primary,2023,381.5
        Primary,2022,382.0
        Primary,2021,371.5
        Primary,2020,356.9
        Primary,2019,342.6
        Primary,2018,327.1
        Primary,2017,309.4
        Primary,2016,288.3
        Primary,2015,271.7
        Primary,2014,251.2
        Primary,2013,239.3
        Primary,2012,245.4
        Primary,2011,256.6
        Primary,2010,265.6
        Secondary,2025,290.6
        Secondary,2024,273.9
        Secondary,2023,262.2
        Secondary,2022,251.3
        Secondary,2021,238.4
        Secondary,2020,222.1
        Secondary,2019,200.8
        Secondary,2018,184.0
        Secondary,2017,176.2
        Secondary,2016,167.4
        Secondary,2015,147.0
        Secondary,2014,158.6
        Secondary,2013,164.6
        Secondary,2012,155.3
        Secondary,2011,169.2
        Secondary,2010,172.9
        High,2025,150.9
        High,2024,144.3
        High,2023,128.0
        High,2022,113.1
        High,2021,102.5
        High,2020,101.8
        High,2019,97.0
        High,2018,82.1
        High,2017,87.2
        High,2016,96.3
        High,2015,116.4
        High,2014,96.0
        High,2013,93.1
        High,2012,95.4
        High,2011,79.6
        High,2010,73.7
    Technical and vocational educational institutions,2025,41.6
    Technical and vocational educational institutions,2024,40.9
    Technical and vocational educational institutions,2023,38.3
    Technical and vocational educational institutions,2022,38.0
    Technical and vocational educational institutions,2021,42.6
    Technical and vocational educational institutions,2020,40.2
    Technical and vocational educational institutions,2019,37.8
    Technical and vocational educational institutions,2018,37.0
    Technical and vocational educational institutions,2017,35.8
    Technical and vocational educational institutions,2016,40.1
    Technical and vocational educational institutions,2015,42.7
    Technical and vocational educational institutions,2014,42.8
    Technical and vocational educational institutions,2013,42.8
    Technical and vocational educational institutions,2012,45.3
    Technical and vocational educational institutions,2011,48.1
    Technical and vocational educational institutions,2010,46.1
        State,2025,29.5
        State,2024,29.2
        State,2023,26.8
        State,2022,27.4
        State,2021,30.2
        State,2020,28.7
        State,2019,27.7
        State,2018,26.4
        State,2017,25.7
        State,2016,29.1
        State,2015,31.6
        State,2014,32.9
        State,2013,33.5
        State,2012,35.3
        State,2011,37.2
        State,2010,34.7
        Private,2025,12.1
        Private,2024,11.7
        Private,2023,11.5
        Private,2022,10.6
        Private,2021,12.4
        Private,2020,11.5
        Private,2019,10.1
        Private,2018,10.6
        Private,2017,10.1
        Private,2016,11.0
        Private,2015,11.1
        Private,2014,9.9
        Private,2013,9.3
        Private,2012,10.0
        Private,2011,10.9
        Private,2010,11.4
    Total number of students studying in Higher educational institutions,2025,161.9
    Total number of students studying in Higher educational institutions,2024,150.3
    Total number of students studying in Higher educational institutions,2023,145.3
    Total number of students studying in Higher educational institutions,2022,145.3
    Total number of students studying in Higher educational institutions,2021,149.0
    Total number of students studying in Higher educational institutions,2020,147.3
    Total number of students studying in Higher educational institutions,2019,148.4
    Total number of students studying in Higher educational institutions,2018,157.6
    Total number of students studying in Higher educational institutions,2017,155.2
    Total number of students studying in Higher educational institutions,2016,157.1
    Total number of students studying in Higher educational institutions,2015,162.6
    Total number of students studying in Higher educational institutions,2014,178.3
    Total number of students studying in Higher educational institutions,2013,174.1
    Total number of students studying in Higher educational institutions,2012,175.5
    Total number of students studying in Higher educational institutions,2011,172.8
    Total number of students studying in Higher educational institutions,2010,170.1
        State:,2025,90.5
        State:,2024,81.6
