Ангилал,Он,value
 Мэргэжлийн боловсролын сургалтын байгууллагад суралцагчид,2015,42.7
 Мэргэжлийн боловсролын сургалтын байгууллагад суралцагчид,2014,42.8
 Мэргэжлийн боловсролын сургалтын байгууллагад суралцагчид,2013,42.8
 Мэргэжлийн боловсролын сургалтын байгууллагад суралцагчид,2012,45.3
 Мэргэжлийн боловсролын сургалтын байгууллагад суралцагчид,2011,48.1
 Мэргэжлийн боловсролын сургалтын байгууллагад суралцагчид,2010,46.1
 Төрийн,2025,29.5
 Төрийн,2024,29.2
 Төрийн,2023,26.8
 Төрийн,2022,27.4
 Төрийн,2021,30.2
 Төрийн,2020,28.7
 Төрийн,2019,27.7
 Төрийн,2018,26.4
 Төрийн,2017,25.7
 Төрийн,2016,29.1
 Төрийн,2015,31.6
 Төрийн,2014,32.9
 Төрийн,2013,33.5
 Төрийн,2012,35.3
 Төрийн,2011,37.2
 Төрийн,2010,34.7
 Хувийн,2025,12.1
 Хувийн,2024,11.7
 Хувийн,2023,11.5
 Хувийн,2022,10.6
 Хувийн,2021,12.4
 Хувийн,2020,11.5
 Хувийн,2019,10.1
 Хувийн,2018,10.6
 Хувийн,2017,10.1
 Хувийн,2016,11.0
 Хувийн,2015,11.1
 Хувийн,2014,9.9
 Хувийн,2013,9.3
 Хувийн,2012,10.0
 Хувийн,2011,10.9
 Хувийн,2010,11.4
 Дээд боловсролын сургалтын байгууллагад суралцагчид,2025,161.9
 Дээд боловсролын сургалтын байгууллагад суралцагчид,2024,150.3
 Дээд боловсролын сургалтын байгууллагад суралцагчид,2023,145.3
 Дээд боловсролын сургалтын байгууллагад суралцагчид,2022,145.3
 Дээд боловсролын сургалтын байгууллагад суралцагчид,2021,149.0
 Дээд боловсролын сургалтын байгууллагад суралцагчид,2020,147.3
 Дээд боловсролын сургалтын байгууллагад суралцагчид,2019,148.4
 Дээд боловсролын сургалтын байгууллагад суралцагчид,2018,157.6
 Дээд боловсролын сургалтын байгууллагад суралцагчид,2017,155.2
 Дээд боловсролын сургалтын байгууллагад суралцагчид,2016,157.1
 Дээд боловсролын сургалтын байгууллагад суралцагчид,2015,162.6
 Дээд боловсролын сургалтын байгууллагад суралцагчид,2014,178.3
 Дээд боловсролын сургалтын байгууллагад суралцагчид,2013,174.1
 Дээд боловсролын сургалтын байгууллагад суралцагчид,2012,175.5
 Дээд боловсролын сургалтын байгууллагад суралцагчид,2011,172.8
 Дээд боловсролын сургалтын байгууллагад суралцагчид,2010,170.1
 Төрийн:,2025,90.5
 Төрийн:,2024,81.6
 Төрийн:,2023,80.1
 Төрийн:,2022,79.7
 Төрийн:,2021,79.1
 Төрийн:,2020,76.8
 Төрийн:,2019,82.9
 Төрийн:,2018,88.0
 Төрийн:,2017,89.5
 Төрийн:,2016,91.8
 Төрийн:,2015,95.0
 Төрийн:,2014,103.7
 Төрийн:,2013,101.9
 Төрийн:,2012,105.7
 Төрийн:,2011,104.1
 Төрийн:,2010,104.4
"   Дээд сургууль, коллеж",2025,1.5
"   Дээд сургууль, коллеж",2024,1.7
"   Дээд сургууль, коллеж",2023,2.1
"   Дээд сургууль, коллеж",2022,2.8
"   Дээд сургууль, коллеж",2021,2.4
"   Дээд сургууль, коллеж",2020,2.3
"   Дээд сургууль, коллеж",2019,2.8
"   Дээд сургууль, коллеж",2018,1.6
"   Дээд сургууль, коллеж",2017,1.6
"   Дээд сургууль, коллеж",2016,9.4
"   Дээд сургууль, коллеж",2015,10.1
"   Дээд сургууль, коллеж",2014,12.6
"   Дээд сургууль, коллеж",2013,13.7
"   Дээд сургууль, коллеж",2012,15.1
"   Дээд сургууль, коллеж",2011,15.3
"   Дээд сургууль, коллеж",2010,6.0
   Их сургууль,2025,89.0
   Их сургууль,2024,79.9
   Их сургууль,2023,78.0
   Их сургууль,2022,76.9
   Их сургууль,2021,76.7
   Их сургууль,2020,74.5
   Их сургууль,2019,80.1
   Их сургууль,2018,86.4
   Их сургууль,2017,87.9
   Их сургууль,2016,82.4
   Их сургууль,2015,84.9
   Их сургууль,2014,91.1
   Их сургууль,2013,88.2
   Их сургууль,2012,90.6
   Их сургууль,2011,88.8
   Их сургууль,2010,98.4
 Хувийн:,2025,62.0
 Хувийн:,2024,60.1
 Хувийн:,2023,57.3
 Хувийн:,2022,58.8
 Хувийн:,2021,62.5
 Хувийн:,2020,63.6
 Хувийн:,2019,65.5
 Хувийн:,2018,69.6
 Хувийн:,2017,65.7
 Хувийн:,2016,65.3
 Хувийн:,2015,67.6
