Statistical indicator,Division,Year,value
"GDP, at current prices", Manufacturing,2023,4436468.27
"GDP, at current prices", Manufacturing,2022,3832703.06
"GDP, at current prices", Manufacturing,2021,3096438.7
"GDP, at current prices", Manufacturing,2020,2904937.7
"GDP, at current prices", Manufacturing,2019,2675065.06
"GDP, at current prices", Manufacturing,2018,2298123.56
"GDP, at current prices", Manufacturing,2017,1932245.54
"GDP, at current prices", Manufacturing,2016,1595623.61
"GDP, at current prices", Manufacturing,2015,1606184.69
"GDP, at current prices", Manufacturing,2014,1950933.7
"GDP, at current prices", Manufacturing,2013,1672313.0
"GDP, at current prices", Manufacturing,2012,1248666.3
"GDP, at current prices", Manufacturing,2011,931377.51
"GDP, at current prices", Manufacturing,2010,664815.26
"GDP, at current prices", Manufacturing,2009,425000.65
"GDP, at current prices", Manufacturing,2008,430179.37
"GDP, at current prices", Manufacturing,2007,309500.42
"GDP, at current prices", Manufacturing,2006,218885.57
"GDP, at current prices", Manufacturing,2005,175155.91
"GDP, at current prices", Manufacturing,2004,130576.26
"GDP, at current prices", Manufacturing,2003,121551.45
"GDP, at current prices", Manufacturing,2002,99138.59
"GDP, at current prices", Manufacturing,2001,114828.11
"GDP, at current prices", Manufacturing,2000,82040.78
"GDP, at current prices", Manufacturing,1999,75925.8
"GDP, at current prices", Manufacturing,1998,66929.98
"GDP, at current prices", Manufacturing,1997,78899.85
"GDP, at current prices", Manufacturing,1996,56653.92
"GDP, at current prices", Manufacturing,1995,112581.03
"GDP, at current prices", Manufacturing,1994,64103.81
"GDP, at current prices", Manufacturing,1993,37075.42
"GDP, at current prices", Manufacturing,1992,10435.55
"GDP, at current prices", Manufacturing,1991,3834.58
"GDP, at current prices", Manufacturing,1990,2607.99
"GDP, at current prices"," Electricity, gas, steam, air conditioning supply",2025,1550908.71
"GDP, at current prices"," Electricity, gas, steam, air conditioning supply",2024,1181046.36
"GDP, at current prices"," Electricity, gas, steam, air conditioning supply",2023,1010175.36
"GDP, at current prices"," Electricity, gas, steam, air conditioning supply",2022,760536.84
"GDP, at current prices"," Electricity, gas, steam, air conditioning supply",2021,709701.21
"GDP, at current prices"," Electricity, gas, steam, air conditioning supply",2020,663097.8
"GDP, at current prices"," Electricity, gas, steam, air conditioning supply",2019,637143.11
"GDP, at current prices"," Electricity, gas, steam, air conditioning supply",2018,553972.78
"GDP, at current prices"," Electricity, gas, steam, air conditioning supply",2017,491251.65
"GDP, at current prices"," Electricity, gas, steam, air conditioning supply",2016,477222.89
"GDP, at current prices"," Electricity, gas, steam, air conditioning supply",2015,426403.91
"GDP, at current prices"," Electricity, gas, steam, air conditioning supply",2014,313587.1
"GDP, at current prices"," Electricity, gas, steam, air conditioning supply",2013,270514.2
"GDP, at current prices"," Electricity, gas, steam, air conditioning supply",2012,233858.61
"GDP, at current prices"," Electricity, gas, steam, air conditioning supply",2011,212394.12
