Statistical indicator,Division,Year,value
" GDP, at 2005 constant prices", Construction,2012,113504.1
" GDP, at 2005 constant prices", Construction,2011,81693.8
" GDP, at 2005 constant prices", Construction,2010,60225.64
" GDP, at 2005 constant prices", Construction,2009,51716.56
" GDP, at 2005 constant prices", Construction,2008,78397.1
" GDP, at 2005 constant prices", Construction,2007,90895.4
" GDP, at 2005 constant prices", Construction,2006,84753.35
" GDP, at 2005 constant prices", Construction,2005,81408.37
" GDP, at 2005 constant prices", Construction,2004,70096.42
" GDP, at 2005 constant prices", Construction,2003,74765.95
" GDP, at 2005 constant prices", Construction,2002,48926.4
" GDP, at 2005 constant prices", Construction,2001,39779.94
" GDP, at 2005 constant prices", Construction,2000,35649.01
" GDP, at 2005 constant prices", Construction,1999,41954.88
" GDP, at 2005 constant prices", Construction,1998,41914.69
" GDP, at 2005 constant prices", Construction,1997,42948.58
" GDP, at 2005 constant prices", Construction,1996,44063.29
" GDP, at 2005 constant prices", Construction,1995,43480.15
" GDP, at 2005 constant prices", Construction,1994,41031.27
" GDP, at 2005 constant prices", Construction,1993,37439.14
" GDP, at 2005 constant prices", Construction,1992,43693.69
" GDP, at 2005 constant prices", Construction,1991,73725.48
" GDP, at 2005 constant prices", Construction,1990,95008.2
" GDP, at 2005 constant prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2025,
" GDP, at 2005 constant prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2024,
" GDP, at 2005 constant prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2023,
" GDP, at 2005 constant prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2022,
" GDP, at 2005 constant prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2021,
" GDP, at 2005 constant prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2020,
" GDP, at 2005 constant prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2019,
" GDP, at 2005 constant prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,
" GDP, at 2005 constant prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2017,
" GDP, at 2005 constant prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2016,
" GDP, at 2005 constant prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2015,
" GDP, at 2005 constant prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2014,
" GDP, at 2005 constant prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2013,781175.9
" GDP, at 2005 constant prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2012,667517.5
" GDP, at 2005 constant prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2011,535791.0
" GDP, at 2005 constant prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2010,387486.22
" GDP, at 2005 constant prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2009,278185.32
" GDP, at 2005 constant prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2008,315490.29
" GDP, at 2005 constant prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2007,274253.36
" GDP, at 2005 constant prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2006,259916.58
" GDP, at 2005 constant prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2005,227478.16
" GDP, at 2005 constant prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2004,220763.23
" GDP, at 2005 constant prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2003,231312.11
" GDP, at 2005 constant prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2002,212196.61
" GDP, at 2005 constant prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2001,167517.17
" GDP, at 2005 constant prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2000,158917.72
" GDP, at 2005 constant prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,1999,128321.1
" GDP, at 2005 constant prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,1998,129513.42
" GDP, at 2005 constant prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,1997,134214.61
" GDP, at 2005 constant prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,1996,114454.41
" GDP, at 2005 constant prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,1995,115657.02
" GDP, at 2005 constant prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,1994,127351.36
" GDP, at 2005 constant prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,1993,128431.11
" GDP, at 2005 constant prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,1992,120211.48
" GDP, at 2005 constant prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,1991,154207.31
" GDP, at 2005 constant prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,1990,189094.78
" GDP, at 2005 constant prices", Transportation and storage,2025,
" GDP, at 2005 constant prices", Transportation and storage,2024,
" GDP, at 2005 constant prices", Transportation and storage,2023,
" GDP, at 2005 constant prices", Transportation and storage,2022,
" GDP, at 2005 constant prices", Transportation and storage,2021,
" GDP, at 2005 constant prices", Transportation and storage,2020,
" GDP, at 2005 constant prices", Transportation and storage,2019,
" GDP, at 2005 constant prices", Transportation and storage,2018,
" GDP, at 2005 constant prices", Transportation and storage,2017,
" GDP, at 2005 constant prices", Transportation and storage,2016,
" GDP, at 2005 constant prices", Transportation and storage,2015,
" GDP, at 2005 constant prices", Transportation and storage,2014,
" GDP, at 2005 constant prices", Transportation and storage,2013,575709.7
" GDP, at 2005 constant prices", Transportation and storage,2012,584959.5
" GDP, at 2005 constant prices", Transportation and storage,2011,536335.3
" GDP, at 2005 constant prices", Transportation and storage,2010,491459.37
" GDP, at 2005 constant prices", Transportation and storage,2009,459404.36
" GDP, at 2005 constant prices", Transportation and storage,2008,425540.68
" GDP, at 2005 constant prices", Transportation and storage,2007,356819.62
" GDP, at 2005 constant prices", Transportation and storage,2006,285055.29
" GDP, at 2005 constant prices", Transportation and storage,2005,256726.38
" GDP, at 2005 constant prices", Transportation and storage,2004,208462.14
" GDP, at 2005 constant prices", Transportation and storage,2003,192109.08
" GDP, at 2005 constant prices", Transportation and storage,2002,168533.85
" GDP, at 2005 constant prices", Transportation and storage,2001,142412.3
" GDP, at 2005 constant prices", Transportation and storage,2000,125470.9
" GDP, at 2005 constant prices", Transportation and storage,1999,104220.32
" GDP, at 2005 constant prices", Transportation and storage,1998,104065.19
" GDP, at 2005 constant prices", Transportation and storage,1997,97221.36
" GDP, at 2005 constant prices", Transportation and storage,1996,92822.27
" GDP, at 2005 constant prices", Transportation and storage,1995,85005.38
" GDP, at 2005 constant prices", Transportation and storage,1994,125500.6
" GDP, at 2005 constant prices", Transportation and storage,1993,132792.07
" GDP, at 2005 constant prices", Transportation and storage,1992,158088.21
" GDP, at 2005 constant prices", Transportation and storage,1991,258357.79
" GDP, at 2005 constant prices", Transportation and storage,1990,286674.88
" GDP, at 2005 constant prices", Accommodation and food service activities,2025,
" GDP, at 2005 constant prices", Accommodation and food service activities,2024,
" GDP, at 2005 constant prices", Accommodation and food service activities,2023,
" GDP, at 2005 constant prices", Accommodation and food service activities,2022,
" GDP, at 2005 constant prices", Accommodation and food service activities,2021,
" GDP, at 2005 constant prices", Accommodation and food service activities,2020,
" GDP, at 2005 constant prices", Accommodation and food service activities,2019,
" GDP, at 2005 constant prices", Accommodation and food service activities,2018,
" GDP, at 2005 constant prices", Accommodation and food service activities,2017,
" GDP, at 2005 constant prices", Accommodation and food service activities,2016,
" GDP, at 2005 constant prices", Accommodation and food service activities,2015,
" GDP, at 2005 constant prices", Accommodation and food service activities,2014,
" GDP, at 2005 constant prices", Accommodation and food service activities,2013,53795.9
" GDP, at 2005 constant prices", Accommodation and food service activities,2012,52196.5
" GDP, at 2005 constant prices", Accommodation and food service activities,2011,41525.1
" GDP, at 2005 constant prices", Accommodation and food service activities,2010,23306.97
" GDP, at 2005 constant prices", Accommodation and food service activities,2009,24669.4
" GDP, at 2005 constant prices", Accommodation and food service activities,2008,25539.76
" GDP, at 2005 constant prices", Accommodation and food service activities,2007,24150.27
" GDP, at 2005 constant prices", Accommodation and food service activities,2006,21051.59
" GDP, at 2005 constant prices", Accommodation and food service activities,2005,19341.73
" GDP, at 2005 constant prices", Accommodation and food service activities,2004,16490.73
" GDP, at 2005 constant prices", Accommodation and food service activities,2003,14708.19
" GDP, at 2005 constant prices", Accommodation and food service activities,2002,14800.9
" GDP, at 2005 constant prices", Accommodation and food service activities,2001,14161.02
" GDP, at 2005 constant prices", Accommodation and food service activities,2000,15243.84
" GDP, at 2005 constant prices", Accommodation and food service activities,1999,13729.54
" GDP, at 2005 constant prices", Accommodation and food service activities,1998,12803.88
" GDP, at 2005 constant prices", Accommodation and food service activities,1997,12778.36
" GDP, at 2005 constant prices", Accommodation and food service activities,1996,12698.63
" GDP, at 2005 constant prices", Accommodation and food service activities,1995,12143.32
" GDP, at 2005 constant prices", Accommodation and food service activities,1994,
" GDP, at 2005 constant prices", Accommodation and food service activities,1993,
" GDP, at 2005 constant prices", Accommodation and food service activities,1992,
" GDP, at 2005 constant prices", Accommodation and food service activities,1991,
" GDP, at 2005 constant prices", Accommodation and food service activities,1990,
" GDP, at 2005 constant prices", Information and communication,2025,
" GDP, at 2005 constant prices", Information and communication,2024,
" GDP, at 2005 constant prices", Information and communication,2023,
" GDP, at 2005 constant prices", Information and communication,2022,
" GDP, at 2005 constant prices", Information and communication,2021,
" GDP, at 2005 constant prices", Information and communication,2020,
" GDP, at 2005 constant prices", Information and communication,2019,
" GDP, at 2005 constant prices", Information and communication,2018,
" GDP, at 2005 constant prices", Information and communication,2017,
" GDP, at 2005 constant prices", Information and communication,2016,
" GDP, at 2005 constant prices", Information and communication,2015,
" GDP, at 2005 constant prices", Information and communication,2014,
" GDP, at 2005 constant prices", Information and communication,2013,219048.0
" GDP, at 2005 constant prices", Information and communication,2012,202360.2
" GDP, at 2005 constant prices", Information and communication,2011,189726.3
" GDP, at 2005 constant prices", Information and communication,2010,180325.13
" GDP, at 2005 constant prices", Information and communication,2009,169469.66
" GDP, at 2005 constant prices", Information and communication,2008,157640.08
" GDP, at 2005 constant prices", Information and communication,2007,132439.65
" GDP, at 2005 constant prices", Information and communication,2006,106602.45
" GDP, at 2005 constant prices", Information and communication,2005,96261.09
" GDP, at 2005 constant prices", Information and communication,2004,78963.79
" GDP, at 2005 constant prices", Information and communication,2003,72783.14
" GDP, at 2005 constant prices", Information and communication,2002,64151.14
" GDP, at 2005 constant prices", Information and communication,2001,54125.75
" GDP, at 2005 constant prices", Information and communication,2000,47486.2
" GDP, at 2005 constant prices", Information and communication,1999,39633.11
" GDP, at 2005 constant prices", Information and communication,1998,39606.27
" GDP, at 2005 constant prices", Information and communication,1997,37079.63
" GDP, at 2005 constant prices", Information and communication,1996,35427.2
" GDP, at 2005 constant prices", Information and communication,1995,32702.52
" GDP, at 2005 constant prices", Information and communication,1994,
" GDP, at 2005 constant prices", Information and communication,1993,
" GDP, at 2005 constant prices", Information and communication,1992,
" GDP, at 2005 constant prices", Information and communication,1991,
" GDP, at 2005 constant prices", Information and communication,1990,
" GDP, at 2005 constant prices", Financial and insurance activities,2025,
" GDP, at 2005 constant prices", Financial and insurance activities,2024,
" GDP, at 2005 constant prices", Financial and insurance activities,2023,
" GDP, at 2005 constant prices", Financial and insurance activities,2022,
" GDP, at 2005 constant prices", Financial and insurance activities,2021,
" GDP, at 2005 constant prices", Financial and insurance activities,2020,
" GDP, at 2005 constant prices", Financial and insurance activities,2019,
" GDP, at 2005 constant prices", Financial and insurance activities,2018,
" GDP, at 2005 constant prices", Financial and insurance activities,2017,
" GDP, at 2005 constant prices", Financial and insurance activities,2016,
" GDP, at 2005 constant prices", Financial and insurance activities,2015,
" GDP, at 2005 constant prices", Financial and insurance activities,2014,
" GDP, at 2005 constant prices", Financial and insurance activities,2013,353502.0
" GDP, at 2005 constant prices", Financial and insurance activities,2012,277035.3
" GDP, at 2005 constant prices", Financial and insurance activities,2011,198795.8
" GDP, at 2005 constant prices", Financial and insurance activities,2010,143563.3
" GDP, at 2005 constant prices", Financial and insurance activities,2009,143092.89
" GDP, at 2005 constant prices", Financial and insurance activities,2008,169610.86
" GDP, at 2005 constant prices", Financial and insurance activities,2007,130038.17
" GDP, at 2005 constant prices", Financial and insurance activities,2006,108856.63
" GDP, at 2005 constant prices", Financial and insurance activities,2005,112278.77
" GDP, at 2005 constant prices", Financial and insurance activities,2004,104482.88
" GDP, at 2005 constant prices", Financial and insurance activities,2003,87564.78
" GDP, at 2005 constant prices", Financial and insurance activities,2002,60867.69
" GDP, at 2005 constant prices", Financial and insurance activities,2001,53777.1
" GDP, at 2005 constant prices", Financial and insurance activities,2000,44342.08
" GDP, at 2005 constant prices", Financial and insurance activities,1999,42038.87
" GDP, at 2005 constant prices", Financial and insurance activities,1998,31019.6
" GDP, at 2005 constant prices", Financial and insurance activities,1997,46217.3
" GDP, at 2005 constant prices", Financial and insurance activities,1996,62142.32
" GDP, at 2005 constant prices", Financial and insurance activities,1995,44804.12
" GDP, at 2005 constant prices", Financial and insurance activities,1994,
" GDP, at 2005 constant prices", Financial and insurance activities,1993,
" GDP, at 2005 constant prices", Financial and insurance activities,1992,
" GDP, at 2005 constant prices", Financial and insurance activities,1991,
" GDP, at 2005 constant prices", Financial and insurance activities,1990,
" GDP, at 2005 constant prices", Real estate activities,2025,
" GDP, at 2005 constant prices", Real estate activities,2024,
" GDP, at 2005 constant prices", Real estate activities,2023,
" GDP, at 2005 constant prices", Real estate activities,2022,
" GDP, at 2005 constant prices", Real estate activities,2021,
" GDP, at 2005 constant prices", Real estate activities,2020,
" GDP, at 2005 constant prices", Real estate activities,2019,
" GDP, at 2005 constant prices", Real estate activities,2018,
" GDP, at 2005 constant prices", Real estate activities,2017,
" GDP, at 2005 constant prices", Real estate activities,2016,
" GDP, at 2005 constant prices", Real estate activities,2015,
" GDP, at 2005 constant prices", Real estate activities,2014,
" GDP, at 2005 constant prices", Real estate activities,2013,231317.0
" GDP, at 2005 constant prices", Real estate activities,2012,220469.6
" GDP, at 2005 constant prices", Real estate activities,2011,204881.7
" GDP, at 2005 constant prices", Real estate activities,2010,195850.64
" GDP, at 2005 constant prices", Real estate activities,2009,195502.63
" GDP, at 2005 constant prices", Real estate activities,2008,180334.41
" GDP, at 2005 constant prices", Real estate activities,2007,166500.59
" GDP, at 2005 constant prices", Real estate activities,2006,166987.11
" GDP, at 2005 constant prices", Real estate activities,2005,160522.68
" GDP, at 2005 constant prices", Real estate activities,2004,155552.13
" GDP, at 2005 constant prices", Real estate activities,2003,150756.89
" GDP, at 2005 constant prices", Real estate activities,2002,144632.14
" GDP, at 2005 constant prices", Real estate activities,2001,138290.67
" GDP, at 2005 constant prices", Real estate activities,2000,134350.86
" GDP, at 2005 constant prices", Real estate activities,1999,131717.86
" GDP, at 2005 constant prices", Real estate activities,1998,130301.07
" GDP, at 2005 constant prices", Real estate activities,1997,128329.86
" GDP, at 2005 constant prices", Real estate activities,1996,124025.5
" GDP, at 2005 constant prices", Real estate activities,1995,122800.99
" GDP, at 2005 constant prices", Real estate activities,1994,121654.21
" GDP, at 2005 constant prices", Real estate activities,1993,122299.28
" GDP, at 2005 constant prices", Real estate activities,1992,123446.06
" GDP, at 2005 constant prices", Real estate activities,1991,123422.17
" GDP, at 2005 constant prices", Real estate activities,1990,124042.38
" GDP, at 2005 constant prices"," Professional, scientific and technical activities",2025,
" GDP, at 2005 constant prices"," Professional, scientific and technical activities",2024,
" GDP, at 2005 constant prices"," Professional, scientific and technical activities",2023,
" GDP, at 2005 constant prices"," Professional, scientific and technical activities",2022,
" GDP, at 2005 constant prices"," Professional, scientific and technical activities",2021,
" GDP, at 2005 constant prices"," Professional, scientific and technical activities",2020,
" GDP, at 2005 constant prices"," Professional, scientific and technical activities",2019,
" GDP, at 2005 constant prices"," Professional, scientific and technical activities",2018,
" GDP, at 2005 constant prices"," Professional, scientific and technical activities",2017,
" GDP, at 2005 constant prices"," Professional, scientific and technical activities",2016,
" GDP, at 2005 constant prices"," Professional, scientific and technical activities",2015,
" GDP, at 2005 constant prices"," Professional, scientific and technical activities",2014,
" GDP, at 2005 constant prices"," Professional, scientific and technical activities",2013,49546.8
" GDP, at 2005 constant prices"," Professional, scientific and technical activities",2012,47374.7
" GDP, at 2005 constant prices"," Professional, scientific and technical activities",2011,46545.3
" GDP, at 2005 constant prices"," Professional, scientific and technical activities",2010,41916.83
" GDP, at 2005 constant prices"," Professional, scientific and technical activities",2009,30391.83
" GDP, at 2005 constant prices"," Professional, scientific and technical activities",2008,27355.27
" GDP, at 2005 constant prices"," Professional, scientific and technical activities",2007,16835.41
" GDP, at 2005 constant prices"," Professional, scientific and technical activities",2006,19152.11
" GDP, at 2005 constant prices"," Professional, scientific and technical activities",2005,18024.47
" GDP, at 2005 constant prices"," Professional, scientific and technical activities",2004,12804.87
" GDP, at 2005 constant prices"," Professional, scientific and technical activities",2003,12659.07
" GDP, at 2005 constant prices"," Professional, scientific and technical activities",2002,10115.8
" GDP, at 2005 constant prices"," Professional, scientific and technical activities",2001,7395.47
" GDP, at 2005 constant prices"," Professional, scientific and technical activities",2000,6803.22
" GDP, at 2005 constant prices"," Professional, scientific and technical activities",1999,6395.98
" GDP, at 2005 constant prices"," Professional, scientific and technical activities",1998,6768.94
" GDP, at 2005 constant prices"," Professional, scientific and technical activities",1997,6402.38
" GDP, at 2005 constant prices"," Professional, scientific and technical activities",1996,6360.38
" GDP, at 2005 constant prices"," Professional, scientific and technical activities",1995,6167.0
" GDP, at 2005 constant prices"," Professional, scientific and technical activities",1994,
" GDP, at 2005 constant prices"," Professional, scientific and technical activities",1993,
" GDP, at 2005 constant prices"," Professional, scientific and technical activities",1992,
" GDP, at 2005 constant prices"," Professional, scientific and technical activities",1991,
" GDP, at 2005 constant prices"," Professional, scientific and technical activities",1990,
" GDP, at 2005 constant prices", Administrative and support service activities,2025,
" GDP, at 2005 constant prices", Administrative and support service activities,2024,
" GDP, at 2005 constant prices", Administrative and support service activities,2023,
" GDP, at 2005 constant prices", Administrative and support service activities,2022,
" GDP, at 2005 constant prices", Administrative and support service activities,2021,
" GDP, at 2005 constant prices", Administrative and support service activities,2020,
" GDP, at 2005 constant prices", Administrative and support service activities,2019,
" GDP, at 2005 constant prices", Administrative and support service activities,2018,
" GDP, at 2005 constant prices", Administrative and support service activities,2017,
" GDP, at 2005 constant prices", Administrative and support service activities,2016,
" GDP, at 2005 constant prices", Administrative and support service activities,2015,
" GDP, at 2005 constant prices", Administrative and support service activities,2014,
" GDP, at 2005 constant prices", Administrative and support service activities,2013,104461.9
" GDP, at 2005 constant prices", Administrative and support service activities,2012,90754.8
" GDP, at 2005 constant prices", Administrative and support service activities,2011,67472.0
" GDP, at 2005 constant prices", Administrative and support service activities,2010,52767.67
" GDP, at 2005 constant prices", Administrative and support service activities,2009,59911.02
" GDP, at 2005 constant prices", Administrative and support service activities,2008,54818.77
" GDP, at 2005 constant prices", Administrative and support service activities,2007,41049.44
" GDP, at 2005 constant prices", Administrative and support service activities,2006,37174.85
" GDP, at 2005 constant prices", Administrative and support service activities,2005,34071.06
" GDP, at 2005 constant prices", Administrative and support service activities,2004,26099.74
" GDP, at 2005 constant prices", Administrative and support service activities,2003,24677.47
" GDP, at 2005 constant prices", Administrative and support service activities,2002,20750.62
" GDP, at 2005 constant prices", Administrative and support service activities,2001,16529.68
" GDP, at 2005 constant prices", Administrative and support service activities,2000,14720.95
" GDP, at 2005 constant prices", Administrative and support service activities,1999,12686.25
" GDP, at 2005 constant prices", Administrative and support service activities,1998,12978.51
" GDP, at 2005 constant prices", Administrative and support service activities,1997,12146.27
" GDP, at 2005 constant prices", Administrative and support service activities,1996,11782.15
" GDP, at 2005 constant prices", Administrative and support service activities,1995,11021.12
" GDP, at 2005 constant prices", Administrative and support service activities,1994,
" GDP, at 2005 constant prices", Administrative and support service activities,1993,
" GDP, at 2005 constant prices", Administrative and support service activities,1992,
" GDP, at 2005 constant prices", Administrative and support service activities,1991,
" GDP, at 2005 constant prices", Administrative and support service activities,1990,
" GDP, at 2005 constant prices", Public administration and defence; compulsory social insurance,2025,
" GDP, at 2005 constant prices", Public administration and defence; compulsory social insurance,2024,
" GDP, at 2005 constant prices", Public administration and defence; compulsory social insurance,2023,
" GDP, at 2005 constant prices", Public administration and defence; compulsory social insurance,2022,
" GDP, at 2005 constant prices", Public administration and defence; compulsory social insurance,2021,
" GDP, at 2005 constant prices", Public administration and defence; compulsory social insurance,2020,
" GDP, at 2005 constant prices", Public administration and defence; compulsory social insurance,2019,
" GDP, at 2005 constant prices", Public administration and defence; compulsory social insurance,2018,
" GDP, at 2005 constant prices", Public administration and defence; compulsory social insurance,2017,
" GDP, at 2005 constant prices", Public administration and defence; compulsory social insurance,2016,
" GDP, at 2005 constant prices", Public administration and defence; compulsory social insurance,2015,
" GDP, at 2005 constant prices", Public administration and defence; compulsory social insurance,2014,
" GDP, at 2005 constant prices", Public administration and defence; compulsory social insurance,2013,76757.1
" GDP, at 2005 constant prices", Public administration and defence; compulsory social insurance,2012,72982.2
" GDP, at 2005 constant prices", Public administration and defence; compulsory social insurance,2011,69308.8
" GDP, at 2005 constant prices", Public administration and defence; compulsory social insurance,2010,76079.92
" GDP, at 2005 constant prices", Public administration and defence; compulsory social insurance,2009,75588.6
" GDP, at 2005 constant prices", Public administration and defence; compulsory social insurance,2008,70979.84
" GDP, at 2005 constant prices", Public administration and defence; compulsory social insurance,2007,68844.97
" GDP, at 2005 constant prices", Public administration and defence; compulsory social insurance,2006,66605.64
" GDP, at 2005 constant prices", Public administration and defence; compulsory social insurance,2005,66923.06
" GDP, at 2005 constant prices", Public administration and defence; compulsory social insurance,2004,64612.79
" GDP, at 2005 constant prices", Public administration and defence; compulsory social insurance,2003,63344.62
" GDP, at 2005 constant prices", Public administration and defence; compulsory social insurance,2002,64892.53
" GDP, at 2005 constant prices", Public administration and defence; compulsory social insurance,2001,64260.64
" GDP, at 2005 constant prices", Public administration and defence; compulsory social insurance,2000,68499.57
" GDP, at 2005 constant prices", Public administration and defence; compulsory social insurance,1999,67405.88
" GDP, at 2005 constant prices", Public administration and defence; compulsory social insurance,1998,69242.03
" GDP, at 2005 constant prices", Public administration and defence; compulsory social insurance,1997,69414.23
" GDP, at 2005 constant prices", Public administration and defence; compulsory social insurance,1996,67314.29
" GDP, at 2005 constant prices", Public administration and defence; compulsory social insurance,1995,66110.85
" GDP, at 2005 constant prices", Public administration and defence; compulsory social insurance,1994,300103.58
" GDP, at 2005 constant prices", Public administration and defence; compulsory social insurance,1993,283333.79
" GDP, at 2005 constant prices", Public administration and defence; compulsory social insurance,1992,282747.8
" GDP, at 2005 constant prices", Public administration and defence; compulsory social insurance,1991,268063.75
" GDP, at 2005 constant prices", Public administration and defence; compulsory social insurance,1990,226092.75
" GDP, at 2005 constant prices", Education services,2025,
" GDP, at 2005 constant prices", Education services,2024,
" GDP, at 2005 constant prices", Education services,2023,
" GDP, at 2005 constant prices", Education services,2022,
" GDP, at 2005 constant prices", Education services,2021,
" GDP, at 2005 constant prices", Education services,2020,
" GDP, at 2005 constant prices", Education services,2019,
" GDP, at 2005 constant prices", Education services,2018,
" GDP, at 2005 constant prices", Education services,2017,
" GDP, at 2005 constant prices", Education services,2016,
" GDP, at 2005 constant prices", Education services,2015,
" GDP, at 2005 constant prices", Education services,2014,
" GDP, at 2005 constant prices", Education services,2013,102841.8
" GDP, at 2005 constant prices", Education services,2012,102230.4
" GDP, at 2005 constant prices", Education services,2011,100752.2
" GDP, at 2005 constant prices", Education services,2010,99089.43
" GDP, at 2005 constant prices", Education services,2009,100168.83
" GDP, at 2005 constant prices", Education services,2008,96087.42
" GDP, at 2005 constant prices", Education services,2007,90357.52
" GDP, at 2005 constant prices", Education services,2006,89529.69
" GDP, at 2005 constant prices", Education services,2005,86528.59
" GDP, at 2005 constant prices", Education services,2004,90900.65
" GDP, at 2005 constant prices", Education services,2003,100505.14
" GDP, at 2005 constant prices", Education services,2002,107961.27
" GDP, at 2005 constant prices", Education services,2001,103486.75
" GDP, at 2005 constant prices", Education services,2000,101513.4
" GDP, at 2005 constant prices", Education services,1999,100046.45
" GDP, at 2005 constant prices", Education services,1998,95657.21
" GDP, at 2005 constant prices", Education services,1997,90121.44
" GDP, at 2005 constant prices", Education services,1996,85908.89
" GDP, at 2005 constant prices", Education services,1995,83579.32
" GDP, at 2005 constant prices", Education services,1994,
" GDP, at 2005 constant prices", Education services,1993,
" GDP, at 2005 constant prices", Education services,1992,
" GDP, at 2005 constant prices", Education services,1991,
" GDP, at 2005 constant prices", Education services,1990,
" GDP, at 2005 constant prices", Human health and social work activities,2025,
" GDP, at 2005 constant prices", Human health and social work activities,2024,
" GDP, at 2005 constant prices", Human health and social work activities,2023,
" GDP, at 2005 constant prices", Human health and social work activities,2022,
" GDP, at 2005 constant prices", Human health and social work activities,2021,
" GDP, at 2005 constant prices", Human health and social work activities,2020,
" GDP, at 2005 constant prices", Human health and social work activities,2019,
" GDP, at 2005 constant prices", Human health and social work activities,2018,
" GDP, at 2005 constant prices", Human health and social work activities,2017,
" GDP, at 2005 constant prices", Human health and social work activities,2016,
" GDP, at 2005 constant prices", Human health and social work activities,2015,
" GDP, at 2005 constant prices", Human health and social work activities,2014,
" GDP, at 2005 constant prices", Human health and social work activities,2013,47957.0
" GDP, at 2005 constant prices", Human health and social work activities,2012,46684.6
" GDP, at 2005 constant prices", Human health and social work activities,2011,45365.5
" GDP, at 2005 constant prices", Human health and social work activities,2010,50138.35
" GDP, at 2005 constant prices", Human health and social work activities,2009,47910.31
" GDP, at 2005 constant prices", Human health and social work activities,2008,46580.97
" GDP, at 2005 constant prices", Human health and social work activities,2007,44476.17
" GDP, at 2005 constant prices", Human health and social work activities,2006,40641.13
" GDP, at 2005 constant prices", Human health and social work activities,2005,37516.91
" GDP, at 2005 constant prices", Human health and social work activities,2004,36359.45
" GDP, at 2005 constant prices", Human health and social work activities,2003,36024.19
" GDP, at 2005 constant prices", Human health and social work activities,2002,37341.98
" GDP, at 2005 constant prices", Human health and social work activities,2001,36350.09
" GDP, at 2005 constant prices", Human health and social work activities,2000,35455.66
" GDP, at 2005 constant prices", Human health and social work activities,1999,35691.39
" GDP, at 2005 constant prices", Human health and social work activities,1998,35144.03
" GDP, at 2005 constant prices", Human health and social work activities,1997,34805.1
" GDP, at 2005 constant prices", Human health and social work activities,1996,33706.65
" GDP, at 2005 constant prices", Human health and social work activities,1995,32695.63
" GDP, at 2005 constant prices", Human health and social work activities,1994,
" GDP, at 2005 constant prices", Human health and social work activities,1993,
" GDP, at 2005 constant prices", Human health and social work activities,1992,
" GDP, at 2005 constant prices", Human health and social work activities,1991,
" GDP, at 2005 constant prices", Human health and social work activities,1990,
" GDP, at 2005 constant prices"," Arts, entertainment and recreation",2025,
" GDP, at 2005 constant prices"," Arts, entertainment and recreation",2024,
" GDP, at 2005 constant prices"," Arts, entertainment and recreation",2023,
" GDP, at 2005 constant prices"," Arts, entertainment and recreation",2022,
" GDP, at 2005 constant prices"," Arts, entertainment and recreation",2021,
" GDP, at 2005 constant prices"," Arts, entertainment and recreation",2020,
" GDP, at 2005 constant prices"," Arts, entertainment and recreation",2019,
" GDP, at 2005 constant prices"," Arts, entertainment and recreation",2018,
" GDP, at 2005 constant prices"," Arts, entertainment and recreation",2017,
" GDP, at 2005 constant prices"," Arts, entertainment and recreation",2016,
" GDP, at 2005 constant prices"," Arts, entertainment and recreation",2015,
" GDP, at 2005 constant prices"," Arts, entertainment and recreation",2014,
" GDP, at 2005 constant prices"," Arts, entertainment and recreation",2013,19806.2
" GDP, at 2005 constant prices"," Arts, entertainment and recreation",2012,14694.0
