Region,Indicator,Year,value
 Khangai region, Internal medicine,2025,1379.0
 Khangai region, Internal medicine,2024,1404.0
 Khangai region, Internal medicine,2023,1517.0
 Khangai region, Internal medicine,2022,1512.0
 Khangai region, Internal medicine,2021,1362.0
 Khangai region, Internal medicine,2020,1375.0
 Khangai region, Internal medicine,2019,1451.0
 Khangai region, Internal medicine,2018,1333.0
 Khangai region, Internal medicine,2017,1247.0
 Khangai region, Internal medicine,2016,1049.0
 Khangai region, Internal medicine,2015,1049.0
 Khangai region, Surgery,2025,205.0
 Khangai region, Surgery,2024,221.0
 Khangai region, Surgery,2023,228.0
 Khangai region, Surgery,2022,235.0
 Khangai region, Surgery,2021,239.0
 Khangai region, Surgery,2020,236.0
 Khangai region, Surgery,2019,203.0
 Khangai region, Surgery,2018,227.0
 Khangai region, Surgery,2017,211.0
 Khangai region, Surgery,2016,226.0
 Khangai region, Surgery,2015,226.0
 Khangai region, Obstetrics,2025,353.0
 Khangai region, Obstetrics,2024,359.0
 Khangai region, Obstetrics,2023,387.0
 Khangai region, Obstetrics,2022,344.0
 Khangai region, Obstetrics,2021,385.0
 Khangai region, Obstetrics,2020,384.0
 Khangai region, Obstetrics,2019,373.0
 Khangai region, Obstetrics,2018,384.0
 Khangai region, Obstetrics,2017,383.0
 Khangai region, Obstetrics,2016,371.0
 Khangai region, Obstetrics,2015,371.0
 Khangai region, Gyneacology,2025,178.0
 Khangai region, Gyneacology,2024,184.0
 Khangai region, Gyneacology,2023,216.0
 Khangai region, Gyneacology,2022,217.0
 Khangai region, Gyneacology,2021,212.0
 Khangai region, Gyneacology,2020,214.0
 Khangai region, Gyneacology,2019,220.0
 Khangai region, Gyneacology,2018,192.0
 Khangai region, Gyneacology,2017,189.0
 Khangai region, Gyneacology,2016,202.0
 Khangai region, Gyneacology,2015,202.0
 Khangai region, Pediatrics,2025,624.0
 Khangai region, Pediatrics,2024,624.0
 Khangai region, Pediatrics,2023,643.0
 Khangai region, Pediatrics,2022,649.0
 Khangai region, Pediatrics,2021,590.0
 Khangai region, Pediatrics,2020,611.0
 Khangai region, Pediatrics,2019,607.0
 Khangai region, Pediatrics,2018,607.0
 Khangai region, Pediatrics,2017,607.0
 Khangai region, Pediatrics,2016,552.0
 Khangai region, Pediatrics,2015,552.0
 Khangai region, Infections,2025,221.0
 Khangai region, Infections,2024,223.0
 Khangai region, Infections,2023,232.0
 Khangai region, Infections,2022,242.0
 Khangai region, Infections,2021,3761.0
 Khangai region, Infections,2020,240.0
 Khangai region, Infections,2019,232.0
 Khangai region, Infections,2018,233.0
 Khangai region, Infections,2017,234.0
 Khangai region, Infections,2016,234.0
 Khangai region, Infections,2015,234.0
 Khangai region, Dermatology,2025,30.0
 Khangai region, Dermatology,2024,27.0
 Khangai region, Dermatology,2023,28.0
 Khangai region, Dermatology,2022,36.0
 Khangai region, Dermatology,2021,33.0
 Khangai region, Dermatology,2020,40.0
 Khangai region, Dermatology,2019,39.0
 Khangai region, Dermatology,2018,39.0
 Khangai region, Dermatology,2017,39.0
 Khangai region, Dermatology,2016,45.0
 Khangai region, Dermatology,2015,45.0
 Khangai region, Tuberculosis,2025,66.0
 Khangai region, Tuberculosis,2024,63.0
 Khangai region, Tuberculosis,2023,58.0
 Khangai region, Tuberculosis,2022,76.0
 Khangai region, Tuberculosis,2021,68.0
 Khangai region, Tuberculosis,2020,68.0
 Khangai region, Tuberculosis,2019,61.0
 Khangai region, Tuberculosis,2018,61.0
 Khangai region, Tuberculosis,2017,73.0
 Khangai region, Tuberculosis,2016,74.0
 Khangai region, Tuberculosis,2015,74.0
 Khangai region, Neurology,2025,247.0
 Khangai region, Neurology,2024,235.0
 Khangai region, Neurology,2023,242.0
 Khangai region, Neurology,2022,280.0
 Khangai region, Neurology,2021,279.0
 Khangai region, Neurology,2020,284.0
 Khangai region, Neurology,2019,263.0
 Khangai region, Neurology,2018,231.0
 Khangai region, Neurology,2017,213.0
 Khangai region, Neurology,2016,174.0
 Khangai region, Neurology,2015,174.0
 Khangai region, Psychiatry & narcology,2025,132.0
 Khangai region, Psychiatry & narcology,2024,118.0
 Khangai region, Psychiatry & narcology,2023,112.0
 Khangai region, Psychiatry & narcology,2022,99.0
 Khangai region, Psychiatry & narcology,2021,89.0
 Khangai region, Psychiatry & narcology,2020,83.0
 Khangai region, Psychiatry & narcology,2019,77.0
 Khangai region, Psychiatry & narcology,2018,77.0
 Khangai region, Psychiatry & narcology,2017,90.0
 Khangai region, Psychiatry & narcology,2016,76.0
 Khangai region, Psychiatry & narcology,2015,76.0
 Khangai region, Traumatology,2025,116.0
 Khangai region, Traumatology,2024,100.0
 Khangai region, Traumatology,2023,98.0
 Khangai region, Traumatology,2022,87.0
 Khangai region, Traumatology,2021,88.0
 Khangai region, Traumatology,2020,83.0
 Khangai region, Traumatology,2019,94.0
 Khangai region, Traumatology,2018,79.0
 Khangai region, Traumatology,2017,79.0
 Khangai region, Traumatology,2016,65.0
 Khangai region, Traumatology,2015,65.0
 Khangai region, Nephrology,2025,0.0
 Khangai region, Nephrology,2024,0.0
 Khangai region, Nephrology,2023,0.0
 Khangai region, Nephrology,2022,0.0
 Khangai region, Nephrology,2021,0.0
 Khangai region, Nephrology,2020,0.0
 Khangai region, Nephrology,2019,0.0
 Khangai region, Nephrology,2018,0.0
 Khangai region, Nephrology,2017,0.0
 Khangai region, Nephrology,2016,0.0
 Khangai region, Nephrology,2015,0.0
 Khangai region, Urology,2025,5.0
 Khangai region, Urology,2024,5.0
 Khangai region, Urology,2023,0.0
 Khangai region, Urology,2022,0.0
 Khangai region, Urology,2021,0.0
 Khangai region, Urology,2020,0.0
 Khangai region, Urology,2019,0.0
 Khangai region, Urology,2018,0.0
 Khangai region, Urology,2017,0.0
 Khangai region, Urology,2016,0.0
 Khangai region, Urology,2015,0.0
 Khangai region, Anaesthesiology,2025,44.0
 Khangai region, Anaesthesiology,2024,41.0
 Khangai region, Anaesthesiology,2023,42.0
 Khangai region, Anaesthesiology,2022,40.0
 Khangai region, Anaesthesiology,2021,36.0
 Khangai region, Anaesthesiology,2020,40.0
 Khangai region, Anaesthesiology,2019,34.0
 Khangai region, Anaesthesiology,2018,33.0
 Khangai region, Anaesthesiology,2017,33.0
 Khangai region, Anaesthesiology,2016,34.0
 Khangai region, Anaesthesiology,2015,34.0
 Khangai region, Ophtalmology,2025,28.0
 Khangai region, Ophtalmology,2024,31.0
 Khangai region, Ophtalmology,2023,26.0
 Khangai region, Ophtalmology,2022,22.0
 Khangai region, Ophtalmology,2021,25.0
 Khangai region, Ophtalmology,2020,28.0
 Khangai region, Ophtalmology,2019,17.0
 Khangai region, Ophtalmology,2018,18.0
 Khangai region, Ophtalmology,2017,20.0
 Khangai region, Ophtalmology,2016,20.0
 Khangai region, Ophtalmology,2015,20.0
 Khangai region, Otorhinolaryngology,2025,53.0
 Khangai region, Otorhinolaryngology,2024,52.0
 Khangai region, Otorhinolaryngology,2023,54.0
 Khangai region, Otorhinolaryngology,2022,38.0
 Khangai region, Otorhinolaryngology,2021,35.0
 Khangai region, Otorhinolaryngology,2020,35.0
 Khangai region, Otorhinolaryngology,2019,26.0
 Khangai region, Otorhinolaryngology,2018,26.0
 Khangai region, Otorhinolaryngology,2017,19.0
 Khangai region, Otorhinolaryngology,2016,19.0
 Khangai region, Otorhinolaryngology,2015,19.0
 Khangai region, Dentist & stamatology,2025,12.0
 Khangai region, Dentist & stamatology,2024,9.0
 Khangai region, Dentist & stamatology,2023,10.0
 Khangai region, Dentist & stamatology,2022,11.0
 Khangai region, Dentist & stamatology,2021,11.0
 Khangai region, Dentist & stamatology,2020,11.0
 Khangai region, Dentist & stamatology,2019,9.0
 Khangai region, Dentist & stamatology,2018,9.0
 Khangai region, Dentist & stamatology,2017,9.0
 Khangai region, Dentist & stamatology,2016,10.0
 Khangai region, Dentist & stamatology,2015,10.0
 Khangai region, Oncology,2025,53.0
 Khangai region, Oncology,2024,37.0
 Khangai region, Oncology,2023,35.0
 Khangai region, Oncology,2022,22.0
 Khangai region, Oncology,2021,22.0
 Khangai region, Oncology,2020,20.0
 Khangai region, Oncology,2019,12.0
 Khangai region, Oncology,2018,11.0
 Khangai region, Oncology,2017,9.0
 Khangai region, Oncology,2016,9.0
 Khangai region, Oncology,2015,10.0
 Khangai region, Traditional medicine,2025,462.0
 Khangai region, Traditional medicine,2024,450.0
 Khangai region, Traditional medicine,2023,454.0
 Khangai region, Traditional medicine,2022,399.0
 Khangai region, Traditional medicine,2021,242.0
 Khangai region, Traditional medicine,2020,202.0
 Khangai region, Traditional medicine,2019,211.0
 Khangai region, Traditional medicine,2018,203.0
 Khangai region, Traditional medicine,2017,149.0
 Khangai region, Traditional medicine,2016,150.0
 Khangai region, Traditional medicine,2015,110.0
 Khangai region, Palliative care,2025,34.0
 Khangai region, Palliative care,2024,31.0
 Khangai region, Palliative care,2023,18.0
 Khangai region, Palliative care,2022,28.0
 Khangai region, Palliative care,2021,34.0
 Khangai region, Palliative care,2020,34.0
 Khangai region, Palliative care,2019,56.0
 Khangai region, Palliative care,2018,57.0
 Khangai region, Palliative care,2017,51.0
 Khangai region, Palliative care,2016,49.0
 Khangai region, Palliative care,2015,37.0
 Khangai region, Other,2025,133.0
 Khangai region, Other,2024,291.0
 Khangai region, Other,2023,190.0
 Khangai region, Other,2022,195.0
 Khangai region, Other,2021,355.0
 Khangai region, Other,2020,306.0
 Khangai region, Other,2019,100.0
 Khangai region, Other,2018,116.0
 Khangai region, Other,2017,45.0
 Khangai region, Other,2016,215.0
 Khangai region, Other,2015,60.0
 Arkhangai,Total,2025,594.0
 Arkhangai,Total,2024,594.0
 Arkhangai,Total,2023,594.0
 Arkhangai,Total,2022,551.0
 Arkhangai,Total,2021,1541.0
 Arkhangai,Total,2020,551.0
 Arkhangai,Total,2019,519.0
 Arkhangai,Total,2018,518.0
 Arkhangai,Total,2017,518.0
 Arkhangai,Total,2016,519.0
 Arkhangai,Total,2015,511.0
 Arkhangai, Internal medicine,2025,237.0
 Arkhangai, Internal medicine,2024,254.0
 Arkhangai, Internal medicine,2023,252.0
 Arkhangai, Internal medicine,2022,229.0
 Arkhangai, Internal medicine,2021,230.0
 Arkhangai, Internal medicine,2020,230.0
 Arkhangai, Internal medicine,2019,220.0
 Arkhangai, Internal medicine,2018,212.0
 Arkhangai, Internal medicine,2017,213.0
 Arkhangai, Internal medicine,2016,208.0
 Arkhangai, Internal medicine,2015,208.0
 Arkhangai, Surgery,2025,28.0
 Arkhangai, Surgery,2024,27.0
 Arkhangai, Surgery,2023,27.0
 Arkhangai, Surgery,2022,27.0
 Arkhangai, Surgery,2021,25.0
 Arkhangai, Surgery,2020,25.0
 Arkhangai, Surgery,2019,25.0
 Arkhangai, Surgery,2018,25.0
 Arkhangai, Surgery,2017,29.0
 Arkhangai, Surgery,2016,39.0
 Arkhangai, Surgery,2015,39.0
 Arkhangai, Obstetrics,2025,58.0
 Arkhangai, Obstetrics,2024,58.0
 Arkhangai, Obstetrics,2023,65.0
 Arkhangai, Obstetrics,2022,64.0
 Arkhangai, Obstetrics,2021,64.0
 Arkhangai, Obstetrics,2020,63.0
 Arkhangai, Obstetrics,2019,63.0
 Arkhangai, Obstetrics,2018,65.0
 Arkhangai, Obstetrics,2017,65.0
 Arkhangai, Obstetrics,2016,67.0
 Arkhangai, Obstetrics,2015,67.0
 Arkhangai, Gyneacology,2025,23.0
 Arkhangai, Gyneacology,2024,25.0
 Arkhangai, Gyneacology,2023,37.0
 Arkhangai, Gyneacology,2022,33.0
 Arkhangai, Gyneacology,2021,32.0
 Arkhangai, Gyneacology,2020,32.0
 Arkhangai, Gyneacology,2019,26.0
 Arkhangai, Gyneacology,2018,28.0
 Arkhangai, Gyneacology,2017,28.0
 Arkhangai, Gyneacology,2016,25.0
 Arkhangai, Gyneacology,2015,25.0
 Arkhangai, Pediatrics,2025,90.0
 Arkhangai, Pediatrics,2024,88.0
 Arkhangai, Pediatrics,2023,92.0
 Arkhangai, Pediatrics,2022,84.0
 Arkhangai, Pediatrics,2021,84.0
 Arkhangai, Pediatrics,2020,85.0
 Arkhangai, Pediatrics,2019,85.0
 Arkhangai, Pediatrics,2018,87.0
 Arkhangai, Pediatrics,2017,87.0
 Arkhangai, Pediatrics,2016,80.0
 Arkhangai, Pediatrics,2015,80.0
 Arkhangai, Infections,2025,38.0
 Arkhangai, Infections,2024,35.0
 Arkhangai, Infections,2023,32.0
 Arkhangai, Infections,2022,31.0
 Arkhangai, Infections,2021,1021.0
 Arkhangai, Infections,2020,31.0
 Arkhangai, Infections,2019,30.0
 Arkhangai, Infections,2018,32.0
 Arkhangai, Infections,2017,32.0
 Arkhangai, Infections,2016,31.0
 Arkhangai, Infections,2015,31.0
 Arkhangai, Dermatology,2025,
 Arkhangai, Dermatology,2024,
 Arkhangai, Dermatology,2023,0.0
 Arkhangai, Dermatology,2022,0.0
 Arkhangai, Dermatology,2021,0.0
 Arkhangai, Dermatology,2020,0.0
 Arkhangai, Dermatology,2019,0.0
 Arkhangai, Dermatology,2018,0.0
 Arkhangai, Dermatology,2017,0.0
 Arkhangai, Dermatology,2016,0.0
 Arkhangai, Dermatology,2015,0.0
 Arkhangai, Tuberculosis,2025,10.0
 Arkhangai, Tuberculosis,2024,7.0
 Arkhangai, Tuberculosis,2023,7.0
 Arkhangai, Tuberculosis,2022,7.0
 Arkhangai, Tuberculosis,2021,7.0
 Arkhangai, Tuberculosis,2020,7.0
 Arkhangai, Tuberculosis,2019,7.0
 Arkhangai, Tuberculosis,2018,7.0
 Arkhangai, Tuberculosis,2017,7.0
 Arkhangai, Tuberculosis,2016,8.0
 Arkhangai, Tuberculosis,2015,8.0
 Arkhangai, Neurology,2025,24.0
 Arkhangai, Neurology,2024,23.0
 Arkhangai, Neurology,2023,30.0
 Arkhangai, Neurology,2022,35.0
 Arkhangai, Neurology,2021,36.0
 Arkhangai, Neurology,2020,36.0
 Arkhangai, Neurology,2019,28.0
 Arkhangai, Neurology,2018,28.0
 Arkhangai, Neurology,2017,27.0
 Arkhangai, Neurology,2016,31.0
 Arkhangai, Neurology,2015,31.0
 Arkhangai, Psychiatry & narcology,2025,19.0
 Arkhangai, Psychiatry & narcology,2024,15.0
 Arkhangai, Psychiatry & narcology,2023,11.0
 Arkhangai, Psychiatry & narcology,2022,6.0
 Arkhangai, Psychiatry & narcology,2021,6.0
 Arkhangai, Psychiatry & narcology,2020,6.0
 Arkhangai, Psychiatry & narcology,2019,6.0
 Arkhangai, Psychiatry & narcology,2018,6.0
 Arkhangai, Psychiatry & narcology,2017,6.0
 Arkhangai, Psychiatry & narcology,2016,7.0
 Arkhangai, Psychiatry & narcology,2015,7.0
 Arkhangai, Traumatology,2025,10.0
 Arkhangai, Traumatology,2024,11.0
 Arkhangai, Traumatology,2023,10.0
 Arkhangai, Traumatology,2022,9.0
 Arkhangai, Traumatology,2021,9.0
 Arkhangai, Traumatology,2020,9.0
 Arkhangai, Traumatology,2019,9.0
 Arkhangai, Traumatology,2018,10.0
 Arkhangai, Traumatology,2017,10.0
 Arkhangai, Traumatology,2016,0.0
 Arkhangai, Traumatology,2015,0.0
 Arkhangai, Nephrology,2025,
 Arkhangai, Nephrology,2024,
 Arkhangai, Nephrology,2023,0.0
 Arkhangai, Nephrology,2022,0.0
 Arkhangai, Nephrology,2021,0.0
 Arkhangai, Nephrology,2020,0.0
 Arkhangai, Nephrology,2019,0.0
 Arkhangai, Nephrology,2018,0.0
 Arkhangai, Nephrology,2017,0.0
 Arkhangai, Nephrology,2016,0.0
 Arkhangai, Nephrology,2015,0.0
 Arkhangai, Urology,2025,
 Arkhangai, Urology,2024,
 Arkhangai, Urology,2023,0.0
 Arkhangai, Urology,2022,0.0
 Arkhangai, Urology,2021,0.0
 Arkhangai, Urology,2020,0.0
 Arkhangai, Urology,2019,0.0
 Arkhangai, Urology,2018,0.0
 Arkhangai, Urology,2017,0.0
 Arkhangai, Urology,2016,0.0
 Arkhangai, Urology,2015,0.0
 Arkhangai, Anaesthesiology,2025,4.0
 Arkhangai, Anaesthesiology,2024,4.0
 Arkhangai, Anaesthesiology,2023,4.0
 Arkhangai, Anaesthesiology,2022,4.0
 Arkhangai, Anaesthesiology,2021,3.0
 Arkhangai, Anaesthesiology,2020,3.0
 Arkhangai, Anaesthesiology,2019,3.0
 Arkhangai, Anaesthesiology,2018,2.0
 Arkhangai, Anaesthesiology,2017,0.0
 Arkhangai, Anaesthesiology,2016,0.0
 Arkhangai, Anaesthesiology,2015,0.0
 Arkhangai, Ophtalmology,2025,1.0
 Arkhangai, Ophtalmology,2024,1.0
 Arkhangai, Ophtalmology,2023,2.0
 Arkhangai, Ophtalmology,2022,2.0
 Arkhangai, Ophtalmology,2021,3.0
 Arkhangai, Ophtalmology,2020,3.0
 Arkhangai, Ophtalmology,2019,2.0
 Arkhangai, Ophtalmology,2018,2.0
 Arkhangai, Ophtalmology,2017,2.0
 Arkhangai, Ophtalmology,2016,2.0
 Arkhangai, Ophtalmology,2015,2.0
 Arkhangai, Otorhinolaryngology,2025,2.0
 Arkhangai, Otorhinolaryngology,2024,2.0
 Arkhangai, Otorhinolaryngology,2023,2.0
 Arkhangai, Otorhinolaryngology,2022,3.0
 Arkhangai, Otorhinolaryngology,2021,3.0
 Arkhangai, Otorhinolaryngology,2020,3.0
 Arkhangai, Otorhinolaryngology,2019,2.0
 Arkhangai, Otorhinolaryngology,2018,2.0
 Arkhangai, Otorhinolaryngology,2017,2.0
 Arkhangai, Otorhinolaryngology,2016,2.0
 Arkhangai, Otorhinolaryngology,2015,2.0
 Arkhangai, Dentist & stamatology,2025,3.0
 Arkhangai, Dentist & stamatology,2024,1.0
 Arkhangai, Dentist & stamatology,2023,2.0
 Arkhangai, Dentist & stamatology,2022,2.0
 Arkhangai, Dentist & stamatology,2021,3.0
 Arkhangai, Dentist & stamatology,2020,3.0
 Arkhangai, Dentist & stamatology,2019,2.0
 Arkhangai, Dentist & stamatology,2018,2.0
 Arkhangai, Dentist & stamatology,2017,2.0
 Arkhangai, Dentist & stamatology,2016,2.0
 Arkhangai, Dentist & stamatology,2015,2.0
 Arkhangai, Oncology,2025,16.0
 Arkhangai, Oncology,2024,12.0
 Arkhangai, Oncology,2023,8.0
 Arkhangai, Oncology,2022,5.0
 Arkhangai, Oncology,2021,5.0
 Arkhangai, Oncology,2020,5.0
 Arkhangai, Oncology,2019,5.0
 Arkhangai, Oncology,2018,4.0
 Arkhangai, Oncology,2017,2.0
 Arkhangai, Oncology,2016,2.0
 Arkhangai, Oncology,2015,3.0
 Arkhangai, Traditional medicine,2025,31.0
 Arkhangai, Traditional medicine,2024,31.0
 Arkhangai, Traditional medicine,2023,13.0
 Arkhangai, Traditional medicine,2022,10.0
 Arkhangai, Traditional medicine,2021,10.0
 Arkhangai, Traditional medicine,2020,10.0
 Arkhangai, Traditional medicine,2019,6.0
 Arkhangai, Traditional medicine,2018,6.0
 Arkhangai, Traditional medicine,2017,6.0
 Arkhangai, Traditional medicine,2016,6.0
 Arkhangai, Traditional medicine,2015,6.0
 Arkhangai, Palliative care,2025,
 Arkhangai, Palliative care,2024,
 Arkhangai, Palliative care,2023,0.0
 Arkhangai, Palliative care,2022,0.0
 Arkhangai, Palliative care,2021,0.0
 Arkhangai, Palliative care,2020,0.0
 Arkhangai, Palliative care,2019,0.0
 Arkhangai, Palliative care,2018,0.0
 Arkhangai, Palliative care,2017,0.0
 Arkhangai, Palliative care,2016,0.0
 Arkhangai, Palliative care,2015,0.0
 Arkhangai, Other,2025,
 Arkhangai, Other,2024,
 Arkhangai, Other,2023,0.0
 Arkhangai, Other,2022,0.0
 Arkhangai, Other,2021,0.0
 Arkhangai, Other,2020,0.0
 Arkhangai, Other,2019,0.0
 Arkhangai, Other,2018,0.0
 Arkhangai, Other,2017,0.0
 Arkhangai, Other,2016,9.0
 Arkhangai, Other,2015,0.0
 Bayankhongor,Total,2025,695.0
 Bayankhongor,Total,2024,694.0
 Bayankhongor,Total,2023,691.0
 Bayankhongor,Total,2022,690.0
 Bayankhongor,Total,2021,1921.0
 Bayankhongor,Total,2020,663.0
 Bayankhongor,Total,2019,591.0
 Bayankhongor,Total,2018,591.0
 Bayankhongor,Total,2017,547.0
 Bayankhongor,Total,2016,525.0
 Bayankhongor,Total,2015,477.0
 Bayankhongor, Internal medicine,2025,193.0
 Bayankhongor, Internal medicine,2024,194.0
 Bayankhongor, Internal medicine,2023,197.0
 Bayankhongor, Internal medicine,2022,205.0
 Bayankhongor, Internal medicine,2021,212.0
 Bayankhongor, Internal medicine,2020,203.0
 Bayankhongor, Internal medicine,2019,196.0
 Bayankhongor, Internal medicine,2018,183.0
 Bayankhongor, Internal medicine,2017,166.0
 Bayankhongor, Internal medicine,2016,97.0
 Bayankhongor, Internal medicine,2015,97.0
 Bayankhongor, Surgery,2025,34.0
 Bayankhongor, Surgery,2024,34.0
 Bayankhongor, Surgery,2023,34.0
 Bayankhongor, Surgery,2022,38.0
 Bayankhongor, Surgery,2021,38.0
 Bayankhongor, Surgery,2020,32.0
 Bayankhongor, Surgery,2019,20.0
 Bayankhongor, Surgery,2018,20.0
 Bayankhongor, Surgery,2017,19.0
 Bayankhongor, Surgery,2016,29.0
 Bayankhongor, Surgery,2015,29.0
 Bayankhongor, Obstetrics,2025,81.0
 Bayankhongor, Obstetrics,2024,82.0
 Bayankhongor, Obstetrics,2023,80.0
 Bayankhongor, Obstetrics,2022,71.0
 Bayankhongor, Obstetrics,2021,71.0
 Bayankhongor, Obstetrics,2020,71.0
 Bayankhongor, Obstetrics,2019,55.0
 Bayankhongor, Obstetrics,2018,60.0
 Bayankhongor, Obstetrics,2017,55.0
 Bayankhongor, Obstetrics,2016,50.0
 Bayankhongor, Obstetrics,2015,50.0
 Bayankhongor, Gyneacology,2025,30.0
 Bayankhongor, Gyneacology,2024,30.0
 Bayankhongor, Gyneacology,2023,32.0
 Bayankhongor, Gyneacology,2022,32.0
 Bayankhongor, Gyneacology,2021,32.0
 Bayankhongor, Gyneacology,2020,32.0
 Bayankhongor, Gyneacology,2019,32.0
 Bayankhongor, Gyneacology,2018,31.0
 Bayankhongor, Gyneacology,2017,31.0
 Bayankhongor, Gyneacology,2016,36.0
 Bayankhongor, Gyneacology,2015,36.0
 Bayankhongor, Pediatrics,2025,104.0
 Bayankhongor, Pediatrics,2024,104.0
 Bayankhongor, Pediatrics,2023,104.0
 Bayankhongor, Pediatrics,2022,107.0
 Bayankhongor, Pediatrics,2021,111.0
 Bayankhongor, Pediatrics,2020,109.0
 Bayankhongor, Pediatrics,2019,97.0
 Bayankhongor, Pediatrics,2018,103.0
 Bayankhongor, Pediatrics,2017,94.0
 Bayankhongor, Pediatrics,2016,80.0
 Bayankhongor, Pediatrics,2015,80.0
 Bayankhongor, Infections,2025,35.0
 Bayankhongor, Infections,2024,35.0
 Bayankhongor, Infections,2023,35.0
 Bayankhongor, Infections,2022,42.0
 Bayankhongor, Infections,2021,1273.0
 Bayankhongor, Infections,2020,36.0
 Bayankhongor, Infections,2019,31.0
 Bayankhongor, Infections,2018,31.0
 Bayankhongor, Infections,2017,30.0
 Bayankhongor, Infections,2016,35.0
 Bayankhongor, Infections,2015,35.0
 Bayankhongor, Dermatology,2025,11.0
 Bayankhongor, Dermatology,2024,8.0
 Bayankhongor, Dermatology,2023,10.0
 Bayankhongor, Dermatology,2022,14.0
 Bayankhongor, Dermatology,2021,10.0
 Bayankhongor, Dermatology,2020,10.0
 Bayankhongor, Dermatology,2019,10.0
 Bayankhongor, Dermatology,2018,10.0
 Bayankhongor, Dermatology,2017,10.0
 Bayankhongor, Dermatology,2016,13.0
 Bayankhongor, Dermatology,2015,13.0
 Bayankhongor, Tuberculosis,2025,14.0
 Bayankhongor, Tuberculosis,2024,14.0
 Bayankhongor, Tuberculosis,2023,6.0
 Bayankhongor, Tuberculosis,2022,14.0
 Bayankhongor, Tuberculosis,2021,14.0
 Bayankhongor, Tuberculosis,2020,14.0
 Bayankhongor, Tuberculosis,2019,8.0
 Bayankhongor, Tuberculosis,2018,8.0
 Bayankhongor, Tuberculosis,2017,8.0
 Bayankhongor, Tuberculosis,2016,8.0
 Bayankhongor, Tuberculosis,2015,8.0
 Bayankhongor, Neurology,2025,36.0
 Bayankhongor, Neurology,2024,37.0
 Bayankhongor, Neurology,2023,33.0
 Bayankhongor, Neurology,2022,45.0
 Bayankhongor, Neurology,2021,48.0
 Bayankhongor, Neurology,2020,46.0
 Bayankhongor, Neurology,2019,45.0
 Bayankhongor, Neurology,2018,45.0
 Bayankhongor, Neurology,2017,45.0
 Bayankhongor, Neurology,2016,42.0
 Bayankhongor, Neurology,2015,42.0
 Bayankhongor, Psychiatry & narcology,2025,18.0
 Bayankhongor, Psychiatry & narcology,2024,18.0
 Bayankhongor, Psychiatry & narcology,2023,18.0
 Bayankhongor, Psychiatry & narcology,2022,12.0
 Bayankhongor, Psychiatry & narcology,2021,11.0
 Bayankhongor, Psychiatry & narcology,2020,15.0
 Bayankhongor, Psychiatry & narcology,2019,11.0
 Bayankhongor, Psychiatry & narcology,2018,11.0
 Bayankhongor, Psychiatry & narcology,2017,13.0
 Bayankhongor, Psychiatry & narcology,2016,4.0
 Bayankhongor, Psychiatry & narcology,2015,4.0
 Bayankhongor, Traumatology,2025,15.0
 Bayankhongor, Traumatology,2024,15.0
 Bayankhongor, Traumatology,2023,15.0
 Bayankhongor, Traumatology,2022,11.0
 Bayankhongor, Traumatology,2021,11.0
 Bayankhongor, Traumatology,2020,11.0
 Bayankhongor, Traumatology,2019,10.0
 Bayankhongor, Traumatology,2018,10.0
 Bayankhongor, Traumatology,2017,10.0
 Bayankhongor, Traumatology,2016,10.0
 Bayankhongor, Traumatology,2015,10.0
 Bayankhongor, Nephrology,2025,
 Bayankhongor, Nephrology,2024,
 Bayankhongor, Nephrology,2023,0.0
 Bayankhongor, Nephrology,2022,0.0
 Bayankhongor, Nephrology,2021,0.0
 Bayankhongor, Nephrology,2020,0.0
 Bayankhongor, Nephrology,2019,0.0
 Bayankhongor, Nephrology,2018,0.0
 Bayankhongor, Nephrology,2017,0.0
 Bayankhongor, Nephrology,2016,0.0
 Bayankhongor, Nephrology,2015,0.0
 Bayankhongor, Urology,2025,
 Bayankhongor, Urology,2024,
 Bayankhongor, Urology,2023,0.0
 Bayankhongor, Urology,2022,0.0
 Bayankhongor, Urology,2021,0.0
 Bayankhongor, Urology,2020,0.0
 Bayankhongor, Urology,2019,0.0
 Bayankhongor, Urology,2018,0.0
 Bayankhongor, Urology,2017,0.0
 Bayankhongor, Urology,2016,0.0
 Bayankhongor, Urology,2015,0.0
 Bayankhongor, Anaesthesiology,2025,5.0
 Bayankhongor, Anaesthesiology,2024,5.0
 Bayankhongor, Anaesthesiology,2023,5.0
 Bayankhongor, Anaesthesiology,2022,5.0
 Bayankhongor, Anaesthesiology,2021,5.0
 Bayankhongor, Anaesthesiology,2020,9.0
 Bayankhongor, Anaesthesiology,2019,5.0
 Bayankhongor, Anaesthesiology,2018,5.0
 Bayankhongor, Anaesthesiology,2017,5.0
 Bayankhongor, Anaesthesiology,2016,6.0
 Bayankhongor, Anaesthesiology,2015,6.0
 Bayankhongor, Ophtalmology,2025,14.0
 Bayankhongor, Ophtalmology,2024,14.0
 Bayankhongor, Ophtalmology,2023,14.0
 Bayankhongor, Ophtalmology,2022,14.0
 Bayankhongor, Ophtalmology,2021,14.0
 Bayankhongor, Ophtalmology,2020,14.0
 Bayankhongor, Ophtalmology,2019,11.0
 Bayankhongor, Ophtalmology,2018,11.0
 Bayankhongor, Ophtalmology,2017,11.0
 Bayankhongor, Ophtalmology,2016,12.0
 Bayankhongor, Ophtalmology,2015,12.0
