Бүс,Үзүүлэлт,Он,value
Улсын дүн,Нийт,2025,29465.0
Улсын дүн,Нийт,2024,30117.0
Улсын дүн,Нийт,2023,29443.0
Улсын дүн,Нийт,2022,29629.0
Улсын дүн,Нийт,2021,35310.0
Улсын дүн,Нийт,2020,27083.0
Улсын дүн,Нийт,2019,25661.0
Улсын дүн,Нийт,2018,24884.0
Улсын дүн,Нийт,2017,23897.0
Улсын дүн,Нийт,2016,22960.0
Улсын дүн,Нийт,2015,21720.0
Улсын дүн,Дотор,2025,7635.0
Улсын дүн,Дотор,2024,7564.0
Улсын дүн,Дотор,2023,9637.0
Улсын дүн,Дотор,2022,9207.0
Улсын дүн,Дотор,2021,8182.0
Улсын дүн,Дотор,2020,7886.0
Улсын дүн,Дотор,2019,7855.0
Улсын дүн,Дотор,2018,7706.0
Улсын дүн,Дотор,2017,7379.0
Улсын дүн,Дотор,2016,6610.0
Улсын дүн,Дотор,2015,6610.0
Улсын дүн,Мэс засал,2025,2265.0
Улсын дүн,Мэс засал,2024,2293.0
Улсын дүн,Мэс засал,2023,1867.0
Улсын дүн,Мэс засал,2022,1883.0
Улсын дүн,Мэс засал,2021,1837.0
Улсын дүн,Мэс засал,2020,1906.0
Улсын дүн,Мэс засал,2019,1687.0
Улсын дүн,Мэс засал,2018,1716.0
Улсын дүн,Мэс засал,2017,1652.0
Улсын дүн,Мэс засал,2016,1473.0
Улсын дүн,Мэс засал,2015,1473.0
Улсын дүн,Төрөх,2025,1947.0
Улсын дүн,Төрөх,2024,1857.0
Улсын дүн,Төрөх,2023,1873.0
Улсын дүн,Төрөх,2022,1818.0
Улсын дүн,Төрөх,2021,1809.0
Улсын дүн,Төрөх,2020,1834.0
Улсын дүн,Төрөх,2019,1808.0
Улсын дүн,Төрөх,2018,1828.0
Улсын дүн,Төрөх,2017,1828.0
Улсын дүн,Төрөх,2016,1738.0
Улсын дүн,Төрөх,2015,1738.0
Улсын дүн,Эмэгтэйчүүд,2025,1353.0
Улсын дүн,Эмэгтэйчүүд,2024,1663.0
Улсын дүн,Эмэгтэйчүүд,2023,1229.0
Улсын дүн,Эмэгтэйчүүд,2022,1309.0
Улсын дүн,Эмэгтэйчүүд,2021,1726.0
Улсын дүн,Эмэгтэйчүүд,2020,1333.0
Улсын дүн,Эмэгтэйчүүд,2019,1258.0
Улсын дүн,Эмэгтэйчүүд,2018,1215.0
Улсын дүн,Эмэгтэйчүүд,2017,1177.0
Улсын дүн,Эмэгтэйчүүд,2016,1083.0
Улсын дүн,Эмэгтэйчүүд,2015,1083.0
Улсын дүн,Хүүхэд,2025,4094.0
Улсын дүн,Хүүхэд,2024,4134.0
Улсын дүн,Хүүхэд,2023,3940.0
Улсын дүн,Хүүхэд,2022,3929.0
Улсын дүн,Хүүхэд,2021,3737.0
Улсын дүн,Хүүхэд,2020,3642.0
Улсын дүн,Хүүхэд,2019,3603.0
Улсын дүн,Хүүхэд,2018,3275.0
