SEX,SECTOR,TIME (ANNUAL),value
TOTAL,Activities of extraterritorial organizations and bodies,2002,
TOTAL,Activities of extraterritorial organizations and bodies,2001,
FEMALE,National average,2025,2429.7
FEMALE,National average,2024,2077.1
FEMALE,National average,2023,1651.9
FEMALE,National average,2022,1360.5
FEMALE,National average,2021,1163.1
FEMALE,National average,2020,1109.6
FEMALE,National average,2019,1021.3
FEMALE,National average,2018,903.3
FEMALE,National average,2017,860.4
FEMALE,National average,2016,811.0
FEMALE,National average,2015,760.7
FEMALE,National average,2014,733.3
FEMALE,National average,2013,688.5
FEMALE,National average,2012,524.3
FEMALE,National average,2011,381.3
FEMALE,National average,2010,314.5
FEMALE,National average,2009,279.9
FEMALE,National average,2008,258.1
FEMALE,National average,2007,159.3
FEMALE,National average,2006,117.3
FEMALE,National average,2005,92.3
FEMALE,National average,2004,88.0
FEMALE,National average,2003,76.0
FEMALE,National average,2002,65.9
FEMALE,National average,2001,61.0
FEMALE,"Agriculture, forestry, fishing and hunting",2025,2115.5
FEMALE,"Agriculture, forestry, fishing and hunting",2024,1874.9
FEMALE,"Agriculture, forestry, fishing and hunting",2023,1416.6
FEMALE,"Agriculture, forestry, fishing and hunting",2022,1120.5
FEMALE,"Agriculture, forestry, fishing and hunting",2021,975.0
FEMALE,"Agriculture, forestry, fishing and hunting",2020,932.5
FEMALE,"Agriculture, forestry, fishing and hunting",2019,818.9
FEMALE,"Agriculture, forestry, fishing and hunting",2018,719.1
FEMALE,"Agriculture, forestry, fishing and hunting",2017,665.7
FEMALE,"Agriculture, forestry, fishing and hunting",2016,619.1
FEMALE,"Agriculture, forestry, fishing and hunting",2015,617.3
FEMALE,"Agriculture, forestry, fishing and hunting",2014,712.7
FEMALE,"Agriculture, forestry, fishing and hunting",2013,325.6
FEMALE,"Agriculture, forestry, fishing and hunting",2012,245.6
FEMALE,"Agriculture, forestry, fishing and hunting",2011,198.1
FEMALE,"Agriculture, forestry, fishing and hunting",2010,155.8
FEMALE,"Agriculture, forestry, fishing and hunting",2009,158.7
FEMALE,"Agriculture, forestry, fishing and hunting",2008,145.4
FEMALE,"Agriculture, forestry, fishing and hunting",2007,83.9
FEMALE,"Agriculture, forestry, fishing and hunting",2006,61.6
FEMALE,"Agriculture, forestry, fishing and hunting",2005,42.4
FEMALE,"Agriculture, forestry, fishing and hunting",2004,51.6
FEMALE,"Agriculture, forestry, fishing and hunting",2003,44.7
FEMALE,"Agriculture, forestry, fishing and hunting",2002,49.0
FEMALE,"Agriculture, forestry, fishing and hunting",2001,34.1
FEMALE,Mining and quarrying,2025,5018.8
FEMALE,Mining and quarrying,2024,4481.6
FEMALE,Mining and quarrying,2023,4102.0
FEMALE,Mining and quarrying,2022,3597.2
FEMALE,Mining and quarrying,2021,3025.2
FEMALE,Mining and quarrying,2020,2949.7
FEMALE,Mining and quarrying,2019,2772.3
FEMALE,Mining and quarrying,2018,2397.0
FEMALE,Mining and quarrying,2017,2277.2
FEMALE,Mining and quarrying,2016,2577.6
FEMALE,Mining and quarrying,2015,2197.6
FEMALE,Mining and quarrying,2014,1549.7
FEMALE,Mining and quarrying,2013,1349.0
FEMALE,Mining and quarrying,2012,747.9
FEMALE,Mining and quarrying,2011,557.3
FEMALE,Mining and quarrying,2010,509.9
FEMALE,Mining and quarrying,2009,331.3
FEMALE,Mining and quarrying,2008,271.2
FEMALE,Mining and quarrying,2007,178.0
FEMALE,Mining and quarrying,2006,111.1
FEMALE,Mining and quarrying,2005,106.1
FEMALE,Mining and quarrying,2004,71.3
FEMALE,Mining and quarrying,2003,79.8
FEMALE,Mining and quarrying,2002,69.3
FEMALE,Mining and quarrying,2001,49.4
FEMALE,Manufacturing,2025,2353.3
FEMALE,Manufacturing,2024,1858.8
FEMALE,Manufacturing,2023,1510.4
FEMALE,Manufacturing,2022,1306.4
FEMALE,Manufacturing,2021,1096.0
FEMALE,Manufacturing,2020,1031.7
FEMALE,Manufacturing,2019,1060.4
FEMALE,Manufacturing,2018,1047.8
FEMALE,Manufacturing,2017,1011.0
FEMALE,Manufacturing,2016,850.3
FEMALE,Manufacturing,2015,744.0
FEMALE,Manufacturing,2014,737.7
FEMALE,Manufacturing,2013,575.6
FEMALE,Manufacturing,2012,424.3
FEMALE,Manufacturing,2011,339.4
FEMALE,Manufacturing,2010,276.5
FEMALE,Manufacturing,2009,243.4
FEMALE,Manufacturing,2008,225.2
FEMALE,Manufacturing,2007,135.6
FEMALE,Manufacturing,2006,105.2
FEMALE,Manufacturing,2005,88.1
FEMALE,Manufacturing,2004,89.1
FEMALE,Manufacturing,2003,79.6
FEMALE,Manufacturing,2002,68.2
FEMALE,Manufacturing,2001,64.8
FEMALE,"Electricity, gas, steam and air conditioning supply",2025,3381.4
FEMALE,"Electricity, gas, steam and air conditioning supply",2024,2870.8
FEMALE,"Electricity, gas, steam and air conditioning supply",2023,2175.7
FEMALE,"Electricity, gas, steam and air conditioning supply",2022,1751.5
FEMALE,"Electricity, gas, steam and air conditioning supply",2021,1544.6
FEMALE,"Electricity, gas, steam and air conditioning supply",2020,1524.9
FEMALE,"Electricity, gas, steam and air conditioning supply",2019,1396.5
FEMALE,"Electricity, gas, steam and air conditioning supply",2018,1402.5
FEMALE,"Electricity, gas, steam and air conditioning supply",2017,1341.3
FEMALE,"Electricity, gas, steam and air conditioning supply",2016,1223.0
FEMALE,"Electricity, gas, steam and air conditioning supply",2015,1139.5
FEMALE,"Electricity, gas, steam and air conditioning supply",2014,1139.2
FEMALE,"Electricity, gas, steam and air conditioning supply",2013,949.7
FEMALE,"Electricity, gas, steam and air conditioning supply",2012,514.3
FEMALE,"Electricity, gas, steam and air conditioning supply",2011,375.3
FEMALE,"Electricity, gas, steam and air conditioning supply",2010,295.7
FEMALE,"Electricity, gas, steam and air conditioning supply",2009,258.2
FEMALE,"Electricity, gas, steam and air conditioning supply",2008,214.3
FEMALE,"Electricity, gas, steam and air conditioning supply",2007,159.6
FEMALE,"Electricity, gas, steam and air conditioning supply",2006,138.1
FEMALE,"Electricity, gas, steam and air conditioning supply",2005,116.4
FEMALE,"Electricity, gas, steam and air conditioning supply",2004,105.4
FEMALE,"Electricity, gas, steam and air conditioning supply",2003,90.0
FEMALE,"Electricity, gas, steam and air conditioning supply",2002,75.1
FEMALE,"Electricity, gas, steam and air conditioning supply",2001,70.6
FEMALE,"Water supply, sewerage, waste management and remedation activities",2025,2582.1
FEMALE,"Water supply, sewerage, waste management and remedation activities",2024,2033.6
FEMALE,"Water supply, sewerage, waste management and remedation activities",2023,1500.8
FEMALE,"Water supply, sewerage, waste management and remedation activities",2022,1169.6
FEMALE,"Water supply, sewerage, waste management and remedation activities",2021,970.8
FEMALE,"Water supply, sewerage, waste management and remedation activities",2020,936.1
FEMALE,"Water supply, sewerage, waste management and remedation activities",2019,809.2
FEMALE,"Water supply, sewerage, waste management and remedation activities",2018,687.1
FEMALE,"Water supply, sewerage, waste management and remedation activities",2017,644.7
FEMALE,"Water supply, sewerage, waste management and remedation activities",2016,613.1
FEMALE,"Water supply, sewerage, waste management and remedation activities",2015,596.3
FEMALE,"Water supply, sewerage, waste management and remedation activities",2014,562.9
FEMALE,"Water supply, sewerage, waste management and remedation activities",2013,539.6
FEMALE,"Water supply, sewerage, waste management and remedation activities",2012,
FEMALE,"Water supply, sewerage, waste management and remedation activities",2011,
FEMALE,"Water supply, sewerage, waste management and remedation activities",2010,
FEMALE,"Water supply, sewerage, waste management and remedation activities",2009,
FEMALE,"Water supply, sewerage, waste management and remedation activities",2008,
FEMALE,"Water supply, sewerage, waste management and remedation activities",2007,
FEMALE,"Water supply, sewerage, waste management and remedation activities",2006,
FEMALE,"Water supply, sewerage, waste management and remedation activities",2005,
FEMALE,"Water supply, sewerage, waste management and remedation activities",2004,
FEMALE,"Water supply, sewerage, waste management and remedation activities",2003,
FEMALE,"Water supply, sewerage, waste management and remedation activities",2002,
FEMALE,"Water supply, sewerage, waste management and remedation activities",2001,
FEMALE,Construction,2025,2162.6
FEMALE,Construction,2024,1865.6
FEMALE,Construction,2023,1641.0
FEMALE,Construction,2022,1423.9
FEMALE,Construction,2021,1179.2
FEMALE,Construction,2020,1332.3
FEMALE,Construction,2019,1188.8
FEMALE,Construction,2018,1056.5
FEMALE,Construction,2017,822.2
FEMALE,Construction,2016,679.9
FEMALE,Construction,2015,612.6
FEMALE,Construction,2014,629.9
FEMALE,Construction,2013,665.0
FEMALE,Construction,2012,401.4
FEMALE,Construction,2011,304.7
FEMALE,Construction,2010,235.1
FEMALE,Construction,2009,231.6
FEMALE,Construction,2008,230.7
FEMALE,Construction,2007,156.6
FEMALE,Construction,2006,127.9
FEMALE,Construction,2005,105.2
FEMALE,Construction,2004,87.5
FEMALE,Construction,2003,80.2
FEMALE,Construction,2002,82.9
FEMALE,Construction,2001,67.0
FEMALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2025,1953.0
FEMALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2024,1639.8
FEMALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2023,1339.9
FEMALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2022,1139.1
FEMALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2021,967.0
FEMALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2020,918.1
FEMALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2019,841.1
FEMALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2018,752.3
FEMALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2017,748.2
FEMALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2016,690.5
FEMALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2015,652.2
FEMALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2014,680.5
FEMALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2013,661.8
FEMALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2012,318.1
FEMALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2011,254.2
FEMALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2010,220.9
FEMALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2009,201.3
FEMALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2008,190.8
FEMALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2007,121.7
FEMALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2006,81.4
FEMALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2005,80.8
FEMALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2004,72.2
FEMALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2003,58.6
FEMALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2002,52.1
FEMALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2001,53.4
FEMALE,Transportation and storage,2025,2730.4
FEMALE,Transportation and storage,2024,2415.1
FEMALE,Transportation and storage,2023,1970.3
FEMALE,Transportation and storage,2022,1566.6
FEMALE,Transportation and storage,2021,1332.0
FEMALE,Transportation and storage,2020,1291.6
FEMALE,Transportation and storage,2019,1220.1
FEMALE,Transportation and storage,2018,1074.8
FEMALE,Transportation and storage,2017,1020.6
FEMALE,Transportation and storage,2016,913.3
FEMALE,Transportation and storage,2015,806.0
FEMALE,Transportation and storage,2014,832.3
FEMALE,Transportation and storage,2013,633.1
FEMALE,Transportation and storage,2012,495.8
FEMALE,Transportation and storage,2011,411.7
FEMALE,Transportation and storage,2010,344.0
FEMALE,Transportation and storage,2009,273.2
FEMALE,Transportation and storage,2008,228.6
FEMALE,Transportation and storage,2007,157.9
FEMALE,Transportation and storage,2006,121.4
FEMALE,Transportation and storage,2005,110.0
FEMALE,Transportation and storage,2004,109.4
FEMALE,Transportation and storage,2003,103.3
FEMALE,Transportation and storage,2002,86.7
FEMALE,Transportation and storage,2001,78.8
FEMALE,Accomodation and food service activities,2025,1778.6
FEMALE,Accomodation and food service activities,2024,1400.2
FEMALE,Accomodation and food service activities,2023,1142.7
FEMALE,Accomodation and food service activities,2022,942.9
FEMALE,Accomodation and food service activities,2021,784.6
FEMALE,Accomodation and food service activities,2020,712.1
FEMALE,Accomodation and food service activities,2019,676.3
FEMALE,Accomodation and food service activities,2018,604.5
FEMALE,Accomodation and food service activities,2017,561.5
FEMALE,Accomodation and food service activities,2016,538.1
FEMALE,Accomodation and food service activities,2015,513.2
FEMALE,Accomodation and food service activities,2014,510.3
FEMALE,Accomodation and food service activities,2013,561.9
FEMALE,Accomodation and food service activities,2012,370.4
FEMALE,Accomodation and food service activities,2011,291.3
FEMALE,Accomodation and food service activities,2010,260.3
FEMALE,Accomodation and food service activities,2009,235.1
FEMALE,Accomodation and food service activities,2008,197.5
FEMALE,Accomodation and food service activities,2007,151.1
FEMALE,Accomodation and food service activities,2006,125.3
FEMALE,Accomodation and food service activities,2005,128.4
FEMALE,Accomodation and food service activities,2004,101.9
FEMALE,Accomodation and food service activities,2003,83.9
FEMALE,Accomodation and food service activities,2002,76.7
FEMALE,Accomodation and food service activities,2001,67.7
FEMALE,Information and communication,2025,2638.0
FEMALE,Information and communication,2024,2304.4
FEMALE,Information and communication,2023,1790.4
FEMALE,Information and communication,2022,1538.0
FEMALE,Information and communication,2021,1179.0
FEMALE,Information and communication,2020,1075.6
FEMALE,Information and communication,2019,978.3
FEMALE,Information and communication,2018,883.6
FEMALE,Information and communication,2017,785.7
FEMALE,Information and communication,2016,757.6
FEMALE,Information and communication,2015,747.7
FEMALE,Information and communication,2014,726.1
FEMALE,Information and communication,2013,726.8
FEMALE,Information and communication,2012,
FEMALE,Information and communication,2011,
FEMALE,Information and communication,2010,
FEMALE,Information and communication,2009,
FEMALE,Information and communication,2008,
FEMALE,Information and communication,2007,
FEMALE,Information and communication,2006,
FEMALE,Information and communication,2005,
FEMALE,Information and communication,2004,
FEMALE,Information and communication,2003,
FEMALE,Information and communication,2002,
FEMALE,Information and communication,2001,
FEMALE,Financial and insurance activities,2025,2992.2
FEMALE,Financial and insurance activities,2024,2640.1
FEMALE,Financial and insurance activities,2023,2068.5
FEMALE,Financial and insurance activities,2022,1689.2
FEMALE,Financial and insurance activities,2021,1345.2
FEMALE,Financial and insurance activities,2020,1291.4
FEMALE,Financial and insurance activities,2019,1193.2
FEMALE,Financial and insurance activities,2018,1035.5
FEMALE,Financial and insurance activities,2017,1010.9
FEMALE,Financial and insurance activities,2016,988.6
FEMALE,Financial and insurance activities,2015,943.3
FEMALE,Financial and insurance activities,2014,951.7
FEMALE,Financial and insurance activities,2013,1049.9
FEMALE,Financial and insurance activities,2012,972.2
FEMALE,Financial and insurance activities,2011,820.9
FEMALE,Financial and insurance activities,2010,644.3
FEMALE,Financial and insurance activities,2009,556.8
FEMALE,Financial and insurance activities,2008,442.7
FEMALE,Financial and insurance activities,2007,334.3
FEMALE,Financial and insurance activities,2006,247.2
FEMALE,Financial and insurance activities,2005,139.4
FEMALE,Financial and insurance activities,2004,128.4
FEMALE,Financial and insurance activities,2003,103.9
FEMALE,Financial and insurance activities,2002,85.0
FEMALE,Financial and insurance activities,2001,63.7
FEMALE,Real estate activities,2025,2382.7
FEMALE,Real estate activities,2024,2048.3
FEMALE,Real estate activities,2023,1737.8
FEMALE,Real estate activities,2022,1556.0
FEMALE,Real estate activities,2021,1194.6
FEMALE,Real estate activities,2020,1174.2
FEMALE,Real estate activities,2019,1065.4
FEMALE,Real estate activities,2018,933.5
FEMALE,Real estate activities,2017,861.4
FEMALE,Real estate activities,2016,831.1
FEMALE,Real estate activities,2015,797.5
FEMALE,Real estate activities,2014,779.9
FEMALE,Real estate activities,2013,517.8
FEMALE,Real estate activities,2012,496.6
FEMALE,Real estate activities,2011,333.3
FEMALE,Real estate activities,2010,292.1
FEMALE,Real estate activities,2009,270.3
FEMALE,Real estate activities,2008,254.1
FEMALE,Real estate activities,2007,129.7
FEMALE,Real estate activities,2006,89.4
FEMALE,Real estate activities,2005,67.6
FEMALE,Real estate activities,2004,69.5
FEMALE,Real estate activities,2003,63.4
FEMALE,Real estate activities,2002,55.3
FEMALE,Real estate activities,2001,61.7
FEMALE,"Professional, scientific and technical activities",2025,2872.1
FEMALE,"Professional, scientific and technical activities",2024,2608.8
FEMALE,"Professional, scientific and technical activities",2023,1986.1
FEMALE,"Professional, scientific and technical activities",2022,1598.6
FEMALE,"Professional, scientific and technical activities",2021,1626.0
FEMALE,"Professional, scientific and technical activities",2020,1608.0
FEMALE,"Professional, scientific and technical activities",2019,1476.6
FEMALE,"Professional, scientific and technical activities",2018,1469.7
FEMALE,"Professional, scientific and technical activities",2017,1529.3
FEMALE,"Professional, scientific and technical activities",2016,1309.7
FEMALE,"Professional, scientific and technical activities",2015,1154.3
FEMALE,"Professional, scientific and technical activities",2014,1129.1
FEMALE,"Professional, scientific and technical activities",2013,689.1
FEMALE,"Professional, scientific and technical activities",2012,
FEMALE,"Professional, scientific and technical activities",2011,
FEMALE,"Professional, scientific and technical activities",2010,
FEMALE,"Professional, scientific and technical activities",2009,
FEMALE,"Professional, scientific and technical activities",2008,
FEMALE,"Professional, scientific and technical activities",2007,
FEMALE,"Professional, scientific and technical activities",2006,
FEMALE,"Professional, scientific and technical activities",2005,
FEMALE,"Professional, scientific and technical activities",2004,
FEMALE,"Professional, scientific and technical activities",2003,
FEMALE,"Professional, scientific and technical activities",2002,
FEMALE,"Professional, scientific and technical activities",2001,
FEMALE,Administrative and support service activities,2025,2342.4
FEMALE,Administrative and support service activities,2024,1887.1
FEMALE,Administrative and support service activities,2023,1511.0
FEMALE,Administrative and support service activities,2022,1273.3
FEMALE,Administrative and support service activities,2021,1170.7
FEMALE,Administrative and support service activities,2020,1086.6
FEMALE,Administrative and support service activities,2019,1045.6
FEMALE,Administrative and support service activities,2018,838.8
FEMALE,Administrative and support service activities,2017,775.1
FEMALE,Administrative and support service activities,2016,705.4
FEMALE,Administrative and support service activities,2015,677.1
FEMALE,Administrative and support service activities,2014,643.4
FEMALE,Administrative and support service activities,2013,650.8
FEMALE,Administrative and support service activities,2012,
FEMALE,Administrative and support service activities,2011,
FEMALE,Administrative and support service activities,2010,
FEMALE,Administrative and support service activities,2009,
FEMALE,Administrative and support service activities,2008,
FEMALE,Administrative and support service activities,2007,
FEMALE,Administrative and support service activities,2006,
FEMALE,Administrative and support service activities,2005,
FEMALE,Administrative and support service activities,2004,
FEMALE,Administrative and support service activities,2003,
FEMALE,Administrative and support service activities,2002,
FEMALE,Administrative and support service activities,2001,
FEMALE,Public administration and defense; compulsory social security,2025,2696.6
FEMALE,Public administration and defense; compulsory social security,2024,2294.1
FEMALE,Public administration and defense; compulsory social security,2023,1702.0
FEMALE,Public administration and defense; compulsory social security,2022,1219.6
FEMALE,Public administration and defense; compulsory social security,2021,1068.7
FEMALE,Public administration and defense; compulsory social security,2020,1014.6
FEMALE,Public administration and defense; compulsory social security,2019,947.8
FEMALE,Public administration and defense; compulsory social security,2018,828.4
FEMALE,Public administration and defense; compulsory social security,2017,769.5
FEMALE,Public administration and defense; compulsory social security,2016,722.9
FEMALE,Public administration and defense; compulsory social security,2015,748.9
FEMALE,Public administration and defense; compulsory social security,2014,750.7
FEMALE,Public administration and defense; compulsory social security,2013,680.2
FEMALE,Public administration and defense; compulsory social security,2012,592.2
FEMALE,Public administration and defense; compulsory social security,2011,422.0
FEMALE,Public administration and defense; compulsory social security,2010,335.9
FEMALE,Public administration and defense; compulsory social security,2009,316.9
FEMALE,Public administration and defense; compulsory social security,2008,322.2
FEMALE,Public administration and defense; compulsory social security,2007,180.7
FEMALE,Public administration and defense; compulsory social security,2006,134.9
FEMALE,Public administration and defense; compulsory social security,2005,100.2
FEMALE,Public administration and defense; compulsory social security,2004,88.4
FEMALE,Public administration and defense; compulsory social security,2003,73.6
FEMALE,Public administration and defense; compulsory social security,2002,63.8
FEMALE,Public administration and defense; compulsory social security,2001,57.0
FEMALE,Education,2025,2357.4
FEMALE,Education,2024,2010.0
FEMALE,Education,2023,1498.3
FEMALE,Education,2022,1207.6
FEMALE,Education,2021,1034.6
FEMALE,Education,2020,1004.2
FEMALE,Education,2019,899.1
FEMALE,Education,2018,751.4
FEMALE,Education,2017,712.1
FEMALE,Education,2016,708.0
FEMALE,Education,2015,726.3
FEMALE,Education,2014,695.9
FEMALE,Education,2013,638.0
FEMALE,Education,2012,534.2
FEMALE,Education,2011,362.0
FEMALE,Education,2010,308.6
FEMALE,Education,2009,290.5
FEMALE,Education,2008,280.6
FEMALE,Education,2007,172.6
FEMALE,Education,2006,120.9
FEMALE,Education,2005,93.3
FEMALE,Education,2004,86.9
FEMALE,Education,2003,76.7
FEMALE,Education,2002,65.5
FEMALE,Education,2001,61.1
FEMALE,Human health and social work activities,2025,2441.9
FEMALE,Human health and social work activities,2024,2221.9
FEMALE,Human health and social work activities,2023,1763.4
FEMALE,Human health and social work activities,2022,1457.3
FEMALE,Human health and social work activities,2021,1269.7
FEMALE,Human health and social work activities,2020,1102.4
FEMALE,Human health and social work activities,2019,931.9
FEMALE,Human health and social work activities,2018,793.6
FEMALE,Human health and social work activities,2017,757.8
FEMALE,Human health and social work activities,2016,733.6
FEMALE,Human health and social work activities,2015,749.8
FEMALE,Human health and social work activities,2014,715.2
FEMALE,Human health and social work activities,2013,674.7
FEMALE,Human health and social work activities,2012,548.5
FEMALE,Human health and social work activities,2011,376.7
FEMALE,Human health and social work activities,2010,316.7
FEMALE,Human health and social work activities,2009,294.5
FEMALE,Human health and social work activities,2008,284.3
FEMALE,Human health and social work activities,2007,155.4
FEMALE,Human health and social work activities,2006,110.8
FEMALE,Human health and social work activities,2005,80.0
FEMALE,Human health and social work activities,2004,78.5
FEMALE,Human health and social work activities,2003,59.7
FEMALE,Human health and social work activities,2002,51.0
FEMALE,Human health and social work activities,2001,46.8
FEMALE,"Arts, entertainment and recreation",2025,2203.3
FEMALE,"Arts, entertainment and recreation",2024,1808.6
FEMALE,"Arts, entertainment and recreation",2023,1337.9
FEMALE,"Arts, entertainment and recreation",2022,963.5
FEMALE,"Arts, entertainment and recreation",2021,869.0
FEMALE,"Arts, entertainment and recreation",2020,839.2
FEMALE,"Arts, entertainment and recreation",2019,739.3
FEMALE,"Arts, entertainment and recreation",2018,624.3
FEMALE,"Arts, entertainment and recreation",2017,612.1
FEMALE,"Arts, entertainment and recreation",2016,591.8
FEMALE,"Arts, entertainment and recreation",2015,613.7
FEMALE,"Arts, entertainment and recreation",2014,596.3
FEMALE,"Arts, entertainment and recreation",2013,527.5
FEMALE,"Arts, entertainment and recreation",2012,
FEMALE,"Arts, entertainment and recreation",2011,
FEMALE,"Arts, entertainment and recreation",2010,
FEMALE,"Arts, entertainment and recreation",2009,
FEMALE,"Arts, entertainment and recreation",2008,
FEMALE,"Arts, entertainment and recreation",2007,
FEMALE,"Arts, entertainment and recreation",2006,
FEMALE,"Arts, entertainment and recreation",2005,
FEMALE,"Arts, entertainment and recreation",2004,
FEMALE,"Arts, entertainment and recreation",2003,
FEMALE,"Arts, entertainment and recreation",2002,
FEMALE,"Arts, entertainment and recreation",2001,
FEMALE,Other service activities,2025,2098.0
FEMALE,Other service activities,2024,1880.0
FEMALE,Other service activities,2023,1511.1
FEMALE,Other service activities,2022,1215.7
FEMALE,Other service activities,2021,1037.0
FEMALE,Other service activities,2020,944.7
FEMALE,Other service activities,2019,842.6
FEMALE,Other service activities,2018,746.3
FEMALE,Other service activities,2017,706.8
FEMALE,Other service activities,2016,719.3
FEMALE,Other service activities,2015,703.0
FEMALE,Other service activities,2014,581.3
FEMALE,Other service activities,2013,516.5
FEMALE,Other service activities,2012,441.4
FEMALE,Other service activities,2011,311.6
FEMALE,Other service activities,2010,264.8
FEMALE,Other service activities,2009,229.9
FEMALE,Other service activities,2008,210.2
FEMALE,Other service activities,2007,147.6
FEMALE,Other service activities,2006,92.1
FEMALE,Other service activities,2005,68.4
FEMALE,Other service activities,2004,60.0
FEMALE,Other service activities,2003,48.7
FEMALE,Other service activities,2002,45.6
FEMALE,Other service activities,2001,45.0
FEMALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2025,2499.3
FEMALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2024,1632.7
FEMALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2023,1323.9
FEMALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2022,1097.6
FEMALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2021,928.5
FEMALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2020,882.3
FEMALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2019,765.9
FEMALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2018,674.0
FEMALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2017,640.6
FEMALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2016,588.4
FEMALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2015,572.7
FEMALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2014,470.4
FEMALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2013,
FEMALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2012,
FEMALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2011,
FEMALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2010,
FEMALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2009,
FEMALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2008,
FEMALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2007,
FEMALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2006,
FEMALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2005,
FEMALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2004,
FEMALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2003,
FEMALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2002,
FEMALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2001,
FEMALE,Activities of extraterritorial organizations and bodies,2025,3613.5
FEMALE,Activities of extraterritorial organizations and bodies,2024,3196.3
FEMALE,Activities of extraterritorial organizations and bodies,2023,3101.5
FEMALE,Activities of extraterritorial organizations and bodies,2022,4597.7
FEMALE,Activities of extraterritorial organizations and bodies,2021,2077.0
FEMALE,Activities of extraterritorial organizations and bodies,2020,1816.6
FEMALE,Activities of extraterritorial organizations and bodies,2019,1797.8
FEMALE,Activities of extraterritorial organizations and bodies,2018,1483.4
FEMALE,Activities of extraterritorial organizations and bodies,2017,1773.6
FEMALE,Activities of extraterritorial organizations and bodies,2016,1556.1
FEMALE,Activities of extraterritorial organizations and bodies,2015,1377.9
FEMALE,Activities of extraterritorial organizations and bodies,2014,1384.3
FEMALE,Activities of extraterritorial organizations and bodies,2013,1232.9
FEMALE,Activities of extraterritorial organizations and bodies,2012,
FEMALE,Activities of extraterritorial organizations and bodies,2011,139.4
FEMALE,Activities of extraterritorial organizations and bodies,2010,149.4
FEMALE,Activities of extraterritorial organizations and bodies,2009,146.8
FEMALE,Activities of extraterritorial organizations and bodies,2008,
FEMALE,Activities of extraterritorial organizations and bodies,2007,
FEMALE,Activities of extraterritorial organizations and bodies,2006,
FEMALE,Activities of extraterritorial organizations and bodies,2005,
FEMALE,Activities of extraterritorial organizations and bodies,2004,
FEMALE,Activities of extraterritorial organizations and bodies,2003,
FEMALE,Activities of extraterritorial organizations and bodies,2002,
FEMALE,Activities of extraterritorial organizations and bodies,2001,
MALE,National average,2025,3035.5
MALE,National average,2024,2576.9
